"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013031029","2020","20201231","2","5.9","62","","107","1.4",".98","1.5",".2","제주특별자치도 서귀포시 안덕면 광평리 126"
"2","5013031029","2020","20201231","2","5","100","","141",".4",".71",".5",".2","제주특별자치도 서귀포시 안덕면 광평리 170"
"3","5013031029","2020","20201231","2","5.2","146","","129",".8",".89","1",".4","제주특별자치도 서귀포시 안덕면 광평리 209"
"4","5013031029","2020","20201231","2","5.6","146","","123","1.3",".64","1.1",".1","제주특별자치도 서귀포시 안덕면 광평리 230"
"5","5013031029","2020","20200326","2","5.4","20","","136",".6",".6","1.8",".2","제주특별자치도 서귀포시 안덕면 광평리 74"
"6","5013031029","2020","20200515","2","7.6","95","","52",".6","1.28","11.4",".1","제주특별자치도 서귀포시 안덕면 광평리 263-1"
"7","5013031029","2020","20200923","2","5.5","63","","180",".9",".67","1.4",".2","제주특별자치도 서귀포시 안덕면 광평리 127"
"8","5013031029","2020","20201014","2","5.7","17","","148","2.2","1","5.4",".3","제주특별자치도 서귀포시 안덕면 광평리 300"
"9","5013031029","2020","20201014","2","5.9","21","","153","2.8","1.12","7",".3","제주특별자치도 서귀포시 안덕면 광평리 301"
"10","5013031029","2020","20201014","2","5.9","19","","141","1.8","1","5.3",".2","제주특별자치도 서귀포시 안덕면 광평리 302"
"11","5013031029","2020","20201014","2","5.9","19","","157","1.9","1.01","5.6",".2","제주특별자치도 서귀포시 안덕면 광평리 306"
"12","5013031029","2020","20201014","2","5.9","58","","195","3.4","1.02","9.4",".3","제주특별자치도 서귀포시 안덕면 광평리 307"
"13","5013031029","2020","20201014","2","5.9","48","","183","3",".95","8.1",".2","제주특별자치도 서귀포시 안덕면 광평리 308"
"14","5013031029","2020","20201014","2","5.9","57","","197","3.1","1","9",".3","제주특별자치도 서귀포시 안덕면 광평리 309"
"15","5013031029","2020","20201014","2","5.9","50","","199","3",".95","8.8",".3","제주특별자치도 서귀포시 안덕면 광평리 310"
"16","5013031029","2020","20201014","2","5.6","19","","157","1.8",".99","5.4",".2","제주특별자치도 서귀포시 안덕면 광평리 311"
"17","5013031029","2020","20201014","2","6.3","10","","123","1.3","1.23","3.6",".1","제주특별자치도 서귀포시 안덕면 광평리 314"
"18","5013031029","2020","20201014","2","5.9","52","","154","3.4","1.02","9.2",".4","제주특별자치도 서귀포시 안덕면 광평리 315"
