"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025931","2020","20201020","4","6.2","474","","110","",".6","","","제주특별자치도 서귀포시 성산읍 난산리 1019-2"
"2","5013025931","2020","20201020","4","6.6","196","","89","",".5","","","제주특별자치도 서귀포시 성산읍 난산리 1070"
"3","5013025931","2020","20201020","4","5.9","61","","94","",".25","","","제주특별자치도 서귀포시 성산읍 난산리 1057-1"
"4","5013025931","2020","20201020","4","5.6","521","","82","",".41","","","제주특별자치도 서귀포시 성산읍 난산리 1086-1"
"5","5013025931","2020","20201020","4","5.2","393","","100","",".21","","","제주특별자치도 서귀포시 성산읍 난산리 1122"
"6","5013025931","2020","20201020","4","6","556","","109","",".96","","","제주특별자치도 서귀포시 성산읍 난산리 1042"
"7","5013025931","2020","20201020","4","4.8","526","","99","",".75","","","제주특별자치도 서귀포시 성산읍 난산리 281"
"8","5013025931","2020","20201020","4","5.8","109","","94","",".42","","","제주특별자치도 서귀포시 성산읍 난산리 327-1"
"9","5013025931","2020","20201020","4","6","526","","87","",".46","","","제주특별자치도 서귀포시 성산읍 난산리 311-1"
"10","5013025931","2020","20201020","4","6.3","457","","119","","1.27","","","제주특별자치도 서귀포시 성산읍 난산리 294"
"11","5013025931","2020","20201020","4","5.2","191","","140","",".25","","","제주특별자치도 서귀포시 성산읍 난산리 428"
"12","5013025931","2020","20201020","4","5.1","701","","102","",".27","","","제주특별자치도 서귀포시 성산읍 난산리 936-1"
"13","5013025931","2020","20201020","4","6","136","","82","",".38","","","제주특별자치도 서귀포시 성산읍 난산리 958"
"14","5013025931","2020","20201020","4","5.2","95","","134","",".33","","","제주특별자치도 서귀포시 성산읍 난산리 848-4"
"15","5013025931","2020","20201020","4","6.4","379","","11","",".48","","","제주특별자치도 서귀포시 성산읍 난산리 923"
"16","5013025931","2020","20200605","2","5.6","10","","254",".6",".12",".7",".36","제주특별자치도 서귀포시 성산읍 난산리 1679"
"17","5013025931","2020","20200605","2","6.1","10","","156","2.3",".53","5.1",".36","제주특별자치도 서귀포시 성산읍 난산리 2836"
"18","5013025931","2020","20200605","2","5.8","10","","244",".5",".12","1",".29","제주특별자치도 서귀포시 성산읍 난산리 3016"
"19","5013025931","2020","20200911","2","6.7","10","","189",".7",".49","14.6",".62","제주특별자치도 서귀포시 성산읍 난산리 2694"
