"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013031026","2020","20201231","2","7.6","128","","95","3",".8","12.3",".3","제주특별자치도 서귀포시 안덕면 덕수리 2222"
"2","5013031026","2020","20201231","2","6.1","629","","79",".8","3.14","9.4","1.3","제주특별자치도 서귀포시 안덕면 덕수리 1288"
"3","5013031026","2020","20201231","3","6.2","587","","68","1.4","1.18","7.5",".5","제주특별자치도 서귀포시 안덕면 덕수리 651"
"4","5013031026","2020","20201231","3","6.4","2032","","128","3.1","4.1","11.5",".9","제주특별자치도 서귀포시 안덕면 덕수리 2105"
"5","5013031026","2020","20201231","3","6.1","303","","104","1.1",".72","6.6",".2","제주특별자치도 서귀포시 안덕면 덕수리 2167"
"6","5013031026","2020","20201231","3","6.5","843","","105","1.2","1.43","8.8",".3","제주특별자치도 서귀포시 안덕면 덕수리 413"
"7","5013031026","2020","20201231","4","5.7","186","","43",".9","1.35","7.2","1.5","제주특별자치도 서귀포시 안덕면 덕수리 662-1"
"8","5013031026","2020","20201231","4","5.2","1055","","88",".5",".5","3.5",".2","제주특별자치도 서귀포시 안덕면 덕수리 2374"
"9","5013031026","2020","20201231","4","5.1","951","","75",".4",".49","2",".2","제주특별자치도 서귀포시 안덕면 덕수리 2376"
"10","5013031026","2020","20201231","4","6.8","224","","64","1",".91","8.9",".1","제주특별자치도 서귀포시 안덕면 덕수리 2194-1"
"11","5013031026","2020","20201231","4","6.9","278","","69","1.7","1.13","8.9",".3","제주특별자치도 서귀포시 안덕면 덕수리 2116"
"12","5013031026","2020","20201231","4","6.4","553","","118","1.7",".41","9.8",".2","제주특별자치도 서귀포시 안덕면 덕수리 2000"
"13","5013031026","2020","20201231","4","5.9","214","","123","1.4",".45","6.2",".2","제주특별자치도 서귀포시 안덕면 덕수리 2839-1"
"14","5013031026","2020","20201231","4","5.3","412","","129","1",".68","5.4",".3","제주특별자치도 서귀포시 안덕면 덕수리 2840-3"
"15","5013031026","2020","20201231","4","5.1","548","","116",".6",".41","2.8",".3","제주특별자치도 서귀포시 안덕면 덕수리 2690-1"
"16","5013031026","2020","20201231","4","5.6","669","","101",".9",".52","6.5",".3","제주특별자치도 서귀포시 안덕면 덕수리 2060"
"17","5013031026","2020","20201231","4","5.5","659","","101",".9",".46","3.5",".3","제주특별자치도 서귀포시 안덕면 덕수리 1268"
"18","5013031026","2020","20201231","4","5.1","139","","97",".5",".65",".6",".4","제주특별자치도 서귀포시 안덕면 덕수리 388"
"19","5013031026","2020","20201231","4","5.7","377","","93","1.1","1.13","6.4",".6","제주특별자치도 서귀포시 안덕면 덕수리 390"
"20","5013031026","2020","20201231","4","5.8","707","","113","1.3",".75","6",".3","제주특별자치도 서귀포시 안덕면 덕수리 456-1"
"21","5013031026","2020","20201123","4","6.1","409","","86","3",".93","7.4",".29","제주특별자치도 서귀포시 안덕면 덕수리 738-1"
"22","5013031026","2020","20201123","4","5.2","385","","192","1.3",".6","4.8",".35","제주특별자치도 서귀포시 안덕면 덕수리 738-4"
"23","5013031026","2020","20200729","4","5.5","140","","103",".7",".3","2.9",".21","제주특별자치도 서귀포시 안덕면 덕수리 2994"
"24","5013031026","2020","20200729","4","5.7","553","","103","2.9",".78","8.3",".3","제주특별자치도 서귀포시 안덕면 덕수리 2637-1"
"25","5013031026","2020","20200326","2","4.6","380","","58",".9","1.35","3.1","1.3","제주특별자치도 서귀포시 안덕면 덕수리 663-1"
"26","5013031026","2020","20201014","2","5.6","198","","52",".8","1.07","3.8",".2","제주특별자치도 서귀포시 안덕면 덕수리 954"
"27","5013031026","2020","20200220","3","5.3","542","","95","2.9","2.07","7.9","1.67","제주특별자치도 서귀포시 안덕면 덕수리 485"
"28","5013031026","2020","20200130","4","5.8","438","","63","2",".62","6.2",".2","제주특별자치도 서귀포시 안덕면 덕수리 738-4"
"29","5013031026","2020","20200130","4","5.7","93","","62","3",".59","6.9",".2","제주특별자치도 서귀포시 안덕면 덕수리 738-1"
"30","5013031026","2020","20200215","4","5","767","","119","1.12",".52","3.33",".32","제주특별자치도 서귀포시 안덕면 덕수리 1596-1"
"31","5013031026","2020","20200218","4","5.5","383","","149","1.4","1.27","4.6",".2","제주특별자치도 서귀포시 안덕면 덕수리 336"
"32","5013031026","2020","20200225","4","5.1","316","","97",".9",".47","2.8",".1","제주특별자치도 서귀포시 안덕면 덕수리 2817"
"33","5013031026","2020","20200225","4","5.2","462","","96","1.2",".6","3.4",".1","제주특별자치도 서귀포시 안덕면 덕수리 2818"
"34","5013031026","2020","20200225","4","4.8","335","","129",".8",".63","2.1",".2","제주특별자치도 서귀포시 안덕면 덕수리 2821-1"
"35","5013031026","2020","20200302","4","6.3","194","","67","2.31","1.24","10.1",".25","제주특별자치도 서귀포시 안덕면 덕수리 2194"
"36","5013031026","2020","20200220","4","4.9","1011","","88","1.9",".95","4",".54","제주특별자치도 서귀포시 안덕면 덕수리 485"
"37","5013031026","2020","20200318","4","5.3","11","","56",".6",".29","1.5",".1","제주특별자치도 서귀포시 안덕면 덕수리 1635"
"38","5013031026","2020","20200318","4","6","71","","133","1.4","1.06","6.1",".3","제주특별자치도 서귀포시 안덕면 덕수리 1674-1"
"39","5013031026","2020","20200318","4","5.1","157","","129","1.1",".27","2.8",".1","제주특별자치도 서귀포시 안덕면 덕수리 2503-5"
"40","5013031026","2020","20200407","4","4.1","68","","59",".5",".52","1",".5","제주특별자치도 서귀포시 안덕면 덕수리 1023"
"41","5013031026","2020","20200407","4","4.2","74","","62",".2",".44",".8",".3","제주특별자치도 서귀포시 안덕면 덕수리 1023"
"42","5013031026","2020","20200407","4","6.5","248","","64","3.3",".77","10.6",".3","제주특별자치도 서귀포시 안덕면 덕수리 1023"
"43","5013031026","2020","20200407","4","7","173","","47","2.1",".78","8.3",".2","제주특별자치도 서귀포시 안덕면 덕수리 1023"
"44","5013031026","2020","20200605","4","7.4","561","","78","3.6","1.13","17.2",".3","제주특별자치도 서귀포시 안덕면 덕수리 2511"
"45","5013031026","2020","20200617","4","6","605","","135","3.8",".71","13.5",".6","제주특별자치도 서귀포시 안덕면 덕수리 1741"
"46","5013031026","2020","20200617","4","5.8","406","","107","3.3",".59","8.4",".4","제주특별자치도 서귀포시 안덕면 덕수리 1745-1"
"47","5013031026","2020","20200630","4","5.7","248","","53","1.7","1.01","1.8",".3","제주특별자치도 서귀포시 안덕면 덕수리 2810"
"48","5013031026","2020","20200630","4","6.7","508","","43","4","1.02","6.1",".3","제주특별자치도 서귀포시 안덕면 덕수리 583"
"49","5013031026","2020","20200825","4","5.4","717","","119","1.9","1.14","3.2",".2","제주특별자치도 서귀포시 안덕면 덕수리 2089"
"50","5013031026","2020","20200825","4","5","772","","95","1.4",".81","1.6",".3","제주특별자치도 서귀포시 안덕면 덕수리 2099"
"51","5013031026","2020","20200929","4","5.4","71","","115","1.2","1.01","3.2",".7","제주특별자치도 서귀포시 안덕면 덕수리 2141"
"52","5013031026","2020","20200929","4","4.8","299","","86","1.9","1.96","5.9",".3","제주특별자치도 서귀포시 안덕면 덕수리 2634"
"53","5013031026","2020","20201126","4","5.8","74","","85",".4",".27","3.6",".5","제주특별자치도 서귀포시 안덕면 덕수리 450"
"54","5013031026","2020","20200914","2","5.8","471","","83","2.13","1","6.68",".3","제주특별자치도 서귀포시 안덕면 덕수리 2774-3"
"55","5013031026","2020","20200914","2","4.5","389","","86",".22",".71",".76",".4","제주특별자치도 서귀포시 안덕면 덕수리 1957"
