"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025028","2020","20200110","3","6.5","793","","126","4.2","2.1","10","8.78","제주특별자치도 서귀포시 대정읍 동일리 43"
"2","5013025028","2020","20200110","2","6.1","813","","124","1",".77","5.2",".38","제주특별자치도 서귀포시 대정읍 동일리 347"
"3","5013025028","2020","20200130","2","6.6","591","","22","1.5","1.17","5.7",".2","제주특별자치도 서귀포시 대정읍 동일리 628"
"4","5013025028","2020","20200130","2","6.7","322","","29","3.4","1.62","9.1",".3","제주특별자치도 서귀포시 대정읍 동일리 629"
"5","5013025028","2020","20200401","2","4.3","247","","52","2.3","2.17","5",".3","제주특별자치도 서귀포시 대정읍 동일리 2070"
"6","5013025028","2020","20200407","2","5.4","1142","","36","1.4","1.79","5.3","1","제주특별자치도 서귀포시 대정읍 동일리 935"
"7","5013025028","2020","20200423","2","7.7","643","","34","3.3",".91","11.9",".4","제주특별자치도 서귀포시 대정읍 동일리 1544-2"
"8","5013025028","2020","20200504","2","7.5","616","","21","1.6",".88","8.8",".3","제주특별자치도 서귀포시 대정읍 동일리 102"
"9","5013025028","2020","20200504","2","6.6","920","","35","2",".5","6.5",".3","제주특별자치도 서귀포시 대정읍 동일리 1812-3"
"10","5013025028","2020","20200504","2","6.7","1089","","29","1.5","1.11","8.5",".3","제주특별자치도 서귀포시 대정읍 동일리 2408"
"11","5013025028","2020","20200504","2","6.5","801","","20","1.7","1.26","9.3",".5","제주특별자치도 서귀포시 대정읍 동일리 2402-3"
"12","5013025028","2020","20200522","2","6.4","371","","44","3.3","1.05","10.4","1.3","제주특별자치도 서귀포시 대정읍 동일리 1121"
"13","5013025028","2020","20200522","2","5","193","","36","1.7","1.56","4","1.5","제주특별자치도 서귀포시 대정읍 동일리 1134"
"14","5013025028","2020","20200522","2","5.7","260","","49","1.8","1.06","6.1",".7","제주특별자치도 서귀포시 대정읍 동일리 1788"
"15","5013025028","2020","20200617","2","6.7","612","","27","4.3",".88","7.9",".4","제주특별자치도 서귀포시 대정읍 동일리 1616-1"
"16","5013025028","2020","20200617","2","7","563","","28","4.2","1.27","7.2",".6","제주특별자치도 서귀포시 대정읍 동일리 1616-1"
"17","5013025028","2020","20200617","2","7","371","","37","3.2",".6","9.9",".5","제주특별자치도 서귀포시 대정읍 동일리 1089"
"18","5013025028","2020","20200629","2","7.7","577","","34","1.3","1.01","6.2",".2","제주특별자치도 서귀포시 대정읍 동일리 2179"
"19","5013025028","2020","20200722","2","6.5","650","","23","3.1","1.87","3.9",".5","제주특별자치도 서귀포시 대정읍 동일리 1812-3"
"20","5013025028","2020","20200722","2","7.3","667","","26","3.4","1.38","4.3",".4","제주특별자치도 서귀포시 대정읍 동일리 2556"
"21","5013025028","2020","20200722","2","7.1","590","","21","2.1","1.52","3.3",".3","제주특별자치도 서귀포시 대정읍 동일리 2402-3"
"22","5013025028","2020","20200728","2","7.9","835","","46","3.3","1.28","7.2",".5","제주특별자치도 서귀포시 대정읍 동일리 2167"
"23","5013025028","2020","20200728","2","7.5","645","","58","2.2","1.27","5.4",".2","제주특별자치도 서귀포시 대정읍 동일리 1206"
"24","5013025028","2020","20200827","2","6.6","265","","40","1.2","1.2","5.7",".2","제주특별자치도 서귀포시 대정읍 동일리 1960-2"
"25","5013025028","2020","20200908","2","6.5","581","","16","2.2",".06","1.6",".4","제주특별자치도 서귀포시 대정읍 동일리 17"
"26","5013025028","2020","20200908","2","5.4","393","","24","1.1","1.31","3.6",".2","제주특별자치도 서귀포시 대정읍 동일리 3019-1"
"27","5013025028","2020","20200908","2","5.5","395","","23","1.1","1.43","3.6",".2","제주특별자치도 서귀포시 대정읍 동일리 3019-4"
"28","5013025028","2020","20200908","2","7.5","383","","16","2.2","1.29","7",".4","제주특별자치도 서귀포시 대정읍 동일리 120"
