"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025031","2020","20200325","4","6.5","16","","51","2.4","1.83","11.7",".4","제주특별자치도 서귀포시 대정읍 무릉리 20"
"2","5013025031","2020","20200325","4","6.5","31","","51","1.7",".98","9",".2","제주특별자치도 서귀포시 대정읍 무릉리 41"
"3","5013025031","2020","20200325","4","6.4","295","","63","4.5","1.12","10.1","1.3","제주특별자치도 서귀포시 대정읍 무릉리 44"
"4","5013025031","2020","20201012","2","6.8","401","","33","2.4","1.78","5.4",".3","제주특별자치도 서귀포시 대정읍 무릉리 2684"
"5","5013025031","2020","20201012","2","7.2","414","","23","2.9","1.38","5.8",".4","제주특별자치도 서귀포시 대정읍 무릉리 2680"
"6","5013025031","2020","20201012","2","6.9","399","","30","2.6","1.84","5.5",".4","제주특별자치도 서귀포시 대정읍 무릉리 2685"
"7","5013025031","2020","20200204","2","7.8","271","","23","2.6","1.14","16.6",".4","제주특별자치도 서귀포시 대정읍 무릉리 1732-7"
"8","5013025031","2020","20200204","2","7.2","318","","31","2.5","1.73","7.8",".6","제주특별자치도 서귀포시 대정읍 무릉리 1019"
"9","5013025031","2020","20200217","2","6.4","31","","116","3.2","1.21","8.6",".5","제주특별자치도 서귀포시 대정읍 무릉리 1919"
"10","5013025031","2020","20200217","2","6.3","32","","136","4","1.17","8.8",".5","제주특별자치도 서귀포시 대정읍 무릉리 1919-3"
"11","5013025031","2020","20200217","2","6.3","29","","145","3.9","1.13","7.9",".6","제주특별자치도 서귀포시 대정읍 무릉리 2666-3"
"12","5013025031","2020","20200217","2","6.4","29","","127","3.1","1.23","8.4",".6","제주특별자치도 서귀포시 대정읍 무릉리 2024-1"
"13","5013025031","2020","20200217","2","6.4","30","","139","2.7","1.35","8.7",".4","제주특별자치도 서귀포시 대정읍 무릉리 2065-2"
"14","5013025031","2020","20200217","2","6.4","10","","152","4.9",".79","10.9",".6","제주특별자치도 서귀포시 대정읍 무릉리 3392-1"
"15","5013025031","2020","20200217","2","6.6","10","","154","4",".78","10",".5","제주특별자치도 서귀포시 대정읍 무릉리 1704"
"16","5013025031","2020","20200217","2","6.4","10","","154","3.4",".91","9.8",".5","제주특별자치도 서귀포시 대정읍 무릉리 1704-8"
"17","5013025031","2020","20200217","2","6.4","33","","124","3.1",".98","8.8",".4","제주특별자치도 서귀포시 대정읍 무릉리 3660"
"18","5013025031","2020","20200218","2","6","51","","92","2.8",".97","10.8",".5","제주특별자치도 서귀포시 대정읍 무릉리 3998-1"
"19","5013025031","2020","20200423","2","7.1","831","","23","1.6","1.18","8.3",".3","제주특별자치도 서귀포시 대정읍 무릉리 1155-11"
"20","5013025031","2020","20200423","2","7.2","424","","25","2.8","1.13","8.1",".4","제주특별자치도 서귀포시 대정읍 무릉리 618"
"21","5013025031","2020","20200504","2","6.3","835","","22","1.9",".94","8","1.1","제주특별자치도 서귀포시 대정읍 무릉리 2988-1"
"22","5013025031","2020","20200507","2","5.7","423","","33","3.6","7.31","15","1.7","제주특별자치도 서귀포시 대정읍 무릉리 3707"
"23","5013025031","2020","20200507","2","8.2","311","","24","3.1","1.88","26.4",".6","제주특별자치도 서귀포시 대정읍 무릉리 3707"
"24","5013025031","2020","20200605","2","6.2","448","","33","3","1.46","8.1","2.3","제주특별자치도 서귀포시 대정읍 무릉리 487-4"
"25","5013025031","2020","20200605","2","7.1","603","","26","3.2","1.28","7.7",".6","제주특별자치도 서귀포시 대정읍 무릉리 588-14"
"26","5013025031","2020","20200605","2","6.6","464","","31","3.3","1.6","10.2","2.4","제주특별자치도 서귀포시 대정읍 무릉리 588-18"
"27","5013025031","2020","20200609","2","5.7","98","","122",".1",".67","1.6",".4","제주특별자치도 서귀포시 대정읍 무릉리 1919"
"28","5013025031","2020","20200609","2","5.4","96","","126",".8",".75","1.6",".4","제주특별자치도 서귀포시 대정읍 무릉리 1919-3"
"29","5013025031","2020","20200609","2","5.7","88","","133","1.5",".66","2.1",".4","제주특별자치도 서귀포시 대정읍 무릉리 2666-3"
"30","5013025031","2020","20200609","2","5.6","95","","125","1.5",".63","1.9",".4","제주특별자치도 서귀포시 대정읍 무릉리 2024-1"
"31","5013025031","2020","20200609","2","5.6","95","","121","1.5",".69","1.9",".4","제주특별자치도 서귀포시 대정읍 무릉리 2065-2"
