"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025029","2020","20200420","2","5.3","146","","21","3.1","1.06","6.3",".97","제주특별자치도 서귀포시 대정읍 보성리 302-1"
"2","5013025029","2020","20200909","2","6.5","128","","24","1.4",".71","5.3",".14","제주특별자치도 서귀포시 대정읍 보성리 263"
"3","5013025029","2020","20200909","2","6.9","109","","20","1.9",".96","7.1",".15","제주특별자치도 서귀포시 대정읍 보성리 300"
"4","5013025029","2020","20200909","2","6.9","85","","13","1.3",".39","5.1",".12","제주특별자치도 서귀포시 대정읍 보성리 302-2"
"5","5013025029","2020","20200909","2","6.4","99","","24","1.6",".81","6.3",".13","제주특별자치도 서귀포시 대정읍 보성리 304"
"6","5013025029","2020","20200909","3","6.7","134","","19","1.8",".65","6.1",".17","제주특별자치도 서귀포시 대정읍 보성리 297"
"7","5013025029","2020","20200909","3","6.9","292","","30","2.2",".53","8",".24","제주특별자치도 서귀포시 대정읍 보성리 301"
"8","5013025029","2020","20200227","2","5.9","328","","54","1.5","1.22","6.2",".2","제주특별자치도 서귀포시 대정읍 보성리 161-5"
"9","5013025029","2020","20200227","2","6.4","134","","47","1.8","1.18","7.9",".1","제주특별자치도 서귀포시 대정읍 보성리 162"
"10","5013025029","2020","20200227","2","5.5","333","","47","1.3",".99","4.9",".2","제주특별자치도 서귀포시 대정읍 보성리 437"
"11","5013025029","2020","20200227","2","5.5","385","","49","1.5","1.17","5.6",".1","제주특별자치도 서귀포시 대정읍 보성리 437-3"
"12","5013025029","2020","20200504","2","6.4","519","","31","1.3",".69","5.7",".2","제주특별자치도 서귀포시 대정읍 보성리 986-1"
"13","5013025029","2020","20200629","2","5.7","778","","27",".7","1.6","1.4",".5","제주특별자치도 서귀포시 대정읍 보성리 847-1"
"14","5013025029","2020","20200629","2","5.7","778","","27",".7","1.6","1.4",".5","제주특별자치도 서귀포시 대정읍 보성리 847-3"
"15","5013025029","2020","20200630","2","7.1","665","","16","2.2","1.46","4.3",".4","제주특별자치도 서귀포시 대정읍 보성리 625"
"16","5013025029","2020","20200630","2","7.4","699","","15","2.1","1.24","4.9",".3","제주특별자치도 서귀포시 대정읍 보성리 626"
"17","5013025029","2020","20200722","2","6","627","","23","1.3","1.53","1.2",".2","제주특별자치도 서귀포시 대정읍 보성리 986-1"
"18","5013025029","2020","20200908","2","7.9","406","","21","5.7","2.29","9.8",".4","제주특별자치도 서귀포시 대정읍 보성리 972-1"
"19","5013025029","2020","20200908","2","6.3","288","","29","4.3","2.25","6.7",".5","제주특별자치도 서귀포시 대정읍 보성리 1755-1"
"20","5013025029","2020","20200908","2","7.1","262","","24","3.1","2.23","8",".3","제주특별자치도 서귀포시 대정읍 보성리 1786-1"
"21","5013025029","2020","20200908","2","6.6","867","","15","3","2.01","6.6",".4","제주특별자치도 서귀포시 대정읍 보성리 1369"
"22","5013025029","2020","20200929","2","7.4","588","","38","3.2","2.27","27.3",".5","제주특별자치도 서귀포시 대정읍 보성리 885-1"
"23","5013025029","2020","20200929","2","7","562","","49","2.1","1.3","10.4",".4","제주특별자치도 서귀포시 대정읍 보성리 885-4"
