"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013031024","2020","20201231","3","5.1","513","","158",".6",".42","1.6",".2","제주특별자치도 서귀포시 안덕면 상창리 611"
"2","5013031024","2020","20201231","3","6.2","744","","154","2.7","2.62","9","1.1","제주특별자치도 서귀포시 안덕면 상창리 2627-1"
"3","5013031024","2020","20201231","4","5.2","229","","154",".9",".28","2.8",".3","제주특별자치도 서귀포시 안덕면 상창리 1506-1"
"4","5013031024","2020","20201231","4","5","124","","70",".5",".37",".6",".2","제주특별자치도 서귀포시 안덕면 상창리 1512-1"
"5","5013031024","2020","20201231","4","5.7","298","","155","3.4",".87","4.4",".3","제주특별자치도 서귀포시 안덕면 상창리 1446"
"6","5013031024","2020","20201231","4","5.3","387","","141","1.8",".44","3.5",".2","제주특별자치도 서귀포시 안덕면 상창리 1642"
"7","5013031024","2020","20201231","4","5","507","","145",".7",".53","1.6",".2","제주특별자치도 서귀포시 안덕면 상창리 1587"
"8","5013031024","2020","20201231","4","4.9","144","","143",".6",".24",".5",".3","제주특별자치도 서귀포시 안덕면 상창리 1596"
"9","5013031024","2020","20201231","4","5.2","379","","141","1.3",".39","2.9",".2","제주특별자치도 서귀포시 안덕면 상창리 2299"
"10","5013031024","2020","20201231","4","4.8","59","","160",".9",".31","1.1",".4","제주특별자치도 서귀포시 안덕면 상창리 2375"
"11","5013031024","2020","20201231","4","5.2","255","","137","1.5",".34","1.7",".3","제주특별자치도 서귀포시 안덕면 상창리 464"
"12","5013031024","2020","20201231","4","5.6","81","","151",".9",".4","2.8",".2","제주특별자치도 서귀포시 안덕면 상창리 1409"
"13","5013031024","2020","20201231","4","6.9","41","","143","4",".73","6.5",".2","제주특별자치도 서귀포시 안덕면 상창리 2609"
"14","5013031024","2020","20201231","4","5.6","229","","140","1.1",".97","3.5",".2","제주특별자치도 서귀포시 안덕면 상창리 2356"
"15","5013031024","2020","20200814","2","5.7","31","","151",".7",".65","4.1",".29","제주특별자치도 서귀포시 안덕면 상창리 1051"
"16","5013031024","2020","20200327","3","5.2","97","","105","1.7",".57","3.1",".55","제주특별자치도 서귀포시 안덕면 상창리 369-1"
"17","5013031024","2020","20200122","4","5.9","167","","74",".6",".54","3.9",".14","제주특별자치도 서귀포시 안덕면 상창리 381"
"18","5013031024","2020","20200218","4","5.4","19","","114","1.1",".25","2.1","2.92","제주특별자치도 서귀포시 안덕면 상창리 2428-1"
"19","5013031024","2020","20200615","4","4.8","652.3","","105.2",".54",".79","1.53",".6","제주특별자치도 서귀포시 안덕면 상창리 1574"
"20","5013031024","2020","20200615","4","4.7","948.4","","126.1",".62",".35","1.98",".3","제주특별자치도 서귀포시 안덕면 상창리 1576"
"21","5013031024","2020","20200326","2","5.5","11","","110",".5",".8","1.7",".2","제주특별자치도 서귀포시 안덕면 상창리 1"
"22","5013031024","2020","20200717","2","6.1","174","","135","2","1.04","9.6",".3","제주특별자치도 서귀포시 안덕면 상창리 2133-1"
"23","5013031024","2020","20200717","2","5.2","212","","28","1.4","1.19","4.8",".7","제주특별자치도 서귀포시 안덕면 상창리 2134"
"24","5013031024","2020","20200522","3","5.2","190","","149","1.7","2.88","6.3","2.8","제주특별자치도 서귀포시 안덕면 상창리 1307"
"25","5013031024","2020","20200626","3","5.2","203","","129",".7","1.41","1.8",".6","제주특별자치도 서귀포시 안덕면 상창리 2622"
"26","5013031024","2020","20200626","3","5.5","225","","123","1.6",".88","2","1.1","제주특별자치도 서귀포시 안덕면 상창리 2622"
"27","5013031024","2020","20201123","3","6","411","","140","4.5","3.69","10.9","2.99","제주특별자치도 서귀포시 안덕면 상창리 671-1"
"28","5013031024","2020","20201208","3","5.2","462","","123","1.4","1.26","2.3","1","제주특별자치도 서귀포시 안덕면 상창리 2685-1"
"29","5013031024","2020","20201209","3","6.3","301","","146","5.7","4.44","13.3","4.24","제주특별자치도 서귀포시 안덕면 상창리 1670"
"30","5013031024","2020","20201209","3","6.6","400","","167","3.8","3.53","14.7","2.06","제주특별자치도 서귀포시 안덕면 상창리 1670"
"31","5013031024","2020","20201209","3","6.2","427","","153","5.9","5.85","13.4","3.88","제주특별자치도 서귀포시 안덕면 상창리 1646"
"32","5013031024","2020","20200312","4","5.8","217","","122","1.3",".59","5.8",".2","제주특별자치도 서귀포시 안덕면 상창리 396-1"
"33","5013031024","2020","20200701","4","5.4","87","","157.5","2.53","1.41","5.45","1","제주특별자치도 서귀포시 안덕면 상창리 1930"
"34","5013031024","2020","20200701","4","6.8","146.1","","161.2","8.18","1.92","22.5","1.3","제주특별자치도 서귀포시 안덕면 상창리 570"
"35","5013031024","2020","20200828","4","5.7","212","","87",".7","1.05","2.5",".3","제주특별자치도 서귀포시 안덕면 상창리 2132"
"36","5013031024","2020","20200828","4","6.8","326","","97",".9","1.75","6.8",".4","제주특별자치도 서귀포시 안덕면 상창리 2132"
"37","5013031024","2020","20200828","4","5.7","793","","48",".6","1.52","1.9",".2","제주특별자치도 서귀포시 안덕면 상창리 2763"
"38","5013031024","2020","20201102","4","6.4","82","","75",".5",".63","10",".2","제주특별자치도 서귀포시 안덕면 상창리 2312-4"
"39","5013031024","2020","20201102","4","5.7","27","","161","1.3",".64","11",".4","제주특별자치도 서귀포시 안덕면 상창리 2132"
"40","5013031024","2020","20201123","4","6","411","","140","4.5","3.69","10.9","2.99","제주특별자치도 서귀포시 안덕면 상창리 671-3"
