"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013032023","2020","20200207","2","5.5","10","","203",".6",".45",".2",".22","제주특별자치도 서귀포시 표선면 성읍리 1294"
"2","5013032023","2020","20200207","2","5.3","10","","168",".6",".41",".2",".24","제주특별자치도 서귀포시 표선면 성읍리 1288"
"3","5013032023","2020","20200323","2","5.7","10","","226","1.2",".17","2.2",".13","제주특별자치도 서귀포시 표선면 성읍리 2165"
"4","5013032023","2020","20200605","2","5.9","10","","242",".4",".1",".9",".37","제주특별자치도 서귀포시 표선면 성읍리 1189"
"5","5013032023","2020","20200605","2","5.8","10","","171","1.3",".31","2.5",".36","제주특별자치도 서귀포시 표선면 성읍리 1190"
"6","5013032023","2020","20200605","2","5.8","10","","244",".9",".29","1.1",".38","제주특별자치도 서귀포시 표선면 성읍리 1191"
"7","5013032023","2020","20200605","2","5.7","10","","212",".8",".32",".7",".21","제주특별자치도 서귀포시 표선면 성읍리 1193"
"8","5013032023","2020","20200605","2","5.9","10","","194",".3",".13",".2",".17","제주특별자치도 서귀포시 표선면 성읍리 1267"
"9","5013032023","2020","20200605","2","5.9","10","","186",".3",".12",".1",".15","제주특별자치도 서귀포시 표선면 성읍리 1270"
"10","5013032023","2020","20200605","2","5.9","10","","207",".3",".13",".2",".18","제주특별자치도 서귀포시 표선면 성읍리 1272"
"11","5013032023","2020","20200605","2","5.9","10","","218",".5",".16",".1",".21","제주특별자치도 서귀포시 표선면 성읍리 1284"
"12","5013032023","2020","20200605","2","5.8","10","","218",".5",".14",".5",".22","제주특별자치도 서귀포시 표선면 성읍리 1285"
"13","5013032023","2020","20200605","2","5.8","10","","222",".5",".13",".5",".23","제주특별자치도 서귀포시 표선면 성읍리 1286"
"14","5013032023","2020","20200605","2","5.8","10","","184","1.3",".32","2.8",".31","제주특별자치도 서귀포시 표선면 성읍리 1815"
"15","5013032023","2020","20200605","2","5.7","10","","235",".5",".12",".6",".28","제주특별자치도 서귀포시 표선면 성읍리 1839"
"16","5013032023","2020","20200605","2","5.7","10","","210",".4",".13",".3",".21","제주특별자치도 서귀포시 표선면 성읍리 1862"
"17","5013032023","2020","20200605","2","5.9","10","","216",".5",".11",".6",".23","제주특별자치도 서귀포시 표선면 성읍리 1865"
"18","5013032023","2020","20200605","2","5.8","10","","209",".5",".11",".5",".21","제주특별자치도 서귀포시 표선면 성읍리 2034"
"19","5013032023","2020","20200605","2","6.2","10","","146","2.1",".57","5.3",".37","제주특별자치도 서귀포시 표선면 성읍리 2291"
"20","5013032023","2020","20200605","2","6.2","10","","146","2",".53","4.9",".31","제주특별자치도 서귀포시 표선면 성읍리 2301"
"21","5013032023","2020","20200605","2","6.3","10","","142","1.9",".57","5.3",".34","제주특별자치도 서귀포시 표선면 성읍리 2302"
"22","5013032023","2020","20200605","2","6.3","10","","141","2.2",".51","4.9",".37","제주특별자치도 서귀포시 표선면 성읍리 2307"
"23","5013032023","2020","20200605","2","6.1","10","","142","1.8",".47","4.1",".42","제주특별자치도 서귀포시 표선면 성읍리 2309"
"24","5013032023","2020","20200605","2","6.4","10","","141","2",".51","4.8",".35","제주특별자치도 서귀포시 표선면 성읍리 2310"
"25","5013032023","2020","20200605","2","6.1","10","","238",".7",".12",".7",".29","제주특별자치도 서귀포시 표선면 성읍리 2315"
"26","5013032023","2020","20200605","2","5.8","10","","165","1.3",".28","2.5",".3","제주특별자치도 서귀포시 표선면 성읍리 2316"
