"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013032025","2020","20201111","4","5.7","495","","168","",".07","","","제주특별자치도 서귀포시 표선면 세화리 34"
"2","5013032025","2020","20201123","4","6.2","287","","138","",".39","","","제주특별자치도 서귀포시 표선면 세화리 664-4"
"3","5013032025","2020","20201123","4","4.7","344","","238","",".18","","","제주특별자치도 서귀포시 표선면 세화리 1233"
"4","5013032025","2020","20201123","4","6.8","109","","121","",".22","","","제주특별자치도 서귀포시 표선면 세화리 656-2"
"5","5013032025","2020","20201123","4","5.9","215","","154","",".47","","","제주특별자치도 서귀포시 표선면 세화리 1928-1"
"6","5013032025","2020","20201123","4","4.8","200","","126","",".12","","","제주특별자치도 서귀포시 표선면 세화리 2006-3"
"7","5013032025","2020","20201123","4","5.2","127","","140","",".13","","","제주특별자치도 서귀포시 표선면 세화리 1917-1"
"8","5013032025","2020","20201123","4","5.6","144","","139","",".12","","","제주특별자치도 서귀포시 표선면 세화리 1225-1"
"9","5013032025","2020","20201123","4","5.7","89","","180","",".18","","","제주특별자치도 서귀포시 표선면 세화리 1908"
"10","5013032025","2020","20201123","4","5.2","275","","90","",".11","","","제주특별자치도 서귀포시 표선면 세화리 2304"
"11","5013032025","2020","20201124","4","4.8","194","","164","",".09","","","제주특별자치도 서귀포시 표선면 세화리 1905"
"12","5013032025","2020","20201124","4","4.8","54","","152","",".08","","","제주특별자치도 서귀포시 표선면 세화리 1913"
"13","5013032025","2020","20201124","4","5.3","120","","206","",".3","","","제주특별자치도 서귀포시 표선면 세화리 1055-1"
"14","5013032025","2020","20201124","4","5.1","317","","114","",".11","","","제주특별자치도 서귀포시 표선면 세화리 1231"
"15","5013032025","2020","20201124","4","5.6","449","","128","",".77","","","제주특별자치도 서귀포시 표선면 세화리 1050-1"
"16","5013032025","2020","20201124","4","6.1","93","","160","",".52","","","제주특별자치도 서귀포시 표선면 세화리 633-3"
"17","5013032025","2020","20201124","4","5.3","176","","88","",".35","","","제주특별자치도 서귀포시 표선면 세화리 663"
"18","5013032025","2020","20201124","4","7.1","56","","147","",".83","","","제주특별자치도 서귀포시 표선면 세화리 610"
"19","5013032025","2020","20201124","4","6.1","174","","129","",".37","","","제주특별자치도 서귀포시 표선면 세화리 1787"
"20","5013032025","2020","20201124","4","5.3","186","","146","",".25","","","제주특별자치도 서귀포시 표선면 세화리 1833"
"21","5013032025","2020","20201124","4","6.5","10","","130","",".29","","","제주특별자치도 서귀포시 표선면 세화리 1886"
"22","5013032025","2020","20201124","4","6.4","178","","155","",".69","","","제주특별자치도 서귀포시 표선면 세화리 1902-2"
"23","5013032025","2020","20201124","4","4.3","173","","151","",".42","","","제주특별자치도 서귀포시 표선면 세화리 2393-11"
"24","5013032025","2020","20201124","4","6.5","1207","","129","","1.08","","","제주특별자치도 서귀포시 표선면 세화리 2405-5"
"25","5013032025","2020","20201124","4","4.7","811","","133","",".27","","","제주특별자치도 서귀포시 표선면 세화리 1616-2"
"26","5013032025","2020","20201124","4","5.5","77","","191","",".28","","","제주특별자치도 서귀포시 표선면 세화리 603"
"27","5013032025","2020","20201124","4","4.6","991","","224","",".26","","","제주특별자치도 서귀포시 표선면 세화리 1987-1"
"28","5013032025","2020","20201124","4","6","78","","166","",".61","","","제주특별자치도 서귀포시 표선면 세화리 1824-1"
"29","5013032025","2020","20200130","2","6.2","10","","88","2.3","1.24","3.7",".19","제주특별자치도 서귀포시 표선면 세화리 773-4"
"30","5013032025","2020","20200605","2","6.2","10","","149","1.9",".01","3.9",".41","제주특별자치도 서귀포시 표선면 세화리 1330"
"31","5013032025","2020","20200605","2","6.2","10","","147","1.6",".01","4.2",".41","제주특별자치도 서귀포시 표선면 세화리 1331-1"
"32","5013032025","2020","20200605","2","6.2","10","","192",".1",".01",".4",".13","제주특별자치도 서귀포시 표선면 세화리 380"
"33","5013032025","2020","20200605","2","6.2","10","","148","1.8",".01","3.6",".42","제주특별자치도 서귀포시 표선면 세화리 4-1"
"34","5013032025","2020","20200605","2","6.3","10","","146","1.6",".01","4.1",".37","제주특별자치도 서귀포시 표선면 세화리 75"
"35","5013032025","2020","20200605","2","6.5","10","","146","1.7",".01","3.5",".42","제주특별자치도 서귀포시 표선면 세화리 773"
"36","5013032025","2020","20200605","2","6.3","10","","144","1.9",".01","3.7",".41","제주특별자치도 서귀포시 표선면 세화리 773-13"
"37","5013032025","2020","20200605","2","6.3","10","","146","1.9",".01","3.7",".43","제주특별자치도 서귀포시 표선면 세화리 773-2"
"38","5013032025","2020","20200605","2","6.3","10","","147","1.8",".01","4.1",".43","제주특별자치도 서귀포시 표선면 세화리 773-6"
"39","5013032025","2020","20200605","2","6.3","10","","143","1.8",".01","3.7",".42","제주특별자치도 서귀포시 표선면 세화리 773-9"
"40","5013032025","2020","20200605","2","6.3","10","","151","1.3",".01","3.7",".42","제주특별자치도 서귀포시 표선면 세화리 780"
"41","5013032025","2020","20200605","2","6.3","10","","148","2",".01","4",".44","제주특별자치도 서귀포시 표선면 세화리 780-4"
"42","5013032025","2020","20200605","2","6.3","10","","147","1.4",".01","5.4",".47","제주특별자치도 서귀포시 표선면 세화리 780-5"
"43","5013032025","2020","20200622","2","6.1","117","","155","1.7","2.96","6.8",".58","제주특별자치도 서귀포시 표선면 세화리 1803-1"
"44","5013032025","2020","20200925","2","5.6","62","","157","1",".75","2.6",".37","제주특별자치도 서귀포시 표선면 세화리 1647-1"
"45","5013032025","2020","20200624","3","5.2","192","","161",".5","1.3","2.7",".2","제주특별자치도 서귀포시 표선면 세화리 1017-1"
"46","5013032025","2020","20200120","4","5.5","90","","101",".2",".62","1.6",".14","제주특별자치도 서귀포시 표선면 세화리 2376"
"47","5013032025","2020","20200120","4","5","126","","70",".2",".38","1",".31","제주특별자치도 서귀포시 표선면 세화리 1774"
"48","5013032025","2020","20200120","4","5.3","85","","110",".7",".51","2",".29","제주특별자치도 서귀포시 표선면 세화리 2377"
"49","5013032025","2020","20200624","4","6.3","56","","131","4.1","3.84","13.3","1.85","제주특별자치도 서귀포시 표선면 세화리 1055-1"
"50","5013032025","2020","20200807","4","6.4","421","","151","5.9",".68","12.2",".38","제주특별자치도 서귀포시 표선면 세화리 325-4"
"51","5013032025","2020","20200511","2","4.7","97","","164",".1","1.05","3.9",".31","제주특별자치도 서귀포시 표선면 세화리 489-1"
"52","5013032025","2020","20200416","3","5.5","321","","119","2.6",".64","7.7",".31","제주특별자치도 서귀포시 표선면 세화리 991-1"
"53","5013032025","2020","20200416","3","4.8","46","","147","2","1.04","4.3",".99","제주특별자치도 서귀포시 표선면 세화리 992-1"
"54","5013032025","2020","20200416","3","6","266","","180","7",".01","23.8","1.68","제주특별자치도 서귀포시 표선면 세화리 1329"
"55","5013032025","2020","20200901","3","5.9","183","","163","2.2","2.32","7.1","1.45","제주특별자치도 서귀포시 표선면 세화리 1329"
"56","5013032025","2020","20201007","3","5.2","699","","168","3.4",".98","10.8","1.02","제주특별자치도 서귀포시 표선면 세화리 2319"
"57","5013032025","2020","20201007","3","5.1","825","","237","3.7","2.47","12.9","3.99","제주특별자치도 서귀포시 표선면 세화리 1868"
"58","5013032025","2020","20201007","3","4.7","402","","206","2.6","2.04","7.3","4.58","제주특별자치도 서귀포시 표선면 세화리 1869"
"59","5013032025","2020","20201007","3","5.2","465","","207","1.8","1.68","6.5",".33","제주특별자치도 서귀포시 표선면 세화리 1715"
"60","5013032025","2020","20201007","3","4.7","161","","204","1.1","1.52","3.4",".94","제주특별자치도 서귀포시 표선면 세화리 2319"
"61","5013032025","2020","20201007","3","5.1","419","","183","1.4",".69","5.1",".25","제주특별자치도 서귀포시 표선면 세화리 1719"
"62","5013032025","2020","20201007","3","5.3","482","","247","1.9",".78","11.2","1.9","제주특별자치도 서귀포시 표선면 세화리 1870"
"63","5013032025","2020","20201007","3","5.5","506","","213","2.6","1.3","14.1",".69","제주특별자치도 서귀포시 표선면 세화리 1868"
"64","5013032025","2020","20201007","3","5.1","13","","171","2.9","1.13","5.1","2.16","제주특별자치도 서귀포시 표선면 세화리 2315"
"65","5013032025","2020","20201007","3","4.3","395","","184","1.5","1.44","4.6","3.09","제주특별자치도 서귀포시 표선면 세화리 1870"
"66","5013032025","2020","20201007","3","5.3","17","","182","1.8",".57","4.5",".62","제주특별자치도 서귀포시 표선면 세화리 1868"
"67","5013032025","2020","20201007","3","4.9","319","","207","1.4",".48","3.9",".48","제주특별자치도 서귀포시 표선면 세화리 2316"
"68","5013032025","2020","20200218","4","5.7","285","","186","4.3",".58","8.2",".35","제주특별자치도 서귀포시 표선면 세화리 1257-1"
"69","5013032025","2020","20200218","4","5.7","615","","158","3.7",".55","7.1",".26","제주특별자치도 서귀포시 표선면 세화리 1260-1"
"70","5013032025","2020","20200218","4","5.5","652","","161","4.2",".49","8.7",".3","제주특별자치도 서귀포시 표선면 세화리 1260-1"
"71","5013032025","2020","20200218","4","5.5","526","","168","3.6",".75","7.6",".33","제주특별자치도 서귀포시 표선면 세화리 1260-1"
"72","5013032025","2020","20200410","4","6.2","49","","114","2.4",".68","4.2",".14","제주특별자치도 서귀포시 표선면 세화리 1542-5"
"73","5013032025","2020","20200410","4","5.4","88","","250","2.5",".28","2.7",".23","제주특별자치도 서귀포시 표선면 세화리 1364-1"
"74","5013032025","2020","20200410","4","6.4","10","","86","2",".69","4.7",".13","제주특별자치도 서귀포시 표선면 세화리 1768-8"
"75","5013032025","2020","20200410","4","6.5","10","","91","2",".77","4.2",".12","제주특별자치도 서귀포시 표선면 세화리 1765"
"76","5013032025","2020","20200410","4","6.5","10","","91","2.5",".92","4.9",".16","제주특별자치도 서귀포시 표선면 세화리 1764-1"
"77","5013032025","2020","20200416","4","5.4","130","","179","2.2",".32","4",".17","제주특별자치도 서귀포시 표선면 세화리 991-3"
"78","5013032025","2020","20200416","4","5.8","97","","142","2.7",".66","4.7",".19","제주특별자치도 서귀포시 표선면 세화리 982"
"79","5013032025","2020","20200416","4","6.1","94","","180","3.9","1.08","9.2",".3","제주특별자치도 서귀포시 표선면 세화리 2083-3"
"80","5013032025","2020","20200423","4","6.1","203","","235","4.2","1.1","13.6",".4","제주특별자치도 서귀포시 표선면 세화리 502"
"81","5013032025","2020","20200818","4","6","10","","152","1.7","1.06","3.2",".22","제주특별자치도 서귀포시 표선면 세화리 2025"
"82","5013032025","2020","20201007","4","5.4","131","","197","1.1",".3","3.2",".19","제주특별자치도 서귀포시 표선면 세화리 2375"
"83","5013032025","2020","20200625","2","6.6","66","","152","1.8","1.88","11.6",".48","제주특별자치도 서귀포시 표선면 세화리 661"
"84","5013032025","2020","20201029","2","5.7","153","","179","1.4","1.02","6.6","1.1","제주특별자치도 서귀포시 표선면 세화리 1614-2"
"85","5013032025","2020","20200129","3","6","102","","48","4","1.82","7.3",".59","제주특별자치도 서귀포시 표선면 세화리 253-1"
"86","5013032025","2020","20200129","3","5.3","337","","71","2.4","1.11","5.2",".47","제주특별자치도 서귀포시 표선면 세화리 1436-1"
"87","5013032025","2020","20200131","3","4.3","581","","85","3","2.7","6","4.03","제주특별자치도 서귀포시 표선면 세화리 1430"
"88","5013032025","2020","20200330","3","5.3","170","","142","2.8",".79","5.5",".14","제주특별자치도 서귀포시 표선면 세화리 2156"
"89","5013032025","2020","20200416","3","5.8","79","","187","3.2",".98","7.2",".43","제주특별자치도 서귀포시 표선면 세화리 1189"
"90","5013032025","2020","20200417","3","5.2","309","","214","3.4",".68","5.4",".28","제주특별자치도 서귀포시 표선면 세화리 1191"
"91","5013032025","2020","20200417","3","5","125","","202","2.8",".32",".1",".31","제주특별자치도 서귀포시 표선면 세화리 1192"
"92","5013032025","2020","20200519","3","5.4","1592","","140","3.9","2.78","5.1",".35","제주특별자치도 서귀포시 표선면 세화리 1437-1"
"93","5013032025","2020","20200528","3","4.9","274","","172","2.8",".48","3.4",".86","제주특별자치도 서귀포시 표선면 세화리 395"
"94","5013032025","2020","20200710","3","4.8","402","","93","1.7","2.11","3.9","3.39","제주특별자치도 서귀포시 표선면 세화리 1430"
"95","5013032025","2020","20201126","3","7.1","251","","164","4.8","1.09","17.2",".34","제주특별자치도 서귀포시 표선면 세화리 926"
"96","5013032025","2020","20201126","3","6.6","50","","135","2","1.07","4.7",".34","제주특별자치도 서귀포시 표선면 세화리 926"
"97","5013032025","2020","20201126","3","6.3","11","","137","1.7",".67","3.6",".29","제주특별자치도 서귀포시 표선면 세화리 926"
"98","5013032025","2020","20200215","4","4.2","724","","110","2.57","2.52","6.2","4.95","제주특별자치도 서귀포시 표선면 세화리 1430"
"99","5013032025","2020","20200227","4","4.7","423","","166","1.7","1.21","9.2",".3","제주특별자치도 서귀포시 표선면 세화리 34"
"100","5013032025","2020","20200518","4","5.3","224","","125","1.1","1.11","6.7","1.53","제주특별자치도 서귀포시 표선면 세화리 1584-4"
"101","5013032025","2021","20210408","4","","","","","","","","","제주특별자치도 서귀포시 표선면 세화리 2389"
