"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025329","2020","20201014","2","5.8","96","","136","",".78","","","제주특별자치도 서귀포시 남원읍 신례리 1430-1"
"2","5013025329","2020","20200928","3","5.1","772","","121","","1.57","","","제주특별자치도 서귀포시 남원읍 신례리 1223"
"3","5013025329","2020","20200928","3","6.8","234","","157","","1.32","","","제주특별자치도 서귀포시 남원읍 신례리 1334-4"
"4","5013025329","2020","20200928","3","4.8","366","","141","",".76","","","제주특별자치도 서귀포시 남원읍 신례리 1422"
"5","5013025329","2020","20200928","3","5.9","90","","119","",".77","","","제주특별자치도 서귀포시 남원읍 신례리 267"
"6","5013025329","2020","20200928","3","4","755","","183","","4.09","","","제주특별자치도 서귀포시 남원읍 신례리 372-1"
"7","5013025329","2020","20200928","3","4.5","820","","212","","3.05","","","제주특별자치도 서귀포시 남원읍 신례리 421-1"
"8","5013025329","2020","20200928","3","5.9","975","","119","","3.07","","","제주특별자치도 서귀포시 남원읍 신례리 527-2"
"9","5013025329","2020","20200928","3","5.5","1071","","203","","2.28","","","제주특별자치도 서귀포시 남원읍 신례리 709-4"
"10","5013025329","2020","20200929","3","5.7","765","","173","","7.13","","","제주특별자치도 서귀포시 남원읍 신례리 877"
"11","5013025329","2020","20200928","4","5.2","230","","145","",".52","","","제주특별자치도 서귀포시 남원읍 신례리 1144-1"
"12","5013025329","2020","20200928","4","5.1","297","","116","",".17","","","제주특별자치도 서귀포시 남원읍 신례리 1384-1"
"13","5013025329","2020","20200928","4","5.2","225","","177","",".17","","","제주특별자치도 서귀포시 남원읍 신례리 2021"
"14","5013025329","2020","20200928","4","4.5","529","","145","",".19","","","제주특별자치도 서귀포시 남원읍 신례리 999-1"
"15","5013025329","2020","20200928","4","4.4","588","","132","",".46","","","제주특별자치도 서귀포시 남원읍 신례리 598-1"
"16","5013025329","2020","20200928","4","5.9","442","","150","","1.25","","","제주특별자치도 서귀포시 남원읍 신례리 749-2"
"17","5013025329","2020","20200701","2","6.1","10","","109",".3",".08",".1",".12","제주특별자치도 서귀포시 남원읍 신례리 1903"
"18","5013025329","2020","20200701","2","5.8","10","","114",".3",".09",".1",".12","제주특별자치도 서귀포시 남원읍 신례리 1906"
"19","5013025329","2020","20200701","2","6","10","","112",".3",".06",".1",".12","제주특별자치도 서귀포시 남원읍 신례리 1908"
