"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025032","2020","20200811","2","6.1","414","","18","3.3","1.31","10.9",".8","제주특별자치도 서귀포시 대정읍 영락리 1998"
"2","5013025032","2020","20200811","2","6.1","414","","18","3.3","1.31","10.9",".8","제주특별자치도 서귀포시 대정읍 영락리 1998"
"3","5013025032","2020","20200204","2","7.1","336","","25",".5","1.33","7.8",".6","제주특별자치도 서귀포시 대정읍 영락리 207"
"4","5013025032","2020","20200423","2","7.6","497","","25","3.1","2.01","9.9",".7","제주특별자치도 서귀포시 대정읍 영락리 1572-1"
"5","5013025032","2020","20200629","2","6.9","743","","19","2.3","1.35","3.8",".3","제주특별자치도 서귀포시 대정읍 영락리 59-1"
"6","5013025032","2020","20200629","2","6.9","738","","20","2","1.3","3.3",".2","제주특별자치도 서귀포시 대정읍 영락리 132"
"7","5013025032","2020","20200629","2","6.2","724","","20","1.6","1.3","2.4",".4","제주특별자치도 서귀포시 대정읍 영락리 133"
"8","5013025032","2020","20200629","2","7.2","526","","17","1.8","1.76","4.1",".2","제주특별자치도 서귀포시 대정읍 영락리 391"
"9","5013025032","2020","20200629","2","6.9","414","","19","2.1","1.37","3.6",".3","제주특별자치도 서귀포시 대정읍 영락리 918"
"10","5013025032","2020","20200629","2","6.5","558","","17","1.5","1.74","2.9",".4","제주특별자치도 서귀포시 대정읍 영락리 951-3"
"11","5013025032","2020","20200629","2","7.2","788","","19","2.3","1.81","4.7",".3","제주특별자치도 서귀포시 대정읍 영락리 1073-2"
"12","5013025032","2020","20200629","2","6.9","650","","19","1.8","1.7","3.7",".2","제주특별자치도 서귀포시 대정읍 영락리 1209-1"
"13","5013025032","2020","20200629","2","6.7","478","","18","2.1","1.27","3.9",".3","제주특별자치도 서귀포시 대정읍 영락리 1257-2"
"14","5013025032","2020","20200629","2","7.9","653","","32","1.5","1.2","5.5",".4","제주특별자치도 서귀포시 대정읍 영락리 652"
"15","5013025032","2020","20200708","2","8.1","714","","21","2.1","1.04","5.6",".3","제주특별자치도 서귀포시 대정읍 영락리 145-2"
"16","5013025032","2020","20200708","2","7.9","455","","15","1.4","1.12","5",".3","제주특별자치도 서귀포시 대정읍 영락리 1190"
"17","5013025032","2020","20200827","2","6.7","334","","17","1","1.39","4.4",".2","제주특별자치도 서귀포시 대정읍 영락리 2035"
"18","5013025032","2020","20200908","2","6.4","839","","18","1.4","2.01","4.2",".4","제주특별자치도 서귀포시 대정읍 영락리 345"
"19","5013025032","2020","20200908","2","6.5","521","","18","2.6","1.44","4.6",".3","제주특별자치도 서귀포시 대정읍 영락리 1117"
"20","5013025032","2020","20200908","2","7.7","551","","16","3.9","1.81","8.9",".4","제주특별자치도 서귀포시 대정읍 영락리 30"
"21","5013025032","2020","20200916","2","7.7","320","","23","2.8","1.64","6.1",".3","제주특별자치도 서귀포시 대정읍 영락리 1788"
"22","5013025032","2020","20200916","2","6.8","755","","5","1.7","1.19","5.1",".3","제주특별자치도 서귀포시 대정읍 영락리 74-1"
"23","5013025032","2020","20200916","2","6.8","805","","36","3.6","2","5.4",".3","제주특별자치도 서귀포시 대정읍 영락리 449"
"24","5013025032","2020","20200916","2","6.1","678","","38","3","1.71","4.6",".3","제주특별자치도 서귀포시 대정읍 영락리 435"
"25","5013025032","2020","20200929","2","6.1","535","","18","1.3","1.19","4.8",".3","제주특별자치도 서귀포시 대정읍 영락리 316"
