"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025327","2020","20201007","3","4.4","618","","167","","2.95","","","제주특별자치도 서귀포시 남원읍 위미리 1078"
"2","5013025327","2020","20201007","3","6.3","454","","133","",".77","","","제주특별자치도 서귀포시 남원읍 위미리 1129-3"
"3","5013025327","2020","20201007","3","6.4","455","","158","","1.14","","","제주특별자치도 서귀포시 남원읍 위미리 1284-1"
"4","5013025327","2020","20201007","3","7.1","388","","115","","2.9","","","제주특별자치도 서귀포시 남원읍 위미리 1556"
"5","5013025327","2020","20201007","3","4.2","860","","216","","2.8","","","제주특별자치도 서귀포시 남원읍 위미리 269-1"
"6","5013025327","2020","20201007","3","5.2","329","","168","","2.51","","","제주특별자치도 서귀포시 남원읍 위미리 3918-1"
"7","5013025327","2020","20201007","3","4.8","810","","152","","2.44","","","제주특별자치도 서귀포시 남원읍 위미리 3966-2"
"8","5013025327","2020","20201007","3","4.9","576","","179","",".01","","","제주특별자치도 서귀포시 남원읍 위미리 4339-1"
"9","5013025327","2020","20201007","3","4.8","158","","145","",".87","","","제주특별자치도 서귀포시 남원읍 위미리 521"
"10","5013025327","2020","20201007","3","4.3","812","","172","","2.11","","","제주특별자치도 서귀포시 남원읍 위미리 555-4"
"11","5013025327","2020","20201007","3","4.8","275","","192","","1.72","","","제주특별자치도 서귀포시 남원읍 위미리 604-2"
"12","5013025327","2020","20201007","3","6","1499","","187","","4.65","","","제주특별자치도 서귀포시 남원읍 위미리 730-1"
"13","5013025327","2020","20201007","3","4","1229","","170","","1.15","","","제주특별자치도 서귀포시 남원읍 위미리 793"
"14","5013025327","2020","20201007","3","4.6","338","","199","","1.7","","","제주특별자치도 서귀포시 남원읍 위미리 882"
"15","5013025327","2020","20201007","3","4.5","601","","174","","1.07","","","제주특별자치도 서귀포시 남원읍 위미리 938-1"
"16","5013025327","2020","20201007","3","5.5","446","","125","",".55","","","제주특별자치도 서귀포시 남원읍 위미리 950-3"
"17","5013025327","2020","20201007","3","5.8","756","","143","","1.25","","","제주특별자치도 서귀포시 남원읍 위미리 991"
"18","5013025327","2020","20201014","3","5.3","137","","149","","2.71","","","제주특별자치도 서귀포시 남원읍 위미리 879-3"
"19","5013025327","2020","20201007","4","5.4","610","","108","",".51","","","제주특별자치도 서귀포시 남원읍 위미리 1711-1"
"20","5013025327","2020","20201007","4","4.6","309","","128","",".56","","","제주특별자치도 서귀포시 남원읍 위미리 2548-1"
"21","5013025327","2020","20201007","4","6.2","174","","144","",".83","","","제주특별자치도 서귀포시 남원읍 위미리 2553"
"22","5013025327","2020","20201007","4","5.2","648","","172","",".34","","","제주특별자치도 서귀포시 남원읍 위미리 2779"
"23","5013025327","2020","20201007","4","5.1","19","","150","",".13","","","제주특별자치도 서귀포시 남원읍 위미리 3300"
"24","5013025327","2020","20201007","4","6.8","368","","156","",".53","","","제주특별자치도 서귀포시 남원읍 위미리 3332"
"25","5013025327","2020","20201007","4","6.4","377","","143","",".86","","","제주특별자치도 서귀포시 남원읍 위미리 3458"
"26","5013025327","2020","20201007","4","6.1","44","","129","",".17","","","제주특별자치도 서귀포시 남원읍 위미리 4304"
"27","5013025327","2020","20201007","4","5.4","84","","137","",".15","","","제주특별자치도 서귀포시 남원읍 위미리 4404-7"
"28","5013025327","2020","20201007","4","5.6","229","","190","",".39","","","제주특별자치도 서귀포시 남원읍 위미리 461"
"29","5013025327","2020","20201007","4","5.4","335","","189","",".5","","","제주특별자치도 서귀포시 남원읍 위미리 587"
"30","5013025327","2020","20201007","4","5.5","672","","152","",".9","","","제주특별자치도 서귀포시 남원읍 위미리 655-3"
"31","5013025327","2020","20201007","4","4.9","467","","207","",".16","","","제주특별자치도 서귀포시 남원읍 위미리 671"
"32","5013025327","2020","20201007","4","5.3","386","","221","",".35","","","제주특별자치도 서귀포시 남원읍 위미리 714-2"
"33","5013025327","2020","20200911","2","6.3","22","","190",".6",".28","8.6",".19","제주특별자치도 서귀포시 남원읍 위미리 53"
"34","5013025327","2020","20200227","3","5.9","268","","147","2.2",".16","11.4",".27","제주특별자치도 서귀포시 남원읍 위미리 4415"
"35","5013025327","2020","20200227","4","6","244","","139","2",".44","11",".2","제주특별자치도 서귀포시 남원읍 위미리 4414"
"36","5013025327","2020","20200310","4","6.3","195","","197","3.3","1.11","15.5",".18","제주특별자치도 서귀포시 남원읍 위미리 874"
"37","5013025327","2020","20200317","4","5","790","","133",".4",".51","1.7",".12","제주특별자치도 서귀포시 남원읍 위미리 245-1"
"38","5013025327","2020","20200423","4","5.3","240","","191","1.5",".25","4.6",".21","제주특별자치도 서귀포시 남원읍 위미리 797"
"39","5013025327","2020","20200113","3","6.3","441","","130","11.4","2.02","30",".6","제주특별자치도 서귀포시 남원읍 위미리 276"
"40","5013025327","2020","20200727","3","6.8","208","","124","3.8","1","30","2.16","제주특별자치도 서귀포시 남원읍 위미리 4061"
"41","5013025327","2020","20200727","3","4.9","452","","106","1.4",".42","5","1.16","제주특별자치도 서귀포시 남원읍 위미리 4061"
"42","5013025327","2020","20200727","3","5.6","116","","113","3","2.07","12.5","1.09","제주특별자치도 서귀포시 남원읍 위미리 4061"
"43","5013025327","2020","20200219","4","5.9","521","","119","2.8",".94","8.7",".15","제주특별자치도 서귀포시 남원읍 위미리 2097"
"44","5013025327","2020","20200219","4","5.7","553","","173","2.1",".44","6.2",".19","제주특별자치도 서귀포시 남원읍 위미리 2112-1"
"45","5013025327","2020","20200219","4","5.2","287","","138","1",".4","2.6",".25","제주특별자치도 서귀포시 남원읍 위미리 2660"
"46","5013025327","2020","20200219","4","5.6","447","","5","2",".52","5.3",".18","제주특별자치도 서귀포시 남원읍 위미리 1901-1"
"47","5013025327","2020","20200309","4","4.9","198","","115","1.3",".3","2.5",".25","제주특별자치도 서귀포시 남원읍 위미리 1471"
"48","5013025327","2020","20200311","4","6.1","375","","201","8.7",".37","10.2",".38","제주특별자치도 서귀포시 남원읍 위미리 2540"
"49","5013025327","2020","20200311","4","6.1","702","","199","7.6",".72","8.9",".38","제주특별자치도 서귀포시 남원읍 위미리 2513-3"
"50","5013025327","2020","20200318","4","5.5","156","","188","1.3",".27","3.8",".24","제주특별자치도 서귀포시 남원읍 위미리 17-1"
"51","5013025327","2020","20200318","4","5.1","155","","195","1.3",".29","3.5",".24","제주특별자치도 서귀포시 남원읍 위미리 319"
"52","5013025327","2020","20200318","4","5.1","239","","176","1.4",".52","3.9",".41","제주특별자치도 서귀포시 남원읍 위미리 16"
"53","5013025327","2020","20200319","4","5.3","214","","182","1.7",".57","4.6",".43","제주특별자치도 서귀포시 남원읍 위미리 315-1"
"54","5013025327","2020","20200401","4","6","10","","172","1.1",".22","2.6",".14","제주특별자치도 서귀포시 남원읍 위미리 704"
"55","5013025327","2020","20200416","4","5.5","17","","236","1.3",".15","3.6",".12","제주특별자치도 서귀포시 남원읍 위미리 2275"
"56","5013025327","2020","20200416","4","5.4","17","","248","1.3",".18","3",".14","제주특별자치도 서귀포시 남원읍 위미리 2275"
"57","5013025327","2020","20200727","4","5.4","139","","186",".3",".13","2.3",".15","제주특별자치도 서귀포시 남원읍 위미리 2940-1"
"58","5013025327","2020","20200731","4","5.5","126","","124",".7",".19","4.5",".29","제주특별자치도 서귀포시 남원읍 위미리 2141-4"
"59","5013025327","2020","20200901","4","5.9","112","","164","2.1","1.21","6.9",".45","제주특별자치도 서귀포시 남원읍 위미리 3933"
"60","5013025327","2020","20200901","4","5.8","146","","168","2.1","1.17","7.4",".44","제주특별자치도 서귀포시 남원읍 위미리 3932-1"
"61","5013025327","2020","20200901","4","6.1","303","","161","2.7","3.35","9.6","1.67","제주특별자치도 서귀포시 남원읍 위미리 3932-1"
"62","5013025327","2020","20200210","3","5.1","667","","114","1.4",".48","4.9","2.44","제주특별자치도 서귀포시 남원읍 위미리 2133"
"63","5013025327","2020","20200210","3","5.4","1308","","97","3.3",".38","6.9","2.44","제주특별자치도 서귀포시 남원읍 위미리 2132-1"
"64","5013025327","2020","20200210","3","5.7","1086","","155","2.9",".63","8.2",".8","제주특별자치도 서귀포시 남원읍 위미리 2152-2"
"65","5013025327","2020","20200210","3","5.4","266","","126","4.4",".4","11.3","2.36","제주특별자치도 서귀포시 남원읍 위미리 2180-2"
"66","5013025327","2020","20200522","3","4","636","","177",".1","2.53","3.3","3.98","제주특별자치도 서귀포시 남원읍 위미리 2623"
"67","5013025327","2020","20201020","3","5.4","1664","","228","3.8","9","9.6","5.81","제주특별자치도 서귀포시 남원읍 위미리 1399-7"
"68","5013025327","2020","20201020","3","4.4","2051","","240","3.1","5.3","8.1","4.38","제주특별자치도 서귀포시 남원읍 위미리 1394-1"
"69","5013025327","2020","20201111","3","4.6","832","","300","3.8","7.54","7.1","6.01","제주특별자치도 서귀포시 남원읍 위미리 1399-7"
"70","5013025327","2020","20201111","3","4.5","110","","300","2.4","3.97","7.7","4.16","제주특별자치도 서귀포시 남원읍 위미리 1394-1"
"71","5013025327","2020","20200701","4","5.3","244","","126",".4",".25","1.8","1.75","제주특별자치도 서귀포시 남원읍 위미리 1365-1"
"72","5013025327","2020","20201021","4","4.4","672","","267",".5",".41","2.7",".38","제주특별자치도 서귀포시 남원읍 위미리 252"
"73","5013025327","2020","20200609","2","5.5","218","","98","2.7","1.03","5",".7","제주특별자치도 서귀포시 남원읍 위미리 82"
"74","5013025327","2020","20200609","2","5.8","181","","103","2.6","1.01","4.9",".4","제주특별자치도 서귀포시 남원읍 위미리 83"
"75","5013025327","2020","20200109","3","5.2","1454","","251","10.7","3.7","24.9","2.9","제주특별자치도 서귀포시 남원읍 위미리 966-1"
"76","5013025327","2020","20200109","3","4.3","562","","179","4.8","1.58","11.1","4.24","제주특별자치도 서귀포시 남원읍 위미리 1419"
"77","5013025327","2020","20200123","3","4.8","122","","104","2.5","2.37","4.5","2.44","제주특별자치도 서귀포시 남원읍 위미리 1078"
"78","5013025327","2020","20200214","3","5.8","649","","174","7.7",".03","16.8","2.09","제주특별자치도 서귀포시 남원읍 위미리 805-1"
"79","5013025327","2020","20200220","3","4.7","870","","181","3.1","1.46","5.5","1.98","제주특별자치도 서귀포시 남원읍 위미리 469"
"80","5013025327","2020","20200220","3","4.3","921","","210","3","1.74","4.3","2.12","제주특별자치도 서귀포시 남원읍 위미리 462"
"81","5013025327","2020","20200302","3","4.8","420","","178","1.9","1.01","6.1","1.12","제주특별자치도 서귀포시 남원읍 위미리 1350"
"82","5013025327","2020","20200304","3","4.3","1798","","170","5.7","2.32","7.9","4.53","제주특별자치도 서귀포시 남원읍 위미리 55"
"83","5013025327","2020","20200525","3","4.6","423","","183",".4","3.33","6.5","6.57","제주특별자치도 서귀포시 남원읍 위미리 3581"
"84","5013025327","2020","20200525","3","4.4","90","","169",".1",".63","1.8","1.31","제주특별자치도 서귀포시 남원읍 위미리 3581-19"
"85","5013025327","2020","20200907","3","4","768","","178","1.4","1.68","4.1","3.17","제주특별자치도 서귀포시 남원읍 위미리 301-1"
"86","5013025327","2020","20200907","3","4.6","353","","160","3","1.48","8.3","5.04","제주특별자치도 서귀포시 남원읍 위미리 301-1"
"87","5013025327","2020","20200907","3","4.3","86","","151",".5","1.37","1.8","1.25","제주특별자치도 서귀포시 남원읍 위미리 301-1"
"88","5013025327","2020","20200907","3","4","356","","164","1","1.03","3.7","3.93","제주특별자치도 서귀포시 남원읍 위미리 301-2"
"89","5013025327","2020","20200914","3","4","112","","169",".8",".7","1.3","1.54","제주특별자치도 서귀포시 남원읍 위미리 2067-1"
"90","5013025327","2020","20200928","3","4.8","1429","","278","10.2","8.84","12.2","7","제주특별자치도 서귀포시 남원읍 위미리 4339-1"
"91","5013025327","2020","20201015","3","4.6","293","","141",".8",".33","1.5",".67","제주특별자치도 서귀포시 남원읍 위미리 3344-1"
