"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025030","2020","20200227","2","6.2","127","","54","2","1.14","8.2",".1","제주특별자치도 서귀포시 대정읍 구억리 568"
"2","5013025030","2020","20200227","2","6.6","454","","55","4.3","1.21","8.8",".1","제주특별자치도 서귀포시 대정읍 구억리 891"
"3","5013025030","2020","20200227","2","6.9","1500","","111","7","1.98","13.8",".3","제주특별자치도 서귀포시 대정읍 구억리 893-1"
"4","5013025030","2020","20200428","2","5.9","332","","67","2",".48","6.4",".3","제주특별자치도 서귀포시 대정읍 구억리 182-1"
"5","5013025030","2020","20200428","2","5.1","228","","19","1.3",".5","2.4",".1","제주특별자치도 서귀포시 대정읍 구억리 182-1"
"6","5013025030","2020","20200428","2","5.4","488","","69","1.5",".66","4",".5","제주특별자치도 서귀포시 대정읍 구억리 182-1"
"7","5013025030","2020","20200428","2","6.2","1341","","54","3.7","1.11","9",".3","제주특별자치도 서귀포시 대정읍 구억리 308"
"8","5013025030","2020","20200605","2","7.7","781","","61","4.1","1.06","17.3",".4","제주특별자치도 서귀포시 대정읍 구억리 196"
"9","5013025030","2020","20200908","2","7.7","854","","16",".1","1.57","7.3",".5","제주특별자치도 서귀포시 대정읍 구억리 923"
"10","5013025030","2020","20200923","3","7","381","","83","3.3","1.41","8.6",".4","제주특별자치도 서귀포시 대정읍 구억리 395-3"
"11","5013025030","2020","20200302","4","5.8","550","","57","1.02",".45","7.3",".18","제주특별자치도 서귀포시 대정읍 구억리 252"
"12","5013025030","2020","20200302","4","6.1","644","","58","1.28","1.74","7.1",".33","제주특별자치도 서귀포시 대정읍 구억리 440"
"13","5013025030","2020","20200302","4","6.7","615","","180","1.96",".69","30","1.7","제주특별자치도 서귀포시 대정읍 구억리 435-1"
"14","5013025030","2020","20200407","4","6.1","359","","103","2.9","2.66","12.2","2.9","제주특별자치도 서귀포시 대정읍 구억리 914"
"15","5013025030","2020","20200428","4","5.2","691","","120","1.6",".47","3.1",".3","제주특별자치도 서귀포시 대정읍 구억리 177"
"16","5013025030","2020","20200630","4","7.7","332","","79","4.8","1.96","8.7",".8","제주특별자치도 서귀포시 대정읍 구억리 108"
"17","5013025030","2020","20201030","4","7.3","120.8","","87.1","3.87","1.5","18.96",".5","제주특별자치도 서귀포시 대정읍 구억리 395-3"
"18","5013025030","2020","20201126","4","7.1","352","","44","3.8","1.98","7.7",".3","제주특별자치도 서귀포시 대정읍 구억리 199"
"19","5013025030","2020","20200916","2","4.8","30","","50.1",".86",".84","2.14",".44","제주특별자치도 서귀포시 대정읍 구억리 29-1"
"20","5013025030","2020","20200917","2","5.3","370.2","","30.7","1.31","1.042","3.43",".37","제주특별자치도 서귀포시 대정읍 구억리 866-1"
"21","5013025030","2020","20200917","2","6.6","124.1","","36.7","2.67",".367","7.06",".31","제주특별자치도 서귀포시 대정읍 구억리 216-1"
"22","5013025030","2020","20200917","2","6.5","289.9","","51","3.28","1.757","7.75",".56","제주특별자치도 서귀포시 대정읍 구억리 258-1"
"23","5013025030","2021","20210129","2","6.4","202","","54","1.8","1.57","9.4",".2","제주특별자치도 서귀포시 대정읍 구억리 203-2"
"24","5013025030","2021","20210129","2","5.4","417","","79","1",".84","5.5",".2","제주특별자치도 서귀포시 대정읍 구억리 106"
"25","5013025030","2021","20211203","2","5","670","","28","","1.68","","","제주특별자치도 서귀포시 대정읍 구억리 866-1"
"26","5013025030","2021","20211203","2","6.2","601","","53","",".35","","","제주특별자치도 서귀포시 대정읍 구억리 1037"
"27","5013025030","2021","20211203","2","6.5","351","","72","","1.72","","","제주특별자치도 서귀포시 대정읍 구억리 110"
"28","5013025030","2021","20210129","3","5.2","400","","80","1","1.44","4.3",".2","제주특별자치도 서귀포시 대정읍 구억리 24"
"29","5013025030","2021","20210129","3","6","345","","57","2.4",".75","9.4",".3","제주특별자치도 서귀포시 대정읍 구억리 917-1"
"30","5013025030","2021","20210129","3","5.7","652","","81","2.1","2.3","10.5","1.2","제주특별자치도 서귀포시 대정읍 구억리 561"
"31","5013025030","2021","20210129","4","5.5","576","","99","1.5",".59","7.1",".2","제주특별자치도 서귀포시 대정읍 구억리 14"
"32","5013025030","2021","20210129","4","6","370","","59","1.7",".84","10.5",".2","제주특별자치도 서귀포시 대정읍 구억리 953"
"33","5013025030","2021","20210129","4","5.4","713","","79","1",".73","8.7",".2","제주특별자치도 서귀포시 대정읍 구억리 967"
