"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025027","2020","20200617","2","6","733","","34","2.9",".49","5.9",".3","제주특별자치도 서귀포시 대정읍 신평리 1287"
"2","5013025027","2020","20200617","2","5.7","785","","40","2.6",".67","6",".5","제주특별자치도 서귀포시 대정읍 신평리 1288-3"
"3","5013025027","2020","20200630","2","6","709","","23","2.3","1.5","3.4",".6","제주특별자치도 서귀포시 대정읍 신평리 218"
"4","5013025027","2020","20200630","2","6.8","874","","20","2.7","1.75","4.4",".3","제주특별자치도 서귀포시 대정읍 신평리 218-2"
"5","5013025027","2020","20200728","2","7.7","392","","22","3.5","1.51","5.6",".3","제주특별자치도 서귀포시 대정읍 신평리 1168"
"6","5013025027","2020","20200908","2","7.8","1008","","16","4.7","1.66","7.4",".5","제주특별자치도 서귀포시 대정읍 신평리 10"
"7","5013025027","2020","20201103","2","7.9","909","","38","2.5","1.63","22.4",".3","제주특별자치도 서귀포시 대정읍 신평리 137-2"
"8","5013025027","2020","20201202","2","8.1","302","","13","3.1","1.12","10.1","1.2","제주특별자치도 서귀포시 대정읍 신평리 671-2"
"9","5013025027","2020","20201202","2","7.8","317","","17","4","1.1","10.5","1.6","제주특별자치도 서귀포시 대정읍 신평리 671-2"
"10","5013025027","2020","20201202","2","7.5","494","","14","3.6","1.17","11.1","2.3","제주특별자치도 서귀포시 대정읍 신평리 671-2"
"11","5013025027","2020","20201202","2","6.7","80","","9","5.1",".43","6.2",".2","제주특별자치도 서귀포시 대정읍 신평리 671-2"
"12","5013025027","2020","20200213","3","5.8","822","","43","1.4",".64","10.2","1.9","제주특별자치도 서귀포시 대정읍 신평리 216"
"13","5013025027","2020","20200213","3","6.8","66","","88","3","1.92","11.7",".2","제주특별자치도 서귀포시 대정읍 신평리 216-2"
"14","5013025027","2020","20200630","3","5.5","919","","36","2.3","1.41","3.9",".7","제주특별자치도 서귀포시 대정읍 신평리 1367"
