"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025023","2020","20200617","4","5.9","463","","97","2.5","1.27","7.2",".56","제주특별자치도 서귀포시 대정읍 안성리 953"
"2","5013025023","2020","20200318","2","6.5","96","","45","2.3",".71","9.1",".3","제주특별자치도 서귀포시 대정읍 안성리 207"
"3","5013025023","2020","20200407","2","7.6","319","","89","1.9","2.18","10.9",".5","제주특별자치도 서귀포시 대정읍 안성리 1320-2"
"4","5013025023","2020","20200629","2","7","1370","","65","2.3","2.43","7.3",".5","제주특별자치도 서귀포시 대정읍 안성리 1757-1"
"5","5013025023","2020","20200810","2","4.9","948","","44",".5","1.46","2.1","1.4","제주특별자치도 서귀포시 대정읍 안성리 1799"
"6","5013025023","2020","20200929","2","6","540","","145","5.4","2.36","30","3.4","제주특별자치도 서귀포시 대정읍 안성리 1775-5"
"7","5013025023","2020","20200929","2","5.3","623","","68",".8","1.29","4.2",".5","제주특별자치도 서귀포시 대정읍 안성리 1685"
"8","5013025023","2020","20201113","2","5.9","37","","14","3",".42","2.7",".2","제주특별자치도 서귀포시 대정읍 안성리 1738"
"9","5013025023","2020","20201113","2","7.4","398","","54","1.2","1.86","12.4",".3","제주특별자치도 서귀포시 대정읍 안성리 1738"
"10","5013025023","2020","20201224","2","5.9","680","","50","2.3","2.16","7.4",".8","제주특별자치도 서귀포시 대정읍 안성리 1790-1"
"11","5013025023","2020","20200204","3","6.4","201","","69","2.5","2.3","3.2",".7","제주특별자치도 서귀포시 대정읍 안성리 810"
"12","5013025023","2020","20200204","3","6","182","","75","2.3","1.5","9.7",".4","제주특별자치도 서귀포시 대정읍 안성리 812"
"13","5013025023","2020","20200323","3","5","300","","40","2.3","2.13","4.5","2.8","제주특별자치도 서귀포시 대정읍 안성리 1913"
"14","5013025023","2020","20200423","3","5.9","902","","52","1.9",".6","8","1.4","제주특별자치도 서귀포시 대정읍 안성리 1799"
"15","5013025023","2020","20200617","3","5.9","431","","45","4.6",".46","6.9",".5","제주특별자치도 서귀포시 대정읍 안성리 785"
"16","5013025023","2020","20200617","3","5.5","302","","71","4",".42","6.3","1.1","제주특별자치도 서귀포시 대정읍 안성리 1969-2"
"17","5013025023","2020","20200617","3","5.2","143","","77","3.7",".44","6.2","2","제주특별자치도 서귀포시 대정읍 안성리 1970-3"
"18","5013025023","2020","20200904","3","6.7","733","","46","4","1.95","8.2",".8","제주특별자치도 서귀포시 대정읍 안성리 935-2"
"19","5013025023","2020","20200923","3","6","693","","59","3.1","2.68","8.2","1.3","제주특별자치도 서귀포시 대정읍 안성리 1732"
"20","5013025023","2020","20200923","3","4.2","593","","95","1.2",".66","1.3","1.4","제주특별자치도 서귀포시 대정읍 안성리 1022"
"21","5013025023","2020","20200923","3","4.2","768","","91",".8",".43","1.5",".8","제주특별자치도 서귀포시 대정읍 안성리 1022"
"22","5013025023","2020","20200923","3","4.5","229","","70","1.3",".63","1.5","1","제주특별자치도 서귀포시 대정읍 안성리 1065"
"23","5013025023","2020","20200923","3","4.2","299","","84","1.4",".79","1.5","2.1","제주특별자치도 서귀포시 대정읍 안성리 1064"
"24","5013025023","2020","20200923","3","5.6","373","","120","2",".68","3.8",".5","제주특별자치도 서귀포시 대정읍 안성리 1066-1"
"25","5013025023","2020","20201126","3","6.1","801","","50","3.3","1.38","5.5","1.2","제주특별자치도 서귀포시 대정읍 안성리 1983-1"
"26","5013025023","2020","20200123","4","5.5","201","","37","1.9","2.11","8.2",".32","제주특별자치도 서귀포시 대정읍 안성리 932-1"
"27","5013025023","2020","20200123","4","5.9","213","","24","5.2","2.94","8.5",".21","제주특별자치도 서귀포시 대정읍 안성리 932-1"
"28","5013025023","2020","20200213","4","5","253","","103",".9",".55","3.5",".2","제주특별자치도 서귀포시 대정읍 안성리 1858-1"
"29","5013025023","2020","20200213","4","5.1","627","","77","1.2",".56","4.5",".2","제주특별자치도 서귀포시 대정읍 안성리 1858-3"
"30","5013025023","2020","20200213","4","4.6","562","","68",".5",".36","2.1",".2","제주특별자치도 서귀포시 대정읍 안성리 1858-4"
"31","5013025023","2020","20200213","4","4.6","302","","130",".5",".26","1.6",".2","제주특별자치도 서귀포시 대정읍 안성리 1858-4"
"32","5013025023","2020","20200213","4","4.7","710","","91",".9",".29","2.1",".2","제주특별자치도 서귀포시 대정읍 안성리 1858-5"
"33","5013025023","2020","20200213","4","4.7","706","","75",".8",".41","2.1",".2","제주특별자치도 서귀포시 대정읍 안성리 1882"
"34","5013025023","2020","20200225","4","5.3","326","","98","1.7",".97","4.3",".4","제주특별자치도 서귀포시 대정읍 안성리 62"
"35","5013025023","2020","20200225","4","5.5","69","","104","1.4",".83","3.2",".1","제주특별자치도 서귀포시 대정읍 안성리 73"
"36","5013025023","2020","20200302","4","7","281","","111","2.25",".85","24","1.09","제주특별자치도 서귀포시 대정읍 안성리 14"
"37","5013025023","2020","20200323","4","5","175","","70","1.4",".43","2.5",".9","제주특별자치도 서귀포시 대정읍 안성리 1234"
"38","5013025023","2020","20200401","4","5.7","448","","163","1.7",".71","5.2",".2","제주특별자치도 서귀포시 대정읍 안성리 656-2"
"39","5013025023","2020","20200401","4","5.4","532","","232","2",".76","5.4",".3","제주특별자치도 서귀포시 대정읍 안성리 656-4"
"40","5013025023","2020","20200407","4","5.9","278","","93","1",".98","5.5",".4","제주특별자치도 서귀포시 대정읍 안성리 446"
"41","5013025023","2020","20200504","4","5.8","1551.7","","47.1","2","2.93","11.2","1.9","제주특별자치도 서귀포시 대정읍 안성리 1422"
"42","5013025023","2020","20200701","4","6","521.4","","72.5","3.2","1.91","14.49","3","제주특별자치도 서귀포시 대정읍 안성리 2015-6"
"43","5013025023","2020","20200923","4","6.2","1121","","49","3.6","2.44","8.3","1.7","제주특별자치도 서귀포시 대정읍 안성리 1733"
"44","5013025023","2020","20201202","4","5","115","","122",".8",".23","2.5",".5","제주특별자치도 서귀포시 대정읍 안성리 724"
"45","5013025023","2020","20201202","4","5.5","66","","132","1.1",".17","5",".4","제주특별자치도 서귀포시 대정읍 안성리 724"
"46","5013025023","2020","20201202","4","5.8","119","","116","1.9",".51","8.5",".6","제주특별자치도 서귀포시 대정읍 안성리 724"
"47","5013025023","2020","20201202","4","4.9","128","","117","1",".24","3.1","1.3","제주특별자치도 서귀포시 대정읍 안성리 724"
"48","5013025023","2020","20201202","4","4.8","47","","135","1.2",".37","2.4","1.6","제주특별자치도 서귀포시 대정읍 안성리 724"
"49","5013025023","2020","20200916","2","6.3","10","","22.1","3.92",".314","5.23",".15","제주특별자치도 서귀포시 대정읍 안성리 300"
"50","5013025023","2020","20200916","2","5.1","21.5","","59.4","1.03",".477","2.58",".47","제주특별자치도 서귀포시 대정읍 안성리 1191-2"
"51","5013025023","2020","20200917","2","6.1","319.8","","45.7","2.15","2.373","8.8","2.8","제주특별자치도 서귀포시 대정읍 안성리 1965"
"52","5013025023","2020","20200917","2","5.2","22.3","","86.7",".95",".527","2.72",".41","제주특별자치도 서귀포시 대정읍 안성리 912"
"53","5013025023","2021","20210129","2","4.5","342","","84",".6","1.11",".6",".9","제주특별자치도 서귀포시 대정읍 안성리 237"
"54","5013025023","2021","20210129","2","6.5","420","","56","2.8","2.18","13.4",".7","제주특별자치도 서귀포시 대정읍 안성리 246"
"55","5013025023","2021","20210129","2","7","478","","45","3.2","2.33","12.8",".3","제주특별자치도 서귀포시 대정읍 안성리 1418-2"
"56","5013025023","2021","20210129","2","7","405","","47",".2","2.03","13","1","제주특별자치도 서귀포시 대정읍 안성리 1749"
"57","5013025023","2021","20210129","2","5.4","322","","69","1.4","1.31","3.5",".6","제주특별자치도 서귀포시 대정읍 안성리 1783-1"
"58","5013025023","2021","20211206","2","5.9","264","","58","","1.33","","","제주특별자치도 서귀포시 대정읍 안성리 929-2"
"59","5013025023","2021","20211206","2","5.5","258","","63","","1.24","","","제주특별자치도 서귀포시 대정읍 안성리 1191-2"
"60","5013025023","2021","20211206","2","6.5","320","","61","","1.26","","","제주특별자치도 서귀포시 대정읍 안성리 1461"
"61","5013025023","2021","20210129","3","4.9","552","","49","1.6","2.25","5.2","1.5","제주특별자치도 서귀포시 대정읍 안성리 1693"
"62","5013025023","2021","20210129","3","6.2","850","","110","3.7","3.54","14.8","5.2","제주특별자치도 서귀포시 대정읍 안성리 1968"
"63","5013025023","2021","20210129","3","5.8","1025","","118","3.8","3.36","10.2","2.7","제주특별자치도 서귀포시 대정읍 안성리 701-1"
"64","5013025023","2021","20211213","3","4.7","595","","34","","1.15","","","제주특별자치도 서귀포시 대정읍 안성리 85-1"
"65","5013025023","2021","20211213","3","4.3","736","","256","",".3","","","제주특별자치도 서귀포시 대정읍 안성리 138"
"66","5013025023","2021","20211213","3","6.5","120","","149","","1.19","","","제주특별자치도 서귀포시 대정읍 안성리 1473"
"67","5013025023","2021","20210129","4","4.6","942","","70",".5",".77",".5",".2","제주특별자치도 서귀포시 대정읍 안성리 380"
"68","5013025023","2021","20210129","4","5.7","672","","109","3","1.42","7.8",".3","제주특별자치도 서귀포시 대정읍 안성리 1690-1"
"69","5013025023","2021","20210129","4","5.6","580","","106","1.8","1.03","5.1",".3","제주특별자치도 서귀포시 대정읍 안성리 88-1"
"70","5013025023","2021","20211213","4","7.7","317","","65","",".66","","","제주특별자치도 서귀포시 대정읍 안성리 938"
