"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025024","2020","20200504","2","7.6","456","","99",".1","2.15","13","1.1","제주특별자치도 서귀포시 대정읍 인성리 700-13"
"2","5013025024","2020","20200629","2","5.6","274","","55","1.9",".89","1.8",".6","제주특별자치도 서귀포시 대정읍 인성리 701-8"
"3","5013025024","2020","20200717","2","7","510","","6","5.2","1.72","19.5",".2","제주특별자치도 서귀포시 대정읍 인성리 47"
"4","5013025024","2020","20200722","2","8","354","","99",".3","2.11","9.6",".4","제주특별자치도 서귀포시 대정읍 인성리 700-13"
"5","5013025024","2020","20200728","2","6.4","221","","70","4.7","1.54","4.2",".2","제주특별자치도 서귀포시 대정읍 인성리 503"
"6","5013025024","2020","20200908","2","7.5","328","","28","5.1","3.27","11.1",".6","제주특별자치도 서귀포시 대정읍 인성리 524"
"7","5013025024","2020","20200929","2","6.9","706","","40","5","2.75","30",".6","제주특별자치도 서귀포시 대정읍 인성리 340"
"8","5013025024","2020","20201228","2","6.5","109","","89","2.4","1.59","3.7","1","제주특별자치도 서귀포시 대정읍 인성리 622-19"
"9","5013025024","2020","20201228","2","6.8","568","","81","1.8","1.88","6.4","1.2","제주특별자치도 서귀포시 대정읍 인성리 622-106"
"10","5013025024","2020","20200827","3","5","855","","88",".6","1.04","2.4",".8","제주특별자치도 서귀포시 대정읍 인성리 507"
"11","5013025024","2020","20201208","3","5.6","316","","21","2.1",".8","3.6",".8","제주특별자치도 서귀포시 대정읍 인성리 624-10"
"12","5013025024","2020","20201228","3","5.3","1416","","21","2.3","2.24","5","2.8","제주특별자치도 서귀포시 대정읍 인성리 700-4"
"13","5013025024","2020","20200717","4","5","470","","26","2","1.18","5.7",".6","제주특별자치도 서귀포시 대정읍 인성리 390"
"14","5013025024","2020","20201126","4","5.5","346","","103","2.5",".67","3.9",".3","제주특별자치도 서귀포시 대정읍 인성리 479-3"
"15","5013025024","2020","20200916","2","5.3","120.8","","55.2","1.84","1.573","5.57",".51","제주특별자치도 서귀포시 대정읍 인성리 18-18"
"16","5013025024","2020","20200916","2","4.9","67.2","","89.7","1.33",".509","3.82",".51","제주특별자치도 서귀포시 대정읍 인성리 558"
"17","5013025024","2020","20200916","2","5","69.8","","72.1","1.38","1.378","2.91",".71","제주특별자치도 서귀포시 대정읍 인성리 622-1"
"18","5013025024","2020","20200916","2","7.1","146.3","","45.4","2.74","1.952","14.26",".6","제주특별자치도 서귀포시 대정읍 인성리 437-1"
"19","5013025024","2021","20210408","4","","","","","","","","","제주특별자치도 서귀포시 대정읍 인성리 533"
"20","5013025024","2021","20210129","2","6.6","156","","28","3.8","1.07","6.5",".4","제주특별자치도 서귀포시 대정읍 인성리 700-26"
"21","5013025024","2021","20210129","2","6.5","537","","85","1.6","1.71","9.8",".6","제주특별자치도 서귀포시 대정읍 인성리 622-16"
"22","5013025024","2021","20210129","2","6.3","535","","51","1.8","1.18","8",".7","제주특별자치도 서귀포시 대정읍 인성리 624-16"
"23","5013025024","2021","20210129","2","6.4","266","","54","1.9","1.95","11.5","1.3","제주특별자치도 서귀포시 대정읍 인성리 437-1"
"24","5013025024","2021","20210129","2","6.6","480","","47","2.4","1.78","11.1","2.2","제주특별자치도 서귀포시 대정읍 인성리 437-11"
"25","5013025024","2021","20210129","2","7","480","","25","3.8","2.49","10.5",".5","제주특별자치도 서귀포시 대정읍 인성리 30-3"
"26","5013025024","2021","20210129","2","5.7","594","","36","3.7","2.63","7.8",".8","제주특별자치도 서귀포시 대정읍 인성리 57-1"
"27","5013025024","2021","20210129","2","5.4","293","","39","1.2","1.76","3.5",".5","제주특별자치도 서귀포시 대정읍 인성리 3-1"
"28","5013025024","2021","20210129","2","6.6","605","","30","4.5","3.47","10.7",".7","제주특별자치도 서귀포시 대정읍 인성리 110"
"29","5013025024","2021","20211206","2","7.1","507","","39","","1.65","","","제주특별자치도 서귀포시 대정읍 인성리 77-4"
"30","5013025024","2021","20211206","2","6.1","176","","41","","1.53","","","제주특별자치도 서귀포시 대정읍 인성리 56-2"
"31","5013025024","2021","20211206","2","5.5","105","","90","","1.57","","","제주특별자치도 서귀포시 대정읍 인성리 4-2"
"32","5013025024","2021","20211206","2","7.2","325","","38","","2.13","","","제주특별자치도 서귀포시 대정읍 인성리 3-3"
"33","5013025024","2021","20211206","2","6.3","172","","61","","1.74","","","제주특별자치도 서귀포시 대정읍 인성리 716-7"
"34","5013025024","2021","20211206","2","7.3","261","","67","","1.53","","","제주특별자치도 서귀포시 대정읍 인성리 700-13"
"35","5013025024","2021","20211206","2","7","485","","75","","1.33","","","제주특별자치도 서귀포시 대정읍 인성리 622-21"
"36","5013025024","2021","20211206","2","5.8","357","","40","",".96","","","제주특별자치도 서귀포시 대정읍 인성리 437-4"
"37","5013025024","2021","20210129","3","6.3","637","","69","2.9","1.69","9.8",".8","제주특별자치도 서귀포시 대정읍 인성리 701-27"
"38","5013025024","2021","20210129","3","5.5","703","","51","5.4","2.24","10.2","7.9","제주특별자치도 서귀포시 대정읍 인성리 514-2"
"39","5013025024","2021","20211213","3","6.3","301","","78","","1.22","","","제주특별자치도 서귀포시 대정읍 인성리 520"
"40","5013025024","2021","20211213","3","6.3","166","","61","",".24","","","제주특별자치도 서귀포시 대정읍 인성리 437-12"
"41","5013025024","2021","20211213","3","5.4","59","","47","",".25","","","제주특별자치도 서귀포시 대정읍 인성리 308-2"
"42","5013025024","2021","20210129","4","5.1","272","","101",".6",".66","3.5",".4","제주특별자치도 서귀포시 대정읍 인성리 487"
"43","5013025024","2021","20210129","4","5.1","624","","104","1.4",".65","1.2",".3","제주특별자치도 서귀포시 대정읍 인성리 485-1"
"44","5013025024","2021","20211213","4","6.4","453","","22","","1.74","","","제주특별자치도 서귀포시 대정읍 인성리 521-2"
"45","5013025024","2021","20211213","4","5.3","1","","135","",".37","","","제주특별자치도 서귀포시 대정읍 인성리 410-1"
"46","5013025024","2021","20210809","2","6.6","1071","","49","1.8","3.08","2.6","1","제주특별자치도 서귀포시 대정읍 인성리 340"
"47","5013025024","2021","20211020","3","7","459","","35","3.7",".82","12.1","2.42","제주특별자치도 서귀포시 대정읍 인성리 700-25"
"48","5013025024","2021","20210615","2","5.2","69","","112","1.9",".29","2.6",".5","제주특별자치도 서귀포시 대정읍 인성리 701-8"
"49","5013025024","2021","20210629","2","6.4","178","","58","3.9","1.89","8.7",".4","제주특별자치도 서귀포시 대정읍 인성리 503"
"50","5013025024","2021","20211105","2","6.4","106","","47","3.6","1.57","10.7",".97","제주특별자치도 서귀포시 대정읍 인성리 440"
"51","5013025024","2021","20211105","2","6.6","5","","14","7.4",".13","8.1",".86","제주특별자치도 서귀포시 대정읍 인성리 444-1"
"52","5013025024","2021","20210603","2","","","","","","","","","제주특별자치도 서귀포시 대정읍 인성리 541"
"53","5013025024","2021","20210624","2","7.6","466","","46","5.1","2.2","9.7",".4","제주특별자치도 서귀포시 대정읍 인성리 541"
"54","5013025024","2021","20211006","3","6.2","521","","47","4.8","1.08","9.5","5.89","제주특별자치도 서귀포시 대정읍 인성리 514-2"
"55","5013025024","2021","20210617","2","7.8","436","","56","4.9","2.06","16.9",".4","제주특별자치도 서귀포시 대정읍 인성리 541"
"56","5013025024","2021","20210906","2","5.2","771","","47.8","1.94","1.646","4.28",".664","제주특별자치도 서귀포시 대정읍 인성리 208-3"
"57","5013025024","2021","20210906","2","6.1","409","","63.7","1.96","2","10.1",".284","제주특별자치도 서귀포시 대정읍 인성리 700-18"
"58","5013025024","2021","20210906","2","7","310","","59.7","4.51","2.736","21.23","1.286","제주특별자치도 서귀포시 대정읍 인성리 700-116"
"59","5013025024","2021","20210906","2","7.2","587.8","","41.1","5.84","2.967","23.67","2.71","제주특별자치도 서귀포시 대정읍 인성리 622-24"
"60","5013025024","2021","20210906","2","6.6","348.9","","45.5","2.88","1.427","16.03",".609","제주특별자치도 서귀포시 대정읍 인성리 437-1"
"61","5013025024","2021","20210906","2","5.1","331.3","","67.4","2.76","3.988","4.02","2.414","제주특별자치도 서귀포시 대정읍 인성리 622-1"
"62","5013025024","2021","20210906","2","5.9","517.2","","61.9","3.42","1.918","11.09",".347","제주특별자치도 서귀포시 대정읍 인성리 571-3"
"63","5013025024","2021","20210906","2","4.6","422.7","","70.2",".74","1.066","2.31",".686","제주특별자치도 서귀포시 대정읍 인성리 558"
"64","5013025024","2021","20210906","2","5.2","282.3","","49.4","1.75","1.48","5.95",".533","제주특별자치도 서귀포시 대정읍 인성리 506-2"
"65","5013025024","2021","20210906","2","6.1","452.3","","53.2","4.62","3.645","14.98",".979","제주특별자치도 서귀포시 대정읍 인성리 524"
"66","5013025024","2021","20210906","2","4.7","582.4","","54.4","2.02","1.761","3.65",".58","제주특별자치도 서귀포시 대정읍 인성리 540"
"67","5013025024","2021","20210906","2","7.8","496.1","","45.4","6.79","3.653","24.28",".51","제주특별자치도 서귀포시 대정읍 인성리 541"
"68","5013025024","2021","20210906","2","6","316.9","","48.1","4.15","2.905","14.83",".505","제주특별자치도 서귀포시 대정읍 인성리 28"
"69","5013025024","2021","20210906","2","6","217.4","","31.3","5.67","2.418","12.12",".223","제주특별자치도 서귀포시 대정읍 인성리 56-2"
"70","5013025024","2021","20210906","2","5.7","247.5","","83.4","1.22","1.437","10.22",".37","제주특별자치도 서귀포시 대정읍 인성리 180-2"
"71","5013025024","2021","20210906","2","6.8","652.5","","25.4","4.34","2.248","12.59",".379","제주특별자치도 서귀포시 대정읍 인성리 104-2"
"72","5013025024","2021","20210906","2","5.5","522.9","","43.1","2.3","2.214","7.43",".523","제주특별자치도 서귀포시 대정읍 인성리 18"
"73","5013025024","2022","20220630","2","6","262","","59","2.3","1.02","8.3",".82","제주특별자치도 서귀포시 대정읍 인성리 701-8"
"74","5013025024","2022","20220729","2","6.7","1006","","54","2.4","2.1","11.5",".61","제주특별자치도 서귀포시 대정읍 인성리 340"
"75","5013025024","2022","20220705","2","6.5","167","","82","3.8","1.53","10.9",".68","제주특별자치도 서귀포시 대정읍 인성리 503"
"76","5013025024","2022","20221108","2","6.6","318","","48","4.7","1.6","10.9","1.22","제주특별자치도 서귀포시 대정읍 인성리 624-20"
"77","5013025024","2022","20220729","3","7.2","739","","33","4.5","2.65","13.1","3.46","제주특별자치도 서귀포시 대정읍 인성리 700-25"
"78","5013025024","2022","20221115","3","6.2","529","","49","2.4","1.34","9",".36","제주특별자치도 서귀포시 대정읍 인성리 514-2"
"79","5013025024","2022","20221208","3","6.3","589","","44","2.6","1.36","9",".36","제주특별자치도 서귀포시 대정읍 인성리 514-2"
"80","5013025024","2022","20221208","3","5.6","641","","52","3.4","1.72","9","2.7","제주특별자치도 서귀포시 대정읍 인성리 514-2"
"81","5013025024","2022","20220602","2","6.7","288","","31","4.4","2.49","8.7","3.25","제주특별자치도 서귀포시 대정읍 인성리 622-12"
"82","5013025024","2022","20220621","2","4.9","579","","72","2.2","1.4","5.7","1.8","제주특별자치도 서귀포시 대정읍 인성리 309-2"
"83","5013025024","2022","20220621","2","4.5","480","","61","1.8","1.14","2.8","2","제주특별자치도 서귀포시 대정읍 인성리 312-2"
"84","5013025024","2022","20220830","2","5.9","147","","76","4.3","1.58","9.9","1.56","제주특별자치도 서귀포시 대정읍 인성리 667-1"
"85","5013025024","2022","20220830","2","6.7","166","","11","5.8",".83","10.9","1.08","제주특별자치도 서귀포시 대정읍 인성리 667-1"
"86","5013025024","2022","20221206","2","7.4","505","","45","4.1","2.11","14.8","1.32","제주특별자치도 서귀포시 대정읍 인성리 624-30"
"87","5013025024","2022","20220517","3","5.2","990","","60","1.9","2.2","6","2","제주특별자치도 서귀포시 대정읍 인성리 520"
"88","5013025024","2022","20220816","3","4.8","553","","77","3.3",".8","3.5",".88","제주특별자치도 서귀포시 대정읍 인성리 507"
"89","5013025024","2022","20220517","4","6.2","1102","","55","2.2","1.44","8","1.21","제주특별자치도 서귀포시 대정읍 인성리 391"
