"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025022","2020","20200629","2","4.7","699","","51",".7","1.21",".5","1.2","제주특별자치도 서귀포시 대정읍 하모리 1702-1"
"2","5013025022","2020","20200728","2","6.4","763","","41","1.9",".8","4.2",".2","제주특별자치도 서귀포시 대정읍 하모리 267-2"
"3","5013025022","2020","20200827","2","7","566","","30","1.2","2.63","1.8",".4","제주특별자치도 서귀포시 대정읍 하모리 1623"
"4","5013025022","2020","20200827","2","7.5","468","","40",".6",".87","8.6",".4","제주특별자치도 서귀포시 대정읍 하모리 1688"
"5","5013025022","2020","20200827","2","6","290","","76",".4","1.19","1",".4","제주특별자치도 서귀포시 대정읍 하모리 330-3"
"6","5013025022","2020","20200908","2","7.9","170","","19","11","1.65","8.2",".7","제주특별자치도 서귀포시 대정읍 하모리 1950"
"7","5013025022","2020","20200908","2","5.6","358","","24","1.7","1.19","4.8",".2","제주특별자치도 서귀포시 대정읍 하모리 1791"
"8","5013025022","2020","20200908","2","5.7","357","","23","1.7","1.11","5",".2","제주특별자치도 서귀포시 대정읍 하모리 1795-1"
"9","5013025022","2020","20200916","2","6","199","","75","3.2","1.04","2.8",".3","제주특별자치도 서귀포시 대정읍 하모리 300-1"
"10","5013025022","2020","20200916","2","4.9","258","","119","1.5",".96",".8",".6","제주특별자치도 서귀포시 대정읍 하모리 289-1"
"11","5013025022","2020","20200916","2","4.9","450","","104","2.4",".81","1.3","1","제주특별자치도 서귀포시 대정읍 하모리 736-1"
"12","5013025022","2020","20200929","2","6.7","369","","35","1.8","1.19","10.3","1.1","제주특별자치도 서귀포시 대정읍 하모리 1085"
"13","5013025022","2020","20200929","2","6.7","550","","39","2.3","1.4","10.7",".8","제주특별자치도 서귀포시 대정읍 하모리 1085"
"14","5013025022","2020","20200929","2","4.6","291","","102",".9","1.34","3.4","2","제주특별자치도 서귀포시 대정읍 하모리 1338-1"
"15","5013025022","2020","20200929","2","6","428","","56","2","1.81","8.1","1.4","제주특별자치도 서귀포시 대정읍 하모리 1338-1"
"16","5013025022","2020","20201014","2","7","94","","28","2.8","1.02","9.8",".7","제주특별자치도 서귀포시 대정읍 하모리 283-1"
"17","5013025022","2020","20200123","4","5.6","76","","39","1.4",".99","5.7",".27","제주특별자치도 서귀포시 대정읍 하모리 1864"
"18","5013025022","2020","20200123","4","5.3","142","","30","2","2.6","4",".3","제주특별자치도 서귀포시 대정읍 하모리 2081"
"19","5013025022","2020","20200123","4","4.6","154","","52","2.6","1.53","7.8",".34","제주특별자치도 서귀포시 대정읍 하모리 2082"
"20","5013025022","2020","20200123","4","4.5","79","","49",".2",".05",".4",".54","제주특별자치도 서귀포시 대정읍 하모리 2082"
