"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025928","2020","20201020","4","6.4","186","","121","","1.12","","","제주특별자치도 서귀포시 성산읍 삼달리 315-2"
"2","5013025928","2020","20201020","4","6.8","252","","100","","1.03","","","제주특별자치도 서귀포시 성산읍 삼달리 374"
"3","5013025928","2020","20201020","4","5.9","54","","106","",".62","","","제주특별자치도 서귀포시 성산읍 삼달리 356"
"4","5013025928","2020","20201020","4","5.9","97","","78","",".22","","","제주특별자치도 서귀포시 성산읍 삼달리 1101"
"5","5013025928","2020","20201023","4","6.5","164","","87","","1.01","","","제주특별자치도 서귀포시 성산읍 삼달리 1107"
"6","5013025928","2020","20201023","4","5","642","","99","",".48","","","제주특별자치도 서귀포시 성산읍 삼달리 1112-3"
"7","5013025928","2020","20201023","4","6","236","","106","",".3","","","제주특별자치도 서귀포시 성산읍 삼달리 1481-2"
"8","5013025928","2020","20201023","4","5.4","22","","131","",".18","","","제주특별자치도 서귀포시 성산읍 삼달리 1382"
"9","5013025928","2020","20201023","4","6.7","253","","113","",".89","","","제주특별자치도 서귀포시 성산읍 삼달리 111-3"
"10","5013025928","2020","20201023","4","5.6","165","","159","",".26","","","제주특별자치도 서귀포시 성산읍 삼달리 147-2"
"11","5013025928","2020","20200323","2","5.7","10","","222","1.3",".16","2.7",".14","제주특별자치도 서귀포시 성산읍 삼달리 1874"
"12","5013025928","2020","20200323","2","5.8","10","","216","1",".15","2.1","2.63","제주특별자치도 서귀포시 성산읍 삼달리 1879-1"
"13","5013025928","2020","20200323","2","5.7","10","","220","1.2",".16","2.4",".14","제주특별자치도 서귀포시 성산읍 삼달리 1884"
"14","5013025928","2020","20200323","2","5.7","10","","222","1.3",".15","2.5",".13","제주특별자치도 서귀포시 성산읍 삼달리 1884-1"
"15","5013025928","2020","20200323","2","5.7","10","","217","1.1",".15","2.3",".13","제주특별자치도 서귀포시 성산읍 삼달리 1885"
"16","5013025928","2020","20200420","2","6","10","","220",".1",".01",".1",".13","제주특별자치도 서귀포시 성산읍 삼달리 1866"
"17","5013025928","2020","20200605","2","5.8","10","","253",".7",".14",".9",".31","제주특별자치도 서귀포시 성산읍 삼달리 2184"
"18","5013025928","2020","20201208","2","5.9","34","","154",".1",".79","4.4",".46","제주특별자치도 서귀포시 성산읍 삼달리 2119"
"19","5013025928","2020","20201111","4","5.5","10","","176",".5",".21",".8",".22","제주특별자치도 서귀포시 성산읍 삼달리 1579"
"20","5013025928","2020","20200608","2","6.3","59","","142","1.9",".26","8.2",".18","제주특별자치도 서귀포시 성산읍 삼달리 2246"
"21","5013025928","2020","20200311","4","6.2","152","","125","2.8",".92","5.2",".15","제주특별자치도 서귀포시 성산읍 삼달리 467"
"22","5013025928","2020","20200311","4","7","227","","123","8.1","1.15","14",".28","제주특별자치도 서귀포시 성산읍 삼달리 635"
"23","5013025928","2020","20200311","4","6.6","112","","119","3.2",".83","7.5",".17","제주특별자치도 서귀포시 성산읍 삼달리 635"
"24","5013025928","2020","20200311","4","7","147","","114","7.8",".5","13.6",".22","제주특별자치도 서귀포시 성산읍 삼달리 635"
"25","5013025928","2020","20200528","4","5.8","472","","172","5.7",".88","13.5","1.12","제주특별자치도 서귀포시 성산읍 삼달리 275"
"26","5013025928","2020","20200604","4","4.9","706","","171",".1","1.26","4.9","1.11","제주특별자치도 서귀포시 성산읍 삼달리 713"
"27","5013025928","2020","20200601","2","5.7","103","","185",".7","1.21","3.2",".15","제주특별자치도 서귀포시 성산읍 삼달리 125"
"28","5013025928","2020","20200810","2","6.7","10","","52","1.3",".84","5.5",".21","제주특별자치도 서귀포시 성산읍 삼달리 1624"
"29","5013025928","2020","20201217","2","6.5","10","","141","1.6",".45","6.4",".19","제주특별자치도 서귀포시 성산읍 삼달리 1668"
"30","5013025928","2020","20200722","3","5.7","126","","117","1",".62","2.9",".26","제주특별자치도 서귀포시 성산읍 삼달리 1486"
"31","5013025928","2020","20200504","4","5.7","94","","209","4.9","2.6","14.7","1.9","제주특별자치도 서귀포시 성산읍 삼달리 1064-1"
"32","5013025928","2020","20200515","4","6.3","347","","151",".3",".72","13.3",".15","제주특별자치도 서귀포시 성산읍 삼달리 280-2"
"33","5013025928","2020","20200601","4","4.9","206","","157",".8",".13","2.3",".16","제주특별자치도 서귀포시 성산읍 삼달리 435-4"
"34","5013025928","2020","20200218","2","6.3","404","","107","2.6","1.05","14.8",".8","제주특별자치도 서귀포시 성산읍 삼달리 1493-3"
"35","5013025928","2020","20200527","2","6.1","177","","175","3.3","1.04","8.1",".17","제주특별자치도 서귀포시 성산읍 삼달리 132"
"36","5013025928","2020","20200527","2","6.7","258","","101","5.3","1.43","12.6",".19","제주특별자치도 서귀포시 성산읍 삼달리 411-1"
"37","5013025928","2020","20201020","2","4.9","242","","140",".1",".88",".6",".6","제주특별자치도 서귀포시 성산읍 삼달리 2055"
"38","5013025928","2020","20201020","2","4.4","288","","149",".3",".74","1.1",".82","제주특별자치도 서귀포시 성산읍 삼달리 1569"
"39","5013025928","2020","20200320","3","6","154","","145","1.5",".52","4.3",".11","제주특별자치도 서귀포시 성산읍 삼달리 306-2"
