"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025929","2020","20201023","4","6.1","46","","164","",".29","","","제주특별자치도 서귀포시 성산읍 신풍리 101"
"2","5013025929","2020","20201023","4","6","472","","123","",".99","","","제주특별자치도 서귀포시 성산읍 신풍리 87"
"3","5013025929","2020","20201023","4","5.3","258","","131","",".44","","","제주특별자치도 서귀포시 성산읍 신풍리 172-2"
"4","5013025929","2020","20201023","4","5.8","125","","129","",".26","","","제주특별자치도 서귀포시 성산읍 신풍리 777-4"
"5","5013025929","2020","20201023","4","6.5","139","","116","","1.13","","","제주특별자치도 서귀포시 성산읍 신풍리 727-1"
"6","5013025929","2020","20201023","4","5.1","68","","120","",".23","","","제주특별자치도 서귀포시 성산읍 신풍리 901"
"7","5013025929","2020","20201023","4","5","273","","124","",".14","","","제주특별자치도 서귀포시 성산읍 신풍리 972-1"
"8","5013025929","2020","20201023","4","4.9","283","","132","",".39","","","제주특별자치도 서귀포시 성산읍 신풍리 1388"
"9","5013025929","2020","20200605","2","6.3","10","","214",".3",".07",".6",".11","제주특별자치도 서귀포시 성산읍 신풍리 1250"
"10","5013025929","2020","20200424","3","6.3","340","","134","4.6",".85","13.9",".2","제주특별자치도 서귀포시 성산읍 신풍리 1681"
"11","5013025929","2020","20200304","4","5.1","154","","83","1.5",".19","3.3",".16","제주특별자치도 서귀포시 성산읍 신풍리 483"
"12","5013025929","2020","20200723","2","6.3","178","","135","1.3",".56","6.9",".23","제주특별자치도 서귀포시 성산읍 신풍리 1712"
"13","5013025929","2020","20200828","2","5.8","142","","156","1.6",".62","4.3",".44","제주특별자치도 서귀포시 성산읍 신풍리 1609-1"
"14","5013025929","2020","20200908","2","5.6","537","","116",".5",".86","2.5",".19","제주특별자치도 서귀포시 성산읍 신풍리 1188"
"15","5013025929","2020","20200917","2","6.9","17","","98","3.1",".99","6.4",".33","제주특별자치도 서귀포시 성산읍 신풍리 521"
"16","5013025929","2020","20201104","2","6.4","130","","127","3.5","1.11","10.8",".3","제주특별자치도 서귀포시 성산읍 신풍리 155-2"
"17","5013025929","2020","20200507","3","4","99","","161","1.8","1.27","3.5","1.39","제주특별자치도 서귀포시 성산읍 신풍리 1635-2"
"18","5013025929","2020","20200507","3","4.1","98","","165",".1",".66","3.1",".5","제주특별자치도 서귀포시 성산읍 신풍리 1635-2"
"19","5013025929","2020","20200828","3","6.4","34","","151","1.9",".48","4.9","1.9","제주특별자치도 서귀포시 성산읍 신풍리 1609-1"
"20","5013025929","2020","20200313","4","5.5","205","","97","1.5",".28","2.8",".15","제주특별자치도 서귀포시 성산읍 신풍리 762-1"
"21","5013025929","2020","20200402","4","6.3","371","","150","4.8",".57","15.1","1.7","제주특별자치도 서귀포시 성산읍 신풍리 280"
"22","5013025929","2020","20200331","4","5.8","13","","119","2.6",".8","6.6",".73","제주특별자치도 서귀포시 성산읍 신풍리 427"
"23","5013025929","2020","20200410","4","5.9","13","","147","1",".17","2.3",".09","제주특별자치도 서귀포시 성산읍 신풍리 576"
"24","5013025929","2020","20200410","4","6.1","10","","222","2.9",".87","4.7",".2","제주특별자치도 서귀포시 성산읍 신풍리 1286"
"25","5013025929","2020","20200410","4","6.5","28","","163","4.4",".67","7.1",".12","제주특별자치도 서귀포시 성산읍 신풍리 482"
"26","5013025929","2020","20200601","4","6.3","232","","83","1.9",".64","4.8",".15","제주특별자치도 서귀포시 성산읍 신풍리 110-1"
"27","5013025929","2020","20200601","4","5","190","","128",".4",".4","1",".21","제주특별자치도 서귀포시 성산읍 신풍리 140"
"28","5013025929","2020","20200909","4","5","132","","186","3.4","1.98","5.3","4.17","제주특별자치도 서귀포시 성산읍 신풍리 1609-1"
"29","5013025929","2020","20200828","4","4.9","126","","191","1.2","1.75","4","2.5","제주특별자치도 서귀포시 성산읍 신풍리 1609-1"
"30","5013025929","2020","20200828","4","6.4","343","","182","4.3","1.95","16.7","1.66","제주특별자치도 서귀포시 성산읍 신풍리 1609-3"
"31","5013025929","2020","20200828","4","5.3","126","","188","1.4","1.16","4.2","1.14","제주특별자치도 서귀포시 성산읍 신풍리 1609-3"
"32","5013025929","2020","20201110","3","4.3","167","","275","1.5","2.37","2.9","4.34","제주특별자치도 서귀포시 성산읍 신풍리 1635-1"
"33","5013025929","2020","20201110","3","4.3","124","","300","1.2","1.48","2","2.88","제주특별자치도 서귀포시 성산읍 신풍리 1635-2"
"34","5013025929","2020","20200305","2","6.5","44","","55","2",".45","3.9",".16","제주특별자치도 서귀포시 성산읍 신풍리 354"
"35","5013025929","2020","20200518","2","5.4","40","","145",".5",".56","2.1",".3","제주특별자치도 서귀포시 성산읍 신풍리 1251"
"36","5013025929","2020","20201207","2","5.6","14","","109","1.59",".61","6.5","1.73","제주특별자치도 서귀포시 성산읍 신풍리 1681"
"37","5013025929","2020","20201207","2","5.7","18","","108","7.19","2.84","21.3","10","제주특별자치도 서귀포시 성산읍 신풍리 1681"
"38","5013025929","2020","20200730","3","6","172","","97","2.2","1.31","6.8",".32","제주특별자치도 서귀포시 성산읍 신풍리 143-1"
"39","5013025929","2020","20201022","3","4.8","191","","162","2.3","1.66","4.1","2.13","제주특별자치도 서귀포시 성산읍 신풍리 1158"
"40","5013025929","2020","20201022","3","4.3","114","","164","2.7","1.73","3.9","5.58","제주특별자치도 서귀포시 성산읍 신풍리 1158"
"41","5013025929","2020","20201022","4","5.2","580","","159","2.5",".83","4.8",".28","제주특별자치도 서귀포시 성산읍 신풍리 716"
"42","5013025929","2020","20201022","4","6.1","473","","173","3.5",".77","7.6",".31","제주특별자치도 서귀포시 성산읍 신풍리 1158"
"43","5013025929","2020","20201216","4","6.1","60","","130","1.2",".62","2.8",".18","제주특별자치도 서귀포시 성산읍 신풍리 335"
"44","5013025929","2021","20210813","4","6.1","72","","133","",".44","","","제주특별자치도 서귀포시 성산읍 신풍리 1004-2"
"45","5013025929","2021","20210813","4","5.7","339","","132","",".54","","","제주특별자치도 서귀포시 성산읍 신풍리 1008"
"46","5013025929","2021","20210813","4","5.8","29","","1","",".28","","","제주특별자치도 서귀포시 성산읍 신풍리 1010"
"47","5013025929","2021","20210813","4","5.7","617","","132","","2.57","","","제주특별자치도 서귀포시 성산읍 신풍리 1011"
"48","5013025929","2021","20210813","4","5.1","199","","1","",".26","","","제주특별자치도 서귀포시 성산읍 신풍리 1019"
"49","5013025929","2021","20210813","4","7.3","28","","147","",".75","","","제주특별자치도 서귀포시 성산읍 신풍리 1041"
"50","5013025929","2021","20210813","4","5.6","24","","123","",".17","","","제주특별자치도 서귀포시 성산읍 신풍리 1043"
"51","5013025929","2021","20210813","4","4.7","93","","152","",".2","","","제주특별자치도 서귀포시 성산읍 신풍리 1047"
"52","5013025929","2021","20210813","4","4.4","239","","119","",".23","","","제주특별자치도 서귀포시 성산읍 신풍리 1049"
