"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025922","2020","20201130","2","6.7","172","","133","","1.67","","","제주특별자치도 서귀포시 성산읍 오조리 692"
"2","5013025922","2020","20201130","2","6.7","113","","85","","1.06","","","제주특별자치도 서귀포시 성산읍 오조리 1597"
"3","5013025922","2020","20201204","2","5.5","40","","208","",".63","","","제주특별자치도 서귀포시 성산읍 오조리 2069"
"4","5013025922","2020","20201204","2","5.6","193","","151","",".96","","","제주특별자치도 서귀포시 성산읍 오조리 688"
"5","5013025922","2020","20201204","2","5.7","50","","97","",".8","","","제주특별자치도 서귀포시 성산읍 오조리 113-2"
"6","5013025922","2020","20201204","2","6.4","160","","82","",".97","","","제주특별자치도 서귀포시 성산읍 오조리 572-1"
"7","5013025922","2020","20201204","2","5.4","135","","153","","1.28","","","제주특별자치도 서귀포시 성산읍 오조리 1563"
"8","5013025922","2020","20201204","2","6.3","20","","143","",".56","","","제주특별자치도 서귀포시 성산읍 오조리 1562"
"9","5013025922","2020","20201222","2","5.8","145","","126","",".85","","","제주특별자치도 서귀포시 성산읍 오조리 604"
"10","5013025922","2020","20201222","2","6.5","381","","68","","1.67","","","제주특별자치도 서귀포시 성산읍 오조리 350"
"11","5013025922","2020","20201222","2","5.5","201","","89","","1.48","","","제주특별자치도 서귀포시 성산읍 오조리 553"
"12","5013025922","2020","20201222","2","7.7","140","","92","","1.36","","","제주특별자치도 서귀포시 성산읍 오조리 612"
"13","5013025922","2020","20201222","2","7.7","128","","73","","1.24","","","제주특별자치도 서귀포시 성산읍 오조리 352"
"14","5013025922","2020","20201222","2","6.7","126","","85","","1.11","","","제주특별자치도 서귀포시 성산읍 오조리 334-1"
"15","5013025922","2020","20201222","2","7.4","317","","125","","1.57","","","제주특별자치도 서귀포시 성산읍 오조리 609-1"
"16","5013025922","2020","20201222","2","6.6","270","","88","","1.54","","","제주특별자치도 서귀포시 성산읍 오조리 273-1"
"17","5013025922","2020","20201222","2","7.8","158","","59","",".95","","","제주특별자치도 서귀포시 성산읍 오조리 365-1"
"18","5013025922","2020","20201019","4","5.8","277","","101","",".52","","","제주특별자치도 서귀포시 성산읍 오조리 1011"
"19","5013025922","2020","20201019","4","7","308","","94","",".64","","","제주특별자치도 서귀포시 성산읍 오조리 905"
"20","5013025922","2020","20201208","2","5.4","19","","249",".1",".33","2",".57","제주특별자치도 서귀포시 성산읍 오조리 2104"
"21","5013025922","2020","20200414","2","5.3","13","","229","1.8",".14","2.3",".15","제주특별자치도 서귀포시 성산읍 오조리 2133"
"22","5013025922","2020","20200414","2","5.4","10","","242","1.4",".14","2.3",".14","제주특별자치도 서귀포시 성산읍 오조리 2132"
"23","5013025922","2020","20200610","2","5.7","58","","185","1.2",".54","2",".26","제주특별자치도 서귀포시 성산읍 오조리 1570"
"24","5013025922","2020","20201202","2","6.7","45","","155","8.8","1.15","11.6","1.44","제주특별자치도 서귀포시 성산읍 오조리 149"
"25","5013025922","2020","20201202","2","6.5","10","","189","5",".7","10",".35","제주특별자치도 서귀포시 성산읍 오조리 1459"
"26","5013025922","2020","20201202","2","6.7","10","","173","5.1",".72","10.8",".66","제주특별자치도 서귀포시 성산읍 오조리 1459-1"
"27","5013025922","2020","20201202","2","6.5","93","","178","2.4",".98","6",".22","제주특별자치도 서귀포시 성산읍 오조리 1677-1"
"28","5013025922","2020","20201202","2","6.5","18","","151","5.7",".84","9.3",".55","제주특별자치도 서귀포시 성산읍 오조리 960"
"29","5013025922","2020","20201202","2","7.5","100","","96","2.9","1.4","17.5",".6","제주특별자치도 서귀포시 성산읍 오조리 623"
"30","5013025922","2020","20200210","4","6.2","45","","181","5.7",".52","15.5",".24","제주특별자치도 서귀포시 성산읍 오조리 1697"
"31","5013025922","2020","20200313","4","6.3","299","","155","6.8",".98","12.2",".27","제주특별자치도 서귀포시 성산읍 오조리 987"
"32","5013025922","2020","20200313","4","5.9","269","","137","4.7","1.09","7.3",".39","제주특별자치도 서귀포시 성산읍 오조리 1049"
"33","5013025922","2020","20200507","4","6.8","405","","128","4.1","1.03","15.9",".3","제주특별자치도 서귀포시 성산읍 오조리 943"
"34","5013025922","2020","20200507","4","5.8","387","","155","4",".87","5",".3","제주특별자치도 서귀포시 성산읍 오조리 945"
"35","5013025922","2020","20200504","2","7","52","","136","5.3",".03","17.2",".58","제주특별자치도 서귀포시 성산읍 오조리 149-1"
"36","5013025922","2020","20200609","2","5.5","37.7","","130","1.72",".91","5.57","1","제주특별자치도 서귀포시 성산읍 오조리 55"
"37","5013025922","2020","20200504","3","4.7","65","","188","1.5",".65","2.8",".46","제주특별자치도 서귀포시 성산읍 오조리 1806"
"38","5013025922","2020","20200528","3","6.6","42","","123","8","1.61","10.8","1.03","제주특별자치도 서귀포시 성산읍 오조리 1803"
"39","5013025922","2020","20201008","3","6.4","69","","174","7.8","1.01","13.7","1.96","제주특별자치도 서귀포시 성산읍 오조리 1161-1"
"40","5013025922","2020","20201008","3","6.5","378","","134","5.7","4.52","15.8","2.11","제주특별자치도 서귀포시 성산읍 오조리 902"
"41","5013025922","2020","20200702","4","4.8","66","","175.3","2.47","1.06","3.98","2.2","제주특별자치도 서귀포시 성산읍 오조리 1432"
"42","5013025922","2021","20210813","2","6.5","87","","134","",".84","","","제주특별자치도 서귀포시 성산읍 오조리 1197"
"43","5013025922","2021","20210813","2","6.6","50","","108","",".69","","","제주특별자치도 서귀포시 성산읍 오조리 1207-1"
"44","5013025922","2021","20211014","2","6","1","","75","","1.17","","","제주특별자치도 서귀포시 성산읍 오조리 1598"
"45","5013025922","2021","20211014","2","6.1","1","","134","",".85","","","제주특별자치도 서귀포시 성산읍 오조리 1610"
"46","5013025922","2021","20211014","2","6.1","1","","76","","1.29","","","제주특별자치도 서귀포시 성산읍 오조리 1614"
"47","5013025922","2021","20211014","2","6.2","1","","102","","1.08","","","제주특별자치도 서귀포시 성산읍 오조리 1635"
