"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013031023","2020","20201231","2","7.2","244","","55","3.2","1.46","5.8",".2","제주특별자치도 서귀포시 안덕면 감산리 291-1"
"2","5013031023","2020","20201231","2","5.6","586","","36","2.6","1.83","3.8","1.1","제주특별자치도 서귀포시 안덕면 감산리 716-1"
"3","5013031023","2020","20201231","4","5.4","397","","108","1.9",".82","2.3",".2","제주특별자치도 서귀포시 안덕면 감산리 152"
"4","5013031023","2020","20201231","4","5.1","421","","110",".8",".49","1.5",".2","제주특별자치도 서귀포시 안덕면 감산리 167-1"
"5","5013031023","2020","20201231","4","6.1","366","","87","1.6",".55","4.4",".2","제주특별자치도 서귀포시 안덕면 감산리 126-3"
"6","5013031023","2020","20201231","4","4.9","560","","94",".6",".42","1.1",".4","제주특별자치도 서귀포시 안덕면 감산리 1700"
"7","5013031023","2020","20201231","4","5.8","152","","56",".8",".56","2.3",".1","제주특별자치도 서귀포시 안덕면 감산리 1721"
"8","5013031023","2020","20201231","4","4.8","778","","29","1.5","1.57","2","1.1","제주특별자치도 서귀포시 안덕면 감산리 1395-5"
"9","5013031023","2020","20201231","4","5.1","352","","48",".6",".36",".8",".1","제주특별자치도 서귀포시 안덕면 감산리 1234-1"
"10","5013031023","2020","20201231","4","5.2","461","","64",".8",".24","1.4",".1","제주특별자치도 서귀포시 안덕면 감산리 1771-1"
"11","5013031023","2020","20201231","4","6.2","762","","45","1.9","1.05","4",".2","제주특별자치도 서귀포시 안덕면 감산리 1774-1"
"12","5013031023","2020","20201231","4","5.5","572","","129","1.5",".45","3.3",".2","제주특별자치도 서귀포시 안덕면 감산리 570-1"
"13","5013031023","2020","20201231","4","5","497","","90",".4",".37","1",".2","제주특별자치도 서귀포시 안덕면 감산리 574-1"
"14","5013031023","2020","20201231","4","4.7","524","","58",".7",".67","1",".2","제주특별자치도 서귀포시 안덕면 감산리 728"
"15","5013031023","2020","20201231","4","5.3","245","","22","2.1","1.43","3.5",".4","제주특별자치도 서귀포시 안덕면 감산리 806"
"16","5013031023","2020","20200602","4","6.4","405","","68","2.8","4.62","6.6",".55","제주특별자치도 서귀포시 안덕면 감산리 1430"
"17","5013031023","2020","20200602","4","5.5","870","","67","1.5",".87","3.1",".22","제주특별자치도 서귀포시 안덕면 감산리 1434"
"18","5013031023","2020","20200602","4","6.1","803","","63","2.3","1.95","5.1",".27","제주특별자치도 서귀포시 안덕면 감산리 1441"
"19","5013031023","2020","20200602","4","5.7","893","","96","1.9",".89","4.6",".43","제주특별자치도 서귀포시 안덕면 감산리 1444"
"20","5013031023","2020","20200602","4","5.3","1181","","143","1.4","1.21","4.3",".43","제주특별자치도 서귀포시 안덕면 감산리 1445"
"21","5013031023","2020","20200923","2","7.4","241","","34","3.4","2.17","6.3",".4","제주특별자치도 서귀포시 안덕면 감산리 1047"
"22","5013031023","2020","20200923","2","6.6","165","","47","3.1","2.38","4.8",".4","제주특별자치도 서귀포시 안덕면 감산리 1069"
"23","5013031023","2020","20200923","2","6.6","643","","39","1.9","1.33","5.2",".4","제주특별자치도 서귀포시 안덕면 감산리 1043"
"24","5013031023","2020","20200923","2","6.3","326","","42","2.9","1.61","4.7",".4","제주특별자치도 서귀포시 안덕면 감산리 1064"
"25","5013031023","2020","20201207","2","6.5","1714","","72","4.51","3.52","12.46","1.19","제주특별자치도 서귀포시 안덕면 감산리 577-1"
"26","5013031023","2020","20201207","2","5","542","","26","1.5","1.55","3.84","1","제주특별자치도 서귀포시 안덕면 감산리 577-1"
"27","5013031023","2020","20200401","3","4.1","925","","60","1.6","3.1","2.8","2.2","제주특별자치도 서귀포시 안덕면 감산리 792"
"28","5013031023","2020","20200617","3","5.2","522","","94","3.1",".23","5.1",".1","제주특별자치도 서귀포시 안덕면 감산리 239-1"
"29","5013031023","2020","20201208","3","5.7","785","","59","1.9","2.28","4","1.3","제주특별자치도 서귀포시 안덕면 감산리 431-1"
"30","5013031023","2020","20200218","4","6.7","377","","111","2.1","1.56","7.8",".2","제주특별자치도 서귀포시 안덕면 감산리 1125-2"
"31","5013031023","2020","20200701","4","5.4","182.4","","103.5","3.78","1.57","8.43","2.7","제주특별자치도 서귀포시 안덕면 감산리 323-1"
"32","5013031023","2020","20200827","4","6.4","264","","70","1.1","1.43","4.8",".3","제주특별자치도 서귀포시 안덕면 감산리 495"
"33","5013031023","2020","20200827","4","5","754","","52",".5",".78","1.6",".2","제주특별자치도 서귀포시 안덕면 감산리 497"
"34","5013031023","2020","20201102","4","5.5","10","","132",".9",".85","4.7",".5","제주특별자치도 서귀포시 안덕면 감산리 1545"
"35","5013031023","2020","20200915","2","5.6","45","","75",".54","1.04","3.81",".4","제주특별자치도 서귀포시 안덕면 감산리 362-1"
"36","5013031023","2020","20200915","2","7.6","283","","34","4.77","2.61","10.14",".8","제주특별자치도 서귀포시 안덕면 감산리 1920"
"37","5013031023","2020","20200915","2","5.5","10","","23","2.39",".4","4.19",".2","제주특별자치도 서귀포시 안덕면 감산리 613"
"38","5013031023","2020","20200916","2","6","51.2","","32.5","2.12","1.984","4.97",".47","제주특별자치도 서귀포시 안덕면 감산리 1065"
"39","5013031023","2020","20200929","2","5.5","160.4","","109.3","1.6",".994","2.76",".45","제주특별자치도 서귀포시 안덕면 감산리 180"
