"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013031021","2020","20201231","2","4.7","195","","66",".9","1.37","1.1","1.2","제주특별자치도 서귀포시 안덕면 화순리 1865-1"
"2","5013031021","2020","20201231","3","4.6","543","","125","2.1","1.99","2.5","3.8","제주특별자치도 서귀포시 안덕면 화순리 1572-1"
"3","5013031021","2020","20201231","3","5.6","447","","106","1.7",".77","3.6",".2","제주특별자치도 서귀포시 안덕면 화순리 1685"
"4","5013031021","2020","20201231","4","4.9","379","","169","1.2",".81","1.3",".5","제주특별자치도 서귀포시 안덕면 화순리 76-6"
"5","5013031021","2020","20201231","4","5.4","305","","157","2",".55","3",".4","제주특별자치도 서귀포시 안덕면 화순리 7-1"
"6","5013031021","2020","20201231","4","5.4","414","","129","1.1",".63","1.9",".2","제주특별자치도 서귀포시 안덕면 화순리 9-1"
"7","5013031021","2020","20201231","4","5.8","283","","100",".9",".86","3.8",".6","제주특별자치도 서귀포시 안덕면 화순리 1631-1"
"8","5013031021","2020","20201231","4","5.6","814","","87","1.7","1.76","4.6",".3","제주특별자치도 서귀포시 안덕면 화순리 1832"
"9","5013031021","2020","20201231","4","5.4","213","","80",".9",".97",".9",".2","제주특별자치도 서귀포시 안덕면 화순리 1788"
"10","5013031021","2020","20201231","4","6.5","488","","86","2.4",".93","7.8",".3","제주특별자치도 서귀포시 안덕면 화순리 174-4"
"11","5013031021","2020","20201231","4","7","475","","26","2.8","2.09","6.6",".2","제주특별자치도 서귀포시 안덕면 화순리 455-1"
"12","5013031021","2020","20201231","4","5.1","556","","87","1.2",".91",".7",".2","제주특별자치도 서귀포시 안덕면 화순리 267-3"
"13","5013031021","2020","20201231","4","5.5","753","","88","1.3","1.1","2.8",".2","제주특별자치도 서귀포시 안덕면 화순리 162-1"
"14","5013031021","2020","20200326","2","6.1","221","","51","4.5","2.31","13.9",".4","제주특별자치도 서귀포시 안덕면 화순리 1884-1"
"15","5013031021","2020","20200728","3","7.9","683","","101","1.2","2.11","7.9",".6","제주특별자치도 서귀포시 안덕면 화순리 174-6"
"16","5013031021","2020","20200731","3","5","103","","108","1.2","1.05",".9",".8","제주특별자치도 서귀포시 안덕면 화순리 1654-1"
"17","5013031021","2020","20201126","3","5.6","570","","30","5.1","2.49","8.7","8.9","제주특별자치도 서귀포시 안덕면 화순리 706"
"18","5013031021","2020","20201126","3","6","308","","23","11.4","2.05","12.2","10","제주특별자치도 서귀포시 안덕면 화순리 719-1"
"19","5013031021","2020","20201228","3","5","249","","58","3.8","2.8","5.6","6.4","제주특별자치도 서귀포시 안덕면 화순리 695"
"20","5013031021","2020","20201228","3","5.1","902","","24","2.8","3.74","4.5","4.6","제주특별자치도 서귀포시 안덕면 화순리 703"
"21","5013031021","2020","20201228","3","5.9","549","","25","3.5","1.66","6","1.6","제주특별자치도 서귀포시 안덕면 화순리 715"
"22","5013031021","2020","20201228","3","6.4","550","","24","3","1.15","4.4",".4","제주특별자치도 서귀포시 안덕면 화순리 716"
"23","5013031021","2020","20200110","4","5.7","162","","101","1.5","1.07","6",".17","제주특별자치도 서귀포시 안덕면 화순리 1642"
"24","5013031021","2020","20200728","4","6.2","229","","124",".5",".48","5.3",".2","제주특별자치도 서귀포시 안덕면 화순리 165-1"
"25","5013031021","2020","20200825","4","5.7","10","","72","2.9",".49","1.7",".2","제주특별자치도 서귀포시 안덕면 화순리 182"
"26","5013031021","2020","20200825","4","5.7","10","","69","2.9",".54","1.6",".1","제주특별자치도 서귀포시 안덕면 화순리 184"
"27","5013031021","2020","20200825","4","5.7","10","","63","2.8",".5","1.6",".1","제주특별자치도 서귀포시 안덕면 화순리 193"
"28","5013031021","2020","20200825","4","5.7","10","","63","2.8",".48","1.7",".2","제주특별자치도 서귀포시 안덕면 화순리 197-1"
"29","5013031021","2020","20200825","4","5.4","28","","80","1.8",".6","1.1",".3","제주특별자치도 서귀포시 안덕면 화순리 210"
"30","5013031021","2020","20200825","4","5.4","41","","66","1.4",".34","1.5",".2","제주특별자치도 서귀포시 안덕면 화순리 215"
"31","5013031021","2020","20200825","4","5","569","","59",".9",".27",".7",".2","제주특별자치도 서귀포시 안덕면 화순리 220"
"32","5013031021","2020","20201126","4","5.2","296","","85",".8",".77","1",".2","제주특별자치도 서귀포시 안덕면 화순리 396-1"
"33","5013031021","2020","20201126","4","7.7","260","","56","2.9","1.63","11.7",".4","제주특별자치도 서귀포시 안덕면 화순리 399-1"
"34","5013031021","2020","20201126","4","5.9","242","","72","2",".67","4.7",".2","제주특별자치도 서귀포시 안덕면 화순리 1234-1"
"35","5013031021","2020","20201126","4","5.7","203","","153","3","3.09","3.2",".8","제주특별자치도 서귀포시 안덕면 화순리 1583-1"
"36","5013031021","2020","20201126","4","5.4","224","","103","2.6","3.88","1.8","1","제주특별자치도 서귀포시 안덕면 화순리 1583-1"
"37","5013031021","2020","20201126","4","6","493","","117","1",".61","10.2",".5","제주특별자치도 서귀포시 안덕면 화순리 1219"
"38","5013031021","2020","20201211","4","5.6","862","","88","1.4","1.27","4.6",".2","제주특별자치도 서귀포시 안덕면 화순리 1832"
"39","5013031021","2020","20200915","2","5.6","45","","75",".54","1.04","3.81",".4","제주특별자치도 서귀포시 안덕면 화순리 1779-3"
"40","5013031021","2020","20200915","2","6","386","","32","2.25","1.58","4.78",".2","제주특별자치도 서귀포시 안덕면 화순리 916"
"41","5013031021","2020","20200915","2","7","323","","29","3.71","2.12","9.12",".5","제주특별자치도 서귀포시 안덕면 화순리 775-3"
"42","5013031021","2020","20200915","2","6.4","297","","42","2.63","1.58","8.88",".4","제주특별자치도 서귀포시 안덕면 화순리 763-6"
"43","5013031021","2020","20200915","2","7.7","513","","31","3.59","1.74","15.95",".6","제주특별자치도 서귀포시 안덕면 화순리 747"
"44","5013031021","2020","20200915","2","5.8","453","","38","2.53","1.94","6.38",".6","제주특별자치도 서귀포시 안덕면 화순리 521"
"45","5013031021","2020","20201217","2","6.6","265","","39","3.34","1.68","8.06",".4","제주특별자치도 서귀포시 안덕면 화순리 563"
"46","5013031021","2020","20200915","2","6.7","134","","11","1.42","1.48","3.63",".2","제주특별자치도 서귀포시 안덕면 화순리 268-3"
"47","5013031021","2020","20200929","2","7.5","926.7","","46.2","5.32","1.945","13.88",".47","제주특별자치도 서귀포시 안덕면 화순리 1035-3"
"48","5013031021","2021","20211207","2","4.5","715","","105","",".52","","","제주특별자치도 서귀포시 안덕면 화순리 740"
"49","5013031021","2021","20211207","2","6.7","658","","29","","1.27","","","제주특별자치도 서귀포시 안덕면 화순리 650-2"
"50","5013031021","2021","20211207","2","6.8","740","","61","",".62","","","제주특별자치도 서귀포시 안덕면 화순리 1884-1"
"51","5013031021","2021","20211207","2","6.6","498","","34","","1.44","","","제주특별자치도 서귀포시 안덕면 화순리 1881-1"
"52","5013031021","2021","20211213","3","5.4","346","","178","","1.02","","","제주특별자치도 서귀포시 안덕면 화순리 1548-1"
"53","5013031021","2021","20211213","3","5.1","837","","116","",".98","","","제주특별자치도 서귀포시 안덕면 화순리 1778"
"54","5013031021","2021","20211213","4","5.1","480","","86","",".65","","","제주특별자치도 서귀포시 안덕면 화순리 95"
"55","5013031021","2021","20211213","4","5.1","633","","105","",".15","","","제주특별자치도 서귀포시 안덕면 화순리 80"
"56","5013031021","2021","20211213","4","5","79","","85","",".43","","","제주특별자치도 서귀포시 안덕면 화순리 76-4"
"57","5013031021","2021","20211213","4","5.7","178","","105","",".6","","","제주특별자치도 서귀포시 안덕면 화순리 1695-3"
"58","5013031021","2021","20211213","4","4.8","482","","87","",".4","","","제주특별자치도 서귀포시 안덕면 화순리 29-1"
"59","5013031021","2021","20211213","4","6.2","288","","85","","1.18","","","제주특별자치도 서귀포시 안덕면 화순리 46-1"
"60","5013031021","2021","20211213","4","7","624","","17","","1.22","","","제주특별자치도 서귀포시 안덕면 화순리 176-1"
"61","5013031021","2021","20211213","4","5.3","238","","31","","1.33","","","제주특별자치도 서귀포시 안덕면 화순리 1779-3"
"62","5013031021","2021","20210709","3","7.5","893","","96","3.5","2.9","4.3",".9","제주특별자치도 서귀포시 안덕면 화순리 174-6"
"63","5013031021","2021","20210709","4","6.8","145","","95","2.1",".41","4.2",".3","제주특별자치도 서귀포시 안덕면 화순리 165-1"
"64","5013031021","2021","20210903","4","6.3","38","","21","2.6",".74","3.7",".72","제주특별자치도 서귀포시 안덕면 화순리 215"
"65","5013031021","2021","20210903","4","6.9","74","","23","2.6",".84","3.2",".98","제주특별자치도 서귀포시 안덕면 화순리 220"
"66","5013031021","2021","20210903","4","5.5","375","","59","1.9",".79","2.8",".88","제주특별자치도 서귀포시 안덕면 화순리 197-1"
"67","5013031021","2021","20210903","4","6.4","28","","20","2.7",".54","4.3",".72","제주특별자치도 서귀포시 안덕면 화순리 184"
"68","5013031021","2021","20210903","4","6.3","13","","12","2.5",".39","3.6",".7","제주특별자치도 서귀포시 안덕면 화순리 182"
"69","5013031021","2021","20210903","4","6","10","","15","2.4",".33","3.4",".65","제주특별자치도 서귀포시 안덕면 화순리 220-1"
"70","5013031021","2021","20210903","4","6","16","","14","3.2",".55","2.5",".67","제주특별자치도 서귀포시 안덕면 화순리 1108-1"
"71","5013031021","2021","20210316","2","6.2","168","","40","8.6","2.23",".2","1.4","제주특별자치도 서귀포시 안덕면 화순리 1884-1"
"72","5013031021","2021","20210423","2","7.8","929","","50",".6",".98","17.2",".3","제주특별자치도 서귀포시 안덕면 화순리 708-2"
"73","5013031021","2021","20210204","3","4.6","502","","248","2.3","1.25","7.1","1.4","제주특별자치도 서귀포시 안덕면 화순리 1778"
"74","5013031021","2021","20210324","3","4.7","1178","","192","3.7","2.91","3.9","2.6","제주특별자치도 서귀포시 안덕면 화순리 1548-1"
"75","5013031021","2021","20210324","3","5.2","202","","166","4.6","4","4.3","4","제주특별자치도 서귀포시 안덕면 화순리 1552"
"76","5013031021","2021","20210324","3","4.8","770","","185","5.4","3.95","4.7","6.5","제주특별자치도 서귀포시 안덕면 화순리 1528"
"77","5013031021","2021","20210324","3","5.5","728","","163","1.7","4.37","10.4","6","제주특별자치도 서귀포시 안덕면 화순리 1536"
"78","5013031021","2021","20210324","3","5.2","1125","","191","5.8","3.18","9.4","3.7","제주특별자치도 서귀포시 안덕면 화순리 1552"
"79","5013031021","2021","20210324","3","4.9","666","","154","5.7","2.96","6.6","7.4","제주특별자치도 서귀포시 안덕면 화순리 1548-1"
"80","5013031021","2021","20210324","3","5.1","351","","192","5.8","3.02","7.8","7.1","제주특별자치도 서귀포시 안덕면 화순리 1550"
"81","5013031021","2021","20210324","3","5.2","752","","170","3.8","1.43","7.2","6.4","제주특별자치도 서귀포시 안덕면 화순리 1528"
"82","5013031021","2021","20211214","3","6","1042","","46","2.4","2.98","15.3","1.72","제주특별자치도 서귀포시 안덕면 화순리 790"
"83","5013031021","2021","20210115","4","6","158","","129",".4",".31","5.1",".4","제주특별자치도 서귀포시 안덕면 화순리 1642"
"84","5013031021","2021","20210215","4","6.7","625","","85","1.1",".67","10.2",".21","제주특별자치도 서귀포시 안덕면 화순리 1007"
"85","5013031021","2021","20210423","4","5.3","528","","70",".3",".16","2.5",".1","제주특별자치도 서귀포시 안덕면 화순리 1238-1"
"86","5013031021","2021","20210521","4","6.6","632","","37","3.6","2.06","10",".5","제주특별자치도 서귀포시 안덕면 화순리 544-1"
"87","5013031021","2021","20211105","4","5.4","846.4","","112.8","2.5","1.23","12.03",".4","제주특별자치도 서귀포시 안덕면 화순리 1219"
"88","5013031021","2021","20211214","4","5","1359","","165","4.3","5.49","30","12.52","제주특별자치도 서귀포시 안덕면 화순리 1594-1"
"89","5013031021","2022","20220719","3","7.7","763","","66","2.8","2.02","19.9",".78","제주특별자치도 서귀포시 안덕면 화순리 174-6"
"90","5013031021","2022","20220719","4","5.8","217","","92","1.7","1.73","8.7",".76","제주특별자치도 서귀포시 안덕면 화순리 165-1"
"91","5013031021","2022","20220823","2","5.1","192","","66","1.1",".76","3",".51","제주특별자치도 서귀포시 안덕면 화순리 1434"
"92","5013031021","2022","20221212","2","7.4","77","","30","2.7","1.58","12.8",".28","제주특별자치도 서귀포시 안덕면 화순리 118-1"
"93","5013031021","2022","20221019","4","6.1","88","","23","2.3",".49","4.8",".32","제주특별자치도 서귀포시 안덕면 화순리 220"
"94","5013031021","2022","20221019","4","6","77","","24","2.1",".68","4.8",".35","제주특별자치도 서귀포시 안덕면 화순리 182"
"95","5013031021","2022","20221019","4","6.5","57","","21","2.7",".18","4.6",".2","제주특별자치도 서귀포시 안덕면 화순리 215"
"96","5013031021","2022","20221019","4","6","90","","22","2.1",".7","4.7",".35","제주특별자치도 서귀포시 안덕면 화순리 197-1"
"97","5013031021","2022","20220113","2","5.9","105","","87","1.6","1.41","11.8","1.12","제주특별자치도 서귀포시 안덕면 화순리 1635-1"
"98","5013031021","2022","20220113","2","6.5","118","","61","2.3","1.66","11","1.24","제주특별자치도 서귀포시 안덕면 화순리 399-2"
"99","5013031021","2022","20220516","2","6.5","703","","47.7","3.81","2.11","10.71",".5","제주특별자치도 서귀포시 안덕면 화순리 563"
"100","5013031021","2022","20220927","2","6.7","255","","11","3.7","1.04","1.1",".25","제주특별자치도 서귀포시 안덕면 화순리 714"
"101","5013031021","2022","20220503","3","5.4","65","","107",".9",".41","3.9","1.07","제주특별자치도 서귀포시 안덕면 화순리 1558-1"
"102","5013031021","2022","20220503","3","5.9","24","","73","1.2",".53","4.2","1.01","제주특별자치도 서귀포시 안덕면 화순리 1558-1"
"103","5013031021","2022","20220503","3","4.8","1045","","65","2.1","3.51","4.6","4.77","제주특별자치도 서귀포시 안덕면 화순리 790"
"104","5013031021","2022","20220503","3","5.2","1244","","172","3.4","4.42","12.7","7.45","제주특별자치도 서귀포시 안덕면 화순리 1594-1"
"105","5013031021","2022","20220531","3","4.8","869","","27","1.2","1.8","4.4","1.58","제주특별자치도 서귀포시 안덕면 화순리 538"
