"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013032021","2020","20201111","2","5.9","158","","97","","1.29","","","제주특별자치도 서귀포시 표선면 표선리 368-5"
"2","5013032021","2020","20201111","2","5.4","131","","99","","1.39","","","제주특별자치도 서귀포시 표선면 표선리 2830"
"3","5013032021","2020","20201124","2","6.5","107","","109","","1.15","","","제주특별자치도 서귀포시 표선면 표선리 2772-1"
"4","5013032021","2020","20201023","4","4.9","398","","139","",".51","","","제주특별자치도 서귀포시 표선면 표선리 149"
"5","5013032021","2020","20201023","4","4.2","423","","129","","1.33","","","제주특별자치도 서귀포시 표선면 표선리 155-1"
"6","5013032021","2020","20201023","4","6.2","47","","148","",".44","","","제주특별자치도 서귀포시 표선면 표선리 124-3"
"7","5013032021","2020","20201023","4","5.1","362","","154","",".49","","","제주특별자치도 서귀포시 표선면 표선리 340-2"
"8","5013032021","2020","20201023","4","5.5","18","","187","",".32","","","제주특별자치도 서귀포시 표선면 표선리 213-2"
"9","5013032021","2020","20201023","4","4.4","879","","150","",".85","","","제주특별자치도 서귀포시 표선면 표선리 254-2"
"10","5013032021","2020","20201109","4","5.3","286","","184","",".23","","","제주특별자치도 서귀포시 표선면 표선리 181-10"
"11","5013032021","2020","20201110","4","5.7","175","","108","",".38","","","제주특별자치도 서귀포시 표선면 표선리 360"
"12","5013032021","2020","20201110","4","6.5","173","","161","",".84","","","제주특별자치도 서귀포시 표선면 표선리 355-2"
"13","5013032021","2020","20201111","4","4.8","703","","121","",".41","","","제주특별자치도 서귀포시 표선면 표선리 386-4"
"14","5013032021","2020","20201111","4","4.7","560","","161","",".41","","","제주특별자치도 서귀포시 표선면 표선리 335"
"15","5013032021","2020","20201111","4","5.1","1049","","151","",".6","","","제주특별자치도 서귀포시 표선면 표선리 387-2"
"16","5013032021","2020","20201111","4","5.4","10","","128","",".79","","","제주특별자치도 서귀포시 표선면 표선리 371"
"17","5013032021","2020","20201111","4","5","547","","154","",".29","","","제주특별자치도 서귀포시 표선면 표선리 358-1"
"18","5013032021","2020","20201111","4","4.9","272","","156","",".26","","","제주특별자치도 서귀포시 표선면 표선리 2585"
"19","5013032021","2020","20201111","4","4.5","363","","145","",".15","","","제주특별자치도 서귀포시 표선면 표선리 2039-3"
"20","5013032021","2020","20201111","4","4.6","110","","150","",".07","","","제주특별자치도 서귀포시 표선면 표선리 2517-1"
"21","5013032021","2020","20201111","4","6.2","340","","163","",".85","","","제주특별자치도 서귀포시 표선면 표선리 2092-4"
"22","5013032021","2020","20201111","4","4.7","332","","169","",".15","","","제주특별자치도 서귀포시 표선면 표선리 2271-5"
"23","5013032021","2020","20201111","4","5.1","324","","107","",".06","","","제주특별자치도 서귀포시 표선면 표선리 1782-3"
"24","5013032021","2020","20201111","4","5","122","","159","",".11","","","제주특별자치도 서귀포시 표선면 표선리 1776-8"
"25","5013032021","2020","20201111","4","6.4","189","","109","",".47","","","제주특별자치도 서귀포시 표선면 표선리 2582-1"
"26","5013032021","2020","20201111","4","4.9","406","","144","",".1","","","제주특별자치도 서귀포시 표선면 표선리 2561"
"27","5013032021","2020","20201111","4","5.7","205","","89","",".93","","","제주특별자치도 서귀포시 표선면 표선리 2874-1"
"28","5013032021","2020","20201111","4","6.1","113","","123","",".22","","","제주특별자치도 서귀포시 표선면 표선리 2560"
