"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5013025328","2020","20200929","3","6.7","91","","118","","2.86","","","제주특별자치도 서귀포시 남원읍 하례리 1009"
"2","5013025328","2020","20200929","3","4.9","276","","197","",".32","","","제주특별자치도 서귀포시 남원읍 하례리 1481-1"
"3","5013025328","2020","20200929","3","5.7","76","","156","","1.01","","","제주특별자치도 서귀포시 남원읍 하례리 1566-1"
"4","5013025328","2020","20200929","3","4.9","876","","98","",".37","","","제주특별자치도 서귀포시 남원읍 하례리 227"
"5","5013025328","2020","20200929","3","4.8","632","","120","","1.06","","","제주특별자치도 서귀포시 남원읍 하례리 505"
"6","5013025328","2020","20200929","3","4.7","155","","195","",".77","","","제주특별자치도 서귀포시 남원읍 하례리 68-1"
"7","5013025328","2020","20200929","3","5.5","1236","","201","","3.71","","","제주특별자치도 서귀포시 남원읍 하례리 814"
"8","5013025328","2020","20200929","3","4.9","810","","187","","4.51","","","제주특별자치도 서귀포시 남원읍 하례리 933-1"
"9","5013025328","2020","20200929","4","4.5","589","","100","",".79","","","제주특별자치도 서귀포시 남원읍 하례리 1095"
"10","5013025328","2020","20200929","4","5.4","275","","118","",".94","","","제주특별자치도 서귀포시 남원읍 하례리 1413"
"11","5013025328","2020","20200929","4","4.5","740","","82","",".35","","","제주특별자치도 서귀포시 남원읍 하례리 378-5"
"12","5013025328","2020","20200929","4","6.1","265","","134","",".96","","","제주특별자치도 서귀포시 남원읍 하례리 537"
"13","5013025328","2020","20200929","4","4.4","983","","109","",".78","","","제주특별자치도 서귀포시 남원읍 하례리 925"
"14","5013025328","2020","20200929","4","4.8","442","","126","",".26","","","제주특별자치도 서귀포시 남원읍 하례리 797-5"
"15","5013025328","2020","20200929","4","5.2","507","","71","",".23","","","제주특별자치도 서귀포시 남원읍 하례리 95-19"
"16","5013025328","2020","20200605","2","6.2","10","","196",".2",".07",".5",".11","제주특별자치도 서귀포시 남원읍 하례리 1008-2"
