"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011031023","2020","20201231","2","5.5","373","","38","2.9","2.42","4.2","3.9","제주특별자치도 제주시 한경면 고산리 918"
"2","5011031023","2020","20201231","2","5","689","","23","1.5","1.66","3.2",".5","제주특별자치도 제주시 한경면 고산리 927"
"3","5011031023","2020","20201231","2","6.8","398","","24","3.8","1.42","8.1",".6","제주특별자치도 제주시 한경면 고산리 1438-1"
"4","5011031023","2020","20201231","2","6.8","289","","19","2.8",".86","5.5",".4","제주특별자치도 제주시 한경면 고산리 1404-1"
"5","5011031023","2020","20201231","2","6.5","426","","23","3.1","1.28","4.8","1.2","제주특별자치도 제주시 한경면 고산리 1152"
"6","5011031023","2020","20201231","2","6.6","538","","22","2.5","2.17","7.1",".6","제주특별자치도 제주시 한경면 고산리 1229-1"
"7","5011031023","2020","20201231","2","6.4","654","","17","2.3","1.29","4.5",".2","제주특별자치도 제주시 한경면 고산리 1669-9"
"8","5011031023","2020","20201231","2","5.8","622","","16","2.6","1.86","3.7","1.5","제주특별자치도 제주시 한경면 고산리 1670-4"
"9","5011031023","2020","20201231","2","6","479","","22","2.3",".63","2.9",".4","제주특별자치도 제주시 한경면 고산리 3149-11"
"10","5011031023","2020","20201231","2","5.6","495","","23","2.5","1.61","4.2","1","제주특별자치도 제주시 한경면 고산리 1673-1"
"11","5011031023","2020","20201231","2","6.3","397","","23","1.8","1.58","7","2.3","제주특별자치도 제주시 한경면 고산리 3419-1"
"12","5011031023","2020","20201231","2","5.9","93","","62","3.4","2.15","5.9",".7","제주특별자치도 제주시 한경면 고산리 3415-3"
"13","5011031023","2020","20201231","2","5.7","38","","62","1.6","1.59","1.9",".4","제주특별자치도 제주시 한경면 고산리 3427-2"
"14","5011031023","2020","20201231","4","5.9","949","","27","1.2",".83","3.6",".1","제주특별자치도 제주시 한경면 고산리 159-1"
"15","5011031023","2020","20200130","2","4.7","264","","21",".7","1.02","1.8",".3","제주특별자치도 제주시 한경면 고산리 993"
"16","5011031023","2020","20200204","2","6","85","","69","1.2","3.26","8.7",".4","제주특별자치도 제주시 한경면 고산리 3675-11"
"17","5011031023","2020","20200204","2","5.6","72","","57",".8","2.06","5.5",".4","제주특별자치도 제주시 한경면 고산리 3427-35"
"18","5011031023","2020","20200312","2","7.1","532","","20","2","1.88","8.7",".2","제주특별자치도 제주시 한경면 고산리 473"
"19","5011031023","2020","20200312","2","7.4","226","","30","2.3","1.97","8.3",".2","제주특별자치도 제주시 한경면 고산리 473"
"20","5011031023","2020","20200401","2","5.7","679","","117","1.9","1.42","4.3",".8","제주특별자치도 제주시 한경면 고산리 2583"
"21","5011031023","2020","20200401","2","6.3","131","","50","2","1.24","6.1",".1","제주특별자치도 제주시 한경면 고산리 3138-7"
"22","5011031023","2020","20200504","2","8","598","","26","2.9","1.25","13.9",".5","제주특별자치도 제주시 한경면 고산리 109-1"
