"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025929","2020","20200911","2","6","10","","155",".6",".32","4.6",".22","제주특별자치도 제주시 조천읍 교래리 7-1"
"2","5011025929","2020","20200911","2","6.3","10","","93",".6",".28","5",".1","제주특별자치도 제주시 조천읍 교래리 86"
"3","5011025929","2020","20200911","2","5.8","73","","300",".6",".36","9.3",".17","제주특별자치도 제주시 조천읍 교래리 11-7"
"4","5011025929","2020","20200317","2","5.6","13","","273","1.8",".51","6.5",".3","제주특별자치도 제주시 조천읍 교래리 137-1"
"5","5011025929","2020","20200317","2","5.6","13","","201",".8",".35","1.3",".2","제주특별자치도 제주시 조천읍 교래리 137-1"
"6","5011025929","2020","20200317","2","5.2","14","","300","1.9",".66","4.9",".4","제주특별자치도 제주시 조천읍 교래리 137-1"
"7","5011025929","2020","20200317","2","5.8","16","","291","5.2",".47","8.4",".4","제주특별자치도 제주시 조천읍 교래리 137-1"
"8","5011025929","2020","20200902","2","5.8","10","","239",".8",".55","1.7",".2","제주특별자치도 제주시 조천읍 교래리 9-7"
"9","5011025929","2020","20200902","2","5.7","10","","247",".2",".59",".2",".2","제주특별자치도 제주시 조천읍 교래리 9-7"
"10","5011025929","2020","20200902","2","5.3","10","","248",".4",".58",".5",".1","제주특별자치도 제주시 조천읍 교래리 9-8"
"11","5011025929","2020","20201106","2","6","21","","148",".6",".71","5.9",".2","제주특별자치도 제주시 조천읍 교래리 667-1"
"12","5011025929","2020","20201120","2","5.6","28","","221",".2",".05",".9",".2","제주특별자치도 제주시 조천읍 교래리 371"
"13","5011025929","2020","20201120","2","5.6","24","","240",".1",".04",".7",".4","제주특별자치도 제주시 조천읍 교래리 143"
"14","5011025929","2020","20201120","2","5.6","28","","221",".2",".05",".9",".2","제주특별자치도 제주시 조천읍 교래리 388"
"15","5011025929","2020","20201211","2","6.3","10","","300","1.5",".41","14.6",".7","제주특별자치도 제주시 조천읍 교래리 46"
"16","5011025929","2020","20200902","4","5.8","10","","244","1.9",".58",".5",".2","제주특별자치도 제주시 조천읍 교래리 9-7"
"17","5011025929","2020","20200902","4","5.4","10","","244","1",".59",".9",".1","제주특별자치도 제주시 조천읍 교래리 9"
"18","5011025929","2020","20200902","4","5.4","10","","244",".2",".56",".1",".2","제주특별자치도 제주시 조천읍 교래리 9"
"19","5011025929","2020","20200902","4","5.5","10","","165",".4",".57",".5",".2","제주특별자치도 제주시 조천읍 교래리 100"
"20","5011025929","2020","20200902","4","5.6","10","","248",".7",".55","1.4",".1","제주특별자치도 제주시 조천읍 교래리 10-1"
"21","5011025929","2020","20200218","2","5.4","216","","106","1",".39","5.9",".6","제주특별자치도 제주시 조천읍 교래리 39"
"22","5011025929","2020","20200218","2","6.3","251","","112","1.2",".49","8.2",".6","제주특별자치도 제주시 조천읍 교래리 76"
"23","5011025929","2020","20200218","2","6.2","177","","106","1.7",".68","8",".6","제주특별자치도 제주시 조천읍 교래리 82"
"24","5011025929","2020","20200409","2","5.5","10","","92",".8",".24","1.6",".5","제주특별자치도 제주시 조천읍 교래리 93"
"25","5011025929","2020","20200409","2","5.5","10","","100",".7",".22","1.5",".5","제주특별자치도 제주시 조천읍 교래리 119"
"26","5011025929","2020","20200706","2","6.1","35","","155","2.9","1.18","9.6",".5","제주특별자치도 제주시 조천읍 교래리 172"
"27","5011025929","2020","20200706","2","6.1","33","","154","3.1","1.11","9",".5","제주특별자치도 제주시 조천읍 교래리 262"
"28","5011025929","2020","20200706","2","6.1","33","","154","3","1.37","10.3",".5","제주특별자치도 제주시 조천읍 교래리 326"
"29","5011025929","2020","20200706","2","6.1","33","","158","3.3","1.11","8.8",".5","제주특별자치도 제주시 조천읍 교래리 327"
"30","5011025929","2020","20200706","2","6.1","32","","157","3.5","1.05","9.1",".5","제주특별자치도 제주시 조천읍 교래리 328"
"31","5011025929","2020","20200706","2","6","30","","159","2.7",".95","6.8",".5","제주특별자치도 제주시 조천읍 교래리 329"
"32","5011025929","2020","20200706","2","6.1","31","","151","2.6",".98","7",".4","제주특별자치도 제주시 조천읍 교래리 336"
