"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025021","2020","20201231","2","6.3","655","","63","3.1","1.02","5.1",".2","제주특별자치도 제주시 한림읍 귀덕리 153"
"2","5011025021","2020","20201231","2","4.9","1371","","50","1.3",".97","1",".9","제주특별자치도 제주시 한림읍 귀덕리 447-1"
"3","5011025021","2020","20201231","2","6.1","963","","59","3.4","1.67","4.8","1.2","제주특별자치도 제주시 한림읍 귀덕리 449-4"
"4","5011025021","2020","20201231","2","5.4","1084","","59","1.3","1.19","1.3","1.7","제주특별자치도 제주시 한림읍 귀덕리 454"
"5","5011025021","2020","20201231","2","6.2","1350","","52","2.5","1.23","4.7","1","제주특별자치도 제주시 한림읍 귀덕리 1000-2"
"6","5011025021","2020","20201231","2","8.2","819","","50","2.3","1.49","9.7",".4","제주특별자치도 제주시 한림읍 귀덕리 1332-1"
"7","5011025021","2020","20201231","2","5.8","1291","","56","2.5","1.1","2.6",".9","제주특별자치도 제주시 한림읍 귀덕리 1454-1"
"8","5011025021","2020","20201231","2","6.4","2108","","76","4","2.48","5.5","2","제주특별자치도 제주시 한림읍 귀덕리 2423-1"
"9","5011025021","2020","20201231","2","5.9","1369","","16","2","1.75","3.2",".2","제주특별자치도 제주시 한림읍 귀덕리 2875-2"
"10","5011025021","2020","20201231","2","6.8","1356","","25","2.4","3.37","2.2","3.3","제주특별자치도 제주시 한림읍 귀덕리 2880-2"
"11","5011025021","2020","20200331","2","6.4","1400","","50","4.5","5.15","25.2","1.7","제주특별자치도 제주시 한림읍 귀덕리 30"
"12","5011025021","2020","20200528","2","7.2","1512","","34","1.8","1.33","12.5",".9","제주특별자치도 제주시 한림읍 귀덕리 1246-1"
"13","5011025021","2020","20200622","2","5.4","1083","","35","3.2","2.22","7.1","3.1","제주특별자치도 제주시 한림읍 귀덕리 862-1"
"14","5011025021","2020","20200622","2","5.8","1019","","32","4.3","2.19","8.8","2.5","제주특별자치도 제주시 한림읍 귀덕리 860"
"15","5011025021","2020","20200622","2","6.6","961","","33","3.3","1.55","11.9",".4","제주특별자치도 제주시 한림읍 귀덕리 881"
"16","5011025021","2020","20200622","2","5.4","1083","","35","3.2","2.22","7.1","3.1","제주특별자치도 제주시 한림읍 귀덕리 862-1"
"17","5011025021","2020","20200622","2","5.8","1019","","32","4.3","2.19","8.8","2.5","제주특별자치도 제주시 한림읍 귀덕리 860"
"18","5011025021","2020","20200622","2","6.6","961","","33","3.3","1.55","11.9",".4","제주특별자치도 제주시 한림읍 귀덕리 881"
"19","5011025021","2020","20200908","2","5.8","495","","154","1.8","1.77","8.4",".6","제주특별자치도 제주시 한림읍 귀덕리 2241"
"20","5011025021","2020","20200908","2","6.8","587","","152","3.4","2.16","13.7",".6","제주특별자치도 제주시 한림읍 귀덕리 58-4"
"21","5011025021","2020","20201008","2","7.2","772","","49","1.1","1.57","11.4",".7","제주특별자치도 제주시 한림읍 귀덕리 30"
"22","5011025021","2020","20201013","2","6.4","683","","31","2.3","1.68","9.5",".7","제주특별자치도 제주시 한림읍 귀덕리 448-12"
