"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025025","2020","20201021","2","6.8","199","","54","2.3","1.09","11.3",".1","제주특별자치도 제주시 한림읍 금악리 1232-2"
"2","5011025025","2020","20201021","2","5.5","364","","62","1.2","1.41","4.6",".3","제주특별자치도 제주시 한림읍 금악리 1696"
"3","5011025025","2020","20201021","2","6.1","274","","51","1.2",".99","4.6",".1","제주특별자치도 제주시 한림읍 금악리 2931-1"
"4","5011025025","2020","20201021","2","5.8","228","","56",".8",".91","4.7",".1","제주특별자치도 제주시 한림읍 금악리 3049-4"
"5","5011025025","2020","20201021","2","7.7","196","","43","2.6","1.01","11",".2","제주특별자치도 제주시 한림읍 금악리 3235-1"
"6","5011025025","2020","20201021","2","6.1","145","","43","2","2.31","13.7",".2","제주특별자치도 제주시 한림읍 금악리 2163"
"7","5011025025","2020","20201231","2","7.1","245","","31","4","1.25","5.9",".2","제주특별자치도 제주시 한림읍 금악리 1971-1"
"8","5011025025","2020","20201231","2","7","534","","50","4.4","1.74","5.2",".3","제주특별자치도 제주시 한림읍 금악리 3142"
"9","5011025025","2020","20201231","2","6.5","512","","53","2.8","2.31","4.8",".2","제주특별자치도 제주시 한림읍 금악리 3190-3"
"10","5011025025","2020","20201021","4","5","886","","109","1",".83","4.4",".2","제주특별자치도 제주시 한림읍 금악리 2159"
"11","5011025025","2020","20201231","4","7.5","278","","38",".8","2.67","5.7",".2","제주특별자치도 제주시 한림읍 금악리 2021-2"
"12","5011025025","2020","20201231","4","5.6","476","","78","1.7",".69","2.6",".2","제주특별자치도 제주시 한림읍 금악리 3020"
"13","5011025025","2020","20200309","4","5.5","1067","","109","1.8","1.02","9.9",".5","제주특별자치도 제주시 한림읍 금악리 2301-1"
"14","5011025025","2020","20200504","4","5.2","203","","83",".9",".36","5.4",".3","제주특별자치도 제주시 한림읍 금악리 2898"
"15","5011025025","2020","20200123","2","4.9","35","","56","8.4",".96","8.4",".51","제주특별자치도 제주시 한림읍 금악리 961"
"16","5011025025","2020","20200217","2","6.3","97","","82","2.8","3.15","9.9","1","제주특별자치도 제주시 한림읍 금악리 196-10"
"17","5011025025","2020","20200217","2","5.8","10","","135","1.1",".57","4.7",".3","제주특별자치도 제주시 한림읍 금악리 788-1"
"18","5011025025","2020","20200217","2","5.8","10","","170",".9",".57","4",".4","제주특별자치도 제주시 한림읍 금악리 14-1"
"19","5011025025","2020","20200217","2","5.9","10","","172","1.1",".6","4.4",".3","제주특별자치도 제주시 한림읍 금악리 14-10"
"20","5011025025","2020","20200217","2","5.8","10","","132","1.3",".63","4.6",".3","제주특별자치도 제주시 한림읍 금악리 14-15"
"21","5011025025","2020","20200217","2","5.8","10","","140","1",".62","4.5",".3","제주특별자치도 제주시 한림읍 금악리 198-22"
"22","5011025025","2020","20200217","2","5.9","10","","193","1.3",".63","5.1",".4","제주특별자치도 제주시 한림읍 금악리 198-205"
"23","5011025025","2020","20200217","2","5.8","10","","171","1",".88","4.4",".3","제주특별자치도 제주시 한림읍 금악리 715-21"
"24","5011025025","2020","20200217","2","5.9","10","","135","1",".9","4.8",".3","제주특별자치도 제주시 한림읍 금악리 249-8"
"25","5011025025","2020","20200217","2","5.9","10","","160","1.1","1.08","5.6",".4","제주특별자치도 제주시 한림읍 금악리 249-10"
"26","5011025025","2020","20200217","2","5.8","32","","181",".9",".72","4.7",".3","제주특별자치도 제주시 한림읍 금악리 747"
"27","5011025025","2020","20200217","2","6","34","","130","1.2","1.03","5.8",".5","제주특별자치도 제주시 한림읍 금악리 204-3"
"28","5011025025","2020","20200217","2","5.9","32","","129","1.1",".87","5.9",".4","제주특별자치도 제주시 한림읍 금악리 204-5"
"29","5011025025","2020","20200217","2","5.8","10","","135","1.2",".91","5.4",".4","제주특별자치도 제주시 한림읍 금악리 204-6"
"30","5011025025","2020","20200217","2","5.9","10","","142","1.3",".87","5.9",".4","제주특별자치도 제주시 한림읍 금악리 204-7"
"31","5011025025","2020","20200217","2","5.9","10","","131","1.2","3.14","6.2",".3","제주특별자치도 제주시 한림읍 금악리 204-8"
"32","5011025025","2020","20200217","2","5.9","10","","129","1","1.15","5.8",".4","제주특별자치도 제주시 한림읍 금악리 204-9"
"33","5011025025","2020","20200217","2","5.9","10","","141","1.1","1.1","5.8",".4","제주특별자치도 제주시 한림읍 금악리 204-10"
"34","5011025025","2020","20200217","2","5.8","10","","148","1","1.12","5.2",".4","제주특별자치도 제주시 한림읍 금악리 204-11"
"35","5011025025","2020","20200217","2","5.8","10","","140","1.3","1.1","5.8",".4","제주특별자치도 제주시 한림읍 금악리 204-12"
"36","5011025025","2020","20200217","2","5.8","10","","165","1.1","1.15","5.3",".3","제주특별자치도 제주시 한림읍 금악리 204-13"
