"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011031029","2020","20201231","2","5.8","560","","35","1.7","1.19","3.6","1.7","제주특별자치도 제주시 한경면 낙천리 1312-1"
"2","5011031029","2020","20201231","2","6.6","625","","23","2",".76","3.4",".2","제주특별자치도 제주시 한경면 낙천리 398-1"
"3","5011031029","2020","20201231","2","5.6","609","","18","1.1",".79","1.9",".2","제주특별자치도 제주시 한경면 낙천리 411"
"4","5011031029","2020","20201231","2","6.3","415","","23","2.3","1.76","4",".6","제주특별자치도 제주시 한경면 낙천리 1223-1"
"5","5011031029","2020","20201231","2","5.6","872","","44","1.3","1.93","2.9",".4","제주특별자치도 제주시 한경면 낙천리 2218"
"6","5011031029","2020","20201231","2","7.4","436","","21","3.3","1.34","5.7",".2","제주특별자치도 제주시 한경면 낙천리 2302"
"7","5011031029","2020","20201231","2","6.5","379","","23","2.7","1.18","5.2",".7","제주특별자치도 제주시 한경면 낙천리 2088-3"
"8","5011031029","2020","20201231","4","5.8","1027","","41","1.6",".73","4.3",".2","제주특별자치도 제주시 한경면 낙천리 1003"
"9","5011031029","2020","20201231","4","7","765","","27","1.9",".79","5.9",".2","제주특별자치도 제주시 한경면 낙천리 1013-1"
"10","5011031029","2020","20201231","4","4.8","603","","56",".7",".62",".7",".2","제주특별자치도 제주시 한경면 낙천리 376"
"11","5011031029","2020","20201231","4","5.3","515","","33","1.1",".98","1.6",".1","제주특별자치도 제주시 한경면 낙천리 2086-1"
"12","5011031029","2020","20201231","4","5.3","467","","21","1.6","1.28","2",".1","제주특별자치도 제주시 한경면 낙천리 85-1"
"13","5011031029","2020","20200304","4","6.1","477","","36","2.7","1.1","9",".2","제주특별자치도 제주시 한경면 낙천리 87"
"14","5011031029","2020","20200901","3","5.1","335","","50",".9","2.63","1.4",".7","제주특별자치도 제주시 한경면 낙천리 86-1"
"15","5011031029","2020","20200130","2","4.1","504","","28","2.6","2.42","10.3",".6","제주특별자치도 제주시 한경면 낙천리 1197"
"16","5011031029","2020","20200130","2","4.2","455","","30","1.4","1.43","6.3",".4","제주특별자치도 제주시 한경면 낙천리 1198"
"17","5011031029","2020","20200407","2","6","49","","22",".7",".34","3.3",".2","제주특별자치도 제주시 한경면 낙천리 870"
"18","5011031029","2020","20200407","2","6","72","","24",".8",".41","3.7",".2","제주특별자치도 제주시 한경면 낙천리 806"
"19","5011031029","2020","20200407","2","6","73","","20","1.2",".47","4.1",".2","제주특별자치도 제주시 한경면 낙천리 1077-1"
"20","5011031029","2020","20200407","2","6.3","366","","35","1.3",".95","6.2",".2","제주특별자치도 제주시 한경면 낙천리 1999"
"21","5011031029","2020","20200629","2","7.7","188","","26","2.7","1.39","5.8",".2","제주특별자치도 제주시 한경면 낙천리 150"
"22","5011031029","2020","20200629","2","6.8","61","","26","2.3",".89","4.1",".2","제주특별자치도 제주시 한경면 낙천리 151"
"23","5011031029","2020","20200629","2","7.6","146","","24","2.8","1.52","5.6",".2","제주특별자치도 제주시 한경면 낙천리 151"
"24","5011031029","2020","20200629","2","6.4","54","","26","2.2",".73","3.3",".2","제주특별자치도 제주시 한경면 낙천리 153"
"25","5011031029","2020","20200731","2","7.5","525","","43","1.6","1.9","7.8",".3","제주특별자치도 제주시 한경면 낙천리 293"
"26","5011031029","2020","20200731","2","8","766","","58","1.8","1.91","10.6",".5","제주특별자치도 제주시 한경면 낙천리 291"
"27","5011031029","2020","20200828","2","7.3","423","","45","1.2","2.09","7.7",".4","제주특별자치도 제주시 한경면 낙천리 292"
"28","5011031029","2020","20200828","2","6.7","131","","28","1.2","2.86","4.3",".3","제주특별자치도 제주시 한경면 낙천리 129"
"29","5011031029","2020","20200916","2","6.7","394","","5","1.4",".83","4.9",".2","제주특별자치도 제주시 한경면 낙천리 991-2"
"30","5011031029","2020","20200929","2","5.9","256","","42",".8","1.36","3.3",".8","제주특별자치도 제주시 한경면 낙천리 77"
"31","5011031029","2020","20201103","2","7","560","","37","4","1.6","20.3",".6","제주특별자치도 제주시 한경면 낙천리 970-1"
"32","5011031029","2020","20200218","3","6.3","75","","88","2.5","3.08","3.6",".5","제주특별자치도 제주시 한경면 낙천리 143"
"33","5011031029","2020","20200407","3","6.3","27","","17",".9",".41","3.9",".1","제주특별자치도 제주시 한경면 낙천리 802"
"34","5011031029","2020","20200617","3","6.3","1543","","178","6.5",".84","16.6","1","제주특별자치도 제주시 한경면 낙천리 1772"
"35","5011031029","2020","20200629","3","6","81","","26","2.5","1.13","4.5","1.2","제주특별자치도 제주시 한경면 낙천리 143"
"36","5011031029","2020","20201113","3","5.5","1382","","58","1.2","1.74","3.6","2.2","제주특별자치도 제주시 한경면 낙천리 948-1"
"37","5011031029","2020","20201113","3","6.7","598","","37","5.1","2.26","7.2","1.3","제주특별자치도 제주시 한경면 낙천리 948-1"
"38","5011031029","2020","20200605","4","5.4","90","","25","2.8",".59","3.3",".2","제주특별자치도 제주시 한경면 낙천리 1592-1"
"39","5011031029","2020","20200605","4","5.5","253","","36","2.2",".73","3.6",".2","제주특별자치도 제주시 한경면 낙천리 2066-1"
"40","5011031029","2020","20200605","4","5.2","341","","24","2","1","3.7",".4","제주특별자치도 제주시 한경면 낙천리 2086-1"
"41","5011031029","2020","20200617","4","5.7","809","","82","3.8",".87","9","2.1","제주특별자치도 제주시 한경면 낙천리 1845"
"42","5011031029","2020","20200626","4","6.4","107","","63","2.2",".65","3.6",".3","제주특별자치도 제주시 한경면 낙천리 317"
"43","5011031029","2020","20200626","4","5.6","646","","62","1.2",".83","2",".2","제주특별자치도 제주시 한경면 낙천리 321"
"44","5011031029","2020","20200626","4","6.2","218","","46","1.7","1.63","2.7",".2","제주특별자치도 제주시 한경면 낙천리 327-1"
"45","5011031029","2020","20200626","4","6.9","728","","90","3","1.29","6.2",".5","제주특별자치도 제주시 한경면 낙천리 330"
"46","5011031029","2020","20200626","4","5.6","286","","46","1.4",".6","1.5",".1","제주특별자치도 제주시 한경면 낙천리 347"
"47","5011031029","2020","20200717","4","6.2","20","","17","4.1",".79","7",".1","제주특별자치도 제주시 한경면 낙천리 308"
"48","5011031029","2020","20200828","4","5","309","","51",".6","1.08","1.5",".6","제주특별자치도 제주시 한경면 낙천리 2247"
"49","5011031029","2020","20200904","4","7.1","409","","59","4","1.96","6.9",".5","제주특별자치도 제주시 한경면 낙천리 799-1"
"50","5011031029","2020","20201013","4","6.5","359","","46","2.8","1.57","9",".4","제주특별자치도 제주시 한경면 낙천리 1170"
"51","5011031029","2020","20200921","2","7.4","495.4","","37.8","4.12","1.073","11.42",".49","제주특별자치도 제주시 한경면 낙천리 972"
"52","5011031029","2020","20200921","2","6.7","1009.4","","19.4","2.38","1.389","6.51",".74","제주특별자치도 제주시 한경면 낙천리 1141-1"
"53","5011031029","2020","20200921","2","6.1","639.7","","21.4","1.58","1.522","4.94",".37","제주특별자치도 제주시 한경면 낙천리 1219-1"
"54","5011031029","2020","20200921","2","6.4","761.3","","38.8","1.75","1.791","7.75",".42","제주특별자치도 제주시 한경면 낙천리 1639-1"
"55","5011031029","2020","20200921","2","5.4","536.2","","30.8","2.12","1.095","4.98",".47","제주특별자치도 제주시 한경면 낙천리 2218"
"56","5011031029","2020","20200921","2","5.1","462.5","","36","1.06","1.116","2.21",".37","제주특별자치도 제주시 한경면 낙천리 2080"
"57","5011031029","2020","20200921","2","5","284.3","","33.7","1.63","1.052","4",".56","제주특별자치도 제주시 한경면 낙천리 1892"
"58","5011031029","2020","20200925","2","7.1","327.6","","21.3","2.49",".795","6.75",".33","제주특별자치도 제주시 한경면 낙천리 420"
"59","5011031029","2021","20211130","2","7.6","478","","18","","1.17","","","제주특별자치도 제주시 한경면 낙천리 987-1"
"60","5011031029","2021","20211130","2","6.8","525","","30","","1.47","","","제주특별자치도 제주시 한경면 낙천리 1043-1"
"61","5011031029","2021","20211130","2","6.9","390","","18","",".77","","","제주특별자치도 제주시 한경면 낙천리 420"
"62","5011031029","2021","20211130","2","6","864","","21","","1.36","","","제주특별자치도 제주시 한경면 낙천리 1295-1"
"63","5011031029","2021","20211130","2","6.2","188","","23","","1.21","","","제주특별자치도 제주시 한경면 낙천리 1227"
"64","5011031029","2021","20211130","2","6.3","96","","14","","1.52","","","제주특별자치도 제주시 한경면 낙천리 1141-2"
"65","5011031029","2021","20211130","2","6.4","396","","23","","1.05","","","제주특별자치도 제주시 한경면 낙천리 2320-1"
"66","5011031029","2021","20211130","2","6.4","395","","19","","1.22","","","제주특별자치도 제주시 한경면 낙천리 2242"
"67","5011031029","2021","20211208","3","6.3","155","","25","",".7","","","제주특별자치도 제주시 한경면 낙천리 1018-4"
"68","5011031029","2021","20211208","3","5.1","571","","64","",".91","","","제주특별자치도 제주시 한경면 낙천리 948-1"
"69","5011031029","2021","20211208","4","5.1","782","","57","",".93","","","제주특별자치도 제주시 한경면 낙천리 912-1"
"70","5011031029","2021","20211208","4","5.1","491","","74","",".59","","","제주특별자치도 제주시 한경면 낙천리 1410-4"
"71","5011031029","2021","20211208","4","6.2","694","","35","","2.26","","","제주특별자치도 제주시 한경면 낙천리 2103"
"72","5011031029","2021","20210809","2","7.2","472","","17","3.3",".51","7.5",".5","제주특별자치도 제주시 한경면 낙천리 991-2"
"73","5011031029","2021","20211013","2","6.8","1174","","49","3.4",".8","8.6","2.63","제주특별자치도 제주시 한경면 낙천리 970-1"
"74","5011031029","2021","20210608","4","6.9","504","","192","3.7","1.49","17.5",".4","제주특별자치도 제주시 한경면 낙천리 308"
"75","5011031029","2021","20210719","2","7.8","471","","55","3.2","1.56","12.3",".5","제주특별자치도 제주시 한경면 낙천리 291"
"76","5011031029","2021","20210719","2","7.6","212","","37","3","1.45","11.5",".4","제주특별자치도 제주시 한경면 낙천리 292"
"77","5011031029","2021","20210831","2","7.1","664","","16","2.9","1.54","4","1.01","제주특별자치도 제주시 한경면 낙천리 984-2"
"78","5011031029","2021","20211109","2","5.8","751","","14","2.3","1.65","7.4","2.35","제주특별자치도 제주시 한경면 낙천리 1173"
"79","5011031029","2021","20210608","3","4.8","780","","300","4.8","4.45","15.6",".01","제주특별자치도 제주시 한경면 낙천리 1772"
"80","5011031029","2021","20210628","3","7","57","","55","3.9","1.74","3.1",".4","제주특별자치도 제주시 한경면 낙천리 129"
"81","5011031029","2021","20210708","4","4.9","243","","32","1.1","1.74","1.2",".3","제주특별자치도 제주시 한경면 낙천리 2296"
"82","5011031029","2021","20210708","4","4.9","96","","28","1.2","1.69","1.2",".3","제주특별자치도 제주시 한경면 낙천리 2297"
"83","5011031029","2021","20210713","4","4.9","1188","","51","1.2",".8","2.7",".5","제주특별자치도 제주시 한경면 낙천리 799-1"
"84","5011031029","2021","20210628","3","6.2","562","","38","3.6","2.86","3.2",".6","제주특별자치도 제주시 한경면 낙천리 94"
"85","5011031029","2021","20210628","3","6.8","924","","62","3.7","1.68","3.3","2","제주특별자치도 제주시 한경면 낙천리 1781"
"86","5011031029","2021","20210225","2","7","2274","","28","2.1","2.38","3.6",".3","제주특별자치도 제주시 한경면 낙천리 1197"
"87","5011031029","2021","20210225","2","6.8","2331","","27","3","2.1","4.2",".3","제주특별자치도 제주시 한경면 낙천리 1198"
"88","5011031029","2021","20210315","2","5.8","311","","31","1.3","1.26",".8",".2","제주특별자치도 제주시 한경면 낙천리 1141-1"
"89","5011031029","2021","20210407","2","6","568","","36",".5",".44","3.1",".2","제주특별자치도 제주시 한경면 낙천리 804"
"90","5011031029","2021","20210407","2","6","556","","37",".4",".33","2.8",".2","제주특별자치도 제주시 한경면 낙천리 804"
"91","5011031029","2021","20210521","2","6.7","1104","","20","1.6",".69","5.9",".8","제주특별자치도 제주시 한경면 낙천리 973-6"
"92","5011031029","2021","20210608","2","6.5","241","","69","2.6",".76","12.3",".3","제주특별자치도 제주시 한경면 낙천리 2273"
"93","5011031029","2021","20210308","3","5.8","131","","33","3.7","1.96","2.1",".9","제주특별자치도 제주시 한경면 낙천리 143"
"94","5011031029","2021","20210308","3","6.3","121","","25","4.1","1.97","5.4","1.3","제주특별자치도 제주시 한경면 낙천리 143"
"95","5011031029","2021","20210308","3","6.5","75","","25","4.1","1.24","6.3","1.1","제주특별자치도 제주시 한경면 낙천리 153"
"96","5011031029","2021","20210511","3","7.6","625","","30","4.1","1.35","11.5","1.3","제주특별자치도 제주시 한경면 낙천리 930-1"
"97","5011031029","2021","20210621","3","4.9","1235","","19","1.2","1.8","4.1","1.3","제주특별자치도 제주시 한경면 낙천리 1041-1"
"98","5011031029","2021","20210624","3","5.2","670","","24","1.3","1.22","2.6",".3","제주특별자치도 제주시 한경면 낙천리 1059"
"99","5011031029","2021","20211001","3","7.3","163","","26","2.9","1.52","12.2","2.32","제주특별자치도 제주시 한경면 낙천리 930-1"
"100","5011031029","2021","20210308","4","5.5","773","","64","2.5","1.68","5",".4","제주특별자치도 제주시 한경면 낙천리 87"
"101","5011031029","2021","20210527","4","5.6","177","","44","1.5",".83","3.6",".2","제주특별자치도 제주시 한경면 낙천리 2210-1"
"102","5011031029","2021","20210608","4","7","291","","101","3.1","1.07","13.1",".3","제주특별자치도 제주시 한경면 낙천리 296"
"103","5011031029","2021","20210818","4","4.9","387","","29.9","1.3","1.7","2.3",".4","제주특별자치도 제주시 한경면 낙천리 232"
"104","5011031029","2021","20210818","4","5","520","","31.3","1.4","1.76","2.3",".4","제주특별자치도 제주시 한경면 낙천리 320"
"105","5011031029","2022","20220901","2","7.1","457.1","","17.3","","1.504","","","제주특별자치도 제주시 한경면 낙천리 1042-1"
"106","5011031029","2022","20220901","2","6.6","446.9","","38.1","",".015","","","제주특별자치도 제주시 한경면 낙천리 2206"
"107","5011031029","2022","20220901","2","7","214.9","","28.1","","1.069","","","제주특별자치도 제주시 한경면 낙천리 2261"
"108","5011031029","2022","20220901","2","6.4","81.2","","21.2","",".701","","","제주특별자치도 제주시 한경면 낙천리 2348"
"109","5011031029","2022","20220901","2","5.7","82.8","","17.6","","1.279","","","제주특별자치도 제주시 한경면 낙천리 2347"
"110","5011031029","2022","20220901","2","5.9","166.8","","55.2","","1.668","","","제주특별자치도 제주시 한경면 낙천리 1557"
"111","5011031029","2022","20220901","2","6.5","414.9","","18.3","","1.857","","","제주특별자치도 제주시 한경면 낙천리 1287-1"
"112","5011031029","2022","20220901","2","7.4","380.3","","27.2","","1.202","","","제주특별자치도 제주시 한경면 낙천리 991-2"
"113","5011031029","2022","20220901","2","7","246.9","","22.7","","1.494","","","제주특별자치도 제주시 한경면 낙천리 1055-6"
"114","5011031029","2022","20220901","2","7.2","157.2","","21.1","","1.217","","","제주특별자치도 제주시 한경면 낙천리 1058"
"115","5011031029","2022","20220901","2","5.3","422.3","","21.6","","1.023","","","제주특별자치도 제주시 한경면 낙천리 1115"
"116","5011031029","2022","20220901","2","6.2","362.7","","17.2","","1.289","","","제주특별자치도 제주시 한경면 낙천리 1116"
"117","5011031029","2022","20220901","2","6.8","74.2","","20","","1.371","","","제주특별자치도 제주시 한경면 낙천리 1420-1"
"118","5011031029","2022","20220901","2","6.2","384.4","","20.8","","1.714","","","제주특별자치도 제주시 한경면 낙천리 1463"
"119","5011031029","2022","20220901","2","6.2","368.6","","24.7","","2.133","","","제주특별자치도 제주시 한경면 낙천리 1481-1"
"120","5011031029","2022","20220901","2","6.3","362.5","","23.3","","1.647","","","제주특별자치도 제주시 한경면 낙천리 1481-3"
"121","5011031029","2022","20220901","2","6.5","227.1","","24.1","","1.442","","","제주특별자치도 제주시 한경면 낙천리 1478-3"
"122","5011031029","2022","20220901","2","6","430.2","","24.3","","1.427","","","제주특별자치도 제주시 한경면 낙천리 1483-1"
"123","5011031029","2022","20220901","2","5.1","630","","39.9","","1.995","","","제주특별자치도 제주시 한경면 낙천리 1501"
"124","5011031029","2022","20220901","2","6.3","584.3","","26.5","","2.097","","","제주특별자치도 제주시 한경면 낙천리 1516"
"125","5011031029","2022","20220901","2","7.4","545.2","","25.6","","1.596","","","제주특별자치도 제주시 한경면 낙천리 1511"
"126","5011031029","2022","20220901","2","5.3","181.2","","28","","1.478","","","제주특별자치도 제주시 한경면 낙천리 1566"
"127","5011031029","2022","20220901","2","6.6","178.5","","17.9","","1.499","","","제주특별자치도 제주시 한경면 낙천리 1574"
"128","5011031029","2022","20220901","2","5.6","485.2","","24.4","",".537","","","제주특별자치도 제주시 한경면 낙천리 2255"
"129","5011031029","2022","20220901","2","6","94.4","","21.8","","7.647","","","제주특별자치도 제주시 한경면 낙천리 378-3"
"130","5011031029","2022","20220901","2","7","195.8","","31.6","",".665","","","제주특별자치도 제주시 한경면 낙천리 769"
"131","5011031029","2022","20220901","2","5.4","505.9","","20.4","","1.627","","","제주특별자치도 제주시 한경면 낙천리 779"
"132","5011031029","2022","20220901","2","6.3","606.3","","21.9","",".895","","","제주특별자치도 제주시 한경면 낙천리 790"
"133","5011031029","2022","20220901","2","7.1","488.6","","29","",".946","","","제주특별자치도 제주시 한경면 낙천리 849"
"134","5011031029","2022","20220901","2","6.9","392.5","","15.7","","2.368","","","제주특별자치도 제주시 한경면 낙천리 2271-1"
"135","5011031029","2022","20220901","2","6","565.3","","26.3","","1.519","","","제주특별자치도 제주시 한경면 낙천리 840"
"136","5011031029","2022","20220901","2","6.6","605.7","","26.5","","2.542","","","제주특별자치도 제주시 한경면 낙천리 2331"
"137","5011031029","2022","20220901","2","5.9","301.2","","18.3","","1.949","","","제주특별자치도 제주시 한경면 낙천리 1345"
"138","5011031029","2022","20220901","2","7","673.5","","22","","2.179","","","제주특별자치도 제주시 한경면 낙천리 716"
"139","5011031029","2022","20220901","2","7","534.1","","20.1","","3.054","","","제주특별자치도 제주시 한경면 낙천리 984-2"
"140","5011031029","2022","20220901","2","5.1","74","","25.1","","1.652","","","제주특별자치도 제주시 한경면 낙천리 982-1"
"141","5011031029","2022","20220901","2","5.1","273.3","","29.7","",".977","","","제주특별자치도 제주시 한경면 낙천리 1414-1"
"142","5011031029","2022","20220901","2","5.8","506.7","","21.3","","1.202","","","제주특별자치도 제주시 한경면 낙천리 847"
"143","5011031029","2022","20220901","2","6","337.5","","31.2","","2.123","","","제주특별자치도 제주시 한경면 낙천리 1023"
"144","5011031029","2022","20220901","2","7.3","462.2","","25.1","","1.284","","","제주특별자치도 제주시 한경면 낙천리 2065-1"
"145","5011031029","2022","20220901","2","5.7","597","","31.7","","1.575","","","제주특별자치도 제주시 한경면 낙천리 2068"
"146","5011031029","2022","20220901","2","6.1","192.9","","25.4","","1.478","","","제주특별자치도 제주시 한경면 낙천리 2270"
"147","5011031029","2022","20220901","2","7.3","718.8","","20.2","","1.882","","","제주특별자치도 제주시 한경면 낙천리 1026"
"148","5011031029","2022","20220901","2","6.5","339.7","","18.6","","1.555","","","제주특별자치도 제주시 한경면 낙천리 2252-1"
"149","5011031029","2022","20220901","2","6","238.4","","37.1","","1.903","","","제주특별자치도 제주시 한경면 낙천리 1553"
"150","5011031029","2022","20220901","2","6.1","133.9","","21.5","","2.655","","","제주특별자치도 제주시 한경면 낙천리 2004"
