"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025335","2020","20201103","2","5.7","655","","83",".4",".84","2.4",".3","제주특별자치도 제주시 애월읍 납읍리 1160"
"2","5011025335","2020","20201103","2","5.6","362","","66",".5",".93","2.5",".6","제주특별자치도 제주시 애월읍 납읍리 1171-2"
"3","5011025335","2020","20201103","2","5.2","593","","58",".3",".8","1.3",".3","제주특별자치도 제주시 애월읍 납읍리 1181"
"4","5011025335","2020","20201103","2","6.5","184","","63","1.4","1.42","9.5","1.1","제주특별자치도 제주시 애월읍 납읍리 812"
"5","5011025335","2020","20200504","2","8","406","","87","3.8","2.46","29",".8","제주특별자치도 제주시 애월읍 납읍리 444"
"6","5011025335","2020","20200504","2","8","406","","87","3.8","2.46","29",".8","제주특별자치도 제주시 애월읍 납읍리 444"
"7","5011025335","2020","20200504","2","8","406","","87","3.8","2.46","29",".8","제주특별자치도 제주시 애월읍 납읍리 444"
"8","5011025335","2020","20200814","2","5.3","626","","61","1.2","1.12","3.1","1","제주특별자치도 제주시 애월읍 납읍리 1417-4"
"9","5011025335","2020","20200814","2","5.3","626","","61","1.2","1.12","3.1","1","제주특별자치도 제주시 애월읍 납읍리 1417-4"
"10","5011025335","2020","20200814","2","5.3","626","","61","1.2","1.12","3.1","1","제주특별자치도 제주시 애월읍 납읍리 1417-4"
"11","5011025335","2020","20200814","2","5.3","626","","61","1.2","1.12","3.1","1","제주특별자치도 제주시 애월읍 납읍리 1417-4"
"12","5011025335","2020","20201008","2","5.8","96","","126","1.2","1.15","4.5",".5","제주특별자치도 제주시 애월읍 납읍리 577"
"13","5011025335","2020","20201211","2","6.2","10","","105",".4",".19","3",".5","제주특별자치도 제주시 애월읍 납읍리 268-2"
"14","5011025335","2020","20201211","2","6.2","10","","105",".4",".19","3",".5","제주특별자치도 제주시 애월읍 납읍리 268-2"
"15","5011025335","2020","20201211","2","6.2","10","","105",".4",".19","3",".5","제주특별자치도 제주시 애월읍 납읍리 268-2"
