"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025023","2020","20201231","2","6","985","","50","2.4",".74","5.7",".5","제주특별자치도 제주시 한림읍 대림리 3-1"
"2","5011025023","2020","20201231","2","5.4","803","","34","1.5","1.06","3.5",".4","제주특별자치도 제주시 한림읍 대림리 19-1"
"3","5011025023","2020","20201231","2","6.4","238","","26","2.5",".62","4.4",".2","제주특별자치도 제주시 한림읍 대림리 315-1"
"4","5011025023","2020","20201231","2","6.1","843","","31","3.5","1.01","5.7","1.4","제주특별자치도 제주시 한림읍 대림리 755-1"
"5","5011025023","2020","20201231","2","6","951","","44","2.1","1.12","7.7","1.7","제주특별자치도 제주시 한림읍 대림리 761"
"6","5011025023","2020","20201231","2","6","1232","","48","2.7","1.03","6.1","1.2","제주특별자치도 제주시 한림읍 대림리 1086-12"
"7","5011025023","2020","20201231","2","6.3","897","","33","3.2","1.49","8.9","2","제주특별자치도 제주시 한림읍 대림리 1087-9"
"8","5011025023","2020","20201231","2","6.3","667","","33","2.7",".94","6.1",".4","제주특별자치도 제주시 한림읍 대림리 1093-1"
"9","5011025023","2020","20201231","2","5.3","846","","30","2","1","4.1",".9","제주특별자치도 제주시 한림읍 대림리 1096-7"
"10","5011025023","2020","20201231","2","4.9","394","","36","1.5",".84","3.1",".9","제주특별자치도 제주시 한림읍 대림리 1413-1"
"11","5011025023","2020","20201231","3","5.9","1252","","61","2.2",".9","5.1",".4","제주특별자치도 제주시 한림읍 대림리 629-1"
"12","5011025023","2020","20201231","4","6.3","733","","35","1.6",".62","5.1",".2","제주특별자치도 제주시 한림읍 대림리 452-1"
"13","5011025023","2020","20200908","2","5.3","545","","162","2.5","2.36","7.9","1.4","제주특별자치도 제주시 한림읍 대림리 181-1"
"14","5011025023","2020","20200128","2","5.6","233","","41","2.8",".88","8.9",".19","제주특별자치도 제주시 한림읍 대림리 922-2"
"15","5011025023","2020","20200128","2","6","223","","25","3.3",".96","8.3",".36","제주특별자치도 제주시 한림읍 대림리 975"
"16","5011025023","2020","20200128","2","5.7","330","","37","3.3",".83","9.1",".69","제주특별자치도 제주시 한림읍 대림리 616"
"17","5011025023","2020","20200128","2","6.3","688","","26","9.1","","1",".52","제주특별자치도 제주시 한림읍 대림리 611-1"
"18","5011025023","2020","20200128","2","6.4","564","","41","2.5","1.01","9.2",".53","제주특별자치도 제주시 한림읍 대림리 610"
"19","5011025023","2020","20200128","2","6.7","689","","29",".8",".64","2.3",".33","제주특별자치도 제주시 한림읍 대림리 812-3"
"20","5011025023","2020","20200213","4","6.2","1331","","141","4",".91","9.9",".8","제주특별자치도 제주시 한림읍 대림리 731"
"21","5011025023","2020","20200325","4","7.1","227","","26","2.9",".74","6.2",".4","제주특별자치도 제주시 한림읍 대림리 1557"
"22","5011025023","2020","20200325","4","7.5","258","","26","3.9",".7","9",".4","제주특별자치도 제주시 한림읍 대림리 1538"
"23","5011025023","2020","20200325","4","7.8","404","","30","3.3","1.08","7.9",".6","제주특별자치도 제주시 한림읍 대림리 1537"
"24","5011025023","2020","20200123","2","5.5","413","","47","8.8","1.41","8.8","1.21","제주특별자치도 제주시 한림읍 대림리 908"
"25","5011025023","2020","20200123","2","5.7","488","","39","4.4","1.1","4.4",".52","제주특별자치도 제주시 한림읍 대림리 906"
"26","5011025023","2020","20200123","2","5.3","537","","30","7","1.28","7",".17","제주특별자치도 제주시 한림읍 대림리 352-2"
"27","5011025023","2020","20200123","2","5.7","625","","33","2.1","1.44","9.7",".65","제주특별자치도 제주시 한림읍 대림리 774"
"28","5011025023","2020","20200123","2","5.4","368","","32","2.4",".98","7.5",".75","제주특별자치도 제주시 한림읍 대림리 10-2"
"29","5011025023","2020","20200123","2","6","215","","53","3.1",".8","8.4",".19","제주특별자치도 제주시 한림읍 대림리 495-2"
"30","5011025023","2020","20200123","2","6.2","305","","35","2.2",".95","6.9",".26","제주특별자치도 제주시 한림읍 대림리 306-2"
