"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025339","2020","20201103","2","7","498","","62","5.6","2.73","14.2",".9","제주특별자치도 제주시 애월읍 봉성리 1121"
"2","5011025339","2020","20201103","2","6.2","179","","42","1.8","1.58","8.6",".3","제주특별자치도 제주시 애월읍 봉성리 3386-3"
"3","5011025339","2020","20201103","2","7.4","829","","45","2.2","1.52","14.3","1","제주특별자치도 제주시 애월읍 봉성리 3517-1"
"4","5011025339","2020","20201103","2","8","235","","49","2","1.63","23.6",".7","제주특별자치도 제주시 애월읍 봉성리 3546-9"
"5","5011025339","2020","20201103","2","5.8","531","","49","1.8","1.83","10.7","2","제주특별자치도 제주시 애월읍 봉성리 3555-1"
"6","5011025339","2020","20201103","2","6.6","824","","65","1.7","1.32","11.1","2","제주특별자치도 제주시 애월읍 봉성리 3574-1"
"7","5011025339","2020","20201103","2","7","276","","53","2.7","1.41","2.7",".7","제주특별자치도 제주시 애월읍 봉성리 3777-2"
"8","5011025339","2020","20201103","2","7.4","98","","38","4.2","1.19","11.7",".4","제주특별자치도 제주시 애월읍 봉성리 3921-2"
"9","5011025339","2020","20201103","2","7.3","78","","47","2.3","1.01","7.7",".4","제주특별자치도 제주시 애월읍 봉성리 4053-1"
"10","5011025339","2020","20200110","2","5.9","25","","108","4.6",".91","8.9",".7","제주특별자치도 제주시 애월읍 봉성리 4482"
"11","5011025339","2020","20200131","2","4.5","181","","300","17.7","3.29","28.4",".1","제주특별자치도 제주시 애월읍 봉성리 1870-1"
"12","5011025339","2020","20200331","2","6.1","260","","95","2.9","1.13","10.5",".6","제주특별자치도 제주시 애월읍 봉성리 1239"
"13","5011025339","2020","20200331","2","6.4","124","","84","3.2","1.71","11","1.3","제주특별자치도 제주시 애월읍 봉성리 1247"
"14","5011025339","2020","20200331","2","6.6","452","","19","3.7","1.12","12.7",".5","제주특별자치도 제주시 애월읍 봉성리 1300"
"15","5011025339","2020","20200331","2","5.8","94","","98","1.9","1.21","8.7","1.1","제주특별자치도 제주시 애월읍 봉성리 4014-1"
"16","5011025339","2020","20200331","2","7.1","814","","47","2.6","2.11","12.5",".6","제주특별자치도 제주시 애월읍 봉성리 4015-2"
"17","5011025339","2020","20200331","2","5.8","33","","108","3.1","1.08","8.1",".5","제주특별자치도 제주시 애월읍 봉성리 762"
"18","5011025339","2020","20200331","2","5.7","19","","105","1.6",".59","5",".4","제주특별자치도 제주시 애월읍 봉성리 804"
"19","5011025339","2020","20200331","2","7.2","217","","105","5.1","1.72","17.8",".6","제주특별자치도 제주시 애월읍 봉성리 636-2"
"20","5011025339","2020","20200331","2","6.6","281","","107","5.9","2.87","16.6",".9","제주특별자치도 제주시 애월읍 봉성리 636-6"
"21","5011025339","2020","20200331","2","6.6","281","","107","5.9","2.87","16.6",".9","제주특별자치도 제주시 애월읍 봉성리 636-6"
"22","5011025339","2020","20200331","2","6.2","104","","201","3.1","1.2","10.4",".7","제주특별자치도 제주시 애월읍 봉성리 170"
"23","5011025339","2020","20200331","2","6.2","104","","201","3.1","1.2","10.4",".7","제주특별자치도 제주시 애월읍 봉성리 170"
"24","5011025339","2020","20200331","2","6.2","118","","107","2.9","1.73","7.7","1.2","제주특별자치도 제주시 애월읍 봉성리 172"
"25","5011025339","2020","20200331","2","5.8","366","","84","1.5",".71","4",".5","제주특별자치도 제주시 애월읍 봉성리 1486-4"
"26","5011025339","2020","20200331","2","5.8","366","","84","1.5",".71","4",".5","제주특별자치도 제주시 애월읍 봉성리 1486-4"
"27","5011025339","2020","20200331","2","5.3","909","","82","9.2",".89","21.9",".5","제주특별자치도 제주시 애월읍 봉성리 1486-3"
"28","5011025339","2020","20200331","2","5.3","909","","82","9.2",".89","21.9",".5","제주특별자치도 제주시 애월읍 봉성리 1486-3"
"29","5011025339","2020","20200331","2","6.3","1693","","98","3.3","5.94","5.8",".6","제주특별자치도 제주시 애월읍 봉성리 1486-2"
"30","5011025339","2020","20200331","2","6.9","2060","","48","5.7","7.37","11",".5","제주특별자치도 제주시 애월읍 봉성리 2955-2"
"31","5011025339","2020","20200331","2","6.9","2060","","48","5.7","7.37","11",".5","제주특별자치도 제주시 애월읍 봉성리 2955-2"
"32","5011025339","2020","20200331","2","6.9","2060","","48","5.7","7.37","11",".5","제주특별자치도 제주시 애월읍 봉성리 2955-2"
"33","5011025339","2020","20200331","2","6.1","1180","","87","2.8","2.37","3.3",".4","제주특별자치도 제주시 애월읍 봉성리 2004-2"
"34","5011025339","2020","20200331","2","6.1","1180","","87","2.8","2.37","3.3",".4","제주특별자치도 제주시 애월읍 봉성리 2004-2"
"35","5011025339","2020","20200331","2","5.4","408","","60","1.1","1.09","4.1",".5","제주특별자치도 제주시 애월읍 봉성리 1317"
"36","5011025339","2020","20200331","2","6.5","1041","","70","3.6","2.72","12.5",".4","제주특별자치도 제주시 애월읍 봉성리 3977-2"
"37","5011025339","2020","20200331","2","6.2","118","","104","2.9","1.73","7.7","1.2","제주특별자치도 제주시 애월읍 봉성리 172"
"38","5011025339","2020","20200331","2","5.3","909","","82","9.2",".89","21.9",".5","제주특별자치도 제주시 애월읍 봉성리 1483-3"
"39","5011025339","2020","20200331","2","6.3","1693","","98","3.3","5.94","5.8",".6","제주특별자치도 제주시 애월읍 봉성리 1486-2"
"40","5011025339","2020","20200410","2","6.4","106","","116","2.7","1.98","11",".4","제주특별자치도 제주시 애월읍 봉성리 3050-2"
"41","5011025339","2020","20200410","2","6.4","106","","116","2.7","1.98","11",".4","제주특별자치도 제주시 애월읍 봉성리 3050-2"
"42","5011025339","2020","20200410","2","5.9","868","","67","2.7","1.19","10",".8","제주특별자치도 제주시 애월읍 봉성리 3041"
"43","5011025339","2020","20200410","2","5.9","868","","67","2.7","1.19","10",".8","제주특별자치도 제주시 애월읍 봉성리 3041"
"44","5011025339","2020","20200423","2","6.8","118","","44","4","1.04","10.1",".8","제주특별자치도 제주시 애월읍 봉성리 3633"
"45","5011025339","2020","20200423","2","7","1156","","38","6.7","2.48","18.7",".8","제주특별자치도 제주시 애월읍 봉성리 3800"
"46","5011025339","2020","20200423","2","6.3","567","","61","1.6","1.09","8.9",".5","제주특별자치도 제주시 애월읍 봉성리 2758"
"47","5011025339","2020","20200423","2","6.2","241","","121","5.8","2.28","19.6",".6","제주특별자치도 제주시 애월읍 봉성리 4461-1"
"48","5011025339","2020","20200423","2","6.1","188","","120","4","1.65","14.5",".5","제주특별자치도 제주시 애월읍 봉성리 4461-2"
"49","5011025339","2020","20200525","2","7.6","1541","","91","9.8","1.89","16.4",".7","제주특별자치도 제주시 애월읍 봉성리 3790-2"
"50","5011025339","2020","20200528","2","6.1","822","","58","2.9","1.41","6.6",".7","제주특별자치도 제주시 애월읍 봉성리 1783-1"
"51","5011025339","2020","20200624","2","4","347","","92",".6","1.83","2.3","2.9","제주특별자치도 제주시 애월읍 봉성리 1805"
"52","5011025339","2020","20200624","2","6.9","605","","26","1.9","2.1","15.7",".9","제주특별자치도 제주시 애월읍 봉성리 3504-1"
"53","5011025339","2020","20200624","2","4.6","1011","","34","1.2","1.38","3.7",".8","제주특별자치도 제주시 애월읍 봉성리 3603-2"
"54","5011025339","2020","20200624","2","4.7","1059","","47","1.2","1.94","3.1","1","제주특별자치도 제주시 애월읍 봉성리 3387-2"
"55","5011025339","2020","20200630","2","5.6","15","","73",".7","1.5","4.6",".1","제주특별자치도 제주시 애월읍 봉성리 1"
"56","5011025339","2020","20200630","2","5.6","15","","73",".7","1.5","4.6",".1","제주특별자치도 제주시 애월읍 봉성리 1"
"57","5011025339","2020","20200630","2","5.6","15","","73",".7","1.5","4.6",".1","제주특별자치도 제주시 애월읍 봉성리 1"
"58","5011025339","2020","20200820","2","5","385","","96","1.2",".88","3.8",".6","제주특별자치도 제주시 애월읍 봉성리 2373"
"59","5011025339","2020","20200820","2","4.9","47","","103",".8",".95","2.8",".5","제주특별자치도 제주시 애월읍 봉성리 2378"
"60","5011025339","2020","20200820","2","4.8","221","","43","1.1","1.05","2.3",".3","제주특별자치도 제주시 애월읍 봉성리 3248-2"
"61","5011025339","2020","20200820","2","4.7","420","","58","1.2","1.04","2.5",".6","제주특별자치도 제주시 애월읍 봉성리 4147-6"
"62","5011025339","2020","20200820","2","5.2","85","","66","1.7",".95","6",".4","제주특별자치도 제주시 애월읍 봉성리 4147-4"
"63","5011025339","2020","20200820","2","4.9","259","","42","1.1","1.11","3",".4","제주특별자치도 제주시 애월읍 봉성리 3940-5"
"64","5011025339","2020","20200820","2","4.5","97","","59","1",".89","1.9",".4","제주특별자치도 제주시 애월읍 봉성리 3940-3"
"65","5011025339","2020","20200820","2","5.7","77","","60","5.4","1.91","12.3","4.4","제주특별자치도 제주시 애월읍 봉성리 4262-1"
"66","5011025339","2020","20200820","2","5.7","77","","60","5.4","1.91","12.3","4.4","제주특별자치도 제주시 애월읍 봉성리 4262-1"
"67","5011025339","2020","20200824","2","6.3","324","","79",".9",".76","1.5",".4","제주특별자치도 제주시 애월읍 봉성리 2557"
"68","5011025339","2020","20200824","2","6","982","","89","1.6","1.38","5.4",".3","제주특별자치도 제주시 애월읍 봉성리 1237"
"69","5011025339","2020","20200824","2","4.9","258","","44","1.9","1.47","5.5",".4","제주특별자치도 제주시 애월읍 봉성리 2165"
"70","5011025339","2020","20200824","2","5.4","284","","53",".2",".92",".6",".4","제주특별자치도 제주시 애월읍 봉성리 2161-3"
"71","5011025339","2020","20200824","2","6.3","324","","79",".9",".76","1.5",".4","제주특별자치도 제주시 애월읍 봉성리 2557"
"72","5011025339","2020","20200824","2","6","982","","89","1.6","1.38","5.4",".3","제주특별자치도 제주시 애월읍 봉성리 1237"
"73","5011025339","2020","20200824","2","4.9","258","","44","1.9","1.47","5.5",".4","제주특별자치도 제주시 애월읍 봉성리 2165"
"74","5011025339","2020","20200824","2","5.4","284","","53",".2",".92",".6",".4","제주특별자치도 제주시 애월읍 봉성리 2161-3"
"75","5011025339","2020","20200908","2","6.1","558","","159","3.5","2.41","10",".5","제주특별자치도 제주시 애월읍 봉성리 3259"
"76","5011025339","2020","20200908","2","6.5","514","","154","2.3","2.06","10.4",".7","제주특별자치도 제주시 애월읍 봉성리 3980"
"77","5011025339","2020","20200908","2","6.8","551","","172","3.3","2.28","19.7",".5","제주특별자치도 제주시 애월읍 봉성리 2806-1"
"78","5011025339","2020","20200908","2","7.2","245","","150","8","4.09","30",".7","제주특별자치도 제주시 애월읍 봉성리 1949"
"79","5011025339","2020","20200908","2","6.6","464","","153","3.8","2.63","14.3",".3","제주특별자치도 제주시 애월읍 봉성리 3033-1"
"80","5011025339","2020","20200908","2","4.5","533","","183","1","2.01","4.3","2.2","제주특별자치도 제주시 애월읍 봉성리 2173-1"
"81","5011025339","2020","20200908","2","4.5","533","","183","1","2.01","4.3","2.2","제주특별자치도 제주시 애월읍 봉성리 2173-1"
"82","5011025339","2020","20200911","2","7.3","562","","67",".7","1.34","7.2",".6","제주특별자치도 제주시 애월읍 봉성리 1215"
"83","5011025339","2020","20200911","2","6.2","89","","85",".9","1.27","4.4",".3","제주특별자치도 제주시 애월읍 봉성리 2506"
"84","5011025339","2020","20200911","2","5.7","539","","47",".6",".98","3.6",".4","제주특별자치도 제주시 애월읍 봉성리 2976-1"
"85","5011025339","2020","20200911","2","6","140","","42",".6",".83","2",".4","제주특별자치도 제주시 애월읍 봉성리 3772"
"86","5011025339","2020","20200922","2","7.6","757","","103","4.2","2.85","12.4",".8","제주특별자치도 제주시 애월읍 봉성리 3443"
"87","5011025339","2020","20200922","2","6.6","10","","93",".7","1.77","9.9",".4","제주특별자치도 제주시 애월읍 봉성리 372"
"88","5011025339","2020","20200922","2","6.6","10","","93",".7","1.77","9.9",".4","제주특별자치도 제주시 애월읍 봉성리 372"
"89","5011025339","2020","20201008","2","6.9","126","","75","1.2","1.41","10.5",".6","제주특별자치도 제주시 애월읍 봉성리 1208-2"
"90","5011025339","2020","20201008","2","5.7","69","","205","1.4","1.38","7.1","1.6","제주특별자치도 제주시 애월읍 봉성리 47"
"91","5011025339","2020","20201008","2","5.9","20","","300",".3",".78","1.3",".2","제주특별자치도 제주시 애월읍 봉성리 48"
"92","5011025339","2020","20201008","2","5.9","123","","98",".9","1.25","5.5",".7","제주특별자치도 제주시 애월읍 봉성리 762"
"93","5011025339","2020","20201008","2","5.6","460","","82",".8",".99","2.3",".4","제주특별자치도 제주시 애월읍 봉성리 2299-1"
"94","5011025339","2020","20201008","2","6.1","100","","84","1.5","1.39","6.9",".3","제주특별자치도 제주시 애월읍 봉성리 334"
"95","5011025339","2020","20201008","2","6.1","57","","199","3.5","1.39","9.9","2","제주특별자치도 제주시 애월읍 봉성리 48"
"96","5011025339","2020","20201008","2","6.1","137","","98","1.1","2.02","7.9","1.2","제주특별자치도 제주시 애월읍 봉성리 4104-1"
"97","5011025339","2020","20201008","2","6.6","562","","46","1.4","1.65","9.6","1.1","제주특별자치도 제주시 애월읍 봉성리 4015-2"
"98","5011025339","2020","20201008","2","6.9","83","","97","2.6","1.59","14.2",".4","제주특별자치도 제주시 애월읍 봉성리 170"
"99","5011025339","2020","20201008","2","6.9","714","","87","1.6","2.01","13.1",".7","제주특별자치도 제주시 애월읍 봉성리 3977-2"
"100","5011025339","2020","20201008","2","6.1","254","","67","2","1.22","6.6","2.6","제주특별자치도 제주시 애월읍 봉성리 1478"
"101","5011025339","2020","20201008","2","7.1","333","","98","3.5","1.59","20.8",".6","제주특별자치도 제주시 애월읍 봉성리 1247"
"102","5011025339","2020","20201008","2","6.9","92","","111","2.1","1.64","10",".6","제주특별자치도 제주시 애월읍 봉성리 172"
"103","5011025339","2020","20201008","2","6.8","201","","99","1.5","1.65","1.6",".6","제주특별자치도 제주시 애월읍 봉성리 1300"
"104","5011025339","2020","20201008","2","7.2","193","","147","2.3","1.11","15.7",".5","제주특별자치도 제주시 애월읍 봉성리 636-2"
"105","5011025339","2020","20201008","2","6.7","183","","87","1.1","1.04","10.4",".6","제주특별자치도 제주시 애월읍 봉성리 1239"
"106","5011025339","2020","20201008","2","7.1","175","","118","2.1","1.3","12.7",".5","제주특별자치도 제주시 애월읍 봉성리 637"
"107","5011025339","2020","20201013","2","6.6","437","","39","2","1.07","9.6",".4","제주특별자치도 제주시 애월읍 봉성리 3794"
"108","5011025339","2020","20201013","2","6.7","316","","34","1.8","1.11","9.8",".8","제주특별자치도 제주시 애월읍 봉성리 3606"
"109","5011025339","2020","20201013","2","6.4","639","","73","1.8","1.87","9.6",".5","제주특별자치도 제주시 애월읍 봉성리 3794-2"
"110","5011025339","2020","20201013","2","6.4","635","","51","2.2","1.87","10.1",".8","제주특별자치도 제주시 애월읍 봉성리 3798"
"111","5011025339","2020","20201013","2","6.7","55","","18","2.3",".76","5.8",".4","제주특별자치도 제주시 애월읍 봉성리 3777-2"
"112","5011025339","2020","20201013","2","6.8","380","","42","1.2",".9","4.8",".4","제주특별자치도 제주시 애월읍 봉성리 3797"
"113","5011025339","2020","20201013","2","6","225","","33","1.2",".91","5.6",".6","제주특별자치도 제주시 애월읍 봉성리 3789-1"
"114","5011025339","2020","20201013","2","6.2","402","","42","1.2","1.02","4.3",".8","제주특별자치도 제주시 애월읍 봉성리 3577-7"
"115","5011025339","2020","20201013","2","5.4","326","","62",".5","1.09","2.9",".5","제주특별자치도 제주시 애월읍 봉성리 1793-1"
"116","5011025339","2020","20201020","2","5.3","145","","87",".3",".89","2",".5","제주특별자치도 제주시 애월읍 봉성리 2359"
"117","5011025339","2020","20201120","2","5.8","23","","106","1.5",".3","6.1","1.1","제주특별자치도 제주시 애월읍 봉성리 4482"
"118","5011025339","2020","20200331","4","4.2","1154","","115","5","1.71","9.6","7.2","제주특별자치도 제주시 애월읍 봉성리 1302-1"
"119","5011025339","2020","20200331","4","5.2","1067","","136","3.5","2.42","12.3","4.4","제주특별자치도 제주시 애월읍 봉성리 1311-13"
"120","5011025339","2020","20200410","4","6.3","1189","","95","3.2","1.05","13.5",".4","제주특별자치도 제주시 애월읍 봉성리 3117"
"121","5011025339","2020","20200504","4","5.7","865","","89","1.6",".36","4.9",".3","제주특별자치도 제주시 애월읍 봉성리 4221"
"122","5011025339","2020","20200504","4","5.8","631","","61","1.2",".25","3.8",".2","제주특별자치도 제주시 애월읍 봉성리 4222-2"
"123","5011025339","2020","20200518","4","5.2","632","","71",".6",".45","3.2",".3","제주특별자치도 제주시 애월읍 봉성리 504-1"
"124","5011025339","2020","20200518","4","5.1","1232","","104",".7",".49","3.6",".4","제주특별자치도 제주시 애월읍 봉성리 712"
"125","5011025339","2020","20200518","4","5.1","1332","","109",".8",".56","4.8",".3","제주특별자치도 제주시 애월읍 봉성리 713"
"126","5011025339","2020","20200518","4","5.3","617","","158",".6",".44","3.8",".3","제주특별자치도 제주시 애월읍 봉성리 714"
"127","5011025339","2020","20200518","4","6","119","","77","2","1.77","7.4",".4","제주특별자치도 제주시 애월읍 봉성리 719"
"128","5011025339","2020","20200518","4","5.1","473","","59",".5",".42","3",".3","제주특별자치도 제주시 애월읍 봉성리 720"
"129","5011025339","2020","20200518","4","5","318","","68",".4",".47","2.9",".4","제주특별자치도 제주시 애월읍 봉성리 721"
"130","5011025339","2020","20200518","4","6.7","730","","99","2.9","1.52","29.7",".8","제주특별자치도 제주시 애월읍 봉성리 1322"
"131","5011025339","2020","20200624","4","6.5","1130","","78","2.4","7.38","20.2",".9","제주특별자치도 제주시 애월읍 봉성리 3353-1"
"132","5011025339","2020","20200824","4","5.8","270","","140","1.1",".8","3.3","3.2","제주특별자치도 제주시 애월읍 봉성리 1233"
"133","5011025339","2020","20200824","4","4.7","225","","85",".2",".94",".9",".5","제주특별자치도 제주시 애월읍 봉성리 2161-4"
"134","5011025339","2020","20200824","4","5.8","270","","140","1.1",".8","3.3","3.2","제주특별자치도 제주시 애월읍 봉성리 1233"
"135","5011025339","2020","20200824","4","4.7","225","","85",".2",".94",".9",".5","제주특별자치도 제주시 애월읍 봉성리 2161-4"
"136","5011025339","2020","20200911","4","5.3","174","","58","4.2","2.21","8","2.2","제주특별자치도 제주시 애월읍 봉성리 4262"
"137","5011025339","2020","20200922","4","5.6","61","","75","1.2","1.3","3.5",".3","제주특별자치도 제주시 애월읍 봉성리 4466-1"
"138","5011025339","2020","20200922","4","5.9","267","","87","1.2","1.13","4.5",".2","제주특별자치도 제주시 애월읍 봉성리 4466-5"
"139","5011025339","2020","20200410","2","6.2","518","","74","3.6",".97","9.8",".5","제주특별자치도 제주시 애월읍 봉성리 899"
"140","5011025339","2020","20200410","2","6.2","518","","74","3.6",".97","9.8",".5","제주특별자치도 제주시 애월읍 봉성리 899"
"141","5011025339","2020","20200820","2","5.5","559","","74","2","1.3","7",".7","제주특별자치도 제주시 애월읍 봉성리 4321-3"
"142","5011025339","2020","20200820","2","5.2","10","","68",".9","1.22","3.8",".5","제주특별자치도 제주시 애월읍 봉성리 443"
"143","5011025339","2020","20200820","2","5.2","10","","66","1","1.22","3.3",".4","제주특별자치도 제주시 애월읍 봉성리 443-2"
"144","5011025339","2020","20200820","2","6.7","306","","38","3.2","1.34","14.4",".5","제주특별자치도 제주시 애월읍 봉성리 4371"
"145","5011025339","2020","20200824","2","6.2","179","","44","2.6",".72","6.7","1.2","제주특별자치도 제주시 애월읍 봉성리 3621"
"146","5011025339","2020","20200824","2","5.7","229","","39","3","1.11","5.3",".6","제주특별자치도 제주시 애월읍 봉성리 3624-1"
"147","5011025339","2020","20200824","2","7.3","120","","53","1.1",".92","5.4",".5","제주특별자치도 제주시 애월읍 봉성리 3679-1"
"148","5011025339","2020","20200824","2","6.9","138","","25","1.2",".88","6.9",".3","제주특별자치도 제주시 애월읍 봉성리 3781"
"149","5011025339","2020","20200824","2","4.8","136","","54",".7",".87","3.6",".5","제주특별자치도 제주시 애월읍 봉성리 418"
"150","5011025339","2020","20200824","2","4.8","148","","45",".8",".91","5.1",".5","제주특별자치도 제주시 애월읍 봉성리 422"
"151","5011025339","2020","20200824","2","6.2","179","","44","2.6",".72","6.7","1.2","제주특별자치도 제주시 애월읍 봉성리 3621"
"152","5011025339","2020","20200824","2","5.7","229","","39","3","1.11","5.3",".6","제주특별자치도 제주시 애월읍 봉성리 3624-1"
"153","5011025339","2020","20200824","2","7.3","120","","53","1.1",".92","5.4",".5","제주특별자치도 제주시 애월읍 봉성리 3679-1"
"154","5011025339","2020","20200824","2","6.9","138","","25","1.2",".88","6.9",".3","제주특별자치도 제주시 애월읍 봉성리 3781"
"155","5011025339","2020","20200824","2","4.8","136","","54",".7",".87","3.6",".5","제주특별자치도 제주시 애월읍 봉성리 418"
"156","5011025339","2020","20200824","2","4.8","148","","45",".8",".91","5.1",".5","제주특별자치도 제주시 애월읍 봉성리 422"
"157","5011025339","2020","20200902","2","5.7","25","","192",".9",".81","2.8",".4","제주특별자치도 제주시 애월읍 봉성리 17"
"158","5011025339","2020","20201008","2","5.9","166","","77",".8","1.24","5.6",".4","제주특별자치도 제주시 애월읍 봉성리 3835"
"159","5011025339","2020","20201008","2","6.3","309","","36","3.3","1.96","14.5","2.4","제주특별자치도 제주시 애월읍 봉성리 3503"
"160","5011025339","2020","20201008","2","6.7","404","","32","1.3","1.04","4.9",".4","제주특별자치도 제주시 애월읍 봉성리 4208-2"
"161","5011025339","2020","20201211","2","6.8","731","","35",".3",".27","1.1",".6","제주특별자치도 제주시 애월읍 봉성리 4005"
"162","5011025339","2020","20201211","2","7","641","","32","1.9","1.12","11.9",".7","제주특별자치도 제주시 애월읍 봉성리 4280"
