"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025029","2020","20201021","2","5.4","150","","32","1.4","1.41","4.3",".2","제주특별자치도 제주시 한림읍 상대리 2578-1"
"2","5011025029","2020","20201021","2","5.5","706","","39",".7","1.49","4.4",".3","제주특별자치도 제주시 한림읍 상대리 2593"
"3","5011025029","2020","20201021","2","6.4","746","","51","1.7","1.33","6.3",".2","제주특별자치도 제주시 한림읍 상대리 2760-3"
"4","5011025029","2020","20201021","2","6.7","706","","43","2.9","1.69","7.9",".3","제주특별자치도 제주시 한림읍 상대리 2943-1"
"5","5011025029","2020","20201021","2","6","680","","31","1.1","1.29","4.6",".1","제주특별자치도 제주시 한림읍 상대리 3028-1"
"6","5011025029","2020","20201021","2","5.7","710","","78",".9","1.24","3.7",".3","제주특별자치도 제주시 한림읍 상대리 3276-1"
"7","5011025029","2020","20201021","2","5.5","701","","76","1.3","1.58","5.4",".3","제주특별자치도 제주시 한림읍 상대리 3405-1"
"8","5011025029","2020","20201021","2","6","551","","58","1.5","1.37","8.1",".3","제주특별자치도 제주시 한림읍 상대리 4439-1"
"9","5011025029","2020","20201021","2","6.1","588","","41","3","1.19","7.1",".8","제주특별자치도 제주시 한림읍 상대리 4535-1"
"10","5011025029","2020","20201021","2","4.9","699","","35",".8","1.32","3.4",".7","제주특별자치도 제주시 한림읍 상대리 4555"
"11","5011025029","2020","20201021","2","5.8","542","","64","1.3","1.14","8.8","1.2","제주특별자치도 제주시 한림읍 상대리 4437"
"12","5011025029","2020","20200331","2","5.5","441","","122","3.1","1.32","8.2","1.3","제주특별자치도 제주시 한림읍 상대리 1267-1"
"13","5011025029","2020","20200331","2","5.9","672","","118","2.7","3.39","13.2",".9","제주특별자치도 제주시 한림읍 상대리 1267-3"
"14","5011025029","2020","20200331","2","6.1","1053","","75","3.1","1.51","11.4",".7","제주특별자치도 제주시 한림읍 상대리 4513"
"15","5011025029","2020","20200331","2","5.1","904","","77","1.9","1.2","4.2",".8","제주특별자치도 제주시 한림읍 상대리 4515-1"
"16","5011025029","2020","20200423","2","5.9","833","","41","3.8","4.23","7.7","3.9","제주특별자치도 제주시 한림읍 상대리 1533"
"17","5011025029","2020","20200423","2","5.9","833","","41","3.8","4.23","7.7","3.9","제주특별자치도 제주시 한림읍 상대리 1533"
"18","5011025029","2020","20200423","2","5.8","630","","43","3","1.26","5.7",".9","제주특별자치도 제주시 한림읍 상대리 1528-1"
"19","5011025029","2020","20200423","2","5.8","630","","43","3","1.26","5.7",".9","제주특별자치도 제주시 한림읍 상대리 1528-1"
"20","5011025029","2020","20200820","2","5.6","272","","50","4","1.63","10.3","2.5","제주특별자치도 제주시 한림읍 상대리 1428"
"21","5011025029","2020","20200820","2","5.6","272","","50","4","1.63","10.3","2.5","제주특별자치도 제주시 한림읍 상대리 1428"
"22","5011025029","2020","20201008","2","6.2","439","","111","1.3","1.15","10.1",".6","제주특별자치도 제주시 한림읍 상대리 1267-1"
"23","5011025029","2020","20200528","2","5.1","487","","31","1.2",".94","3.2",".5","제주특별자치도 제주시 한림읍 상대리 3337"
"24","5011025029","2020","20200804","2","5.4","580","","5","1",".96","2.7",".5","제주특별자치도 제주시 한림읍 상대리 3337"
"25","5011025029","2020","20200820","2","6.8","606","","44","3.8","1.33","8",".4","제주특별자치도 제주시 한림읍 상대리 1433"
"26","5011025029","2020","20210108","2","7.4","710","","67","1.4","1.01","15.5","1.1","제주특별자치도 제주시 한림읍 상대리 3357-1"
"27","5011025029","2020","20200701","4","5.3","116.5","","67.8","3.25","1.81","5.04","1.7","제주특별자치도 제주시 한림읍 상대리 3676"
"28","5011025029","2020","20200701","4","6.2","210.2","","80","4.53","2.61","10.4","1.3","제주특별자치도 제주시 한림읍 상대리 3678"
"29","5011025029","2020","20200123","2","5.9","212","","64","1.5",".92","7.1",".47","제주특별자치도 제주시 한림읍 상대리 3622"
"30","5011025029","2020","20200217","2","5.6","10","","123","1",".34","2.5",".2","제주특별자치도 제주시 한림읍 상대리 708"
