"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025629","2020","20201127","2","8.2","306","","79","1.2",".57","23.6","1.2","제주특별자치도 제주시 구좌읍 상도리 272-2"
"2","5011025629","2020","20201216","2","8.2","14","","50",".8",".25","26.9",".9","제주특별자치도 제주시 구좌읍 상도리 379-1"
"3","5011025629","2020","20200528","2","5.7","36","","113","1.4",".52","3.8",".7","제주특별자치도 제주시 구좌읍 상도리 1034"
"4","5011025629","2020","20200810","2","8.1","18","","136","3.3","1.07","30",".5","제주특별자치도 제주시 구좌읍 상도리 689"
"5","5011025629","2020","20200304","2","5.4","81","","220",".7",".47","3.7",".4","제주특별자치도 제주시 구좌읍 상도리 1127"
"6","5011025629","2020","20200304","2","5.4","81","","220",".7",".47","3.7",".4","제주특별자치도 제주시 구좌읍 상도리 1127"
"7","5011025629","2020","20200409","2","5.2","34","","250","1.3",".4","7.4",".5","제주특별자치도 제주시 구좌읍 상도리 121-1"
"8","5011025629","2020","20200409","2","8","165","","165","4.1",".52","30",".6","제주특별자치도 제주시 구좌읍 상도리 1003"
"9","5011025629","2020","20200409","2","6.6","68","","68","3.4",".76","15.4",".7","제주특별자치도 제주시 구좌읍 상도리 1064"
"10","5011025629","2020","20200409","2","6.6","68","","68","3.4",".76","15.4",".7","제주특별자치도 제주시 구좌읍 상도리 1065"
"11","5011025629","2020","20200409","2","6.6","68","","68","3.4",".76","15.4",".7","제주특별자치도 제주시 구좌읍 상도리 1066"
"12","5011025629","2020","20200409","2","6.2","66","","186","2.1",".48","8.9",".4","제주특별자치도 제주시 구좌읍 상도리 1067"
"13","5011025629","2020","20200409","2","6.1","158","","158","2.9",".59","13.8",".5","제주특별자치도 제주시 구좌읍 상도리 1068"
"14","5011025629","2020","20200409","2","7.2","97","","97","6.9","2.34","23.9",".4","제주특별자치도 제주시 구좌읍 상도리 1071"
"15","5011025629","2020","20200409","2","8.3","178","","178","3.6",".38","30",".7","제주특별자치도 제주시 구좌읍 상도리 1078"
"16","5011025629","2020","20200409","2","5.6","157","","157",".5",".22","3.2",".6","제주특별자치도 제주시 구좌읍 상도리 1079"
"17","5011025629","2020","20200409","2","6.7","119","","119","2.9",".41","6.8",".5","제주특별자치도 제주시 구좌읍 상도리 1087"
"18","5011025629","2020","20200409","2","5.7","96","","96",".7",".4","3.5",".6","제주특별자치도 제주시 구좌읍 상도리 1030"
"19","5011025629","2020","20200518","2","8.4","87","","149","1.9","1","26.4",".7","제주특별자치도 제주시 구좌읍 상도리 283"
"20","5011025629","2020","20200518","2","8.3","80","","150","1.8",".91","25.1",".6","제주특별자치도 제주시 구좌읍 상도리 395"
"21","5011025629","2020","20200603","2","5.9","65","","161","6.5","3.14","25.7","1.1","제주특별자치도 제주시 구좌읍 상도리 716"
"22","5011025629","2020","20200630","2","5.3","10","","139",".4","1.42","2.1",".3","제주특별자치도 제주시 구좌읍 상도리 1222"
"23","5011025629","2020","20200929","2","8.2","26","","126","3.8","1.19","30",".9","제주특별자치도 제주시 구좌읍 상도리 1062"
"24","5011025629","2020","20200528","4","5","55","","152",".7",".34","1.6",".6","제주특별자치도 제주시 구좌읍 상도리 800"
"25","5011025629","2020","20200824","4","5.5","342","","244",".3",".66","1.2",".6","제주특별자치도 제주시 구좌읍 상도리 54"
"26","5011025629","2020","20200824","4","5.5","342","","244",".3",".66","1.2",".6","제주특별자치도 제주시 구좌읍 상도리 54"
"27","5011025629","2020","20200724","4","7.8","22","","148","6.4","1.54","30","2","제주특별자치도 제주시 구좌읍 상도리 83"
"28","5011025629","2020","20200724","4","5.3","15","","230","2.7","1.04","4.5","1.4","제주특별자치도 제주시 구좌읍 상도리 83"
"29","5011025629","2020","20200724","4","6","43","","235","3.5","1.18","6",".8","제주특별자치도 제주시 구좌읍 상도리 83"
"30","5011025629","2020","20200724","4","8","10","","165","9.9","2.03","30",".7","제주특별자치도 제주시 구좌읍 상도리 83"
"31","5011025629","2020","20200724","4","6.2","26","","246","4.3","1.18","7.1",".5","제주특별자치도 제주시 구좌읍 상도리 83"
"32","5011025629","2020","20200724","4","6.5","25","","221","2.8",".89","7.8","1.4","제주특별자치도 제주시 구좌읍 상도리 83"
"33","5011025629","2020","20200724","4","6","24","","216","2.9",".88","6.9","2.8","제주특별자치도 제주시 구좌읍 상도리 83"
"34","5011025629","2020","20200724","4","6.7","44","","222","2.5",".96","5.1","1.4","제주특별자치도 제주시 구좌읍 상도리 83"
"35","5011025629","2020","20200724","4","6.1","84","","205","2.9",".87","8.1","1.8","제주특별자치도 제주시 구좌읍 상도리 83"
"36","5011025629","2020","20200724","4","5.7","10","","200","4",".85","9",".4","제주특별자치도 제주시 구좌읍 상도리 83"
"37","5011025629","2020","20200724","4","7.4","10","","197","4.2","1.03","6.1","1.8","제주특별자치도 제주시 구좌읍 상도리 83"
"38","5011025629","2020","20200724","4","6.7","10","","176","1.3",".94","2",".1","제주특별자치도 제주시 구좌읍 상도리 83"
"39","5011025629","2020","20200724","4","6.5","10","","208","9.6","1.16","16.5",".1","제주특별자치도 제주시 구좌읍 상도리 83"
"40","5011025629","2020","20200724","4","6.6","10","","171","6.9","1.22","7.9",".1","제주특별자치도 제주시 구좌읍 상도리 83"
"41","5011025629","2020","20200724","4","6.4","10","","193","7.5","1.13","8.8",".2","제주특별자치도 제주시 구좌읍 상도리 83"
"42","5011025629","2020","20200218","2","5.4","10","","285",".8",".25","2.2",".3","제주특별자치도 제주시 구좌읍 상도리 718"
"43","5011025629","2020","20200218","2","5.5","10","","290",".7",".2","2.3",".2","제주특별자치도 제주시 구좌읍 상도리 849"
"44","5011025629","2020","20200218","2","5.4","10","","287",".6",".2","1.7",".3","제주특별자치도 제주시 구좌읍 상도리 1260-3"
"45","5011025629","2020","20200218","2","6.4","695","","111","2.5",".93","12.9",".83","제주특별자치도 제주시 구좌읍 상도리 1314"
"46","5011025629","2020","20200409","2","8.2","37","","184","3.3",".36","25.1",".7","제주특별자치도 제주시 구좌읍 상도리 854"
"47","5011025629","2020","20200528","2","6","108","","186","3.3",".55","7",".3","제주특별자치도 제주시 구좌읍 상도리 1265"
"48","5011025629","2020","20200528","2","8.2","29","","153","1.7","1.06","30",".7","제주특별자치도 제주시 구좌읍 상도리 774"
"49","5011025629","2020","20200528","2","8.2","29","","153","1.7","1.06","30",".7","제주특별자치도 제주시 구좌읍 상도리 774"
"50","5011025629","2020","20200622","2","6.9","69","","163","3.9","1.31","24.6",".5","제주특별자치도 제주시 구좌읍 상도리 798"
"51","5011025629","2020","20200713","2","4.8","46","","184","1.4",".88","4.4","6.3","제주특별자치도 제주시 구좌읍 상도리 920"
"52","5011025629","2020","20200911","2","7","60","","116","2.3","1.85","1.97","1.1","제주특별자치도 제주시 구좌읍 상도리 1212-1"
"53","5011025629","2020","20200911","2","7","60","","116","2.3","1.85","1.97","1.1","제주특별자치도 제주시 구좌읍 상도리 1212-1"
"54","5011025629","2020","20200911","2","7","60","","116","2.3","1.85","1.97","1.1","제주특별자치도 제주시 구좌읍 상도리 1212-1"
"55","5011025629","2020","20200911","2","8.2","59","","197","3.2",".9","26.9","1.1","제주특별자치도 제주시 구좌읍 상도리 989-2"
"56","5011025629","2020","20200911","2","8.2","59","","197","3.2",".9","26.9","1.1","제주특별자치도 제주시 구좌읍 상도리 989-2"
"57","5011025629","2020","20200911","2","8.2","59","","197","3.2",".9","26.9","1.1","제주특별자치도 제주시 구좌읍 상도리 989-2"
"58","5011025629","2020","20200115","4","7.3","10","","173","6.9","1.41","30","1","제주특별자치도 제주시 구좌읍 상도리 76"
"59","5011025629","2020","20200423","4","4","119","","300","7.7","1.67","9.8","2.3","제주특별자치도 제주시 구좌읍 상도리 925-2"
"60","5011025629","2020","20200423","4","4.1","1346","","300","20","9","30","9.6","제주특별자치도 제주시 구좌읍 상도리 925-4"
"61","5011025629","2020","20200423","4","4","36","","300","4.4",".93","7.9",".4","제주특별자치도 제주시 구좌읍 상도리 1183"
"62","5011025629","2020","20200715","4","6.7","119.8","","185.5","7.32","1.37","17.84",".6","제주특별자치도 제주시 구좌읍 상도리 76"
"63","5011025629","2020","20200715","4","6.2","23.5","","218","5.7","1.17","11.32",".5","제주특별자치도 제주시 구좌읍 상도리 76-1"
"64","5011025629","2020","20200804","4","7.6","101","","180","4.1",".8","30",".5","제주특별자치도 제주시 구좌읍 상도리 67"
"65","5011025629","2021","20211115","2","7.4","4","","142","",".27","","","제주특별자치도 제주시 구좌읍 상도리 1012"
"66","5011025629","2021","20211115","2","7.1","1","","151","",".26","","","제주특별자치도 제주시 구좌읍 상도리 1018"
"67","5011025629","2021","20211115","2","7.2","17","","141","",".42","","","제주특별자치도 제주시 구좌읍 상도리 1022"
"68","5011025629","2021","20211115","2","7.3","1","","141","",".45","","","제주특별자치도 제주시 구좌읍 상도리 1031"
