"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025930","2020","20201014","4","5.9","63","","130",".4",".77","3.5",".3","제주특별자치도 제주시 조천읍 선흘리 169"
"2","5011025930","2020","20201014","4","5.6","58","","142",".2",".72","1.4",".2","제주특별자치도 제주시 조천읍 선흘리 197"
"3","5011025930","2020","20201014","4","7.3","10","","101","4.1",".87","22.6",".4","제주특별자치도 제주시 조천읍 선흘리 222"
"4","5011025930","2020","20201014","4","5.4","566","","143","1.3",".99","4.9",".4","제주특별자치도 제주시 조천읍 선흘리 237"
"5","5011025930","2020","20201014","4","5.3","228","","141",".7",".8","3.8",".4","제주특별자치도 제주시 조천읍 선흘리 252"
"6","5011025930","2020","20201014","4","5","133","","131",".2",".74",".8",".2","제주특별자치도 제주시 조천읍 선흘리 258"
"7","5011025930","2020","20201014","4","5.5","132","","141",".3",".73","2.8",".3","제주특별자치도 제주시 조천읍 선흘리 263"
"8","5011025930","2020","20201014","4","5.1","180","","121",".1",".73",".9",".1","제주특별자치도 제주시 조천읍 선흘리 717"
"9","5011025930","2020","20201014","4","6.4","365","","142","1.4","1.05","17.9","1.4","제주특별자치도 제주시 조천읍 선흘리 891"
"10","5011025930","2020","20201014","4","5.6","36","","143",".4",".69","2.9",".4","제주특별자치도 제주시 조천읍 선흘리 945"
"11","5011025930","2020","20201014","4","5.2","133","","84",".4",".97","1.5",".4","제주특별자치도 제주시 조천읍 선흘리 1161"
"12","5011025930","2020","20201014","4","5.4","303","","117",".6",".82","3.3",".6","제주특별자치도 제주시 조천읍 선흘리 1224-1"
"13","5011025930","2020","20201014","4","5.3","10","","134",".7",".91","5.2",".7","제주특별자치도 제주시 조천읍 선흘리 1352"
"14","5011025930","2020","20201014","4","4.8","574","","141",".3",".8",".9",".3","제주특별자치도 제주시 조천읍 선흘리 1383-1"
"15","5011025930","2020","20201014","4","5.3","73","","141",".2",".72","1.1",".2","제주특별자치도 제주시 조천읍 선흘리 2857-1"
"16","5011025930","2020","20201014","4","5.4","341","","143",".6",".8","3.2",".3","제주특별자치도 제주시 조천읍 선흘리 2898-9"
"17","5011025930","2020","20201014","4","5","716","","142",".8",".82","3.5",".7","제주특별자치도 제주시 조천읍 선흘리 2904"
"18","5011025930","2020","20201014","4","5.1","110","","141",".2",".7","1.4",".3","제주특별자치도 제주시 조천읍 선흘리 3158"
"19","5011025930","2020","20201014","4","5","542","","137",".3",".68","2.7",".4","제주특별자치도 제주시 조천읍 선흘리 3165"
"20","5011025930","2020","20201014","4","6.4","182","","110","1.3","1.01","8.9",".4","제주특별자치도 제주시 조천읍 선흘리 3355-1"
"21","5011025930","2020","20201014","4","5.8","231","","108",".8","1.08","5.8",".5","제주특별자치도 제주시 조천읍 선흘리 3356"
