"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025628","2020","20201127","2","6.3","108","","151",".4",".02","5.2",".3","제주특별자치도 제주시 구좌읍 세화리 2144"
"2","5011025628","2020","20201127","2","5.9","42","","160",".1",".14","1.5",".3","제주특별자치도 제주시 구좌읍 세화리 3535"
"3","5011025628","2020","20201127","2","6","17","","172",".5",".22","3.4",".7","제주특별자치도 제주시 구좌읍 세화리 3403"
"4","5011025628","2020","20201127","2","8","42","","156","1.4",".14","30",".8","제주특별자치도 제주시 구좌읍 세화리 2048"
"5","5011025628","2020","20201127","2","6.2","37","","172",".4",".17","2.5",".4","제주특별자치도 제주시 구좌읍 세화리 3420"
"6","5011025628","2020","20201127","2","6.1","50","","161",".6",".19","9.1",".8","제주특별자치도 제주시 구좌읍 세화리 3092-4"
"7","5011025628","2020","20201127","2","6.2","76","","173",".7",".35","5.6",".6","제주특별자치도 제주시 구좌읍 세화리 1703-10"
"8","5011025628","2020","20201127","2","5.2","35","","122",".1",".11",".5",".3","제주특별자치도 제주시 구좌읍 세화리 3545-5"
"9","5011025628","2020","20201127","2","6.7","57","","114","1.4",".2","13.1",".6","제주특별자치도 제주시 구좌읍 세화리 2457-1"
"10","5011025628","2020","20201127","2","6","64","","60",".8",".4","6.6",".8","제주특별자치도 제주시 구좌읍 세화리 1703-12"
"11","5011025628","2020","20201127","2","6","16","","87",".4",".14","1.8",".4","제주특별자치도 제주시 구좌읍 세화리 3478-5"
"12","5011025628","2020","20201127","2","6.6","24","","97","1",".19","5.6",".4","제주특별자치도 제주시 구좌읍 세화리 3536"
"13","5011025628","2020","20201127","2","6.9","57","","94","2",".72","30","8.3","제주특별자치도 제주시 구좌읍 세화리 2389-1"
"14","5011025628","2020","20201127","2","7.3","39","","65",".8",".4","9.3",".5","제주특별자치도 제주시 구좌읍 세화리 2072"
"15","5011025628","2020","20201127","2","8.2","22","","127","1.3",".71","30",".9","제주특별자치도 제주시 구좌읍 세화리 2442"
"16","5011025628","2020","20201127","2","8.3","25","","151","1.5",".43","30","1","제주특별자치도 제주시 구좌읍 세화리 2414-1"
"17","5011025628","2020","20201127","2","6.1","23","","108",".4",".15","2.5",".8","제주특별자치도 제주시 구좌읍 세화리 2443"
"18","5011025628","2020","20201216","2","8.2","13","","105","1.2",".21","30","1","제주특별자치도 제주시 구좌읍 세화리 2403"
"19","5011025628","2020","20201216","2","8.1","44","","122","1.5",".73","30","2","제주특별자치도 제주시 구좌읍 세화리 2497"
"20","5011025628","2020","20201216","2","6.7","71","","118",".2",".18","5.6",".3","제주특별자치도 제주시 구좌읍 세화리 2418"
"21","5011025628","2020","20201216","2","7.8","54","","145","2.4","1.33","30","2.4","제주특별자치도 제주시 구좌읍 세화리 2086-1"
"22","5011025628","2020","20201216","2","6","57","","146","1.3",".31","6.5",".3","제주특별자치도 제주시 구좌읍 세화리 2030-2"
"23","5011025628","2020","20201216","2","6.3","110","","113","1.8",".54","10","1.8","제주특별자치도 제주시 구좌읍 세화리 2014"
"24","5011025628","2020","20201216","2","6.5","125","","113","2.2","1.09","18.3","2.2","제주특별자치도 제주시 구좌읍 세화리 580"
"25","5011025628","2020","20201216","2","8.2","37","","117","1.4",".37","30","1.4","제주특별자치도 제주시 구좌읍 세화리 2071"
"26","5011025628","2020","20201216","2","8.4","33","","116","3.1","1.08","30","3.1","제주특별자치도 제주시 구좌읍 세화리 590"
"27","5011025628","2020","20201216","2","8.3","38","","140","1.6",".27","30","1.6","제주특별자치도 제주시 구좌읍 세화리 1978-1"
"28","5011025628","2020","20201216","2","8.2","67","","88","1.5",".72","30","1.5","제주특별자치도 제주시 구좌읍 세화리 528"
"29","5011025628","2020","20201216","2","8.2","61","","147","1.6",".52","30","1.5","제주특별자치도 제주시 구좌읍 세화리 720"
"30","5011025628","2020","20201216","2","6.6","203","","128","1.4","1.05","16.2",".9","제주특별자치도 제주시 구좌읍 세화리 526"
"31","5011025628","2020","20201216","2","8.3","28","","131","1.5",".38","30","1","제주특별자치도 제주시 구좌읍 세화리 1782"
"32","5011025628","2020","20201216","2","8.1","92","","50","1.7","1.05","30","1.4","제주특별자치도 제주시 구좌읍 세화리 806"
"33","5011025628","2020","20201216","2","8.4","55","","83","1.2",".25","24.7","1","제주특별자치도 제주시 구좌읍 세화리 2084"
"34","5011025628","2020","20201216","2","8.4","48","","113","1.1",".29","30","1","제주특별자치도 제주시 구좌읍 세화리 900-3"
"35","5011025628","2020","20201216","2","8.4","62","","112","1",".5","30","1","제주특별자치도 제주시 구좌읍 세화리 797"
"36","5011025628","2020","20201216","2","8.4","104","","96","1.2",".71","30","1.3","제주특별자치도 제주시 구좌읍 세화리 814"
"37","5011025628","2020","20201216","2","8.4","44","","137","1.2",".51","28.1","1.2","제주특별자치도 제주시 구좌읍 세화리 912"
"38","5011025628","2020","20201216","2","7.1","88","","128","1.7",".56","20.3",".8","제주특별자치도 제주시 구좌읍 세화리 799-6"
"39","5011025628","2020","20201216","2","6.5","10","","100",".2",".28","2.3",".6","제주특별자치도 제주시 구좌읍 세화리 2811-2"
"40","5011025628","2020","20201216","2","7","15","","130",".4",".11","6",".8","제주특별자치도 제주시 구좌읍 세화리 2774-20"
"41","5011025628","2020","20201216","2","8.3","10","","146",".8",".18","30",".8","제주특별자치도 제주시 구좌읍 세화리 2414-2"
"42","5011025628","2020","20201216","2","5.7","10","","117",".2",".1","4.4","1.6","제주특별자치도 제주시 구좌읍 세화리 2754"
"43","5011025628","2020","20201216","2","6.3","10","","106",".6",".25","4.7",".7","제주특별자치도 제주시 구좌읍 세화리 2896"
"44","5011025628","2020","20201216","2","8.1","10","","147","1.7",".42","30","1.4","제주특별자치도 제주시 구좌읍 세화리 2468"
