"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025325","2020","20201103","2","6.1","448","","47","1.9","2.53","10.2",".4","제주특별자치도 제주시 애월읍 수산리 1230-1"
"2","5011025325","2020","20201103","2","5.6","740","","49","1.9","1.14","10.2",".4","제주특별자치도 제주시 애월읍 수산리 1009"
"3","5011025325","2020","20201103","2","6.4","99","","61","1",".8","5.5",".5","제주특별자치도 제주시 애월읍 수산리 1270"
"4","5011025325","2020","20200116","4","6.3","676","","75","10.6","3.66","22.5","2.4","제주특별자치도 제주시 애월읍 수산리 1641-1"
"5","5011025325","2020","20200131","4","6.5","1188","","300","10.1","2.99","24.7","4.4","제주특별자치도 제주시 애월읍 수산리 1320-4"
"6","5011025325","2020","20200131","4","6.7","144","","300","3.7","1.98","11.2",".4","제주특별자치도 제주시 애월읍 수산리 1321"
"7","5011025325","2020","20200131","4","6.3","295","","300","4.5","1.3","9.3",".4","제주특별자치도 제주시 애월읍 수산리 1322"
"8","5011025325","2020","20200131","4","6.5","1188","","300","10.1","2.99","24.7","4.4","제주특별자치도 제주시 애월읍 수산리 1320-4"
"9","5011025325","2020","20200131","4","6.7","144","","300","3.7","1.98","11.2",".4","제주특별자치도 제주시 애월읍 수산리 1321"
"10","5011025325","2020","20200131","4","6.3","295","","300","4.5","1.3","9.3",".4","제주특별자치도 제주시 애월읍 수산리 1322"
"11","5011025325","2020","20200219","4","6.1","731","","62",".9",".45","3.2",".4","제주특별자치도 제주시 애월읍 수산리 1641-1"
"12","5011025325","2020","20200325","4","5","1027","","107",".6",".41","2.1",".2","제주특별자치도 제주시 애월읍 수산리 2265-2"
"13","5011025325","2020","20200724","4","7.6","620","","208","4.3","1.18","27.8",".7","제주특별자치도 제주시 애월읍 수산리 1630"
"14","5011025325","2020","20200820","4","6.6","204","","63","7.2","3.88","15.1",".6","제주특별자치도 제주시 애월읍 수산리 1075"
"15","5011025325","2020","20200820","4","5.1","423","","104","2","1.36","8.9","2.6","제주특별자치도 제주시 애월읍 수산리 1360"
"16","5011025325","2020","20200824","4","7","204","","300","1.6",".85","14.9","1.3","제주특별자치도 제주시 애월읍 수산리 2143"
"17","5011025325","2020","20200824","4","7","204","","300","1.6",".85","14.9","1.3","제주특별자치도 제주시 애월읍 수산리 2143"
"18","5011025325","2020","20200908","4","5.4","174","","229","3.1","2.15","17.6","2","제주특별자치도 제주시 애월읍 수산리 1326"
"19","5011025325","2020","20200908","4","5.8","60","","231","1.2","1.53","4",".3","제주특별자치도 제주시 애월읍 수산리 1337"
"20","5011025325","2020","20200922","4","6","165","","35","1.4","1.43","9",".3","제주특별자치도 제주시 애월읍 수산리 1270"
"21","5011025325","2020","20200922","4","6","165","","35","1.4","1.43","9",".3","제주특별자치도 제주시 애월읍 수산리 1270"
"22","5011025325","2020","20200922","4","5.7","320","","43","3.3","3.4","17.1","2.9","제주특별자치도 제주시 애월읍 수산리 1367-1"
"23","5011025325","2020","20200922","4","5.7","320","","43","3.3","3.4","17.1","2.9","제주특별자치도 제주시 애월읍 수산리 1367-1"
"24","5011025325","2020","20200922","4","5.7","496","","115","2","1.68","14.8","1.1","제주특별자치도 제주시 애월읍 수산리 1426"
"25","5011025325","2020","20200922","4","4.6","565","","99",".8","1.68","9.1","2.5","제주특별자치도 제주시 애월읍 수산리 1427"
