"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025921","2020","20201014","4","5","383","","95",".5",".83","1.5",".2","제주특별자치도 제주시 조천읍 신촌리 747"
"2","5011025921","2020","20201014","4","5.7","837","","92","2.2","1.43","6.2",".4","제주특별자치도 제주시 조천읍 신촌리 750"
"3","5011025921","2020","20201014","4","5.5","655","","74",".7","1.05","2.7",".3","제주특별자치도 제주시 조천읍 신촌리 814"
"4","5011025921","2020","20201014","4","5.7","289","","65",".6","1.06","2",".2","제주특별자치도 제주시 조천읍 신촌리 818"
"5","5011025921","2020","20201014","4","5.4","385","","68",".3",".93","1.1",".2","제주특별자치도 제주시 조천읍 신촌리 845"
"6","5011025921","2020","20201014","4","6.6","598","","72","3.5","1.52","15.5",".3","제주특별자치도 제주시 조천읍 신촌리 849-1"
"7","5011025921","2020","20201014","4","6.2","542","","51","1.6","1.3","5.6",".3","제주특별자치도 제주시 조천읍 신촌리 1559-1"
"8","5011025921","2020","20201014","4","6.1","637","","68","1.2","1.44","8",".2","제주특별자치도 제주시 조천읍 신촌리 1544"
"9","5011025921","2020","20201014","4","4.8","877","","89",".6","1.06","1.4",".4","제주특별자치도 제주시 조천읍 신촌리 1549"
"10","5011025921","2020","20201014","4","8","385","","70","2.5","1.13","28",".4","제주특별자치도 제주시 조천읍 신촌리 1553-1"
"11","5011025921","2020","20201014","4","5","773","","85",".4",".97","1.8",".3","제주특별자치도 제주시 조천읍 신촌리 3121"
"12","5011025921","2020","20201014","4","6.1","673","","62","1.1","1.1","5.2",".2","제주특별자치도 제주시 조천읍 신촌리 3139"
"13","5011025921","2020","20201014","4","7.1","516","","167","1.5","1.07","13.5",".5","제주특별자치도 제주시 조천읍 신촌리 3144"
"14","5011025921","2020","20201014","4","6.1","50","","78","2.9","1.83","6.3",".2","제주특별자치도 제주시 조천읍 신촌리 3158"
"15","5011025921","2020","20200409","2","6","80","","80","4.3","4.66","11.9","1.6","제주특별자치도 제주시 조천읍 신촌리 3009"
"16","5011025921","2020","20200409","2","5.3","69","","69","3.3","1.63","8.4","2.6","제주특별자치도 제주시 조천읍 신촌리 586"
"17","5011025921","2020","20200409","2","5.5","534","","55","2.8","1.1","6.4","2.3","제주특별자치도 제주시 조천읍 신촌리 803-1"
"18","5011025921","2020","20200409","2","5.1","814","","74","1.1","1.4","4.1","1.3","제주특별자치도 제주시 조천읍 신촌리 837"
"19","5011025921","2020","20200409","2","5.1","1201","","63","1",".78","3.5","1.2","제주특별자치도 제주시 조천읍 신촌리 846"
"20","5011025921","2020","20200409","2","5.8","782","","59","2.3","1.63","4.2",".6","제주특별자치도 제주시 조천읍 신촌리 598-1"
"21","5011025921","2020","20200409","2","6.5","620","","61","4.1","4.46","12.2",".5","제주특별자치도 제주시 조천읍 신촌리 832-1"
"22","5011025921","2020","20200409","2","6.2","657","","67","4.1","3.07","11.1",".6","제주특별자치도 제주시 조천읍 신촌리 907-6"
"23","5011025921","2020","20200409","2","6.5","302","","84","8.6","4.25","19",".7","제주특별자치도 제주시 조천읍 신촌리 912"
"24","5011025921","2020","20200409","2","6.8","569","","52","2.6","1.7","9.3",".3","제주특별자치도 제주시 조천읍 신촌리 3097-5"
"25","5011025921","2020","20200409","2","5.8","623","","42","1.8","1.44","5.9",".7","제주특별자치도 제주시 조천읍 신촌리 3097-6"
"26","5011025921","2020","20200409","2","6","640","","53","2","2.13","5.1",".4","제주특별자치도 제주시 조천읍 신촌리 3122-3"
"27","5011025921","2020","20200409","2","6.4","343","","39","1.8","1.05","6.3",".3","제주특별자치도 제주시 조천읍 신촌리 3629"
"28","5011025921","2020","20200409","2","6.3","1020","","58","3.2","2.6","9.4",".5","제주특별자치도 제주시 조천읍 신촌리 756"
"29","5011025921","2020","20200409","2","5.7","961","","64","1.3",".95","5.3",".4","제주특별자치도 제주시 조천읍 신촌리 1666-1"
"30","5011025921","2020","20200409","2","6.2","825","","90","3","2.15","10.2",".6","제주특별자치도 제주시 조천읍 신촌리 1650-2"
"31","5011025921","2020","20200409","2","6.2","532","","62","4","2.08","10.4",".9","제주특별자치도 제주시 조천읍 신촌리 3659"
"32","5011025921","2020","20200409","2","7.2","745","","42","3.1","1.23","9",".4","제주특별자치도 제주시 조천읍 신촌리 1495"
"33","5011025921","2020","20200409","2","5.9","846","","88","1.8","4.21","4.5","1.2","제주특별자치도 제주시 조천읍 신촌리 762"
"34","5011025921","2020","20200409","2","6.7","452","","68","2.4",".99","10.3",".4","제주특별자치도 제주시 조천읍 신촌리 2904"
"35","5011025921","2020","20200409","2","6.9","739","","47","2.3",".9","10",".6","제주특별자치도 제주시 조천읍 신촌리 2865-1"
"36","5011025921","2020","20200409","2","6.4","299","","57","2.5","1.42","7.8",".5","제주특별자치도 제주시 조천읍 신촌리 3623"
"37","5011025921","2020","20200409","2","6.3","792","","40","1.4",".41","5.9",".3","제주특별자치도 제주시 조천읍 신촌리 3618"
"38","5011025921","2020","20200409","2","6.5","507","","70","2.8",".87","11.7",".9","제주특별자치도 제주시 조천읍 신촌리 2910"
"39","5011025921","2020","20200409","2","6.1","1085","","63","1.7","1.15","5.8",".5","제주특별자치도 제주시 조천읍 신촌리 1772-1"
"40","5011025921","2020","20200409","2","5.3","445","","74",".9","1.01","3.1",".8","제주특별자치도 제주시 조천읍 신촌리 2729"
"41","5011025921","2020","20200409","2","6","347","","46","2.4","1.14","4",".4","제주특별자치도 제주시 조천읍 신촌리 1814"
"42","5011025921","2020","20200608","2","5.9","747","","39","2.7","1.34","7.4","1.2","제주특별자치도 제주시 조천읍 신촌리 3175-2"
"43","5011025921","2020","20200608","2","5.9","747","","39","2.7","1.34","7.4","1.2","제주특별자치도 제주시 조천읍 신촌리 3175-2"
"44","5011025921","2020","20200608","2","5.9","747","","39","2.7","1.34","7.4","1.2","제주특별자치도 제주시 조천읍 신촌리 3175-2"
"45","5011025921","2020","20200608","2","5.9","747","","39","2.7","1.34","7.4","1.2","제주특별자치도 제주시 조천읍 신촌리 3175-2"
"46","5011025921","2020","20200608","2","5.9","401","","52","1.9","1.08","5.9",".2","제주특별자치도 제주시 조천읍 신촌리 3623"
"47","5011025921","2020","20201224","2","5.6","434","","31",".5",".3","2.7",".5","제주특별자치도 제주시 조천읍 신촌리 3168"
"48","5011025921","2020","20201224","2","5.6","434","","31",".5",".3","2.7",".5","제주특별자치도 제주시 조천읍 신촌리 3168"
"49","5011025921","2020","20200317","4","5.2","1163","","131","1.5",".33","2.5",".4","제주특별자치도 제주시 조천읍 신촌리 302"
"50","5011025921","2020","20200409","4","6.3","486","","62","4.2","2.32","9.4",".5","제주특별자치도 제주시 조천읍 신촌리 919"
"51","5011025921","2020","20200409","4","6.1","902","","57","3.7","2.19","10.2",".8","제주특별자치도 제주시 조천읍 신촌리 3097-17"
"52","5011025921","2020","20200409","4","6.5","494","","101","4.1","1.04","7.2",".5","제주특별자치도 제주시 조천읍 신촌리 3084-5"
"53","5011025921","2020","20200409","4","6.6","683","","88","6.9","1.5","11.3","1.2","제주특별자치도 제주시 조천읍 신촌리 3086-3"
"54","5011025921","2020","20200409","4","5.5","1350","","140","5.6","2.12","12.3",".6","제주특별자치도 제주시 조천읍 신촌리 3617"
"55","5011025921","2020","20200409","4","4.8","1169","","77","1.6",".97","2.7","1.2","제주특별자치도 제주시 조천읍 신촌리 1401-1"
"56","5011025921","2020","20200409","4","4.9","1380","","75","1.8",".65","2.8","1.4","제주특별자치도 제주시 조천읍 신촌리 1670-3"
"57","5011025921","2020","20200409","4","4.9","1380","","75","1.8",".65","2.8","1.4","제주특별자치도 제주시 조천읍 신촌리 1670-3"
"58","5011025921","2020","20200409","4","6.4","1279","","100","8.7","3.83","10.3","1","제주특별자치도 제주시 조천읍 신촌리 664-1"
"59","5011025921","2020","20200507","4","4.9","574","","70",".3",".18","1.3",".2","제주특별자치도 제주시 조천읍 신촌리 418"
"60","5011025921","2020","20200603","4","5.3","955","","100","3.5","4.51","10.2","3","제주특별자치도 제주시 조천읍 신촌리 2664"
"61","5011025921","2020","20200603","4","5.6","1025","","147","2.7","4.03","13.1","2.6","제주특별자치도 제주시 조천읍 신촌리 675-1"
"62","5011025921","2020","20200603","4","5.5","350","","81","2.9","3.72","10.4","2.2","제주특별자치도 제주시 조천읍 신촌리 1242"
"63","5011025921","2020","20200603","4","7.9","258","","56","2.2","3.35","26",".6","제주특별자치도 제주시 조천읍 신촌리 1124"
"64","5011025921","2020","20200603","4","7.4","842","","83","1.9","3.3","20.8","1.3","제주특별자치도 제주시 조천읍 신촌리 1584-1"
"65","5011025921","2020","20200603","4","7.4","842","","83","1.9","3.3","20.8","1.3","제주특별자치도 제주시 조천읍 신촌리 1584-2"
"66","5011025921","2020","20200603","4","7.4","842","","83","1.9","3.3","20.8","1.3","제주특별자치도 제주시 조천읍 신촌리 1593"
"67","5011025921","2020","20200624","4","6.1","664","","71","2.5","2.72","9.1",".5","제주특별자치도 제주시 조천읍 신촌리 1443"
"68","5011025921","2020","20200624","4","6.1","664","","71","2.5","2.72","9.1",".5","제주특별자치도 제주시 조천읍 신촌리 1555"
"69","5011025921","2020","20200624","4","6.1","664","","71","2.5","2.72","9.1",".5","제주특별자치도 제주시 조천읍 신촌리 1557"
"70","5011025921","2020","20200624","4","6.1","664","","71","2.5","2.72","9.1",".5","제주특별자치도 제주시 조천읍 신촌리 852"
"71","5011025921","2020","20200624","4","6.1","664","","71","2.5","2.72","9.1",".5","제주특별자치도 제주시 조천읍 신촌리 853-1"
"72","5011025921","2020","20200624","4","6.2","663","","76","2.2","2.58","9.5",".3","제주특별자치도 제주시 조천읍 신촌리 2921"
