"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025336","2020","20201215","4","5.3","967","","116","1",".81","10.4","1.2","제주특별자치도 제주시 애월읍 어음리 2335"
"2","5011025336","2020","20201215","4","5.7","99","","108","1.2",".81","9.8","1.3","제주특별자치도 제주시 애월읍 어음리 2417"
"3","5011025336","2020","20201215","4","5.3","10","","127","1.4",".22","5.1","3.8","제주특별자치도 제주시 애월읍 어음리 2477"
"4","5011025336","2020","20201215","4","5","182","","106",".5",".36","2.9","1.6","제주특별자치도 제주시 애월읍 어음리 2694"
"5","5011025336","2020","20201215","4","6.9","151","","122","2.5",".88","16.6",".7","제주특별자치도 제주시 애월읍 어음리 2728-3"
"6","5011025336","2020","20201215","4","6.1","10","","47",".7",".35","5.5",".3","제주특별자치도 제주시 애월읍 어음리 3370"
"7","5011025336","2020","20201215","4","5.8","183","","77",".9","1.16","9.4","1.2","제주특별자치도 제주시 애월읍 어음리 3375"
"8","5011025336","2020","20200331","2","6.1","67","","97","3.4","2.51","9.1",".6","제주특별자치도 제주시 애월읍 어음리 134"
"9","5011025336","2020","20200911","2","6.5","63","","74","1.6","1.67","12.7",".5","제주특별자치도 제주시 애월읍 어음리 2302-1"
"10","5011025336","2020","20200911","2","5.5","448","","77",".4","1.08","3",".7","제주특별자치도 제주시 애월읍 어음리 3574-1"
"11","5011025336","2020","20201008","2","6.3","95","","189","1","1.03","10.1",".3","제주특별자치도 제주시 애월읍 어음리 134"
"12","5011025336","2020","20200325","4","6.9","403","","57","3.7","1.54","9.6",".6","제주특별자치도 제주시 애월읍 어음리 2331"
"13","5011025336","2020","20200325","4","5.5","1229","","95","10.3","4.33","17","6.3","제주특별자치도 제주시 애월읍 어음리 2335"
"14","5011025336","2020","20200610","4","5.2","1021","","156","4.2","1.69","11.7","2.6","제주특별자치도 제주시 애월읍 어음리 3375"
"15","5011025336","2020","20200610","4","5.2","1021","","156","4.2","1.69","11.7","2.6","제주특별자치도 제주시 애월읍 어음리 3375"
"16","5011025336","2020","20200902","4","5.3","565","","197","1.7",".9","3.9",".4","제주특별자치도 제주시 애월읍 어음리 3119"
"17","5011025336","2020","20200420","2","5.7","268","","46","20","1.53","6.2","1.3","제주특별자치도 제주시 애월읍 어음리 1497-1"
"18","5011025336","2020","20200420","2","5.6","389","","47","3.6","2.8","7.6","1.8","제주특별자치도 제주시 애월읍 어음리 1979"
"19","5011025336","2020","20200528","2","5.8","68","","101","1.5","1.27","6.6",".6","제주특별자치도 제주시 애월읍 어음리 787"
"20","5011025336","2020","20200331","4","6.3","407","","109",".5",".33","1.2","1.2","제주특별자치도 제주시 애월읍 어음리 2715"
"21","5011025336","2020","20200331","4","6.8","93","","64","4.7",".92","8.3",".8","제주특별자치도 제주시 애월읍 어음리 2705-1"
"22","5011025336","2020","20200331","4","7.4","291","","108","5",".33","6",".5","제주특별자치도 제주시 애월읍 어음리 2705-1"
"23","5011025336","2020","20200525","4","5.2","227","","57",".9",".93","4.5",".5","제주특별자치도 제주시 애월읍 어음리 2335"
"24","5011025336","2020","20201120","4","6.9","175","","92","1.5",".74","12.3","1.1","제주특별자치도 제주시 애월읍 어음리 1874"
"25","5011025336","2020","20200630","4","5.2","96","","101","1.7","2.51","4.8","1.6","제주특별자치도 제주시 애월읍 어음리 2269"
"26","5011025336","2020","20200701","4","5.3","223.2","","97.8","3.78","1.68","6.09","2.7","제주특별자치도 제주시 애월읍 어음리 2689-1"
"27","5011025336","2020","20200717","4","6.9","143","","84","4.8","1.22","14.5","1.2","제주특별자치도 제주시 애월읍 어음리 2219-1"
"28","5011025336","2020","20200724","4","5.9","589","","190","3","1.58","16.6","2.1","제주특별자치도 제주시 애월읍 어음리 2829-1"
"29","5011025336","2020","20200922","4","5.4","446","","100","1.1","1.33","3.1","2.7","제주특별자치도 제주시 애월읍 어음리 3375"
"30","5011025336","2020","20201008","4","5.3","346","","126","2.2","1.66","8.6","3.9","제주특별자치도 제주시 애월읍 어음리 3375"
"31","5011025336","2020","20200107","2","5.6","17","","300","1.2",".39","2.2",".3","제주특별자치도 제주시 애월읍 어음리 130"
"32","5011025336","2020","20200107","2","5.6","20","","272","1.3",".43","2.3",".4","제주특별자치도 제주시 애월읍 어음리 130-1"
"33","5011025336","2020","20200107","2","5.6","19","","223","1.1",".41","2.5",".4","제주특별자치도 제주시 애월읍 어음리 130-2"
"34","5011025336","2020","20200107","2","5.6","18","","259","1.2",".39","2.2",".4","제주특별자치도 제주시 애월읍 어음리 130-3"
"35","5011025336","2020","20200107","2","5.6","19","","284","1.2",".39","2.3",".4","제주특별자치도 제주시 애월읍 어음리 130-4"
"36","5011025336","2020","20200107","2","5.6","19","","276","1.2",".4","2.4",".4","제주특별자치도 제주시 애월읍 어음리 369"
"37","5011025336","2020","20200107","2","6.8","77","","153","8.4","1.58","16.2",".8","제주특별자치도 제주시 애월읍 어음리 412"
"38","5011025336","2020","20200107","2","6.8","83","","161","8.1","1.08","13.9",".8","제주특별자치도 제주시 애월읍 어음리 685-1"
"39","5011025336","2020","20200107","2","6.9","87","","148","7.5","1.1","13.5",".8","제주특별자치도 제주시 애월읍 어음리 685-2"
"40","5011025336","2020","20200107","2","6.9","78","","151","7.2","1.04","13",".8","제주특별자치도 제주시 애월읍 어음리 687"
"41","5011025336","2020","20200312","2","5.2","25","","300","1.7","1.27","5.1",".5","제주특별자치도 제주시 애월읍 어음리 11"
"42","5011025336","2020","20200504","2","5.5","774","","97","1.6","1.65","7.3",".9","제주특별자치도 제주시 애월읍 어음리 3664-1"
"43","5011025336","2020","20200504","2","5.4","714","","87","2.1","1.82","10.1","1.3","제주특별자치도 제주시 애월읍 어음리 3403"
"44","5011025336","2020","20200515","2","6.1","68","","189",".4",".91",".8",".1","제주특별자치도 제주시 애월읍 어음리 80"
"45","5011025336","2020","20200515","2","6.1","67","","197",".6",".96","1.1",".1","제주특별자치도 제주시 애월읍 어음리 70"
"46","5011025336","2020","20200515","2","6.1","67","","197",".6",".96","1.1",".1","제주특별자치도 제주시 애월읍 어음리 70-10"
"47","5011025336","2020","20200515","2","6.1","67","","197",".6",".96","1.1",".1","제주특별자치도 제주시 애월읍 어음리 70-11"
"48","5011025336","2020","20200515","2","6.3","68","","182",".5",".99",".9",".1","제주특별자치도 제주시 애월읍 어음리 70-9"
"49","5011025336","2020","20200515","2","6.3","68","","182",".5",".99",".9",".1","제주특별자치도 제주시 애월읍 어음리 70-8"
"50","5011025336","2020","20200528","2","4.8","1191","","41",".7","1.6","1.2","1","제주특별자치도 제주시 애월읍 어음리 3604-1"
"51","5011025336","2020","20200528","2","4.8","1191","","41",".7","1.6","1.2","1","제주특별자치도 제주시 애월읍 어음리 3604-1"
"52","5011025336","2020","20200528","2","5.1","375","","64","2.7",".57","5.4","1.5","제주특별자치도 제주시 애월읍 어음리 3152"
"53","5011025336","2020","20200612","2","5.5","51","","149","1.5","1.49","4.1",".4","제주특별자치도 제주시 애월읍 어음리 130"
"54","5011025336","2020","20200612","2","5.5","52","","154","1.7","1.86","4.8",".4","제주특별자치도 제주시 애월읍 어음리 130-1"
"55","5011025336","2020","20200612","2","5.5","91","","98","1.4","2.14","4.5",".5","제주특별자치도 제주시 애월읍 어음리 130-2"
"56","5011025336","2020","20200612","2","5.4","95","","100","2.2","3.34","7.3",".5","제주특별자치도 제주시 애월읍 어음리 130-3"
