"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025928","2020","20201014","4","6","233","","111",".9","1.53","7.6","1.2","제주특별자치도 제주시 조천읍 와산리 716"
"2","5011025928","2020","20201014","4","5.3","544","","106",".3",".84","1.5",".3","제주특별자치도 제주시 조천읍 와산리 732"
"3","5011025928","2020","20201014","4","4.9","112","","122",".2",".85","1.2",".2","제주특별자치도 제주시 조천읍 와산리 735"
"4","5011025928","2020","20201014","4","5.5","79","","144","1.5",".85","3.8",".5","제주특별자치도 제주시 조천읍 와산리 772-4"
"5","5011025928","2020","20201014","4","6","99","","92",".8",".87","3.7",".2","제주특별자치도 제주시 조천읍 와산리 892"
"6","5011025928","2020","20201014","4","5.2","438","","151",".9",".92","3.6","1","제주특별자치도 제주시 조천읍 와산리 896-4"
"7","5011025928","2020","20201014","4","5.8","118","","154","1.1",".94","9.7",".3","제주특별자치도 제주시 조천읍 와산리 898-1"
"8","5011025928","2020","20201014","4","6.5","351","","68","1.2",".85","9.6",".3","제주특별자치도 제주시 조천읍 와산리 138"
"9","5011025928","2020","20201014","4","5","337","","134",".2",".63","1.5",".2","제주특별자치도 제주시 조천읍 와산리 203"
"10","5011025928","2020","20201014","4","4.9","170","","134",".1",".64",".8",".3","제주특별자치도 제주시 조천읍 와산리 215"
"11","5011025928","2020","20201014","4","4.9","670","","135",".3",".83","2.6",".3","제주특별자치도 제주시 조천읍 와산리 541"
"12","5011025928","2020","20201014","4","5.8","110","","92",".8","1","3.9",".4","제주특별자치도 제주시 조천읍 와산리 567"
"13","5011025928","2020","20201014","4","4.7","597","","137",".2",".71","1.1",".3","제주특별자치도 제주시 조천읍 와산리 595-2"
"14","5011025928","2020","20201014","4","5.1","677","","122",".3",".67","2.1",".3","제주특별자치도 제주시 조천읍 와산리 612"
"15","5011025928","2020","20200115","4","5.2","128","","300",".7",".14","2.1",".3","제주특별자치도 제주시 조천읍 와산리 773-4"
"16","5011025928","2020","20200414","4","5.9","102","","287","8",".51","16.3","1","제주특별자치도 제주시 조천읍 와산리 604"
"17","5011025928","2020","20200507","4","5.5","31","","208","2.2",".34","5.7",".7","제주특별자치도 제주시 조천읍 와산리 920-3"
"18","5011025928","2020","20200507","4","5.7","32","","194","2.7",".46","7.1",".6","제주특별자치도 제주시 조천읍 와산리 775"
"19","5011025928","2020","20200603","4","5","705","","104","1.2","2.72","4.1",".5","제주특별자치도 제주시 조천읍 와산리 574"
"20","5011025928","2020","20200603","4","5","705","","104","1.2","2.72","4.1",".5","제주특별자치도 제주시 조천읍 와산리 563"
"21","5011025928","2020","20200603","4","5","705","","104","1.2","2.72","4.1",".5","제주특별자치도 제주시 조천읍 와산리 564"
"22","5011025928","2020","20200603","4","5","705","","104","1.2","2.72","4.1",".5","제주특별자치도 제주시 조천읍 와산리 565"
"23","5011025928","2020","20200603","4","5","705","","104","1.2","2.72","4.1",".5","제주특별자치도 제주시 조천읍 와산리 566"
"24","5011025928","2020","20200603","4","5","705","","104","1.2","2.72","4.1",".5","제주특별자치도 제주시 조천읍 와산리 567"
"25","5011025928","2020","20200911","4","6.8","44","","164","1.5",".86","6.8","1.1","제주특별자치도 제주시 조천읍 와산리 66"
"26","5011025928","2020","20200310","2","5.7","40","","251","1.6",".69","4.8","1.3","제주특별자치도 제주시 조천읍 와산리 459"
"27","5011025928","2020","20200514","2","6.9","10","","","1.8",".91","12.1",".4","제주특별자치도 제주시 조천읍 와산리 777-1"
"28","5011025928","2020","20200514","2","6.9","10","","","1.8",".91","12.1",".4","제주특별자치도 제주시 조천읍 와산리 777-1"
"29","5011025928","2020","20200514","2","6.9","10","","","1.8",".91","12.1",".4","제주특별자치도 제주시 조천읍 와산리 777-1"
"30","5011025928","2020","20200309","4","5.4","351","","121","1.3",".64","4",".4","제주특별자치도 제주시 조천읍 와산리 681"
"31","5011025928","2020","20200309","4","5.5","222","","185","1.4",".23","8.1",".4","제주특별자치도 제주시 조천읍 와산리 898-1"
"32","5011025928","2020","20200309","4","5.5","527","","135","1.5",".67","6.8",".6","제주특별자치도 제주시 조천읍 와산리 569"
"33","5011025928","2020","20200309","4","4.6","690","","125","5.4","4.67","15.1","7.3","제주특별자치도 제주시 조천읍 와산리 681"
"34","5011025928","2020","20200309","4","4.7","649","","128","4.3","6.1","9.4","10","제주특별자치도 제주시 조천읍 와산리 684"
"35","5011025928","2020","20200309","4","4.5","263","","157","8.2","7.5","14.4","10","제주특별자치도 제주시 조천읍 와산리 785-1"
"36","5011025928","2020","20200331","4","4.7","618","","103",".7",".29","2.5",".4","제주특별자치도 제주시 조천읍 와산리 833"
"37","5011025928","2020","20200331","4","6","775","","201","9.6",".32","14.1",".5","제주특별자치도 제주시 조천읍 와산리 828"
"38","5011025928","2020","20200331","4","4.8","394","","176","1",".19","2.2",".4","제주특별자치도 제주시 조천읍 와산리 715"
"39","5011025928","2020","20200331","4","5.8","277","","179","1.8",".56","10.4",".3","제주특별자치도 제주시 조천읍 와산리 720"
"40","5011025928","2020","20200331","4","6.8","302","","123","6.8",".49","17.3",".3","제주특별자치도 제주시 조천읍 와산리 1110-1"
"41","5011025928","2020","20200331","4","5.2","358","","133",".5",".19","1.5",".2","제주특별자치도 제주시 조천읍 와산리 1101"
"42","5011025928","2020","20200331","4","5.2","490","","159",".9",".25","2.3",".3","제주특별자치도 제주시 조천읍 와산리 1115-2"
"43","5011025928","2020","20200409","4","7.2","196","","127","18.2","1.15","26.9",".3","제주특별자치도 제주시 조천읍 와산리 251-1"
"44","5011025928","2020","20200507","4","5.5","29","","117",".7","1.69","2.6",".8","제주특별자치도 제주시 조천읍 와산리 512"
"45","5011025928","2020","20200507","4","5.5","24","","121",".6","1.14","2.2",".7","제주특별자치도 제주시 조천읍 와산리 491"
"46","5011025928","2020","20200514","4","5.7","243","","206","1.2",".32","6",".3","제주특별자치도 제주시 조천읍 와산리 855"
"47","5011025928","2020","20200514","4","5.7","243","","206","1.2",".32","6",".3","제주특별자치도 제주시 조천읍 와산리 855"
"48","5011025928","2020","20200514","4","5.4","78","","64",".7",".23","2.9",".2","제주특별자치도 제주시 조천읍 와산리 1598"
"49","5011025928","2020","20200528","4","5.3","491","","194","3.4",".45","12.1","2.4","제주특별자치도 제주시 조천읍 와산리 1620-7"
"50","5011025928","2020","20200619","4","4.7","589","","191",".6",".45","2.4",".39","제주특별자치도 제주시 조천읍 와산리 1514"
"51","5011025928","2020","20200717","4","5","481","","257","1.5",".74","6.3","1.1","제주특별자치도 제주시 조천읍 와산리 1591"
"52","5011025928","2020","20200902","4","5.2","212","","240","1.2",".74","3.9",".4","제주특별자치도 제주시 조천읍 와산리 1497"
"53","5011025928","2020","20200218","2","6.3","1503","","130","1.8",".73","8.6",".7","제주특별자치도 제주시 조천읍 와산리 483-1"
"54","5011025928","2020","20200218","2","6.3","1402","","113","2.9","1.05","13.8",".7","제주특별자치도 제주시 조천읍 와산리 542"
"55","5011025928","2020","20200218","2","6.3","1282","","115","2.8",".93","11.7","1.7","제주특별자치도 제주시 조천읍 와산리 855"
"56","5011025928","2020","20200218","2","6.4","1569","","113","3",".97","13.4",".8","제주특별자치도 제주시 조천읍 와산리 890"
"57","5011025928","2020","20200218","2","6.4","1632","","115","3.3",".98","14.7",".7","제주특별자치도 제주시 조천읍 와산리 893"
"58","5011025928","2020","20200218","2","6.4","1600","","118","2.1",".65","9.5",".7","제주특별자치도 제주시 조천읍 와산리 894"
"59","5011025928","2020","20200218","2","6.3","1426","","118","3.5","1.25","19.6",".7","제주특별자치도 제주시 조천읍 와산리 895"
"60","5011025928","2020","20200218","2","6.3","1693","","115","3.2","1.36","18",".7","제주특별자치도 제주시 조천읍 와산리 900-1"
"61","5011025928","2020","20200218","2","6.4","1343","","118","2.6",".78","10.8",".7","제주특별자치도 제주시 조천읍 와산리 901-1"
"62","5011025928","2020","20200218","2","6.3","1278","","107","3.1",".96","11.8",".7","제주특별자치도 제주시 조천읍 와산리 1224"
"63","5011025928","2020","20200218","2","6.4","1637","","123","2.5",".77","10.9",".7","제주특별자치도 제주시 조천읍 와산리 1225"
"64","5011025928","2020","20200218","2","6.3","1132","","108","2.5",".77","8",".7","제주특별자치도 제주시 조천읍 와산리 1235"
"65","5011025928","2020","20200218","2","6.3","1693","","114","2.4",".83","8.4",".8","제주특별자치도 제주시 조천읍 와산리 1235-1"
"66","5011025928","2020","20200218","2","6.3","1347","","110","2.6",".7","7.7",".7","제주특별자치도 제주시 조천읍 와산리 1236"
"67","5011025928","2020","20200218","2","6.4","1470","","122","2.5",".69","5.8",".7","제주특별자치도 제주시 조천읍 와산리 1236-1"
"68","5011025928","2020","20200218","2","6.1","1037","","115","3","1.08","4.7",".7","제주특별자치도 제주시 조천읍 와산리 1238"
"69","5011025928","2020","20200218","2","6.6","1332","","124","3.1","1.18","5.5",".7","제주특별자치도 제주시 조천읍 와산리 1256-1"
"70","5011025928","2020","20200218","2","7.2","1555","","125","1.2",".86","1.5",".7","제주특별자치도 제주시 조천읍 와산리 1258-1"
"71","5011025928","2020","20200218","2","6.3","177","","105","2.7",".79","14.4",".68","제주특별자치도 제주시 조천읍 와산리 1260"
"72","5011025928","2020","20200218","2","6.3","275","","110","2.3",".84","10.4",".63","제주특별자치도 제주시 조천읍 와산리 1271-4"
"73","5011025928","2020","20200218","2","6.2","201","","105","2.3",".81","10.2",".63","제주특별자치도 제주시 조천읍 와산리 1271-8"
"74","5011025928","2020","20200218","2","6","121","","103","2.3",".89","9.1",".57","제주특별자치도 제주시 조천읍 와산리 1271-9"
"75","5011025928","2020","20200218","2","6.3","294","","114","2.4",".73","12.7",".65","제주특별자치도 제주시 조천읍 와산리 1274-1"
"76","5011025928","2020","20200218","2","6.3","323","","110","2.4",".73","12.5",".69","제주특별자치도 제주시 조천읍 와산리 1277-1"
"77","5011025928","2020","20200218","2","6.4","339","","125","2.3",".73","12.3",".67","제주특별자치도 제주시 조천읍 와산리 1282"
"78","5011025928","2020","20200218","2","6.2","166","","97","2.1",".7","10.1",".54","제주특별자치도 제주시 조천읍 와산리 15"
"79","5011025928","2020","20200218","2","6.4","273","","112","2.3",".68","11.5",".64","제주특별자치도 제주시 조천읍 와산리 16"
"80","5011025928","2020","20200218","2","6.3","154","","93","2.1",".73","9.1",".57","제주특별자치도 제주시 조천읍 와산리 1225-1"
"81","5011025928","2020","20200218","2","6.2","152","","98","2.3",".81","9.4",".61","제주특별자치도 제주시 조천읍 와산리 1237"
"82","5011025928","2020","20200218","2","6.2","183","","106","2.4",".79","9.4",".61","제주특별자치도 제주시 조천읍 와산리 1255"
"83","5011025928","2020","20200218","2","6.2","147","","93","2.4",".82","9.8",".5","제주특별자치도 제주시 조천읍 와산리 11"
"84","5011025928","2020","20200309","2","5.2","193","","184",".7",".35","1.8",".3","제주특별자치도 제주시 조천읍 와산리 596"
"85","5011025928","2020","20200325","4","6","295","","144","2.6",".45","5.9",".2","제주특별자치도 제주시 조천읍 와산리 1614-4"
"86","5011025928","2020","20200423","4","7.1","32","","110","5.1","1.06","29.5",".4","제주특별자치도 제주시 조천읍 와산리 807"
"87","5011025928","2020","20200423","4","5.3","58","","129","2.6","3.04","12.6","3.8","제주특별자치도 제주시 조천읍 와산리 789-1"
"88","5011025928","2020","20200423","4","7","33","","113","2.9",".51","14.7",".3","제주특별자치도 제주시 조천읍 와산리 791"
"89","5011025928","2020","20200423","4","7.1","31","","108","2.6",".43","13.2",".3","제주특별자치도 제주시 조천읍 와산리 805"
"90","5011025928","2020","20200713","4","6.2","141","","227","6.5","1.1","22.7","2.4","제주특별자치도 제주시 조천읍 와산리 837"
"91","5011025928","2020","20200717","4","4.6","509","","89","2","1.13","4.9","1.4","제주특별자치도 제주시 조천읍 와산리 799"
"92","5011025928","2020","20201218","4","6.2","206","","219","2.2",".44","17.9","2.1","제주특별자치도 제주시 조천읍 와산리 836-4"
"93","5011025928","2021","20210903","2","5.1","50","","146","",".27","","","제주특별자치도 제주시 조천읍 와산리 722"
"94","5011025928","2021","20210903","4","6.1","598","","188","","1.19","","","제주특별자치도 제주시 조천읍 와산리 785-1"
"95","5011025928","2021","20210903","4","7.2","529","","250","","1.13","","","제주특별자치도 제주시 조천읍 와산리 834-1"
"96","5011025928","2021","20210903","4","6.9","589","","244","","1.18","","","제주특별자치도 제주시 조천읍 와산리 835"
"97","5011025928","2021","20210903","4","5","288","","136","",".5","","","제주특별자치도 제주시 조천읍 와산리 536-1"
"98","5011025928","2021","20210903","4","5.6","29","","86","",".59","","","제주특별자치도 제주시 조천읍 와산리 758"
