"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025922","2020","20201014","4","6.3","377","","107","1.6","1.32","10",".4","제주특별자치도 제주시 조천읍 와흘리 1422"
"2","5011025922","2020","20201014","4","4.7","450","","107",".1","1.03","6.1",".4","제주특별자치도 제주시 조천읍 와흘리 1174"
"3","5011025922","2020","20201014","4","4.6","843","","97",".3","1.05",".6",".5","제주특별자치도 제주시 조천읍 와흘리 1178"
"4","5011025922","2020","20201014","4","5","127","","144",".3",".8",".5",".3","제주특별자치도 제주시 조천읍 와흘리 1425"
"5","5011025922","2020","20201014","4","5.2","594","","144",".8","1.09","1.9",".3","제주특별자치도 제주시 조천읍 와흘리 1513-2"
"6","5011025922","2020","20201014","4","5.1","523","","128",".4",".78","1.5",".2","제주특별자치도 제주시 조천읍 와흘리 1509"
"7","5011025922","2020","20201014","4","7.3","306","","66","3.1","1.4","9.9",".3","제주특별자치도 제주시 조천읍 와흘리 1529"
"8","5011025922","2020","20201014","4","5.5","304","","97",".4",".94","1.2",".2","제주특별자치도 제주시 조천읍 와흘리 1770"
"9","5011025922","2020","20201014","4","4.6","541","","70",".1",".78",".1",".3","제주특별자치도 제주시 조천읍 와흘리 1772"
"10","5011025922","2020","20201014","4","6.9","648","","87","3","2.51","13.5",".4","제주특별자치도 제주시 조천읍 와흘리 1776"
"11","5011025922","2020","20201014","4","4.6","820","","128",".3",".93",".7",".3","제주특별자치도 제주시 조천읍 와흘리 2326"
"12","5011025922","2020","20201014","4","5.1","81","","167",".2",".74",".7",".2","제주특별자치도 제주시 조천읍 와흘리 2329"
"13","5011025922","2020","20201014","4","6","533","","145","2.3","1.39","9.4",".3","제주특별자치도 제주시 조천읍 와흘리 2331"
"14","5011025922","2020","20201014","4","6.4","401","","75","1.8","1.03","6.9",".3","제주특별자치도 제주시 조천읍 와흘리 2335"
"15","5011025922","2020","20200213","2","4.3","951","","300","1.9","1.13","10.5","1.8","제주특별자치도 제주시 조천읍 와흘리 522"
"16","5011025922","2020","20200213","2","4.7","944","","269","1.7","1.33","8.17","1.4","제주특별자치도 제주시 조천읍 와흘리 523"
"17","5011025922","2020","20200213","2","4.8","807","","300","2.1","1.07","11.1","1.2","제주특별자치도 제주시 조천읍 와흘리 524"
"18","5011025922","2020","20200213","2","4.8","1110","","219","2.2","1.03","7.8","1.8","제주특별자치도 제주시 조천읍 와흘리 525"
"19","5011025922","2020","20200409","2","5.6","18","","86",".5",".54","1.1",".2","제주특별자치도 제주시 조천읍 와흘리 2248"
"20","5011025922","2020","20200409","2","5.2","96","","58",".4",".57","1",".3","제주특별자치도 제주시 조천읍 와흘리 2043"
"21","5011025922","2020","20200409","2","5.7","126","","62",".6",".49","2.7",".2","제주특별자치도 제주시 조천읍 와흘리 2235"
"22","5011025922","2020","20200409","2","5.5","81","","93",".6",".33","1.9",".2","제주특별자치도 제주시 조천읍 와흘리 996"
"23","5011025922","2020","20201211","2","6.5","82","","101",".7",".38","9.2",".6","제주특별자치도 제주시 조천읍 와흘리 1665-3"
"24","5011025922","2020","20200331","4","6.5","194","","54","3.2","2.67","9",".6","제주특별자치도 제주시 조천읍 와흘리 2101-2"
"25","5011025922","2020","20200331","4","5.3","19","","43","1.5",".75","10.5",".3","제주특별자치도 제주시 조천읍 와흘리 2101-2"
"26","5011025922","2020","20200409","4","5","679","","178","1.1",".55","5.2",".4","제주특별자치도 제주시 조천읍 와흘리 1163-2"
"27","5011025922","2020","20200409","4","5.4","916","","105","1.3",".52","5.5",".2","제주특별자치도 제주시 조천읍 와흘리 1199"
"28","5011025922","2020","20201231","4","5.6","619","","112",".5",".35","2.9",".4","제주특별자치도 제주시 조천읍 와흘리 1737"
"29","5011025922","2020","20200309","4","6.2","477","","45","1.9","1.34","5.5",".4","제주특별자치도 제주시 조천읍 와흘리 2762"
"30","5011025922","2020","20200820","4","5.1","239","","92",".7",".75","4.4",".3","제주특별자치도 제주시 조천읍 와흘리 2183"
"31","5011025922","2020","20200908","4","5.6","98","","178","1.8","1.86","10.1",".5","제주특별자치도 제주시 조천읍 와흘리 1651-2"
"32","5011025922","2020","20200414","4","5.3","1155","","96","4.9","2.06","8.1","2","제주특별자치도 제주시 조천읍 와흘리 1417-1"
"33","5011025922","2020","20200717","4","6.1","254","","75","1.9","1.37","1.9","2.7","제주특별자치도 제주시 조천읍 와흘리 1703"
"34","5011025922","2020","20200717","4","5.4","174","","65","3.2","1.29","5.4","2.9","제주특별자치도 제주시 조천읍 와흘리 1827"
"35","5011025922","2020","20200724","4","5.6","565","","96","3.2","2.03","21.7",".5","제주특별자치도 제주시 조천읍 와흘리 1534"
"36","5011025922","2020","20210108","4","5.2","605","","57","1.4",".72","4.8","4","제주특별자치도 제주시 조천읍 와흘리 2411"
"37","5011025922","2020","20200218","2","6.2","728","","101","2.2",".74","9.6",".5","제주특별자치도 제주시 조천읍 와흘리 878"
"38","5011025922","2020","20200218","2","6.2","861","","106","2.4",".73","10.7",".5","제주특별자치도 제주시 조천읍 와흘리 879"
"39","5011025922","2020","20200218","2","6.2","861","","107","3.6",".41","21.6",".4","제주특별자치도 제주시 조천읍 와흘리 880"
"40","5011025922","2020","20200304","2","5.7","26","","218",".9",".23","2.1",".2","제주특별자치도 제주시 조천읍 와흘리 125-8"
"41","5011025922","2020","20200304","2","5.8","33","","221",".8",".35","4.6",".3","제주특별자치도 제주시 조천읍 와흘리 125-9"
"42","5011025922","2020","20200304","2","5.6","42","","209","1.4",".26","3.4",".3","제주특별자치도 제주시 조천읍 와흘리 125-10"
"43","5011025922","2020","20200409","2","5.5","10","","113",".7",".24","1.4",".6","제주특별자치도 제주시 조천읍 와흘리 849"
"44","5011025922","2020","20200409","2","5.4","10","","95",".7",".22","1.5",".6","제주특별자치도 제주시 조천읍 와흘리 912"
"45","5011025922","2020","20200713","2","5.9","450","","64","6.2",".81","12",".6","제주특별자치도 제주시 조천읍 와흘리 2468-4"
"46","5011025922","2020","20200713","2","6.2","550","","110","8.8",".95","18.1",".5","제주특별자치도 제주시 조천읍 와흘리 2468-5"
"47","5011025922","2020","20200713","2","5.8","508","","59","5.6","1.19","12.2","2.1","제주특별자치도 제주시 조천읍 와흘리 2476"
"48","5011025922","2020","20201020","2","7","81","","116",".9",".69","8.9",".6","제주특별자치도 제주시 조천읍 와흘리 800"
"49","5011025922","2020","20201020","2","7.2","36","","154",".4",".64","4.4",".6","제주특별자치도 제주시 조천읍 와흘리 809"
"50","5011025922","2020","20201020","2","7.4","35","","98",".3",".64","3.4",".5","제주특별자치도 제주시 조천읍 와흘리 852"
"51","5011025922","2020","20201020","2","7.5","35","","109",".4",".67","4.4",".5","제주특별자치도 제주시 조천읍 와흘리 868"
"52","5011025922","2020","20201126","2","6.7","10","","23","1.1",".4","8.6",".8","제주특별자치도 제주시 조천읍 와흘리 625"
"53","5011025922","2020","20201126","2","6.6","10","","22","1.1",".39","8.4",".9","제주특별자치도 제주시 조천읍 와흘리 626"
"54","5011025922","2020","20201126","2","6.7","10","","21",".3",".38","8.4",".9","제주특별자치도 제주시 조천읍 와흘리 629"
"55","5011025922","2020","20200110","4","5.4","783","","50","3.1","1.13","4.5","1.94","제주특별자치도 제주시 조천읍 와흘리 2435"
"56","5011025922","2020","20200214","4","4.7","712","","104",".3",".24","1.2",".3","제주특별자치도 제주시 조천읍 와흘리 2482"
