"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025342","2020","20200708","2","6","10","","105","1","2.2","4.5",".6","제주특별자치도 제주시 애월읍 유수암리 1113-2"
"2","5011025342","2020","20200708","2","6","10","","105","1","2.2","4.5",".6","제주특별자치도 제주시 애월읍 유수암리 1113-2"
"3","5011025342","2020","20200304","4","5.6","54","","78",".9",".56","3.1",".3","제주특별자치도 제주시 애월읍 유수암리 3095-1"
"4","5011025342","2020","20200218","4","6.6","753","","38","3.8","1.42","6.3",".69","제주특별자치도 제주시 애월읍 유수암리 582"
"5","5011025342","2020","20200219","4","5.5","247","","44","1.5",".53","3.3",".18","제주특별자치도 제주시 애월읍 유수암리 579"
"6","5011025342","2020","20200219","4","5.7","604","","30","1.6",".84","3.3",".13","제주특별자치도 제주시 애월읍 유수암리 498"
"7","5011025342","2020","20200219","4","5.5","247","","44","1.5",".53","3.3","1.5","제주특별자치도 제주시 애월읍 유수암리 497"
"8","5011025342","2020","20200724","4","5.3","371","","103","1.8",".99","5.2","1.8","제주특별자치도 제주시 애월읍 유수암리 3198-3"
"9","5011025342","2020","20200724","4","6.2","894","","100",".5",".89","2.5","3.4","제주특별자치도 제주시 애월읍 유수암리 425-1"
"10","5011025342","2020","20200724","4","5.6","670","","73","2.7",".57","23.1","2.2","제주특별자치도 제주시 애월읍 유수암리 658"
"11","5011025342","2020","20200724","4","6.7","586","","88","5.1","1.02","16.8","2.4","제주특별자치도 제주시 애월읍 유수암리 659-1"
"12","5011025342","2020","20200107","2","5.8","22","","248",".9",".32","1.7",".3","제주특별자치도 제주시 애월읍 유수암리 108"
"13","5011025342","2020","20200107","2","5.8","22","","244",".9",".32","1.7",".3","제주특별자치도 제주시 애월읍 유수암리 109"
"14","5011025342","2020","20200107","2","5.8","22","","246",".9",".33","1.7",".3","제주특별자치도 제주시 애월읍 유수암리 110"
"15","5011025342","2020","20200107","2","5.8","22","","238",".9",".36","1.8",".3","제주특별자치도 제주시 애월읍 유수암리 136-1"
"16","5011025342","2020","20200107","2","5.7","22","","268",".9",".34","2",".3","제주특별자치도 제주시 애월읍 유수암리 1173"
"17","5011025342","2020","20200107","2","5.7","22","","219","1",".31","1.8",".3","제주특별자치도 제주시 애월읍 유수암리 1175"
"18","5011025342","2020","20200107","2","5.7","24","","300","1",".36","1.8",".3","제주특별자치도 제주시 애월읍 유수암리 1200"
"19","5011025342","2020","20200107","2","5.7","22","","232","1",".34","1.8",".3","제주특별자치도 제주시 애월읍 유수암리 1202"
"20","5011025342","2020","20200131","2","5.6","108","","49","1.5","1.07","4.4",".6","제주특별자치도 제주시 애월읍 유수암리 448-1"
