"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025327","2020","20201103","2","6","55","","71",".4",".97","3.7",".3","제주특별자치도 제주시 애월읍 장전리 244-1"
"2","5011025327","2020","20201103","2","5.8","311","","88",".5",".89","3.4",".6","제주특별자치도 제주시 애월읍 장전리 478-2"
"3","5011025327","2020","20201103","2","7.3","126","","47","1.2","1.11","9.2",".9","제주특별자치도 제주시 애월읍 장전리 544-2"
"4","5011025327","2020","20201215","4","6","999","","104","1.9","1.72","17","2.1","제주특별자치도 제주시 애월읍 장전리 279"
"5","5011025327","2020","20201215","4","6","179","","43","2.3","1.21","8.5",".5","제주특별자치도 제주시 애월읍 장전리 307"
"6","5011025327","2020","20201215","4","6.5","145","","81","1.1",".77","15.4",".4","제주특별자치도 제주시 애월읍 장전리 362-1"
"7","5011025327","2020","20201215","4","5.6","864","","77",".6",".55","6.3",".4","제주특별자치도 제주시 애월읍 장전리 626-6"
"8","5011025327","2020","20201215","4","6","665","","69","1.6",".89","11.8","1","제주특별자치도 제주시 애월읍 장전리 628-3"
"9","5011025327","2020","20201215","4","5.4","34","","47",".4",".18","1.7",".3","제주특별자치도 제주시 애월읍 장전리 669"
"10","5011025327","2020","20200325","4","5","964","","124",".7",".76","2.6","1","제주특별자치도 제주시 애월읍 장전리 1274-1"
"11","5011025327","2020","20200325","4","5.9","36","","128","2",".56","7.4",".2","제주특별자치도 제주시 애월읍 장전리 1275"
"12","5011025327","2020","20200325","4","4.7","1391","","98",".6",".6","1.9",".3","제주특별자치도 제주시 애월읍 장전리 1282-1"
"13","5011025327","2020","20200325","4","4.7","1051","","70",".6",".57","1.5",".4","제주특별자치도 제주시 애월읍 장전리 1282-2"
"14","5011025327","2020","20200325","4","4.9","1092","","116",".5",".43","2.2",".2","제주특별자치도 제주시 애월읍 장전리 1283"
"15","5011025327","2020","20200325","4","4.7","1180","","104",".5",".47","1.3",".3","제주특별자치도 제주시 애월읍 장전리 1284"
"16","5011025327","2020","20200325","4","5","38","","80",".8",".93","2.1",".2","제주특별자치도 제주시 애월읍 장전리 1285-1"
"17","5011025327","2020","20200325","4","5.6","16","","99","1.4",".8","5.6",".2","제주특별자치도 제주시 애월읍 장전리 1285-2"
"18","5011025327","2020","20200325","4","5.7","13","","183","2.1","1.08","9.9",".8","제주특별자치도 제주시 애월읍 장전리 1299"
"19","5011025327","2020","20200325","4","4.7","20","","89",".4",".66","1.1",".4","제주특별자치도 제주시 애월읍 장전리 1301"
"20","5011025327","2020","20200624","4","5.2","1122","","221","2","2.79","10.4","1.1","제주특별자치도 제주시 애월읍 장전리 165-1"
"21","5011025327","2020","20200624","4","5.2","1122","","221","2","2.79","10.4","1.1","제주특별자치도 제주시 애월읍 장전리 165-2"
"22","5011025327","2020","20200902","4","5.5","69","","120","1","1.09","3.3",".3","제주특별자치도 제주시 애월읍 장전리 1426-3"
"23","5011025327","2020","20200902","4","6.5","502","","243","4.6","1.8","23","5.5","제주특별자치도 제주시 애월읍 장전리 1428-1"
"24","5011025327","2020","20200902","4","6.8","609","","204","2.4","1.29","20","3","제주특별자치도 제주시 애월읍 장전리 1429"
"25","5011025327","2020","20200902","4","5.6","194","","247","1.2",".77","5.5",".7","제주특별자치도 제주시 애월읍 장전리 1430"
"26","5011025327","2020","20200902","4","5.3","203","","242","1.7","1.05","9","1.5","제주특별자치도 제주시 애월읍 장전리 1433"
