"No","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011031030","2020","20201231","2","7.1","172","","17","1.1","3.4","8.1",".3","제주특별자치도 제주시 한경면 저지리 701"
"2","5011031030","2020","20201231","2","5.4","307","","36","2.6",".89","2.6",".4","제주특별자치도 제주시 한경면 저지리 607"
"3","5011031030","2020","20201231","2","4.7","184","","69","1.2",".93",".9","1","제주특별자치도 제주시 한경면 저지리 1950"
"4","5011031030","2020","20201231","2","6.6","801","","43","2.9","1.59","5.6",".2","제주특별자치도 제주시 한경면 저지리 535-2"
"5","5011031030","2020","20201231","3","5.1","737","","133","2.6","1.97","2.4",".8","제주특별자치도 제주시 한경면 저지리 1444-2"
"6","5011031030","2020","20201231","4","5.2","494","","45","1.3","1.13","1.2",".2","제주특별자치도 제주시 한경면 저지리 740"
"7","5011031030","2020","20201231","4","5","788","","53","1.4",".86","1.7",".3","제주특별자치도 제주시 한경면 저지리 1925"
"8","5011031030","2020","20201231","4","5.4","637","","128","1.3",".62","3.4",".2","제주특별자치도 제주시 한경면 저지리 1463"
"9","5011031030","2020","20201231","4","5.8","695","","65","1.7","1.02","3.8",".2","제주특별자치도 제주시 한경면 저지리 540"
"10","5011031030","2020","20201231","4","5.8","462","","63","1.6","1.12","4.5",".4","제주특별자치도 제주시 한경면 저지리 2763-2"
"11","5011031030","2020","20201231","4","6.1","775","","68","2.1","1.4","3.9",".3","제주특별자치도 제주시 한경면 저지리 2765-4"
"12","5011031030","2020","20201231","4","5.4","512","","116","1.4",".77","2.5",".3","제주특별자치도 제주시 한경면 저지리 1544-1"
"13","5011031030","2020","20201231","4","6.1","600","","57","1.8","1.18","5.1",".2","제주특별자치도 제주시 한경면 저지리 1554"
"14","5011031030","2020","20201231","4","4.5","415","","58","2.1","2.32","1.1","1.6","제주특별자치도 제주시 한경면 저지리 2990-1"
"15","5011031030","2020","20200120","3","5.4","764","","77","2",".29","7.9",".49","제주특별자치도 제주시 한경면 저지리 501"
"16","5011031030","2020","20200120","3","5.8","26.3","","46","2.2","1.31","5.4",".81","제주특별자치도 제주시 한경면 저지리 503"
"17","5011031030","2020","20201222","3","4.9","59","","74.5","1.71","1.19","4.52","2.9","제주특별자치도 제주시 한경면 저지리 501"
"18","5011031030","2020","20200213","2","4.1","114","","25",".5",".95",".9",".6","제주특별자치도 제주시 한경면 저지리 2326-2"
"19","5011031030","2020","20200217","2","6.2","19","","134","2.3","1.1","4.4",".4","제주특별자치도 제주시 한경면 저지리 1053"
"20","5011031030","2020","20200217","2","6.1","19","","151","2.7","1.2","5.2",".4","제주특별자치도 제주시 한경면 저지리 1052"
"21","5011031030","2020","20200217","2","6","16","","135","2.9","1.33","4.8",".4","제주특별자치도 제주시 한경면 저지리 691"
"22","5011031030","2020","20200217","2","6.1","18","","157","1.9","1.35","5.3",".4","제주특별자치도 제주시 한경면 저지리 1049"
"23","5011031030","2020","20200217","2","6.2","16","","117","2.9","1.27","5.5",".4","제주특별자치도 제주시 한경면 저지리 1055"
"24","5011031030","2020","20200217","2","6.2","17","","146","2.6","1.29","5.4",".4","제주특별자치도 제주시 한경면 저지리 697"
"25","5011031030","2020","20200217","2","6.1","15","","127","2.7","1.25","5.1",".4","제주특별자치도 제주시 한경면 저지리 1306-1"
