"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025621","2020","20201015","2","7.3","450","","31","3.5","1.37","8.9","1.7","제주특별자치도 제주시 구좌읍 동복리 1339"
"2","5011025621","2020","20201015","2","8.5","61","","167","1.1","1.09","13.5",".7","제주특별자치도 제주시 구좌읍 동복리 1696-1"
"3","5011025621","2020","20201015","2","8.4","265","","46","1.7","1.53","12.2",".8","제주특별자치도 제주시 구좌읍 동복리 710"
"4","5011025621","2020","20201015","2","8.2","286","","75","1.3","1.42","16.3",".6","제주특별자치도 제주시 구좌읍 동복리 735-1"
"5","5011025621","2020","20200603","4","6.3","326","","46","3","3.12","7.2",".4","제주특별자치도 제주시 구좌읍 동복리 56-28"
"6","5011025621","2020","20200603","4","6.7","552","","74","3.9","1.79","19.7",".3","제주특별자치도 제주시 구좌읍 동복리 117"
"7","5011025621","2020","20200603","4","5.4","429","","58","1.7","1.43","3.4",".2","제주특별자치도 제주시 구좌읍 동복리 118"
"8","5011025621","2020","20200603","4","6.5","511","","63","2.1","1.18","10.4",".3","제주특별자치도 제주시 구좌읍 동복리 116"
"9","5011025621","2020","20200603","4","6.3","334","","59","2.8","3.3","10.2","1","제주특별자치도 제주시 구좌읍 동복리 56-28"
"10","5011025621","2020","20200603","4","5","864","","121","1.4","1.62","6.3",".7","제주특별자치도 제주시 구좌읍 동복리 132"
"11","5011025621","2020","20200331","2","8","227","","86","4.9","1.65","24.8","1.6","제주특별자치도 제주시 구좌읍 동복리 525"
"12","5011025621","2020","20200331","2","6.9","262","","87","3.1","1.38","17.6","2","제주특별자치도 제주시 구좌읍 동복리 525"
"13","5011025621","2020","20200603","2","8.3","311","","88","7.3","2.83","30","1.4","제주특별자치도 제주시 구좌읍 동복리 525"
"14","5011025621","2020","20200603","2","8.1","327","","91","4.7","2.55","28","2.1","제주특별자치도 제주시 구좌읍 동복리 525"
"15","5011025621","2020","20200603","2","8.4","253","","85","3.3","1.98","16.4",".9","제주특별자치도 제주시 구좌읍 동복리 525"
"16","5011025621","2020","20200630","2","8.2","184","","75","4.4","3.41","30",".4","제주특별자치도 제주시 구좌읍 동복리 565"
"17","5011025621","2020","20200706","2","8.1","291","","79","5.4","3.3","30","3.4","제주특별자치도 제주시 구좌읍 동복리 525"
"18","5011025621","2020","20200724","2","6.2","465","","93","2.3","1.29","6.6",".3","제주특별자치도 제주시 구좌읍 동복리 371"
"19","5011025621","2020","20200724","2","8.1","451","","117","3","1.39","25.4",".6","제주특별자치도 제주시 구좌읍 동복리 355"
"20","5011025621","2020","20200820","2","8.3","99","","97","5","1.59","30",".5","제주특별자치도 제주시 구좌읍 동복리 565"
"21","5011025621","2020","20201029","2","7.9","549","","84","1.2","1.35","20.7",".8","제주특별자치도 제주시 구좌읍 동복리 565"
"22","5011025621","2020","20201029","2","8.1","195","","82",".3","1.09","23.1","1.4","제주특별자치도 제주시 구좌읍 동복리 565"
"23","5011025621","2021","20211025","2","7","260","","46","","1.58","","","제주특별자치도 제주시 구좌읍 동복리 1001"
"24","5011025621","2021","20211025","2","5.7","314","","38","",".84","","","제주특별자치도 제주시 구좌읍 동복리 1027"
"25","5011025621","2021","20211025","2","5.5","327","","36","","1.23","","","제주특별자치도 제주시 구좌읍 동복리 1040"
"26","5011025621","2021","20211025","2","7.8","276","","48","",".96","","","제주특별자치도 제주시 구좌읍 동복리 1079-3"
"27","5011025621","2021","20211025","2","7.9","289","","35","","1.02","","","제주특별자치도 제주시 구좌읍 동복리 1093"
"28","5011025621","2021","20211025","2","7.8","246","","55","",".86","","","제주특별자치도 제주시 구좌읍 동복리 1326"
"29","5011025621","2021","20211025","2","8","231","","58","",".8","","","제주특별자치도 제주시 구좌읍 동복리 1339"
"30","5011025621","2021","20211025","2","7.2","404","","37","","1.51","","","제주특별자치도 제주시 구좌읍 동복리 620"
"31","5011025621","2021","20211025","2","6.2","633","","27","","1.63","","","제주특별자치도 제주시 구좌읍 동복리 622"
"32","5011025621","2021","20211025","2","8.1","388","","43","","1","","","제주특별자치도 제주시 구좌읍 동복리 818"
"33","5011025621","2021","20211025","2","7.9","275","","47","","1.2","","","제주특별자치도 제주시 구좌읍 동복리 830-3"
"34","5011025621","2021","20211025","2","6.5","700","","25","","1.67","","","제주특별자치도 제주시 구좌읍 동복리 846"
"35","5011025621","2021","20211025","2","7.8","226","","35","","1.44","","","제주특별자치도 제주시 구좌읍 동복리 1005"
"36","5011025621","2021","20211025","2","7.6","621","","40","","1.26","","","제주특별자치도 제주시 구좌읍 동복리 1006"
"37","5011025621","2021","20211025","2","7.9","347","","46","","1.25","","","제주특별자치도 제주시 구좌읍 동복리 1084"
"38","5011025621","2021","20211025","2","7.6","386","","52","","1.31","","","제주특별자치도 제주시 구좌읍 동복리 1322-2"
"39","5011025621","2021","20211025","2","8","388","","54","","1.22","","","제주특별자치도 제주시 구좌읍 동복리 1341"
"40","5011025621","2021","20211025","2","7.7","164","","35","","1.32","","","제주특별자치도 제주시 구좌읍 동복리 634"
"41","5011025621","2021","20211025","2","7.8","292","","64","","1.52","","","제주특별자치도 제주시 구좌읍 동복리 670"
"42","5011025621","2021","20211025","2","8","111","","47","","1.36","","","제주특별자치도 제주시 구좌읍 동복리 678-2"
"43","5011025621","2021","20211025","2","8","440","","50","","1.36","","","제주특별자치도 제주시 구좌읍 동복리 800-2"
"44","5011025621","2021","20211025","2","7.6","537","","48","","1.92","","","제주특별자치도 제주시 구좌읍 동복리 851"
"45","5011025621","2021","20211025","2","7.8","188","","34","","1.63","","","제주특별자치도 제주시 구좌읍 동복리 859"
"46","5011025621","2021","20211025","2","7.8","254","","46","","1.45","","","제주특별자치도 제주시 구좌읍 동복리 863"
"47","5011025621","2021","20210624","4","6.9","258","","86","4.2","6.52","21.4","1.6","제주특별자치도 제주시 구좌읍 동복리 116"
"48","5011025621","2021","20210624","4","5.8","395","","60","1.5",".66","4.2",".5","제주특별자치도 제주시 구좌읍 동복리 118"
"49","5011025621","2021","20210624","4","6.8","790","","93","5.2","3.46","25.9",".9","제주특별자치도 제주시 구좌읍 동복리 135"
"50","5011025621","2021","20210624","4","6.6","490","","83","3.3",".99","14",".6","제주특별자치도 제주시 구좌읍 동복리 117"
"51","5011025621","2021","20210624","4","5.3","766","","123","3.1","4.62","8.7","2.5","제주특별자치도 제주시 구좌읍 동복리 132"
"52","5011025621","2021","20210716","2","7.8","221","","82","2.6","1.54","29.1","1.5","제주특별자치도 제주시 구좌읍 동복리 565"
"53","5011025621","2021","20210716","2","7.7","506","","90","2.7","2.52","28.5","1.4","제주특별자치도 제주시 구좌읍 동복리 565"
"54","5011025621","2021","20210716","2","8","185","","94","3.1","1.47","28.8","1.6","제주특별자치도 제주시 구좌읍 동복리 565"
"55","5011025621","2021","20210805","2","8.2","253","","68","1.5",".49","7.4",".68","제주특별자치도 제주시 구좌읍 동복리 1705-35"
"56","5011025621","2021","20210924","2","8.3","51","","69","1.8",".97","28","1.23","제주특별자치도 제주시 구좌읍 동복리 1009"
"57","5011025621","2021","20210924","2","8.2","204","","57","1.9","1.06","25.6","1.16","제주특별자치도 제주시 구좌읍 동복리 1009"
"58","5011025621","2021","20210924","2","6.8","186","","39","2.2","1.26","7.3","2.08","제주특별자치도 제주시 구좌읍 동복리 1000-1"
"59","5011025621","2021","20210924","2","8","303","","39","2.8","1.66","28.3","1.25","제주특별자치도 제주시 구좌읍 동복리 1006"
"60","5011025621","2021","20210924","2","7.9","643","","50","1.9","1.78","16","1.2","제주특별자치도 제주시 구좌읍 동복리 901"
"61","5011025621","2021","20210924","2","8.1","459","","51","1.9","1.59","23.8","1.17","제주특별자치도 제주시 구좌읍 동복리 957-1"
"62","5011025621","2021","20210924","2","6.6","214","","44","1.5","1.06","6.8",".78","제주특별자치도 제주시 구좌읍 동복리 1005"
"63","5011025621","2021","20210929","2","8.1","200","","47","1.6","1.39","29.6","1.26","제주특별자치도 제주시 구좌읍 동복리 1705-31"
"64","5011025621","2021","20210924","3","7.4","216","","40","3.3","2.17","15.1","12.5","제주특별자치도 제주시 구좌읍 동복리 1005"
"65","5011025621","2021","20210722","4","5.4","87","","136","1.5",".57","4",".9","제주특별자치도 제주시 구좌읍 동복리 1119"
"66","5011025621","2021","20211018","2","7.9","367","","76","2.1","1.94","11.9","1.56","제주특별자치도 제주시 구좌읍 동복리 592"
"67","5011025621","2021","20211018","2","7.9","30","","122","2.6",".78","11.7","2.72","제주특별자치도 제주시 구좌읍 동복리 693-1"
"68","5011025621","2021","20211018","2","8.1","268","","48","1.8","2.05","12.9","1.59","제주특별자치도 제주시 구좌읍 동복리 772"
"69","5011025621","2021","20211018","2","7.8","603","","62","2.6","1.31","6.1","1.51","제주특별자치도 제주시 구좌읍 동복리 915"
"70","5011025621","2021","20211018","2","8.1","278","","53","2.2","1.7","16.1","1.43","제주특별자치도 제주시 구좌읍 동복리 1696-4"
