"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025626","2020","20200717","2","8.5","114","","196","2.4",".66","25.6",".4","제주특별자치도 제주시 구좌읍 월정리 1158"
"2","5011025626","2020","20200724","2","8.4","236","","205","2.8",".68","29.8",".5","제주특별자치도 제주시 구좌읍 월정리 1176"
"3","5011025626","2020","20200730","2","8.3","218","","253","3.8",".73","30",".4","제주특별자치도 제주시 구좌읍 월정리 1885"
"4","5011025626","2020","20200820","2","8.6","10","","168",".9",".8","6.5",".5","제주특별자치도 제주시 구좌읍 월정리 1085-1"
"5","5011025626","2020","20200820","2","8.3","464","","172","3.1","1.12","19.2","1.3","제주특별자치도 제주시 구좌읍 월정리 1244-1"
"6","5011025626","2021","20210929","2","8.2","210","","150","1.3",".14","12.2","1.29","제주특별자치도 제주시 구좌읍 월정리 1162-4"
"7","5011025626","2021","20210929","2","8.3","240","","149","1.7",".15","11","1.31","제주특별자치도 제주시 구좌읍 월정리 1163"
"8","5011025626","2021","20210929","2","8.3","308","","142","2",".45","12.8","1.45","제주특별자치도 제주시 구좌읍 월정리 1172"
"9","5011025626","2021","20210929","2","8.1","263","","143","2.2","1.03","14.6","1.46","제주특별자치도 제주시 구좌읍 월정리 1169"
"10","5011025626","2021","20210318","2","5.9","279","","168",".6",".13","8.8",".5","제주특별자치도 제주시 구좌읍 월정리 1835"
"11","5011025626","2021","20211018","2","8.2","246","","155","3.9","1.31","14.1","1.47","제주특별자치도 제주시 구좌읍 월정리 95-3"
"12","5011025626","2021","20211018","2","8.3","156","","133","2.7",".85","13.9","1.71","제주특별자치도 제주시 구좌읍 월정리 320"
"13","5011025626","2021","20211018","2","8.1","188","","117","2.1",".42","15.2","1.29","제주특별자치도 제주시 구좌읍 월정리 929"
"14","5011025626","2021","20211018","2","8.3","184","","151","2",".94","13.9","1.49","제주특별자치도 제주시 구좌읍 월정리 1305"
"15","5011025626","2021","20211018","2","8.3","214","","114","2.1",".63","15.1","1.41","제주특별자치도 제주시 구좌읍 월정리 1639"
"16","5011025626","2022","20220831","2","8.3","231","","137","2.2",".32","8.7",".48","제주특별자치도 제주시 구좌읍 월정리 1169"
"17","5011025626","2022","20220831","2","8.2","610","","140","2.9",".41","9.3",".72","제주특별자치도 제주시 구좌읍 월정리 1172"
"18","5011025626","2022","20220831","2","8.4","204","","142","1.6",".34","7.9",".54","제주특별자치도 제주시 구좌읍 월정리 1162-4"
"19","5011025626","2022","20220831","2","8.5","399","","141","1.9",".27","8",".53","제주특별자치도 제주시 구좌읍 월정리 1163"
"20","5011025626","2022","20221021","2","8.1","199","","150","1.5",".3","13.8","1.29","제주특별자치도 제주시 구좌읍 월정리 1158"
"21","5011025626","2022","20220124","3","7.5","188","","45","3.6",".58","19.5","3.99","제주특별자치도 제주시 구좌읍 월정리 1696"
"22","5011025626","2022","20220124","3","7.9","174","","57","2.5",".23","12.3","2.27","제주특별자치도 제주시 구좌읍 월정리 879"
"23","5011025626","2022","20220124","3","7.5","184","","46","3.1",".48","14.8","3.43","제주특별자치도 제주시 구좌읍 월정리 853"
"24","5011025626","2022","20220124","3","7.9","220","","94","3.2",".5","13.3","2.03","제주특별자치도 제주시 구좌읍 월정리 1768"
"25","5011025626","2022","20220124","3","7.6","317","","87","2.4","1.22","14","3.72","제주특별자치도 제주시 구좌읍 월정리 913"
"26","5011025626","2022","20221118","2","7.9","37","","133","1.5",".12","16.5",".43","제주특별자치도 제주시 구좌읍 월정리 1221"
"27","5011025626","2022","20220629","4","6","23","","159","6.5","1.03","25.2",".83","제주특별자치도 제주시 구좌읍 월정리 1781"
