"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025333","2020","20200423","2","5.4","160","","68","1","1.34","4.2",".5","제주특별자치도 제주시 애월읍 고내리 693-1"
"2","5011025333","2020","20200423","2","5.4","160","","68","1","1.34","4.2",".5","제주특별자치도 제주시 애월읍 고내리 693-1"
"3","5011025333","2020","20201008","2","7.7","64","","40","1.2","1.16","12.4",".4","제주특별자치도 제주시 애월읍 고내리 324-1"
"4","5011025333","2020","20201008","2","6.8","409","","54","2.3","1.88","12.9",".8","제주특별자치도 제주시 애월읍 고내리 101"
"5","5011025333","2021","20210409","2","6","331","","30","1.7",".72","8.9",".7","제주특별자치도 제주시 애월읍 고내리 693-1"
"6","5011025333","2021","20210409","2","6","331","","30","1.7",".72","8.9",".7","제주특별자치도 제주시 애월읍 고내리 693-1"
"7","5011025333","2021","20210611","2","6.7","143","","45","1.9",".95","9.3","1.6","제주특별자치도 제주시 애월읍 고내리 89-3"
"8","5011025333","2021","20210611","2","7","189","","47","3.8","2.08","15.4","1","제주특별자치도 제주시 애월읍 고내리 89-14"
"9","5011025333","2021","20210928","2","6.6","508","","43","2.5","1.02","8.9","1.06","제주특별자치도 제주시 애월읍 고내리 101"
"10","5011025333","2021","20210928","2","7.2","187","","31","1.5","1.36","12.7","1.1","제주특별자치도 제주시 애월읍 고내리 324-1"
"11","5011025333","2021","20210331","4","5.2","1028","","35",".3",".53","2.1",".6","제주특별자치도 제주시 애월읍 고내리 156"
"12","5011025333","2022","20220426","2","6","532.3","","121.3","2.73","1.37","8.19","1.4","제주특별자치도 제주시 애월읍 고내리 693-1"
"13","5011025333","2022","20221006","2","6.2","1334.5","","53.1","9.04","3.12","6.94","6.01","제주특별자치도 제주시 애월읍 고내리 89-3"
"14","5011025333","2022","20221006","2","6.2","1308.5","","66","1.61","1.2","11.63","5.6","제주특별자치도 제주시 애월읍 고내리 101"
"15","5011025333","2022","20220907","2","5.4","907.6","","38.3","1.63","1.51","4.27",".59","제주특별자치도 제주시 애월읍 고내리 592"
