"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025329","2020","20201103","2","6.3","100","","69",".8",".73","4",".3","제주특별자치도 제주시 애월읍 고성리 760"
"2","5011025329","2020","20201103","2","5.5","268","","79",".4","1","2.8",".8","제주특별자치도 제주시 애월읍 고성리 598"
"3","5011025329","2020","20201103","2","6.8","110","","300","1.3","1.01","6.9",".4","제주특별자치도 제주시 애월읍 고성리 797"
"4","5011025329","2020","20201103","2","6.3","60","","29","1.5",".85","4.5",".4","제주특별자치도 제주시 애월읍 고성리 1411"
"5","5011025329","2020","20201103","2","6","218","","54",".7",".78","3.3",".3","제주특별자치도 제주시 애월읍 고성리 1395-1"
"6","5011025329","2020","20201103","2","6.3","164","","69","1.1",".94","5.2",".6","제주특별자치도 제주시 애월읍 고성리 528"
"7","5011025329","2020","20201103","2","5.4","440","","54",".3","1.97","1.7",".3","제주특별자치도 제주시 애월읍 고성리 535"
"8","5011025329","2020","20201103","2","6.6","185","","46","1.2",".7","4",".5","제주특별자치도 제주시 애월읍 고성리 1136-2"
"9","5011025329","2020","20201103","2","7.3","126","","42","1.5",".89","4.9",".5","제주특별자치도 제주시 애월읍 고성리 1321"
"10","5011025329","2020","20200525","4","6","74","","58","1.5",".4","6",".2","제주특별자치도 제주시 애월읍 고성리 136"
"11","5011025329","2020","20200525","4","6.2","76","","92","1.5",".65","7.7",".2","제주특별자치도 제주시 애월읍 고성리 117"
"12","5011025329","2020","20200504","2","5.6","1376","","43","6.8","2.69","11.1","7.7","제주특별자치도 제주시 애월읍 고성리 1498"
"13","5011025329","2020","20200504","2","5.6","1376","","43","6.8","2.69","11.1","7.7","제주특별자치도 제주시 애월읍 고성리 1498"
"14","5011025329","2020","20200724","4","5.6","529","","15","4","1.03","29.1",".2","제주특별자치도 제주시 애월읍 고성리 1299-3"
"15","5011025329","2020","20200902","4","6","721","","149","2.5","1.11","10",".5","제주특별자치도 제주시 애월읍 고성리 1356"
"16","5011025329","2020","20201231","4","5.5","546","","47",".4",".88","4.6",".4","제주특별자치도 제주시 애월읍 고성리 568"
"17","5011025329","2020","20200107","2","7.1","28","","158","1.8","1.58","30",".9","제주특별자치도 제주시 애월읍 고성리 133"
"18","5011025329","2020","20200107","2","7.1","30","","162","1",".64","28.3",".8","제주특별자치도 제주시 애월읍 고성리 134"
"19","5011025329","2020","20200107","2","7.2","29","","167","1.5",".99","30",".8","제주특별자치도 제주시 애월읍 고성리 154"
"20","5011025329","2020","20200107","2","7.2","29","","163","1.5","1.31","30",".8","제주특별자치도 제주시 애월읍 고성리 136"
"21","5011025329","2020","20200107","2","7.1","28","","164","2","1.54","30",".8","제주특별자치도 제주시 애월읍 고성리 137"
"22","5011025329","2020","20200107","2","7.1","29","","173","1.3","1.02","30",".8","제주특별자치도 제주시 애월읍 고성리 139"
"23","5011025329","2020","20200107","2","7","29","","174","1.8","1.39","30",".8","제주특별자치도 제주시 애월읍 고성리 139-1"
"24","5011025329","2020","20200107","2","7","29","","172","1.6","1.04","30",".8","제주특별자치도 제주시 애월읍 고성리 139-2"
"25","5011025329","2020","20200107","2","7","29","","174","1.7","1.28","30",".8","제주특별자치도 제주시 애월읍 고성리 140"
"26","5011025329","2020","20200107","2","5.4","17","","152",".3",".24","1.1",".3","제주특별자치도 제주시 애월읍 고성리 17-3"
"27","5011025329","2020","20200107","2","5.4","17","","152",".3",".24","1.1",".3","제주특별자치도 제주시 애월읍 고성리 62"
"28","5011025329","2020","20200107","2","5.4","17","","150",".3",".24","1.1",".3","제주특별자치도 제주시 애월읍 고성리 63"
"29","5011025329","2020","20200107","2","5.4","17","","152",".3",".24","1",".3","제주특별자치도 제주시 애월읍 고성리 64"
"30","5011025329","2020","20200107","2","5.4","18","","155",".3",".23","1.1",".3","제주특별자치도 제주시 애월읍 고성리 65"
"31","5011025329","2020","20200107","2","5.4","18","","156",".3",".26","1",".3","제주특별자치도 제주시 애월읍 고성리 66"
"32","5011025329","2020","20200107","2","5.4","18","","153",".3",".24","1",".3","제주특별자치도 제주시 애월읍 고성리 69-3"
"33","5011025329","2020","20200507","2","6.8","1468","","50","6.4","2.53","13","3.2","제주특별자치도 제주시 애월읍 고성리 1443-1"
"34","5011025329","2020","20200612","2","6.8","42","","124","3","1.93","30",".7","제주특별자치도 제주시 애월읍 고성리 133"
"35","5011025329","2020","20200612","2","6.2","41","","143","1.1",".74","9.5",".6","제주특별자치도 제주시 애월읍 고성리 134"
"36","5011025329","2020","20200612","2","6.2","41","","137","1.1",".77","10.2",".6","제주특별자치도 제주시 애월읍 고성리 135"
"37","5011025329","2020","20200612","2","6.2","39","","142","1.1",".77","8.9",".6","제주특별자치도 제주시 애월읍 고성리 136"
"38","5011025329","2020","20200612","2","6.1","40","","147","1",".7","8.1",".6","제주특별자치도 제주시 애월읍 고성리 137"
"39","5011025329","2020","20200612","2","6.1","42","","142","1",".72","8.7",".6","제주특별자치도 제주시 애월읍 고성리 139"
"40","5011025329","2020","20200612","2","6","41","","151","1.1",".7","8.1",".6","제주특별자치도 제주시 애월읍 고성리 139-1"
"41","5011025329","2020","20200612","2","5.9","17","","199","1.6",".51","5.5",".4","제주특별자치도 제주시 애월읍 고성리 139-2"
