"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025337","2020","20201103","2","6.8","311","","22","1.8","1.3","10.4","1.2","제주특별자치도 제주시 애월읍 곽지리 1092-1"
"2","5011025337","2020","20201103","2","6.1","303","","35","1.9","1.46","5.8",".8","제주특별자치도 제주시 애월읍 곽지리 1230-1"
"3","5011025337","2020","20201103","2","6.5","412","","24","1.1","1.16","6",".5","제주특별자치도 제주시 애월읍 곽지리 1244-1"
"4","5011025337","2020","20201103","2","8","368","","29",".8","1.13","15.1","1","제주특별자치도 제주시 애월읍 곽지리 1503-1"
"5","5011025337","2020","20201103","2","6.4","87","","36","3","1.08","8.2","1.2","제주특별자치도 제주시 애월읍 곽지리 163"
"6","5011025337","2020","20201103","2","8.6","173","","19",".9",".83","20.3",".5","제주특별자치도 제주시 애월읍 곽지리 1715"
"7","5011025337","2020","20201103","2","5","938","","44",".8","1.14","2.8","1.7","제주특별자치도 제주시 애월읍 곽지리 2101"
"8","5011025337","2020","20201103","2","6.7","198","","44","1.5","1.42","8.2",".6","제주특별자치도 제주시 애월읍 곽지리 2121"
"9","5011025337","2020","20201103","2","5.5","468","","34","1.8","1.36","8.8","1.8","제주특별자치도 제주시 애월읍 곽지리 2323"
"10","5011025337","2020","20201103","2","6.6","757","","32","1.6","1.24","7","1.1","제주특별자치도 제주시 애월읍 곽지리 2330-1"
"11","5011025337","2020","20201103","2","6","545","","38","2.3","1.11","4.4",".4","제주특별자치도 제주시 애월읍 곽지리 2333"
"12","5011025337","2020","20201103","2","7.5","772","","42","1","1.59","10.9",".8","제주특별자치도 제주시 애월읍 곽지리 2370"
"13","5011025337","2020","20201103","2","5.9","477","","40",".7","1.15","5.3","1.1","제주특별자치도 제주시 애월읍 곽지리 264-1"
"14","5011025337","2020","20201103","2","5.4","460","","39","1.1","1.14","6.7",".9","제주특별자치도 제주시 애월읍 곽지리 286"
"15","5011025337","2020","20201103","2","6","261","","44",".3",".94","7.5",".7","제주특별자치도 제주시 애월읍 곽지리 525"
"16","5011025337","2020","20201103","2","6.3","536","","51","1.7",".85","1.4",".5","제주특별자치도 제주시 애월읍 곽지리 570"
"17","5011025337","2020","20201103","2","5.5","654","","30","13","1.13","12.1",".5","제주특별자치도 제주시 애월읍 곽지리 622-2"
"18","5011025337","2020","20201103","2","7.7","273","","32","1","1.13","4.9",".7","제주특별자치도 제주시 애월읍 곽지리 790-4"
"19","5011025337","2020","20201103","2","6.5","861","","38","1","1.14","5",".7","제주특별자치도 제주시 애월읍 곽지리 812-4"
"20","5011025337","2020","20201103","2","8.4","265","","36","1.4","1.19","15.1",".7","제주특별자치도 제주시 애월읍 곽지리 823"
