"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025324","2020","20201103","2","6","54","","30","1.5",".65","3.4",".4","제주특별자치도 제주시 애월읍 구엄리 1022"
"2","5011025324","2020","20201103","2","6.7","1112","","42","1.8","1.95","8.6","2.9","제주특별자치도 제주시 애월읍 구엄리 1096-1"
"3","5011025324","2020","20201103","2","4.9","597","","37",".9","1.33","2.4","2.3","제주특별자치도 제주시 애월읍 구엄리 384"
"4","5011025324","2020","20201103","2","5.9","531","","32",".6","1.17","3.8",".5","제주특별자치도 제주시 애월읍 구엄리 385-2"
"5","5011025324","2020","20201103","2","7.1","1117","","54","1.6","1.51","10.2","1.2","제주특별자치도 제주시 애월읍 구엄리 538"
"6","5011025324","2020","20201103","2","5.3","1051","","41",".5","1.16","2.36",".9","제주특별자치도 제주시 애월읍 구엄리 754"
"7","5011025324","2020","20201103","2","5.6","980","","58",".7","1.12","3.1",".6","제주특별자치도 제주시 애월읍 구엄리 899-1"
"8","5011025324","2020","20201103","2","6.7","468","","57","1.5","1.69","7.6","1.6","제주특별자치도 제주시 애월읍 구엄리 909-1"
"9","5011025324","2020","20201103","2","6.6","886","","63","1.2","1.23","6.5",".6","제주특별자치도 제주시 애월읍 구엄리 992"
"10","5011025324","2020","20200131","2","5.1","202","","15","1.6",".72","3.3",".8","제주특별자치도 제주시 애월읍 구엄리 376-1"
"11","5011025324","2020","20200131","2","5.1","202","","15","1.6",".72","3.3",".8","제주특별자치도 제주시 애월읍 구엄리 376-1"
"12","5011025324","2020","20200131","2","5.1","202","","15","1.6",".72","3.3",".8","제주특별자치도 제주시 애월읍 구엄리 376-1"
"13","5011025324","2020","20200131","2","5.1","202","","15","1.6",".72","3.3",".8","제주특별자치도 제주시 애월읍 구엄리 376-1"
"14","5011025324","2020","20200131","2","5.1","202","","15","1.6",".72","3.3",".8","제주특별자치도 제주시 애월읍 구엄리 376-1"
"15","5011025324","2020","20200131","2","5.1","202","","15","1.6",".72","3.3",".8","제주특별자치도 제주시 애월읍 구엄리 376-1"
"16","5011025324","2020","20200420","2","5","884","","23","1.1","1.05","3.2","1.8","제주특별자치도 제주시 애월읍 구엄리 1076"
"17","5011025324","2020","20201126","2","5.8","702","","27",".6",".28","3.5",".5","제주특별자치도 제주시 애월읍 구엄리 1076"
"18","5011025324","2020","20201126","2","5.8","735","","24",".6",".32","3.7",".8","제주특별자치도 제주시 애월읍 구엄리 1076"
"19","5011025324","2020","20200514","2","6.7","1411","","30","2.5","1.15","9.2",".7","제주특별자치도 제주시 애월읍 구엄리 42-2"
"20","5011025324","2020","20200918","3","6.6","2138","","43","10.4","3.81","21.2","10","제주특별자치도 제주시 애월읍 구엄리 645-1"
"21","5011025324","2020","20200918","3","4.8","1593","","44","4.6","3.2","8.6","7.5","제주특별자치도 제주시 애월읍 구엄리 1282"
"22","5011025324","2020","20200304","4","6.5","644","","55","3.3","4.15","13.1","3.1","제주특별자치도 제주시 애월읍 구엄리 1105"
"23","5011025324","2020","20200304","4","5.3","600","","31","11.7","2.72","16.5","10","제주특별자치도 제주시 애월읍 구엄리 1054"
"24","5011025324","2020","20200518","4","6.1","1604","","61","5.8","4.64","15.5","9.3","제주특별자치도 제주시 애월읍 구엄리 645-1"
"25","5011025324","2020","20200518","4","4.7","1610","","74","8.7","5.51","19.5","10","제주특별자치도 제주시 애월읍 구엄리 1282"
"26","5011025324","2020","20201013","4","6.6","86","","15","2.3","1.32","9.8",".8","제주특별자치도 제주시 애월읍 구엄리 848"
"27","5011025324","2021","20210903","2","4.8","1026","","37","","2.67","","","제주특별자치도 제주시 애월읍 구엄리 205"
"28","5011025324","2021","20210903","2","7.1","1084","","51","","2.31","","","제주특별자치도 제주시 애월읍 구엄리 173-1"
"29","5011025324","2021","20210903","2","6.5","662","","18","","1.19","","","제주특별자치도 제주시 애월읍 구엄리 320-1"
"30","5011025324","2021","20210903","2","5.8","821","","21","","1.07","","","제주특별자치도 제주시 애월읍 구엄리 1136-6"
"31","5011025324","2021","20210903","2","5.9","391","","19","","1.64","","","제주특별자치도 제주시 애월읍 구엄리 361-1"
"32","5011025324","2021","20210903","2","7.3","572","","26","","1.06","","","제주특별자치도 제주시 애월읍 구엄리 304-5"
"33","5011025324","2021","20210903","2","6.2","202","","31","",".12","","","제주특별자치도 제주시 애월읍 구엄리 1133-1"
"34","5011025324","2021","20210903","2","6.4","10","","10","",".5","","","제주특별자치도 제주시 애월읍 구엄리 1031-3"
"35","5011025324","2021","20210903","2","6","1","","89","",".24","","","제주특별자치도 제주시 애월읍 구엄리 1133-3"
"36","5011025324","2021","20210903","2","6.8","133","","19","",".98","","","제주특별자치도 제주시 애월읍 구엄리 1043"
"37","5011025324","2021","20210903","2","6.8","803","","20","","1.15","","","제주특별자치도 제주시 애월읍 구엄리 1044"
"38","5011025324","2021","20210903","2","7.1","58","","12","","1.15","","","제주특별자치도 제주시 애월읍 구엄리 676"
"39","5011025324","2021","20210903","2","5.8","767","","16","","1.19","","","제주특별자치도 제주시 애월읍 구엄리 365-3"
"40","5011025324","2021","20210903","2","6.2","1403","","28","","1.63","","","제주특별자치도 제주시 애월읍 구엄리 1136-22"
"41","5011025324","2021","20210903","2","5.6","825","","28","","1.18","","","제주특별자치도 제주시 애월읍 구엄리 890-3"
"42","5011025324","2021","20210903","2","6.4","2141","","76","","9","","","제주특별자치도 제주시 애월읍 구엄리 362"
"43","5011025324","2021","20210903","2","5.6","812","","26","","1.13","","","제주특별자치도 제주시 애월읍 구엄리 888-1"
"44","5011025324","2021","20210903","2","6.2","804","","28","","1.14","","","제주특별자치도 제주시 애월읍 구엄리 892"
"45","5011025324","2021","20210903","2","5.4","927","","29","","3.83","","","제주특별자치도 제주시 애월읍 구엄리 890-1"
"46","5011025324","2021","20210903","2","7","643","","16","","1.16","","","제주특별자치도 제주시 애월읍 구엄리 686"
"47","5011025324","2021","20210903","2","6.4","478","","26","","1.12","","","제주특별자치도 제주시 애월읍 구엄리 208"
"48","5011025324","2021","20210903","2","7.1","738","","28","","1.17","","","제주특별자치도 제주시 애월읍 구엄리 689"
"49","5011025324","2021","20210903","2","6.2","642","","22","","1.16","","","제주특별자치도 제주시 애월읍 구엄리 320-2"
"50","5011025324","2021","20210903","2","6","738","","26","","1.16","","","제주특별자치도 제주시 애월읍 구엄리 891"
"51","5011025324","2021","20210903","2","6.6","638","","28","","1.17","","","제주특별자치도 제주시 애월읍 구엄리 201"
"52","5011025324","2021","20210903","2","7.1","50","","10","",".71","","","제주특별자치도 제주시 애월읍 구엄리 1031"
"53","5011025324","2021","20210903","2","5.7","1072","","64","","3.35","","","제주특별자치도 제주시 애월읍 구엄리 305-1"
"54","5011025324","2021","20210903","2","6.4","805","","64","","1.19","","","제주특별자치도 제주시 애월읍 구엄리 304-1"
"55","5011025324","2021","20210903","2","6.5","822","","54","","1.12","","","제주특별자치도 제주시 애월읍 구엄리 174-1"
"56","5011025324","2021","20210903","2","6.1","178","","22","",".84","","","제주특별자치도 제주시 애월읍 구엄리 677"
"57","5011025324","2021","20210903","2","5.6","715","","31","","1.12","","","제주특별자치도 제주시 애월읍 구엄리 888-3"
"58","5011025324","2021","20210903","2","6.7","387","","28","","1.14","","","제주특별자치도 제주시 애월읍 구엄리 209"
"59","5011025324","2021","20210903","2","5.6","815","","26","",".73","","","제주특별자치도 제주시 애월읍 구엄리 1087"
"60","5011025324","2021","20210903","2","5.7","623","","20","","1.18","","","제주특별자치도 제주시 애월읍 구엄리 320-3"
"61","5011025324","2021","20210903","2","7.2","824","","80","","1.14","","","제주특별자치도 제주시 애월읍 구엄리 1117-1"
"62","5011025324","2021","20210903","2","6.2","825","","24","","1.09","","","제주특별자치도 제주시 애월읍 구엄리 1087-3"
"63","5011025324","2021","20210903","2","7.2","825","","87","","1.18","","","제주특별자치도 제주시 애월읍 구엄리 1118-1"
"64","5011025324","2021","20210903","2","7","825","","83","","1.19","","","제주특별자치도 제주시 애월읍 구엄리 1117-2"
"65","5011025324","2021","20210903","2","6.5","448","","41","","1.15","","","제주특별자치도 제주시 애월읍 구엄리 687"
"66","5011025324","2021","20210903","2","5.7","374","","17","","1.16","","","제주특별자치도 제주시 애월읍 구엄리 361-2"
"67","5011025324","2021","20210903","2","6.2","10","","14","","1.95","","","제주특별자치도 제주시 애월읍 구엄리 205"
"68","5011025324","2021","20210903","2","7.3","934","","17","","1.12","","","제주특별자치도 제주시 애월읍 구엄리 173-1"
"69","5011025324","2021","20210903","2","5.8","841","","23","",".83","","","제주특별자치도 제주시 애월읍 구엄리 1136-22"
"70","5011025324","2021","20210903","2","6","527","","17","",".83","","","제주특별자치도 제주시 애월읍 구엄리 362"
"71","5011025324","2021","20210903","2","7.2","447","","15","",".62","","","제주특별자치도 제주시 애월읍 구엄리 890-1"
"72","5011025324","2021","20210903","2","5.6","1055","","51","","2.19","","","제주특별자치도 제주시 애월읍 구엄리 305-1"
"73","5011025324","2021","20210903","4","6.7","775","","10","",".29","","","제주특별자치도 제주시 애월읍 구엄리 316-1"
"74","5011025324","2021","20210903","4","6.4","825","","41","",".48","","","제주특별자치도 제주시 애월읍 구엄리 317-1"
"75","5011025324","2021","20210218","2","5.5","1233","","50","2.5","1.55","17.5","5.5","제주특별자치도 제주시 애월읍 구엄리 1138-1"
"76","5011025324","2021","20210308","2","6.7","837","","57",".9",".49","9.5",".7","제주특별자치도 제주시 애월읍 구엄리 990"
"77","5011025324","2021","20210308","2","6.7","837","","57",".9",".49","9.5",".7","제주특별자치도 제주시 애월읍 구엄리 990"
"78","5011025324","2021","20210308","2","6.7","626","","63",".9",".94","9.3",".7","제주특별자치도 제주시 애월읍 구엄리 975"
"79","5011025324","2021","20210308","2","6.7","626","","63",".9",".94","9.3",".7","제주특별자치도 제주시 애월읍 구엄리 975"
"80","5011025324","2021","20210422","2","6.5","601","","31","1.3",".46","8.2","3.2","제주특별자치도 제주시 애월읍 구엄리 1010-1"
"81","5011025324","2021","20210810","2","8","141","","21","1.9",".36","19.4",".7","제주특별자치도 제주시 애월읍 구엄리 373-3"
"82","5011025324","2021","20211117","3","6.5","552","","18","3",".79","9.4","1.67","제주특별자치도 제주시 애월읍 구엄리 865"
"83","5011025324","2021","20210218","4","6.6","1493","","78","2.8","3.68","27.5","5.5","제주특별자치도 제주시 애월읍 구엄리 1138-2"
"84","5011025324","2022","20220609","3","4.7","904.6","","22.1",".97","1.3","2.94","1.17","제주특별자치도 제주시 애월읍 구엄리 1076"
"85","5011025324","2022","20220103","2","6.5","23","","8","2.6",".2","4.7","1.25","제주특별자치도 제주시 애월읍 구엄리 811-7"
"86","5011025324","2022","20220228","2","6.2","378.7","","53.8","2.2","1.3","8.3","1.1","제주특별자치도 제주시 애월읍 구엄리 975"
"87","5011025324","2022","20220228","2","6.3","568.6","","50.2","1.9","1.1","7.5","1.1","제주특별자치도 제주시 애월읍 구엄리 990"
