"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025338","2020","20201103","2","5.4","309","","47","3","1.58","6.4","3.1","제주특별자치도 제주시 애월읍 금성리 1149-14"
"2","5011025338","2020","20201103","2","6.5","205","","41","2",".9","6",".3","제주특별자치도 제주시 애월읍 금성리 1149-2"
"3","5011025338","2020","20201103","2","5.9","571","","46",".7","1.07","3.8","1","제주특별자치도 제주시 애월읍 금성리 347"
"4","5011025338","2020","20201103","2","6.1","1087","","39",".9","1.76","4.1","1.3","제주특별자치도 제주시 애월읍 금성리 397"
"5","5011025338","2020","20201103","2","8.1","435","","39","1.5","1.61","30","1.6","제주특별자치도 제주시 애월읍 금성리 413-3"
"6","5011025338","2020","20201103","2","6","735","","47","1.3","1.5","9","1.1","제주특별자치도 제주시 애월읍 금성리 444-1"
"7","5011025338","2020","20201103","2","6.1","833","","42","1",".96","6",".5","제주특별자치도 제주시 애월읍 금성리 445-1"
"8","5011025338","2020","20201103","2","5.8","546","","37","1.3","1.07","5.2",".9","제주특별자치도 제주시 애월읍 금성리 797"
"9","5011025338","2020","20201103","2","6.9","1058","","300","2.6","1.41","8.9","1","제주특별자치도 제주시 애월읍 금성리 926-3"
"10","5011025338","2020","20201103","2","6.4","517","","44","2","1.68","12.5",".4","제주특별자치도 제주시 애월읍 금성리 938-1"
"11","5011025338","2020","20200325","2","7.5","687","","35","3.2","1.6","18.2",".7","제주특별자치도 제주시 애월읍 금성리 253-2"
"12","5011025338","2020","20200325","2","7.3","458","","61","2","1.09","22",".9","제주특별자치도 제주시 애월읍 금성리 162"
"13","5011025338","2020","20200325","2","6.8","673","","43","4",".87","8",".4","제주특별자치도 제주시 애월읍 금성리 130-2"
"14","5011025338","2020","20200325","2","5.3","1014","","42",".9",".6","3.2",".3","제주특별자치도 제주시 애월읍 금성리 808"
"15","5011025338","2020","20200325","2","5.3","1014","","42",".9",".6","3.2",".3","제주특별자치도 제주시 애월읍 금성리 808"
"16","5011025338","2020","20200325","2","6.3","1626","","73","3.4","1.8","10.6","1","제주특별자치도 제주시 애월읍 금성리 892"
"17","5011025338","2020","20200325","2","7","433","","47","3.5",".8","14.2",".7","제주특별자치도 제주시 애월읍 금성리 600-2"
"18","5011025338","2020","20200325","2","7.3","897","","42","4.1","1.05","11.1",".5","제주특별자치도 제주시 애월읍 금성리 610"
"19","5011025338","2020","20200325","2","7.9","429","","71","3.7","2.45","30",".8","제주특별자치도 제주시 애월읍 금성리 594"
"20","5011025338","2020","20200325","2","5.4","936","","36","1.3",".57","3.7",".3","제주특별자치도 제주시 애월읍 금성리 1064-1"
"21","5011025338","2020","20200325","2","6.1","903","","39","2.8","1.28","9",".5","제주특별자치도 제주시 애월읍 금성리 640"
"22","5011025338","2020","20200325","2","6.3","1626","","73","3.4","1.8","10.6","1","제주특별자치도 제주시 애월읍 금성리 808"
"23","5011025338","2020","20200325","2","6.2","837","","37","2.1",".7","5.9",".4","제주특별자치도 제주시 애월읍 금성리 892"
"24","5011025338","2020","20200423","2","5.6","374","","30","2",".91","5.3",".4","제주특별자치도 제주시 애월읍 금성리 801"
"25","5011025338","2020","20200423","2","5.6","374","","30","2",".91","5.3",".4","제주특별자치도 제주시 애월읍 금성리 801"
"26","5011025338","2020","20200423","2","5.6","366","","30","1.7","1.71","4",".5","제주특별자치도 제주시 애월읍 금성리 812"
"27","5011025338","2020","20200423","2","5.6","366","","30","1.7","1.71","4",".5","제주특별자치도 제주시 애월읍 금성리 812"
"28","5011025338","2020","20200622","2","6.5","788","","40","2.7","1.57","10.2",".5","제주특별자치도 제주시 애월읍 금성리 798-2"
