"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025323","2020","20201103","2","6.5","597","","65","1.2","1.14","4.1",".5","제주특별자치도 제주시 애월읍 상귀리 1278"
"2","5011025323","2020","20201103","2","6.8","556","","53","1.6","1.46","6.5","1.4","제주특별자치도 제주시 애월읍 상귀리 131"
"3","5011025323","2020","20201103","2","6","644","","43","1.6",".97","4.1",".5","제주특별자치도 제주시 애월읍 상귀리 1529"
"4","5011025323","2020","20201103","2","5.5","319","","50",".4",".9","2.1",".5","제주특별자치도 제주시 애월읍 상귀리 157-1"
"5","5011025323","2020","20201103","2","6.3","766","","80","1.3","1.61","9.7","1.2","제주특별자치도 제주시 애월읍 상귀리 531-1"
"6","5011025323","2020","20201103","2","7.2","141","","58","2.7",".8","8.9",".6","제주특별자치도 제주시 애월읍 상귀리 219"
"7","5011025323","2020","20201103","2","7","141","","59","2.4",".94","7.1",".5","제주특별자치도 제주시 애월읍 상귀리 367"
"8","5011025323","2020","20201103","2","6.1","572","","56",".9",".91","3",".4","제주특별자치도 제주시 애월읍 상귀리 209"
"9","5011025323","2020","20200410","4","4.5","851","","60","1",".86","2",".5","제주특별자치도 제주시 애월읍 상귀리 1520"
"10","5011025323","2020","20200603","4","5.3","670","","113","1.8","2.52","9.8",".8","제주특별자치도 제주시 애월읍 상귀리 460"
"11","5011025323","2020","20200603","4","5.5","950","","120","2.8","2.83","13.6","2.4","제주특별자치도 제주시 애월읍 상귀리 463"
"12","5011025323","2020","20200603","4","5.5","924","","80","2.3","2.47","8.3",".7","제주특별자치도 제주시 애월읍 상귀리 471"
"13","5011025323","2020","20200603","4","5","939","","39",".7","1.93","3.9",".5","제주특별자치도 제주시 애월읍 상귀리 473"
"14","5011025323","2020","20200603","4","5.1","849","","50",".8","2.41","3.6",".2","제주특별자치도 제주시 애월읍 상귀리 474"
"15","5011025323","2020","20200603","4","6.2","28","","39","1.8","2.27","6.3",".2","제주특별자치도 제주시 애월읍 상귀리 477-2"
"16","5011025323","2020","20200820","4","5","417","","85","1.9","1.08","4.2",".6","제주특별자치도 제주시 애월읍 상귀리 1516"
"17","5011025323","2020","20200820","4","6.1","576","","87","3.8","1.62","8.7",".6","제주특별자치도 제주시 애월읍 상귀리 636"
"18","5011025323","2020","20200908","4","5.7","208","","240","1.7","1.17","9.1",".7","제주특별자치도 제주시 애월읍 상귀리 921"
"19","5011025323","2020","20200514","4","6","192","","55","1.6",".98","7",".4","제주특별자치도 제주시 애월읍 상귀리 451"
"20","5011025323","2020","20200603","4","6.1","226","","45","3.9","5.03","11.8",".3","제주특별자치도 제주시 애월읍 상귀리 454"
"21","5011025323","2020","20200603","4","6.5","615","","42","1.9","3.37","10.7",".3","제주특별자치도 제주시 애월읍 상귀리 477-1"
"22","5011025323","2020","20200603","4","7","515","","31","6.3","2.99","10",".3","제주특별자치도 제주시 애월읍 상귀리 1517"
"23","5011025323","2020","20200603","4","6.4","975","","62","5.2","4.79","13.1","2.4","제주특별자치도 제주시 애월읍 상귀리 449"
"24","5011025323","2020","20200603","4","6.2","773","","27","5.3","4.06","14.4","2.1","제주특별자치도 제주시 애월읍 상귀리 451"
"25","5011025323","2020","20200820","4","4","438","","300","3.8","1.13","8.5","10","제주특별자치도 제주시 애월읍 상귀리 636"
"26","5011025323","2020","20200820","4","4","10","","300","2.3","1.12","5.4",".7","제주특별자치도 제주시 애월읍 상귀리 633-3"
"27","5011025323","2020","20200820","4","4.6","154","","300","3.2","1.13","7.1",".8","제주특별자치도 제주시 애월읍 상귀리 634-3"
"28","5011025323","2020","20200820","4","5.4","285","","65","3.4","1.27","7.2","2.7","제주특별자치도 제주시 애월읍 상귀리 632"
"29","5011025323","2020","20200820","4","5.8","125","","52","2.9",".96","5.2",".4","제주특별자치도 제주시 애월읍 상귀리 635"
"30","5011025323","2020","20210108","4","6","258","","113","1.5",".411","14.9","5.7","제주특별자치도 제주시 애월읍 상귀리 1388"
"31","5011025323","2020","20200325","4","5.6","763","","70","2","1.17","10",".5","제주특별자치도 제주시 애월읍 상귀리 70"
