"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025328","2020","20201103","2","6.6","98","","83","1.2",".97","3.6",".4","제주특별자치도 제주시 애월읍 소길리 741"
"2","5011025328","2020","20201103","2","5.7","478","","82",".5",".92","4.1",".7","제주특별자치도 제주시 애월읍 소길리 757-1"
"3","5011025328","2020","20201103","2","7","212","","60","1.9","1.19","11.2",".4","제주특별자치도 제주시 애월읍 소길리 882-3"
"4","5011025328","2020","20201103","2","6.1","68","","90",".2",".66","1.9",".3","제주특별자치도 제주시 애월읍 소길리 885-3"
"5","5011025328","2020","20201215","2","6.6","700","","62",".7",".72","8.9",".7","제주특별자치도 제주시 애월읍 소길리 345-1"
"6","5011025328","2020","20200110","2","5.3","497","","96","3.4","3.29","10.4","2.8","제주특별자치도 제주시 애월읍 소길리 1146-4"
"7","5011025328","2020","20200110","2","5.7","516","","59","1.6","1.68","7.6","1.4","제주특별자치도 제주시 애월읍 소길리 1147"
"8","5011025328","2020","20200110","2","5.6","139","","85","2.3","2.09","6.7","1.5","제주특별자치도 제주시 애월읍 소길리 1148"
"9","5011025328","2020","20200110","2","5.4","91","","48","1.3","2.06","4.8","1.7","제주특별자치도 제주시 애월읍 소길리 1183-1"
"10","5011025328","2020","20201231","2","5.1","355","","109",".7","1.21","8.8","2","제주특별자치도 제주시 애월읍 소길리 1146-4"
"11","5011025328","2020","20201231","2","6","804","","97","1.6","2.33","20.4","2","제주특별자치도 제주시 애월읍 소길리 1147"
"12","5011025328","2020","20201231","2","6.2","773","","91",".9","1.95","16.5","1.8","제주특별자치도 제주시 애월읍 소길리 1148"
"13","5011025328","2020","20201231","2","6.3","433","","79","1.5","2.73","16.6","2.5","제주특별자치도 제주시 애월읍 소길리 1183-1"
"14","5011025328","2020","20200207","2","6.1","97","","38","2.4","1.81","6.7",".4","제주특별자치도 제주시 애월읍 소길리 695"
"15","5011025328","2020","20200717","2","5.9","72","","111","1.2","1.08","4.1",".2","제주특별자치도 제주시 애월읍 소길리 243"
"16","5011025328","2020","20200717","2","6.7","652","","94","3.7","1.06","11.5",".3","제주특별자치도 제주시 애월읍 소길리 623-1"
"17","5011025328","2020","20200717","2","6.8","467","","88","4.8","1.04","8.2",".5","제주특별자치도 제주시 애월읍 소길리 654-2"
"18","5011025328","2020","20200717","2","6.8","467","","88","4.8","1.04","8.2",".5","제주특별자치도 제주시 애월읍 소길리 654-2"
"19","5011025328","2020","20200717","2","6.8","467","","88","4.8","1.04","8.2",".5","제주특별자치도 제주시 애월읍 소길리 654-2"
"20","5011025328","2020","20200717","2","6.8","467","","88","4.8","1.04","8.2",".5","제주특별자치도 제주시 애월읍 소길리 654-2"
"21","5011025328","2020","20200717","2","6.9","314","","79","2.7","1.05","10.5",".2","제주특별자치도 제주시 애월읍 소길리 694"
