"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025326","2020","20201103","2","6.1","781","","52",".9","1.47","4.7",".6","제주특별자치도 제주시 애월읍 신엄리 519-2"
"2","5011025326","2020","20201103","2","6.8","1019","","64","2.3","2.42","9.6","2.1","제주특별자치도 제주시 애월읍 신엄리 688"
"3","5011025326","2020","20201103","2","5.5","785","","42","1","1.57","3.9",".7","제주특별자치도 제주시 애월읍 신엄리 741-1"
"4","5011025326","2020","20201103","2","5.2","583","","38",".3",".98","1.7",".5","제주특별자치도 제주시 애월읍 신엄리 742"
"5","5011025326","2020","20201103","2","6.6","588","","39","1.4","1.59","4.5",".8","제주특별자치도 제주시 애월읍 신엄리 760"
"6","5011025326","2020","20201103","2","5.5","1170","","58",".5","1.57","2.2","1.4","제주특별자치도 제주시 애월읍 신엄리 945"
"7","5011025326","2020","20200110","2","4.2","472","","144",".2",".33",".4",".5","제주특별자치도 제주시 애월읍 신엄리 253-1"
"8","5011025326","2020","20200110","2","4","193","","95",".1",".26",".1",".8","제주특별자치도 제주시 애월읍 신엄리 262"
"9","5011025326","2020","20200110","2","4","474","","129",".3",".25",".5",".8","제주특별자치도 제주시 애월읍 신엄리 264"
"10","5011025326","2020","20200110","2","5.8","97","","118","2.1","1.49","6.3",".4","제주특별자치도 제주시 애월읍 신엄리 2060-1"
"11","5011025326","2020","20201120","2","4.2","267","","92",".1",".1",".4","1","제주특별자치도 제주시 애월읍 신엄리 262"
"12","5011025326","2020","20201120","2","4","743","","104",".1",".14",".4","1.4","제주특별자치도 제주시 애월읍 신엄리 264"
"13","5011025326","2020","20201120","2","4","767","","144",".2",".16",".6","1.7","제주특별자치도 제주시 애월읍 신엄리 253-1"
"14","5011025326","2020","20201120","2","5.9","105","","178","1.7",".69","11.2","1.6","제주특별자치도 제주시 애월읍 신엄리 2060-1"
"15","5011025326","2020","20200129","4","4.6","834","","142",".2",".54","3.6",".9","제주특별자치도 제주시 애월읍 신엄리 379"
"16","5011025326","2020","20200129","4","4.9","1002","","67",".4",".66","3.4",".7","제주특별자치도 제주시 애월읍 신엄리 2150-1"
"17","5011025326","2020","20200514","2","6.7","274","","44","2","1.46","8.4",".5","제주특별자치도 제주시 애월읍 신엄리 755-8"
"18","5011025326","2020","20200608","2","5.2","355","","76","1.2",".99","4.7",".7","제주특별자치도 제주시 애월읍 신엄리 406-1"
"19","5011025326","2020","20200608","2","5.6","494","","51","2.4","1.77","8.8","3","제주특별자치도 제주시 애월읍 신엄리 402"
"20","5011025326","2020","20200902","2","5.5","491","","120","1","1.83","3.7",".3","제주특별자치도 제주시 애월읍 신엄리 2167-1"
"21","5011025326","2020","20200902","2","6","352","","127","1.7","2","5.5",".3","제주특별자치도 제주시 애월읍 신엄리 2204-1"
"22","5011025326","2020","20200902","2","5.7","387","","130","1.3","1.65","4.7",".4","제주특별자치도 제주시 애월읍 신엄리 3063-8"
"23","5011025326","2020","20200228","4","7.3","471","","43",".9",".35","5.7",".3","제주특별자치도 제주시 애월읍 신엄리 30"
"24","5011025326","2020","20200331","4","6.8","1010","","79","3.2",".71","6.6",".7","제주특별자치도 제주시 애월읍 신엄리 2505-1"
"25","5011025326","2020","20200608","4","4.7","245","","86","2.3","1.12","7","3.7","제주특별자치도 제주시 애월읍 신엄리 399"
"26","5011025326","2020","20200820","4","5.2","780","","190",".9",".66","5.7","1.2","제주특별자치도 제주시 애월읍 신엄리 399-7"
"27","5011025326","2020","20200302","4","5.3","873","","53","1.2",".44","4.1",".3","제주특별자치도 제주시 애월읍 신엄리 1918"
"28","5011025326","2020","20200302","4","5","920","","44",".7",".21","2.1",".2","제주특별자치도 제주시 애월읍 신엄리 1920"
"29","5011025326","2020","20200302","4","5.5","1255","","54","2.6","1.9","10","3.1","제주특별자치도 제주시 애월읍 신엄리 2207-1"
"30","5011025326","2020","20200302","4","5.5","1053","","52","2","1.45","8.4","1.7","제주특별자치도 제주시 애월읍 신엄리 2207-1"
"31","5011025326","2020","20200717","4","5.1","807","","74","5.7","2.37","13.6","10","제주특별자치도 제주시 애월읍 신엄리 1815-1"
"32","5011025326","2020","20200717","4","4.3","964","","83","2.6","1.65","5.1","5.5","제주특별자치도 제주시 애월읍 신엄리 1813"
"33","5011025326","2020","20200724","4","4.5","903","","54","1.1","1.42","3.7","1.7","제주특별자치도 제주시 애월읍 신엄리 2015"
"34","5011025326","2020","20200110","2","5.7","400","","38","3","2.28","9.3","1.4","제주특별자치도 제주시 애월읍 신엄리 3063-7"
"35","5011025326","2020","20200302","2","5.6","984","","38",".9",".93","4.2",".3","제주특별자치도 제주시 애월읍 신엄리 2470-3"
"36","5011025326","2020","20200302","2","5.7","55","","177",".9",".51","2.9",".3","제주특별자치도 제주시 애월읍 신엄리 2470-3"
"37","5011025326","2020","20200302","2","5.6","984","","38",".9",".93","4.2",".3","제주특별자치도 제주시 애월읍 신엄리 2470-3"
"38","5011025326","2020","20200302","2","5.7","55","","177",".9",".51","2.9",".3","제주특별자치도 제주시 애월읍 신엄리 2470-3"
"39","5011025326","2020","20200302","2","5.6","984","","38",".9",".93","4.2",".3","제주특별자치도 제주시 애월읍 신엄리 2470-3"
"40","5011025326","2020","20200302","2","5.7","55","","177",".9",".51","2.9",".3","제주특별자치도 제주시 애월읍 신엄리 2470-3"
"41","5011025326","2020","20200302","2","5.6","984","","38",".9",".93","4.2",".3","제주특별자치도 제주시 애월읍 신엄리 2470-3"
"42","5011025326","2020","20200302","2","5.7","55","","177",".9",".51","2.9",".3","제주특별자치도 제주시 애월읍 신엄리 2470-3"
"43","5011025326","2020","20200331","2","4.7","482","","81",".5",".85","1.4",".4","제주특별자치도 제주시 애월읍 신엄리 99"
"44","5011025326","2020","20200504","2","5.7","1108","","52","4.4","2.57","16","5.6","제주특별자치도 제주시 애월읍 신엄리 1512-1"
"45","5011025326","2020","20200814","2","4.4","242.2","","38.2","1.94","1.33","2.49","1.1","제주특별자치도 제주시 애월읍 신엄리 2278"
"46","5011025326","2020","20201106","2","4.6","738","","45",".6","1.67","2.2","3.2","제주특별자치도 제주시 애월읍 신엄리 2437-1"
"47","5011025326","2020","20201204","2","7.2","733","","18","2",".79","4.2","2.2","제주특별자치도 제주시 애월읍 신엄리 1144-1"
"48","5011025326","2020","20200228","4","4.2","774","","84","1.1",".64","2","1.8","제주특별자치도 제주시 애월읍 신엄리 1739-1"
"49","5011025326","2020","20200228","4","4.7","162","","35",".7",".47","1.9",".3","제주특별자치도 제주시 애월읍 신엄리 2030"
"50","5011025326","2020","20200228","4","5.6","870","","29",".8",".44","5",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
"51","5011025326","2020","20200228","4","5.2","604","","28",".5",".39","2.3",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
"52","5011025326","2020","20200228","4","4.9","612","","27",".4",".3","1.6",".1","제주특별자치도 제주시 애월읍 신엄리 1947"
"53","5011025326","2020","20200228","4","5.1","303","","29",".8",".39","2.8",".3","제주특별자치도 제주시 애월읍 신엄리 1947"
"54","5011025326","2020","20200228","4","4.8","430","","27",".6",".62","3",".8","제주특별자치도 제주시 애월읍 신엄리 1947"
"55","5011025326","2020","20200228","4","5.5","570","","25",".9",".45","4.1",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
"56","5011025326","2020","20200228","4","5.7","525","","31","1.3",".41","7.1",".3","제주특별자치도 제주시 애월읍 신엄리 1947"
"57","5011025326","2020","20200228","4","4.7","316","","36",".4",".38","1.5",".3","제주특별자치도 제주시 애월읍 신엄리 1947"
"58","5011025326","2020","20200228","4","4.7","259","","26",".2",".23",".7",".1","제주특별자치도 제주시 애월읍 신엄리 1947"
"59","5011025326","2020","20200228","4","4.7","448","","30",".4",".28","1.9",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
"60","5011025326","2020","20200228","4","5.2","527","","26",".5",".37","2.3",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
"61","5011025326","2020","20200228","4","4.8","383","","28",".4",".3","1.5",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
"62","5011025326","2020","20200228","4","5.8","666","","30","1.2",".37","5.4",".3","제주특별자치도 제주시 애월읍 신엄리 1947"
"63","5011025326","2020","20200228","4","4.7","173","","27",".3",".27",".9",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
"64","5011025326","2020","20200228","4","5.2","685","","26",".7",".46","3.3",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
"65","5011025326","2020","20200228","4","4.9","296","","32",".5",".34","2",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
"66","5011025326","2020","20200228","4","4.6","563","","38",".5",".37","1.4",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
"67","5011025326","2020","20200228","4","5.9","69","","39","1.4","1.19","5.7",".3","제주특별자치도 제주시 애월읍 신엄리 1947"
"68","5011025326","2020","20200228","4","5.1","373","","38",".8",".37","3.2",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
"69","5011025326","2020","20200228","4","4.7","898","","64",".5",".28","1.9",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
"70","5011025326","2020","20200228","4","5.1","491","","51",".7",".26","2.4",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
"71","5011025326","2020","20200228","4","5.3","778","","31",".8",".25","3",".2","제주특별자치도 제주시 애월읍 신엄리 1947"
