"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025334","2020","20200528","2","6.3","598","","51","2",".85","5.4",".5","제주특별자치도 제주시 애월읍 애월리 180"
"2","5011025334","2020","20200528","2","7","922","","59","3.9","2.32","11.2",".6","제주특별자치도 제주시 애월읍 애월리 181"
"3","5011025334","2020","20200528","2","6.4","931","","66","3.1","1.54","7.8",".5","제주특별자치도 제주시 애월읍 애월리 190"
"4","5011025334","2020","20201113","4","5.6","381","","24",".5",".27","2.7",".9","제주특별자치도 제주시 애월읍 애월리 968-2"
"5","5011025334","2020","20200228","4","5.8","1068","","30","4.1","2.19","13.2","3.8","제주특별자치도 제주시 애월읍 애월리 619"
"6","5011025334","2020","20200717","4","5.7","825","","29","3.6","1.79","5","1.3","제주특별자치도 제주시 애월읍 애월리 104-2"
"7","5011025334","2020","20200717","4","6.4","945","","47","5.4","1.97","9.6","1.5","제주특별자치도 제주시 애월읍 애월리 104-5"
"8","5011025334","2020","20200717","4","5.7","880","","40","3.6","1.73","7","1.8","제주특별자치도 제주시 애월읍 애월리 931"
"9","5011025334","2020","20200717","4","5.9","846","","37","4.9","1.8","6.5","1.6","제주특별자치도 제주시 애월읍 애월리 931"
"10","5011025334","2020","20200717","4","6.1","986","","46","4.2","2.92","7.5","1.7","제주특별자치도 제주시 애월읍 애월리 931"
"11","5011025334","2020","20200717","4","5.3","931","","33","3.5","2.01","4.2","1.1","제주특별자치도 제주시 애월읍 애월리 931"
"12","5011025334","2020","20200717","4","6.1","992","","38","4.8","2.29","6.6","1.6","제주특별자치도 제주시 애월읍 애월리 931"
"13","5011025334","2020","20200727","2","5.8","253","","30","3.4","1.39","7.6",".3","제주특별자치도 제주시 애월읍 애월리 1000-1"
"14","5011025334","2020","20200129","4","4.8","667","","27","1.2",".96","1.9","1","제주특별자치도 제주시 애월읍 애월리 24"
"15","5011025334","2020","20201211","4","6.8","945","","103","2.2","1.32","19.6","1.1","제주특별자치도 제주시 애월읍 애월리 150"
"16","5011025334","2020","20201211","4","6.5","869","","77","1.3",".69","10",".9","제주특별자치도 제주시 애월읍 애월리 148"
"17","5011025334","2020","20201211","4","6.6","944","","79","1.7","1.01","12.8",".9","제주특별자치도 제주시 애월읍 애월리 150"
"18","5011025334","2020","20201211","4","6.3","969","","111","1.4","1.31","16.4","1.2","제주특별자치도 제주시 애월읍 애월리 150"
"19","5011025334","2021","20210503","2","6.1","683","","158","3.1","1.69","7",".7","제주특별자치도 제주시 애월읍 애월리 181"
"20","5011025334","2021","20210503","2","6.2","476","","146","2.3","1.04","5.3",".5","제주특별자치도 제주시 애월읍 애월리 180"
"21","5011025334","2021","20210503","2","6.8","697","","105","4.4","2.76","10.6",".6","제주특별자치도 제주시 애월읍 애월리 190"
"22","5011025334","2021","20210318","4","5.3","422","","23",".5",".15","3.1","1.4","제주특별자치도 제주시 애월읍 애월리 968-2"
"23","5011025334","2021","20211025","2","5.5","509","","34","1.2",".81","8.1","3.14","제주특별자치도 제주시 애월읍 애월리 567"
"24","5011025334","2021","20211104","2","3.5","887","","26",".3",".7",".7","2.32","제주특별자치도 제주시 애월읍 애월리 469"
"25","5011025334","2021","20210115","4","5.5","291","","23",".7",".36","3","1.5","제주특별자치도 제주시 애월읍 애월리 24"
"26","5011025334","2021","20210318","4","5.4","804","","49",".2",".15","1.6",".4","제주특별자치도 제주시 애월읍 애월리 113-1"
"27","5011025334","2021","20210521","4","6.3","281","","26","3",".69","6.3","1","제주특별자치도 제주시 애월읍 애월리 896-1"
"28","5011025334","2022","20220512","3","6.1","400.8","","17.6","1.5",".4","3.5","1.1","제주특별자치도 제주시 애월읍 애월리 180"
"29","5011025334","2022","20220512","3","6.4","440.8","","22.6","1.6",".7","4.7","1","제주특별자치도 제주시 애월읍 애월리 181"
"30","5011025334","2022","20220512","3","5.8","518.5","","21.6","1.1",".8","2.3",".9","제주특별자치도 제주시 애월읍 애월리 190"
"31","5011025334","2022","20220307","4","5.6","349.9","","26.2",".9",".3","2.2","1.7","제주특별자치도 제주시 애월읍 애월리 968-2"
"32","5011025334","2022","20220609","3","5.7","820.5","","23.1","2.72","1.38","4.98","3.7","제주특별자치도 제주시 애월읍 애월리 24"
"33","5011025334","2022","20221101","3","6.3","386.7","","26.9","2.75",".95","5.52",".41","제주특별자치도 제주시 애월읍 애월리 795"
