"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025330","2020","20200423","2","6.5","433","","34","4.5","1.99","18.2","1.1","제주특별자치도 제주시 애월읍 하가리 499-1"
"2","5011025330","2020","20200423","2","6.5","433","","34","4.5","1.99","18.2","1.1","제주특별자치도 제주시 애월읍 하가리 499-1"
"3","5011025330","2020","20200423","2","6.4","505","","32","4.3","1.49","12.8",".6","제주특별자치도 제주시 애월읍 하가리 993-1"
"4","5011025330","2020","20200423","2","6.4","505","","32","4.3","1.49","12.8",".6","제주특별자치도 제주시 애월읍 하가리 993-1"
"5","5011025330","2020","20200129","4","6.9","119","","41","4","1.07","9.5",".5","제주특별자치도 제주시 애월읍 하가리 272"
"6","5011025330","2020","20200129","4","5.6","1000","","52","1.2",".41","4.6",".7","제주특별자치도 제주시 애월읍 하가리 466-1"
"7","5011025330","2020","20200129","4","5.3","684","","61","1.1",".5","4.3",".8","제주특별자치도 제주시 애월읍 하가리 474-1"
"8","5011025330","2020","20200213","2","4.8","835","","30",".8",".83","2.5",".8","제주특별자치도 제주시 애월읍 하가리 1281"
"9","5011025330","2020","20200213","2","4.7","837","","45","1.1","1.02","2.2",".7","제주특별자치도 제주시 애월읍 하가리 1281-1"
"10","5011025330","2020","20200213","2","5.3","621","","27","1.7","1.07","4.2",".8","제주특별자치도 제주시 애월읍 하가리 1281-2"
"11","5011025330","2020","20200213","2","4.6","770","","22",".9",".71","2.5",".9","제주특별자치도 제주시 애월읍 하가리 1281-3"
"12","5011025330","2020","20200213","2","4.7","569","","28",".7",".79","1.8",".5","제주특별자치도 제주시 애월읍 하가리 1281-1"
"13","5011025330","2020","20200213","2","4.8","835","","30",".8",".83","2.5",".8","제주특별자치도 제주시 애월읍 하가리 1281"
"14","5011025330","2020","20200213","2","4.7","837","","45","1.1","1.02","2.2",".7","제주특별자치도 제주시 애월읍 하가리 1281-1"
"15","5011025330","2020","20200213","2","5.3","621","","27","1.7","1.07","4.2",".8","제주특별자치도 제주시 애월읍 하가리 1281-2"
"16","5011025330","2020","20200213","2","4.6","770","","22",".9",".71","2.5",".9","제주특별자치도 제주시 애월읍 하가리 1281-3"
"17","5011025330","2020","20200213","2","4.7","569","","28",".7",".79","1.8",".5","제주특별자치도 제주시 애월읍 하가리 1281-1"
"18","5011025330","2020","20200409","4","4.3","1132","","56","2.2","2.38","4.2","2.5","제주특별자치도 제주시 애월읍 하가리 506-2"
"19","5011025330","2020","20200520","4","7.2","1445","","55","3.8","1.32","11.2",".7","제주특별자치도 제주시 애월읍 하가리 504-1"
"20","5011025330","2020","20200804","4","5.4","98","","64",".6",".7","1.9",".6","제주특별자치도 제주시 애월읍 하가리 67-5"
"21","5011025330","2020","20200804","4","5.1","42","","178",".4",".7","1",".5","제주특별자치도 제주시 애월읍 하가리 67-8"
"22","5011025330","2020","20200804","4","5.2","16","","164",".5",".8","2.3",".6","제주특별자치도 제주시 애월읍 하가리 70"
"23","5011025330","2020","20200804","4","5.6","234","","215","1.1",".66","3.5",".3","제주특별자치도 제주시 애월읍 하가리 78"
"24","5011025330","2020","20200804","4","6.1","265","","193","2.1",".71","8.6",".5","제주특별자치도 제주시 애월읍 하가리 66-1"
"25","5011025330","2020","20200804","4","6.1","25","","182","1.1",".77","5.8",".3","제주특별자치도 제주시 애월읍 하가리 77"
"26","5011025330","2020","20200804","4","5.2","411","","36",".4",".77","1.8",".3","제주특별자치도 제주시 애월읍 하가리 1060-1"
"27","5011025330","2020","20201211","4","6.5","349","","115",".7",".26","5.1",".8","제주특별자치도 제주시 애월읍 하가리 74"
"28","5011025330","2020","20201211","4","5.2","370","","58",".7",".25","5","2","제주특별자치도 제주시 애월읍 하가리 92"
"29","5011025330","2020","20200219","2","5","175","","24","1.4",".43","4","1.2","제주특별자치도 제주시 애월읍 하가리 782"
"30","5011025330","2020","20200331","2","6.8","418","","22","3.4","1.22","5.8",".5","제주특별자치도 제주시 애월읍 하가리 1323"
"31","5011025330","2020","20200219","4","5.9","1297","","84","3.1","1.86","8.1","1.8","제주특별자치도 제주시 애월읍 하가리 57"
"32","5011025330","2020","20200219","4","6","504","","51","4.8","1.89","9.32","2.4","제주특별자치도 제주시 애월읍 하가리 1333-1"
"33","5011025330","2020","20200219","4","5.2","866","","51","3.8","1.67","7","1.4","제주특별자치도 제주시 애월읍 하가리 1333-3"
"34","5011025330","2020","20200228","4","5","466","","44","1.3",".38","2.8",".3","제주특별자치도 제주시 애월읍 하가리 279-1"
"35","5011025330","2020","20200228","4","5.3","64","","24","2.7","1.19","7.1",".5","제주특별자치도 제주시 애월읍 하가리 279-1"
"36","5011025330","2020","20200228","4","4.7","527","","37",".7",".44","1.5",".3","제주특별자치도 제주시 애월읍 하가리 278-1"
"37","5011025330","2020","20200228","4","4.8","856","","41",".7",".46","1.8",".3","제주특별자치도 제주시 애월읍 하가리 278-1"
"38","5011025330","2020","20200228","4","5.2","701","","50",".7",".37","2.8",".3","제주특별자치도 제주시 애월읍 하가리 351"
"39","5011025330","2021","20210218","2","7.1","167","","159","3.3",".93","30",".6","제주특별자치도 제주시 애월읍 하가리 272"
"40","5011025330","2021","20210226","2","4.5","938","","28",".2",".29",".8","1","제주특별자치도 제주시 애월읍 하가리 1281"
"41","5011025330","2021","20210226","2","4.5","938","","28",".2",".29",".8","1","제주특별자치도 제주시 애월읍 하가리 1281"
"42","5011025330","2021","20210226","2","4.5","975","","19",".5",".52","2.6","1","제주특별자치도 제주시 애월읍 하가리 1281-3"
"43","5011025330","2021","20210226","2","4.5","975","","19",".5",".52","2.6","1","제주특별자치도 제주시 애월읍 하가리 1281-3"
"44","5011025330","2021","20210226","2","5.4","990","","27",".3",".41","1.3","1.2","제주특별자치도 제주시 애월읍 하가리 1281-2"
"45","5011025330","2021","20210226","2","5.4","990","","27",".3",".41","1.3","1.2","제주특별자치도 제주시 애월읍 하가리 1281-2"
"46","5011025330","2021","20210226","2","5.2","881","","31",".2",".29",".9",".9","제주특별자치도 제주시 애월읍 하가리 1281-1"
"47","5011025330","2021","20210226","2","5.2","881","","31",".2",".29",".9",".9","제주특별자치도 제주시 애월읍 하가리 1281-1"
"48","5011025330","2021","20210226","2","4.9","719","","23",".4",".3","2.6",".6","제주특별자치도 제주시 애월읍 하가리 1282-1"
"49","5011025330","2021","20210226","2","4.9","719","","23",".4",".3","2.6",".6","제주특별자치도 제주시 애월읍 하가리 1282-1"
"50","5011025330","2021","20210409","2","5.4","883","","39",".6","1.1","4.3","1.5","제주특별자치도 제주시 애월읍 하가리 993-1"
"51","5011025330","2021","20210409","2","5.4","883","","39",".6","1.1","4.3","1.5","제주특별자치도 제주시 애월읍 하가리 993-1"
"52","5011025330","2021","20210409","2","4.7","633","","50",".2",".34","1.4","1.1","제주특별자치도 제주시 애월읍 하가리 499-1"
"53","5011025330","2021","20210409","2","4.7","633","","50",".2",".34","1.4","1.1","제주특별자치도 제주시 애월읍 하가리 499-1"
"54","5011025330","2021","20210218","4","7.1","167","","159","3.3",".93","30",".6","제주특별자치도 제주시 애월읍 하가리 272"
"55","5011025330","2021","20210218","4","6.9","110","","47","1.9","1.06","12.2",".7","제주특별자치도 제주시 애월읍 하가리 272"
"56","5011025330","2021","20210218","4","5.9","715","","58","1",".98","8.3",".7","제주특별자치도 제주시 애월읍 하가리 466-1"
"57","5011025330","2021","20210218","4","5.6","612","","48",".9",".41","5.3",".6","제주특별자치도 제주시 애월읍 하가리 474-1"
"58","5011025330","2021","20211029","3","7.1","961","","30","3.1","1.8","11.1","1.47","제주특별자치도 제주시 애월읍 하가리 504-1"
"59","5011025330","2021","20210215","4","4.3","98","","55",".9","1.11","4.4","3.9","제주특별자치도 제주시 애월읍 하가리 506-2"
"60","5011025330","2021","20210215","4","6.3","423","","37","2.4","1.09","10.1","1.8","제주특별자치도 제주시 애월읍 하가리 1333-1"
"61","5011025330","2021","20210215","4","5.4","856","","34","1.2",".58","4.9","1","제주특별자치도 제주시 애월읍 하가리 1333-3"
"62","5011025330","2021","20210215","4","6.5","281","","52","1.9",".62","9.1","2.1","제주특별자치도 제주시 애월읍 하가리 1628-1"
"63","5011025330","2021","20210503","4","7.3","1282","","156","5.2","3.18","14.7",".8","제주특별자치도 제주시 애월읍 하가리 504-1"
"64","5011025330","2021","20210115","2","5.2","52","","126",".8","1","7.3","2.9","제주특별자치도 제주시 애월읍 하가리 143-8"
"65","5011025330","2021","20210115","2","6","205","","63","1",".45","10.4",".9","제주특별자치도 제주시 애월읍 하가리 143-8"
"66","5011025330","2021","20210203","2","5.1","13","","104",".1",".22",".5",".5","제주특별자치도 제주시 애월읍 하가리 779"
"67","5011025330","2021","20210226","2","5.4","295","","23","1.8",".73","10.8","3.6","제주특별자치도 제주시 애월읍 하가리 782"
"68","5011025330","2021","20210226","2","5.4","295","","23","1.8",".73","10.8","3.6","제주특별자치도 제주시 애월읍 하가리 782"
