"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011033021","2020","20200310","2","7.2","234","","97","6.4","3.56","30",".6","제주특별자치도 제주시 우도면 연평리 1535"
"2","5011033021","2020","20200518","2","7.2","108","","33","2.7","1.25","11.1",".7","제주특별자치도 제주시 우도면 연평리 1317"
"3","5011033021","2020","20200518","2","7.2","108","","33","2.7","1.25","11.1",".7","제주특별자치도 제주시 우도면 연평리 1317"
"4","5011033021","2020","20201218","2","6.5","10","","67","1.1",".53","9.4",".4","제주특별자치도 제주시 우도면 연평리 1700-1"
"5","5011033021","2020","20201218","2","6.7","18","","89","1.4","1.01","14.9",".6","제주특별자치도 제주시 우도면 연평리 1534"
"6","5011033021","2020","20201218","2","7.2","23","","112","1.9",".71","20.9",".6","제주특별자치도 제주시 우도면 연평리 1952"
"7","5011033021","2021","20211015","2","6.3","153","","36","","1.74","","","제주특별자치도 제주시 우도면 연평리 1035"
"8","5011033021","2021","20211015","2","6.4","244","","35","",".63","","","제주특별자치도 제주시 우도면 연평리 1039"
"9","5011033021","2021","20211015","2","6.5","284","","35","",".68","","","제주특별자치도 제주시 우도면 연평리 1042"
"10","5011033021","2021","20211015","2","6.6","443","","46","",".57","","","제주특별자치도 제주시 우도면 연평리 1044"
"11","5011033021","2021","20211015","2","6.6","367","","41","","1.67","","","제주특별자치도 제주시 우도면 연평리 1054"
"12","5011033021","2021","20211015","2","6.6","107","","54","","1.21","","","제주특별자치도 제주시 우도면 연평리 1093"
"13","5011033021","2021","20211015","2","6.5","94","","57","","1.26","","","제주특별자치도 제주시 우도면 연평리 1094"
"14","5011033021","2021","20211015","2","6.4","84","","56","","1.14","","","제주특별자치도 제주시 우도면 연평리 1101"
"15","5011033021","2021","20211015","2","6.2","81","","50","","1.21","","","제주특별자치도 제주시 우도면 연평리 1111-2"
"16","5011033021","2021","20211015","2","6.6","221","","56","","1.55","","","제주특별자치도 제주시 우도면 연평리 1120-2"
"17","5011033021","2021","20211015","2","7","251","","53","","1.73","","","제주특별자치도 제주시 우도면 연평리 1124-1"
"18","5011033021","2021","20211015","2","7","274","","55","","1.66","","","제주특별자치도 제주시 우도면 연평리 1144"
