"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025927","2020","20201014","4","5.3","458","","64",".6","1.32","1.5","1","제주특별자치도 제주시 조천읍 북촌리 1738"
"2","5011025927","2020","20201014","4","5.7","536","","79",".8","1.15","4",".3","제주특별자치도 제주시 조천읍 북촌리 1771"
"3","5011025927","2020","20201014","4","5.8","669","","73","1.3","1.25","5",".3","제주특별자치도 제주시 조천읍 북촌리 1779-1"
"4","5011025927","2020","20201014","4","5.4","248","","59",".5",".87","1.6",".2","제주특별자치도 제주시 조천읍 북촌리 1794-1"
"5","5011025927","2020","20201014","4","7.9","394","","61","1.3","1.46","30",".4","제주특별자치도 제주시 조천읍 북촌리 1802-1"
"6","5011025927","2020","20201014","4","5.9","616","","68",".8","1.12","6.6",".4","제주특별자치도 제주시 조천읍 북촌리 1806"
"7","5011025927","2020","20201014","4","5.3","735","","115",".8","1","4.3",".3","제주특별자치도 제주시 조천읍 북촌리 1811-2"
"8","5011025927","2020","20201014","4","5.5","738","","93","1.4","1.22","5",".3","제주특별자치도 제주시 조천읍 북촌리 1813"
"9","5011025927","2020","20201014","4","5.3","356","","76",".6","1.09","2.8",".3","제주특별자치도 제주시 조천읍 북촌리 1867"
"10","5011025927","2020","20201014","4","5.3","403","","50",".5",".87","1",".3","제주특별자치도 제주시 조천읍 북촌리 2015"
"11","5011025927","2020","20201014","4","6.1","277","","73","1.5","1.18","6.5",".4","제주특별자치도 제주시 조천읍 북촌리 2019"
"12","5011025927","2020","20201014","4","5.7","333","","107","1.7","1.08","5",".4","제주특별자치도 제주시 조천읍 북촌리 2022"
"13","5011025927","2020","20201014","4","5.8","105","","91",".5","1.04","2.5",".3","제주특별자치도 제주시 조천읍 북촌리 2023"
"14","5011025927","2020","20201014","4","5.1","290","","67",".3","1.03","1.1",".2","제주특별자치도 제주시 조천읍 북촌리 2038"
"15","5011025927","2020","20200116","4","5.3","741","","58","1.1","1.06","3.1",".2","제주특별자치도 제주시 조천읍 북촌리 2035-1"
"16","5011025927","2020","20200116","4","6","72","","138","1.3",".27","9.4",".3","제주특별자치도 제주시 조천읍 북촌리 1997"
"17","5011025927","2020","20200414","4","7","1137","","101","5.8","2.83","19.1","1.2","제주특별자치도 제주시 조천읍 북촌리 767-2"
"18","5011025927","2020","20200414","4","6.9","979","","80","4.7","2.04","16.1",".8","제주특별자치도 제주시 조천읍 북촌리 860-1"
"19","5011025927","2020","20200730","2","6.1","348","","84","2",".76","5.3",".2","제주특별자치도 제주시 조천읍 북촌리 1792-2"
"20","5011025927","2020","20200824","2","8.1","142","","175","5.2",".74","6.6","1.5","제주특별자치도 제주시 조천읍 북촌리 1723"
"21","5011025927","2020","20200824","2","5.6","142","","44","4.1",".7","25.3",".7","제주특별자치도 제주시 조천읍 북촌리 1112"
