"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011025925","2021","20210903","2","7.5","631","","31","","1.16","","","제주특별자치도 제주시 조천읍 신흥리 330-1"
"2","5011025925","2021","20211008","2","7.5","414","","300","3.3","1.42","6.6","2.02","제주특별자치도 제주시 조천읍 신흥리 414"
"3","5011025925","2021","20211026","2","8.1","389","","43","1.7","1.01","13.7","1.57","제주특별자치도 제주시 조천읍 신흥리 186-5"
"4","5011025925","2021","20211026","2","8.1","29","","27","2.3","1.02","13","1.44","제주특별자치도 제주시 조천읍 신흥리 317-1"
"5","5011025925","2021","20211026","2","7.5","484","","40","2.6",".3","9.4","1.71","제주특별자치도 제주시 조천읍 신흥리 330-1"
"6","5011025925","2021","20211026","2","8.1","473","","40","1.5","1.58","12.5","1.52","제주특별자치도 제주시 조천읍 신흥리 333-1"
"7","5011025925","2021","20211026","2","8.2","301","","88","2.7","1.36","12.4","1.77","제주특별자치도 제주시 조천읍 신흥리 620"
"8","5011025925","2021","20211026","2","8.1","329","","30","2.4","1.06","12.8","3.06","제주특별자치도 제주시 조천읍 신흥리 635-3"
"9","5011025925","2021","20211026","2","8.1","12","","67","2.1","1.45","12.6","1.71","제주특별자치도 제주시 조천읍 신흥리 936"
"10","5011025925","2021","20211026","4","7.6","77","","27","1.9","1.63","8.6","1.63","제주특별자치도 제주시 조천읍 신흥리 285"
"11","5011025925","2021","20211026","4","8.2","639","","69","3","1.52","12.4","1.58","제주특별자치도 제주시 조천읍 신흥리 462"
"12","5011025925","2022","20220208","3","6.4","475","","108","5.9","2.53","23.5","6.16","제주특별자치도 제주시 조천읍 신흥리 141-3"
