"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011032023","2020","20201029","2","5.6","1009","","35",".4","1.09","3","2","제주특별자치도 제주시 추자면 묵리 258"
"2","5011032023","2020","20201029","2","6.5","78","","17","1",".73",".7",".4","제주특별자치도 제주시 추자면 묵리 341"
"3","5011032023","2020","20201029","2","5.9","226","","19",".3",".83","3.2",".9","제주특별자치도 제주시 추자면 묵리 342"
"4","5011032023","2020","20201029","2","6.7","948","","48",".4",".85","2.1",".9","제주특별자치도 제주시 추자면 묵리 693"
"5","5011032023","2020","20201029","2","6","959","","26",".5","1.13","9.3","2","제주특별자치도 제주시 추자면 묵리 690"
"6","5011032023","2021","20210521","2","8","12","","22","1",".48","9","1","제주특별자치도 제주시 추자면 묵리 88"
"7","5011032023","2021","20210521","2","8","12","","22","1",".48","9","1","제주특별자치도 제주시 추자면 묵리 88"
"8","5011032023","2021","20210521","2","8","12","","22","1",".48","9","1","제주특별자치도 제주시 추자면 묵리 88"
"9","5011032023","2021","20210521","2","8","12","","22","1",".48","9","1","제주특별자치도 제주시 추자면 묵리 88"
"10","5011032023","2021","20210521","2","8","12","","22","1",".48","9","1","제주특별자치도 제주시 추자면 묵리 88"
"11","5011032023","2021","20210521","2","7.2","387","","46","1.9",".95","13.4",".8","제주특별자치도 제주시 추자면 묵리 88"
"12","5011032023","2021","20210521","2","7.2","387","","46","1.9",".95","13.4",".8","제주특별자치도 제주시 추자면 묵리 88"
"13","5011032023","2021","20210521","2","7.2","387","","46","1.9",".95","13.4",".8","제주특별자치도 제주시 추자면 묵리 88"
"14","5011032023","2021","20210521","2","7.2","387","","46","1.9",".95","13.4",".8","제주특별자치도 제주시 추자면 묵리 88"
"15","5011032023","2021","20210521","2","7.2","387","","46","1.9",".95","13.4",".8","제주특별자치도 제주시 추자면 묵리 88"
"16","5011032023","2021","20210521","2","7.5","118","","27","1.9","1.24","14",".9","제주특별자치도 제주시 추자면 묵리 88"
"17","5011032023","2021","20210521","2","7.5","118","","27","1.9","1.24","14",".9","제주특별자치도 제주시 추자면 묵리 88"
"18","5011032023","2021","20210521","2","7.5","118","","27","1.9","1.24","14",".9","제주특별자치도 제주시 추자면 묵리 88"
"19","5011032023","2021","20210521","2","7.5","118","","27","1.9","1.24","14",".9","제주특별자치도 제주시 추자면 묵리 88"
"20","5011032023","2021","20210521","2","7.5","118","","27","1.9","1.24","14",".9","제주특별자치도 제주시 추자면 묵리 88"
