"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011031025","2020","20201231","2","5.5","780","","54","1.4",".87","1.4",".2","제주특별자치도 제주시 한경면 금등리 97"
"2","5011031025","2020","20201231","2","7.3","531","","21","3.4","1.42","5.2",".3","제주특별자치도 제주시 한경면 금등리 116-5"
"3","5011031025","2020","20201231","2","6.3","557","","32","3.2","1.55","4.5","2.1","제주특별자치도 제주시 한경면 금등리 366-1"
"4","5011031025","2020","20201231","2","6.7","373","","31","2.9","1.15","4",".3","제주특별자치도 제주시 한경면 금등리 501-2"
"5","5011031025","2020","20201231","2","6.3","552","","29","1.5","1.83","3.5",".3","제주특별자치도 제주시 한경면 금등리 520-1"
"6","5011031025","2020","20201231","2","5.3","465","","30","1.7","1.52","3.2","1.3","제주특별자치도 제주시 한경면 금등리 707-1"
"7","5011031025","2020","20201231","2","5.1","406","","23","2.1","1.44","2","1","제주특별자치도 제주시 한경면 금등리 824-1"
"8","5011031025","2020","20201231","2","6.7","515","","19","2.4","1.45","4.4",".3","제주특별자치도 제주시 한경면 금등리 836"
"9","5011031025","2020","20201231","2","7.1","941","","29","3.7","2.27","4.5",".5","제주특별자치도 제주시 한경면 금등리 851"
"10","5011031025","2020","20201231","4","6.9","626","","40","2.9","1.63","5.1",".2","제주특별자치도 제주시 한경면 금등리 95-2"
"11","5011031025","2020","20201231","4","6.4","496","","31","2.8","1.54","3.9",".2","제주특별자치도 제주시 한경면 금등리 224-2"
"12","5011031025","2020","20200423","2","5.8","619","","30","1.4",".84","4.9",".2","제주특별자치도 제주시 한경면 금등리 103-1"
"13","5011031025","2020","20200504","2","8","391","","22","3",".78","11.6",".5","제주특별자치도 제주시 한경면 금등리 765"
"14","5011031025","2020","20200722","2","7.6","718","","21",".8",".97","3.8",".3","제주특별자치도 제주시 한경면 금등리 765"
"15","5011031025","2020","20200213","4","5.4","284","","36","1.9",".88","5",".2","제주특별자치도 제주시 한경면 금등리 324"
"16","5011031025","2020","20200213","4","5.9","55","","114","5.2",".72","11.1",".7","제주특별자치도 제주시 한경면 금등리 333-1"
"17","5011031025","2020","20200918","2","4.9","793.3","","25.6",".97",".843","1.8",".56","제주특별자치도 제주시 한경면 금등리 694-1"
"18","5011031025","2020","20200921","2","6.7","69.4","","24","4.5",".55","8.61",".34","제주특별자치도 제주시 한경면 금등리 473"
"19","5011031025","2021","20210924","2","6.7","519","","15","","1.38","","","제주특별자치도 제주시 한경면 금등리 685-1"
"20","5011031025","2021","20210924","2","6.5","636","","17","","1.88","","","제주특별자치도 제주시 한경면 금등리 892-1"
"21","5011031025","2021","20210924","2","7.2","480","","16","","1.21","","","제주특별자치도 제주시 한경면 금등리 500-1"
"22","5011031025","2021","20210924","2","6.7","554","","24","","1.42","","","제주특별자치도 제주시 한경면 금등리 415-1"
"23","5011031025","2021","20210924","2","6.2","414","","17","","1.26","","","제주특별자치도 제주시 한경면 금등리 995-1"
"24","5011031025","2021","20210924","2","6.2","83","","20","",".69","","","제주특별자치도 제주시 한경면 금등리 312"
"25","5011031025","2021","20211130","2","6.6","149","","31","",".66","","","제주특별자치도 제주시 한경면 금등리 260-1"
"26","5011031025","2021","20211130","2","6.8","645","","31","","1.56","","","제주특별자치도 제주시 한경면 금등리 98"
"27","5011031025","2021","20211130","2","6.9","328","","33","","1.59","","","제주특별자치도 제주시 한경면 금등리 3"
"28","5011031025","2021","20211130","2","7","408","","32","","1.39","","","제주특별자치도 제주시 한경면 금등리 10"
"29","5011031025","2021","20211130","2","5.7","443","","45","",".97","","","제주특별자치도 제주시 한경면 금등리 17"
"30","5011031025","2021","20210225","2","4.6","1557","","39",".9","1.37",".7","1.6","제주특별자치도 제주시 한경면 금등리 312"
"31","5011031025","2021","20210722","2","5.2","255","","72","1.6",".74",".2",".2","제주특별자치도 제주시 한경면 금등리 141-3"
"32","5011031025","2021","20210112","3","5.6","271","","174","4.2",".56","11.3","2.9","제주특별자치도 제주시 한경면 금등리 333-1"
"33","5011031025","2021","20210208","3","6","10","","161","3.4",".62","7.4","1.8","제주특별자치도 제주시 한경면 금등리 333-1"
"34","5011031025","2021","20210407","3","4.9","1019","","26",".9",".83","4.3","2.4","제주특별자치도 제주시 한경면 금등리 833"
"35","5011031025","2021","20210112","4","6.8","219","","34","2.2",".94","9.8",".6","제주특별자치도 제주시 한경면 금등리 324"
"36","5011031025","2021","20210112","4","4.8","826","","61","1.7","1.18","2.6",".9","제주특별자치도 제주시 한경면 금등리 333-1"
"37","5011031025","2022","20220901","2","6.2","295.2","","21.3","","1.182","","","제주특별자치도 제주시 한경면 금등리 358-1"
