"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011031027","2020","20201231","2","6.3","853","","13","1.5","1.05","2.5",".6","제주특별자치도 제주시 한경면 두모리 2432-1"
"2","5011031027","2020","20201231","2","6.4","819","","18","2.2","1.57","4.4","1","제주특별자치도 제주시 한경면 두모리 2628-1"
"3","5011031027","2020","20201231","2","6.5","383","","19","3.2","1.9","4.1","1.6","제주특별자치도 제주시 한경면 두모리 2012"
"4","5011031027","2020","20201231","2","6.6","536","","27","2","1.17","4.7",".2","제주특별자치도 제주시 한경면 두모리 306"
"5","5011031027","2020","20201231","2","5.2","161","","16","2","1.04","3.4","1.6","제주특별자치도 제주시 한경면 두모리 274-2"
"6","5011031027","2020","20201231","2","6.7","702","","29","1.2","1.92","5.2",".2","제주특별자치도 제주시 한경면 두모리 1853-1"
"7","5011031027","2020","20201231","2","6.1","467","","24","1.5","1.62","4.1",".6","제주특별자치도 제주시 한경면 두모리 109"
"8","5011031027","2020","20201231","2","6.8","647","","22","4.1","2.74","8.8",".7","제주특별자치도 제주시 한경면 두모리 233"
"9","5011031027","2020","20201231","3","6.5","323","","38","1.8","1.5","4.2",".3","제주특별자치도 제주시 한경면 두모리 179"
"10","5011031027","2020","20201231","4","5.8","267","","20","2.8","1.05","3.8",".1","제주특별자치도 제주시 한경면 두모리 1994-1"
"11","5011031027","2020","20201231","4","5.3","388","","93",".9",".86","2",".2","제주특별자치도 제주시 한경면 두모리 1492"
"12","5011031027","2020","20201231","4","6.6","977","","28","2.6","1.93","5.3",".8","제주특별자치도 제주시 한경면 두모리 204"
"13","5011031027","2020","20201231","4","5.4","858","","53","1.1","1.1","2.5",".2","제주특별자치도 제주시 한경면 두모리 994-1"
"14","5011031027","2020","20200130","2","7.2","66","","20","1.5","1.77","7.7",".1","제주특별자치도 제주시 한경면 두모리 693"
"15","5011031027","2020","20200218","2","5.4","303","","72",".7","2.35",".9",".2","제주특별자치도 제주시 한경면 두모리 1103"
"16","5011031027","2020","20200312","2","5.3","511","","21","2.7","3.78","6.8",".8","제주특별자치도 제주시 한경면 두모리 1969"
