"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011031022","2020","20201231","2","7.8","760","","27","4","1.9","8.4",".9","제주특별자치도 제주시 한경면 용수리 813-1"
"2","5011031022","2020","20201231","2","5.2","744","","28","2.3","1.45","2.6",".8","제주특별자치도 제주시 한경면 용수리 891-1"
"3","5011031022","2020","20201231","2","5.5","447","","27","2.6","2.23","3.3","2","제주특별자치도 제주시 한경면 용수리 517-1"
"4","5011031022","2020","20201231","2","6.4","434","","32","2.5","2.01","2.8",".6","제주특별자치도 제주시 한경면 용수리 521-1"
"5","5011031022","2020","20201231","2","6.1","299","","29","3.1","3.08","5.4","1.5","제주특별자치도 제주시 한경면 용수리 163-1"
"6","5011031022","2020","20201231","2","6.6","337","","17","4.4","1.88","5.1","2.5","제주특별자치도 제주시 한경면 용수리 264-1"
"7","5011031022","2020","20201231","2","6.3","422","","17","2.1","1.91","4",".9","제주특별자치도 제주시 한경면 용수리 4458-3"
"8","5011031022","2020","20201231","2","7.3","441","","17","2.7","1.24","7.1",".4","제주특별자치도 제주시 한경면 용수리 4468-1"
"9","5011031022","2020","20201231","2","8","536","","23","2","2.87","8.1",".6","제주특별자치도 제주시 한경면 용수리 2718-1"
"10","5011031022","2020","20201231","2","7.6","407","","19","5.4","1.87","9.6",".4","제주특별자치도 제주시 한경면 용수리 4460-4"
"11","5011031022","2020","20201231","2","6.1","224","","17","2.9","1.79","5.4",".9","제주특별자치도 제주시 한경면 용수리 1518"
"12","5011031022","2020","20201231","2","5","780","","19","1.9","1.5","2.2","1.5","제주특별자치도 제주시 한경면 용수리 1476-1"
"13","5011031022","2020","20201231","2","7.9","327","","18","3.1","1.18","6.6",".4","제주특별자치도 제주시 한경면 용수리 3319"
"14","5011031022","2020","20201231","2","7.6","278","","14","1.3","1.38","6.4",".9","제주특별자치도 제주시 한경면 용수리 4409-2"
"15","5011031022","2020","20201231","2","6.7","515","","22","3.2","1.82","5.6",".7","제주특별자치도 제주시 한경면 용수리 2927-2"
"16","5011031022","2020","20200312","2","4.4","643","","35","1.1","1.77","2.6","1.4","제주특별자치도 제주시 한경면 용수리 1298-1"
"17","5011031022","2020","20200318","2","4.7","443","","26","1.7","1.01","3.4",".4","제주특별자치도 제주시 한경면 용수리 1907-2"
"18","5011031022","2020","20200401","2","6.1","453","","39","3.3","2.81","10.9",".4","제주특별자치도 제주시 한경면 용수리 2716"
"19","5011031022","2020","20200401","2","6.9","290","","25","3.6",".92","8.1",".8","제주특별자치도 제주시 한경면 용수리 2724-1"
"20","5011031022","2020","20200401","2","6.1","84","","28","3.4",".78","7.3",".8","제주특별자치도 제주시 한경면 용수리 3314"
"21","5011031022","2020","20200401","2","5.7","151","","69","5",".9","6","1","제주특별자치도 제주시 한경면 용수리 3315"
"22","5011031022","2020","20200401","2","6","481","","17","2.2","1.35","5.6",".8","제주특별자치도 제주시 한경면 용수리 3334"
"23","5011031022","2020","20200401","2","5.5","894","","25","1.8","2.15","6.1","1","제주특별자치도 제주시 한경면 용수리 3513"
"24","5011031022","2020","20200401","2","6.7","460","","23","2.8","1.29","7.3",".4","제주특별자치도 제주시 한경면 용수리 4361-1"
"25","5011031022","2020","20200401","2","4.3","738","","25",".5",".74","1.1",".6","제주특별자치도 제주시 한경면 용수리 4554"
"26","5011031022","2020","20200401","2","6.2","358","","16","2.4",".97","6.8",".4","제주특별자치도 제주시 한경면 용수리 4558-1"
"27","5011031022","2020","20200401","2","6.1","552","","35","2.7","2.32","8.1","1","제주특별자치도 제주시 한경면 용수리 4578-1"
"28","5011031022","2020","20200401","2","5.8","527","","38","3.8","2.9","10.2","1.4","제주특별자치도 제주시 한경면 용수리 4579"
"29","5011031022","2020","20201228","2","6.4","23","","61","4.9",".36","5.6",".3","제주특별자치도 제주시 한경면 용수리 3140"
"30","5011031022","2020","20201228","2","6.5","321","","60","2.6",".74","5.4",".2","제주특별자치도 제주시 한경면 용수리 4420"
"31","5011031022","2020","20200407","3","6","524","","22","2.9","1.78","6.6","1.2","제주특별자치도 제주시 한경면 용수리 4060"
