"","BJD_Code","year","day","type","acid","phosphate","silicate","OM","Mg","K","Ca","EC","jibun"
"1","5011031024","2020","20201231","2","4.9","751","","20","1.9","1.68","2.1","1","제주특별자치도 제주시 한경면 판포리 5"
"2","5011031024","2020","20201231","2","6.5","691","","28","3.1","1.31","3.9",".5","제주특별자치도 제주시 한경면 판포리 848"
"3","5011031024","2020","20201231","2","6.7","420","","21","3.1","1.38","3.9","1.1","제주특별자치도 제주시 한경면 판포리 850"
"4","5011031024","2020","20201231","2","6.2","1019","","22","1.1","1.01","2","1.4","제주특별자치도 제주시 한경면 판포리 2038"
"5","5011031024","2020","20201231","2","5.7","790","","13","1.3",".53","1.5","1.1","제주특별자치도 제주시 한경면 판포리 1892-2"
"6","5011031024","2020","20201231","2","5.3","892","","22","1.8","1.09","2","1.1","제주특별자치도 제주시 한경면 판포리 2954-1"
"7","5011031024","2020","20201231","2","6.3","951","","25","1.9","1.23","2.6",".5","제주특별자치도 제주시 한경면 판포리 2991-2"
"8","5011031024","2020","20201231","3","6.6","1215","","80","2.2","2.24","5.5",".7","제주특별자치도 제주시 한경면 판포리 71"
"9","5011031024","2020","20201231","4","5.8","947","","75","1.1",".73","3.2",".3","제주특별자치도 제주시 한경면 판포리 55"
"10","5011031024","2020","20201231","4","6.9","505","","45","1.6","1.31","5.3",".2","제주특별자치도 제주시 한경면 판포리 690"
"11","5011031024","2020","20200217","2","5.6","10","","138",".9","1.24","2.6",".2","제주특별자치도 제주시 한경면 판포리 134-1"
"12","5011031024","2020","20200217","2","5.6","10","","151","1.1","1.3","2.8",".2","제주특별자치도 제주시 한경면 판포리 134-2"
"13","5011031024","2020","20200609","2","5.8","28","","162","3.3",".88","7.5","1","제주특별자치도 제주시 한경면 판포리 134-1"
"14","5011031024","2020","20200609","2","5.9","28","","165","3.5",".88","7.6",".9","제주특별자치도 제주시 한경면 판포리 134-2"
"15","5011031024","2020","20200629","2","5","557","","21","1.1",".64",".9",".2","제주특별자치도 제주시 한경면 판포리 2044"
"16","5011031024","2020","20200630","2","5.8","766","","22","1.2","1.22","1.3",".2","제주특별자치도 제주시 한경면 판포리 799"
"17","5011031024","2020","20200708","2","6","264","","5",".3",".13","1.7",".1","제주특별자치도 제주시 한경면 판포리 1535-1"
"18","5011031024","2020","20200708","2","6.4","609","","29",".8",".4","3.2",".2","제주특별자치도 제주시 한경면 판포리 1498"
"19","5011031024","2020","20200904","2","5.8","1018","","32","1.4",".93","3.2",".2","제주특별자치도 제주시 한경면 판포리 1649"
"20","5011031024","2020","20200904","2","5.9","907","","39","1.7","1.08","3.8",".3","제주특별자치도 제주시 한경면 판포리 1649"
"21","5011031024","2020","20200904","2","5.5","445","","39","1.3",".9","2.5",".3","제주특별자치도 제주시 한경면 판포리 1649"
"22","5011031024","2020","20200904","2","5.8","871","","31","1.3","1.14","3.6",".2","제주특별자치도 제주시 한경면 판포리 1649"
"23","5011031024","2020","20200904","2","5.7","134","","64","1.7",".79","1.3",".2","제주특별자치도 제주시 한경면 판포리 1649"
"24","5011031024","2020","20200922","2","5.3","680","","35",".8","2.06","2.1",".5","제주특별자치도 제주시 한경면 판포리 1571"
"25","5011031024","2020","20200701","4","6.5","1040.6","","86.7","6.28","4.63","15.93","5","제주특별자치도 제주시 한경면 판포리 44-1"
"26","5011031024","2020","20200701","4","5.6","994.8","","65.5","2.99","6.52","1.51",".7","제주특별자치도 제주시 한경면 판포리 180"
"27","5011031024","2020","20200701","4","5","637.8","","36.5","1.5","1.11","3.2",".9","제주특별자치도 제주시 한경면 판포리 177"
"28","5011031024","2020","20201208","4","5.8","279","","38","1.5",".85","1.7",".1","제주특별자치도 제주시 한경면 판포리 127"
"29","5011031024","2020","20200918","2","4.9","126.8","","24.8","1.03",".676","2.5",".34","제주특별자치도 제주시 한경면 판포리 209-1"
"30","5011031024","2020","20200918","2","5.7","510.8","","24.1","1.95","1.146","5.49",".58","제주특별자치도 제주시 한경면 판포리 348"
"31","5011031024","2020","20200918","2","8","370.6","","17.9","5.55","1.047","10.38",".55","제주특별자치도 제주시 한경면 판포리 986-1"
"32","5011031024","2020","20200918","2","6.8","647.8","","17.9","2.57",".975","6.75",".44","제주특별자치도 제주시 한경면 판포리 1891-1"
"33","5011031024","2020","20200918","2","5.1","734.7","","21.4","1.22","1.26","2.77",".56","제주특별자치도 제주시 한경면 판포리 2756"
